recall_id,clauses_original,len_original,c_original,n_original,clauses_again,len_again,c_again,n_again
67665f7b0329bd3e30515ad2,"1. The story was about the death of Mrs. Costa's daughter Marie,
2. who died 28 years back
3. of blood cloth
4. resulting from surgeries
5. treating her of injuries
6. she had from an accident.
7. Mrs. Costa had previously had 3 different operations
8. in the same hospitals
9. and knew the nurses there.
10. She was so distraught by the death of Marie
11. that her daughter came looking for her at the hospital
12. with her son-in-law.
13. She refused taking shots from the doctors
14. because she blames them for her daughter's death,
15. ""Get out"" was her response.
16. When she told her husband of Marie's death,
17. he had a heart attack,
18. same with her son too,
19. her daughter fell at the hospital,
20. a fall that affected her leg.
21. She would have called her brother-in-law
22. who was an undertaker
23. but he passed.",744,23,117,"1. I ACTUALLY CANNOT RECALL
2. THE STORY ANYMORE",42,2,0
67fbe860ceaf5c3054dd9654,"1. Marie died in April
2. from a blood clot
3. Her mother went to collect her
4. from the hospital
5. but she died
6. as she arrived
7. The mother's husband died too
8. of a heart attack
9. The mother was called Mrs Costa
10. She had two sisters",215,10,39,"1. I only remember
2. that the daughter died in the hospital
3. and the mother was very angry
4. about her treatment",104,4,32
673a1dcffde7de9c08f6d2e6,"1. Marrie was hospitalized
2. and later died of blood clotting
3. but her mother was in shock
4. and believed the death was caused by the nurse and doctors at the hospital,
5. Marrie was just eighteen years old
6. and seen from her photo
7. while her sister Rita was twenty-eight,
8. the mother claimed she had done operation three times
9. without anything happening
10. and was surprised how Marrie just died,
11. the mother screamed at the hospital.
12. The father, Micheal, and Mike were all waiting for their return at home
13. until the screaming of the mother alerted them
14. that Marrie has died
15. with her hair falling apart,
16. at the hospital of Methodist
17. where Dr. Schwart and Doctor Donque work
18. the incident happened,
19. the sibling of the mother bought a big orange
20. that the mother has never seen before,
21. at the hospital there was another patient
22. the mother secretly prayed for their quick recovery.
23. The lady from the store was surprised with the death
24. and she described how Marrie called her Mrs. Costa.",968,24,128,"1. Victoria was in the hospital
2. and the nurse has issue with her.
3. I think the relative accused the nurse
4. of causing more harm to the patient.
5. And I think the issue were later rectified",182,5,11
5a6c8047e70ca900017acdae,"1. A lady’s daughter went in for routine surgery
2. and died 10 days later.
3. They said it was a blood clot.
4. When she told her husband and son,
5. they both had heart attacks.",164,5,109,"1. I do not remember this at all.
2. I think
3. it’s like noise
4. was a story
5. that went off on many tangents
6. so it was hard to follow",122,6,192
6658c4239af9537eefdfbcc9,"1. The narrator's daughter died in hospital,
2. she's in hospital
3. and was expected to come home
4. but died in the hospital.
5. The narrator is not happy
6. and wants to burn the hospital down.
7. She tells her husband
8. who then has a heart attack,
9. as does her son.
10. Her other son goes to tell his aunts what happened
11. and she goes to the shop
12. and the shop worker always talks about her daughter when she goes in.",392,12,131,"1. If I'm honest
2. I don't remember anything about this story.
3. I have a vague memory of a woman
4. going into work
5. to meet a friend
6. but that's about it.",144,6,0
67503701c4ef8958767a58d9,"1. my daughter died
2. they killed her
3. the nurse and the doctor did not take a very good care of her
4. oops
5. they have killed Marrie
6. she is unable to drink what she likes
7. to drink coffee
8. seeing her shows how sick she is
9. very sad
10. and my husband later had a heart attack
11. and also died
12. and my son also",289,12,25,"1. Early in the morning
2. her daughter fell sick
3. and was taken to the hospital
4. the doctor really tried their best
5. but she later gave up
6. the woman was in shock
7. and can't really believe
8. her daughter is gone",198,8,182
63039dbefda87c47a91fec04,"1. Marie had appendicitis.
2. The doctor put her on ether.
3. The ether was too much.
4. They tried to make her stand up too soon.
5. She got a blood clot.
6. Somebody had oranges that were unique.
7. She was getting better.
8. She was about to get picked up from the hospital sometime later.
9. Somebody, perhaps a guardian either mother or dad, was waiting on a phone call.
10. However, they didn't have a phone.
11. A store clerk was receiving the call.
12. They got the call to pick up Marie.
13. The parent was saying that they were gonna make coffee.
14. Marie liked coffee.
15. It was a ritual or something.
16. They went to a hospital.
17. A nurse asked if the daughter had fainting spells.
18. They rushed to the back.
19. The daughter had big globs of sweat.
20. Her slippers were on.
21. She was lying down.
22. The parent kept screaming you killed my daughter.
23. Somehow a young child had to tell the other relatives.
24. They were crying.
25. The sister was married to an undertaker.
26. Her husband died or something in the area.",964,26,38,"1. The story was about someone in the hospital
2. and the doctors may have misdiagnosed.
3. The daughter liked coffee a lot.
4. Something about a family member owning a Funeral Home
5. and the Kid telling the family about the daughter.
6. The parent was upset at the doctor
7. and the daughter was in bed sweating or something.
8. The daughter was prepared to come home.",346,8,22
64772fe9752146745277bc45,"1. Twenty eight years ago Mrs. Costa's daughter Marie died.
2. She blamed the hospital.
3. They got her out of bed while she was still in etha.
4. There was a chair.
5. When Mrs. Costa asked why there was a chair, they said she had collapsed after they got her out of bed.
6. I asked why they got her out of bed as she was still sick.
7. She got her dress and coat to take to the hospital after they called her to be collected.
8. She put a big pot of coffee on ready for Marie to come home as she mentioned she wanted coffee.
9. She told her son to keep the dinner ready for her husband who will be home soon.
10. When he got home, he went upstairs to change and shave and waited on the step.
11. When she got to the hospital, Marie was waving at the window.
12. Then she went to say her goodbyes to everyone.
13. Mrs. Costa had had 3 operations in a year at the hospital.
14. She was praying for a neighbor who was just about to have an operation.
15. She had a large family.
16. When she got in the hospital, the nurses were there to explain her daughter was dying.
17. Mrs. Costa lost control and shouted at the nurses and doctors that they had killed her.
18. They wanted to know how Marie had died.
19. Mrs. Costa told them if they touched her daughter, she would kill them and burn down the hospital not caring who was inside.
20. When she saw her daughter who had died, she had large beads of sweat on her.
21. Her leg was solid.
22. They think she had a blood clot.
23. Mrs. Costa was hysterical, and her hair was pulled out, and her face was a mess.
24. When she went home, her husband asked her what was wrong.
25. When she told him their daughter was dead, he had a heart attack.
26. Her son went to Mrs. Costa's 2 sisters to tell the news.
27. He was upset and teary-eyed.
28. Her 2 sisters came over.
29. One had the largest orange she had ever seen.",1776,29,100,"1. i think
2. she lost her daughter
3. while she was out shopping.
4. she went home
5. and spoke to various people
6. and the police.
7. i honestly cannot recall
8. hardly anything of this.
9. sorry",172,9,170
5cb67a7ab73e8a001507fae5,"1. This story is being told by Mrs. Costa,
2. a mother who lost her eighteen year old daughter Maria 28 years ago
3. after a surgery for an appendix removal.
4. Maria died from blood clots in her leg.
5. It was a shock for everyone in the family
6. that this occurred.
7. It was a shock for all those that knew Maria
8. and the family
9. as well as she was so young.
10. The mother is reflecting on what happened
11. and how everyone was impacted
12. especially herself.
13. How she lost it at that time
14. and laid the blame on the doctors,
15. female doctors.",516,15,175,"1. If I am being honest
2. I am not remembering this story at all.
3. A lady who lost her daughter
4. nothing is coming to mind at all
5. in reference to this prompt.
6. I am sorry
7. but I have nothing here to relate.
8. I hope this does not reflect bad on me
9. or cause an issue with my participation.",282,9,15
66d31a1b0515fe747830bab9,"1. Marie died 28 years ago at the Methodist Hospital,
2. she was 30 years old.
3. Her mother Mrs. Costa was very upset
4. to the point of being hysterical.
5. Her other daughter Victoria was going to visit her
6. on the day she died.
7. Mrs. Costa's friend Rita was waiting at her house.
8. Mrs. Costa spoke to a lady doctor called Dr. Swartz
9. who told her Marie died from a blood clot.
10. Mrs. Costa's son James ran to see his Aunt Millie
11. and his Aunt Jenny
12. to tell them the news.",443,12,46,"1. the lady lost her daughter Claire
2. to sepsis
3. in hospital
4. Her daughter was being looked after
5. by a friend
6. at the time
7. It was in April
8. that she passed away
9. The mother was terribly upset",185,9,28
