recall_id,recall_chunk,narrative_chunk
5cb67a7ab73e8a001507fae5,If I am being honest I am not remembering this story at all.,
5cb67a7ab73e8a001507fae5,A lady who lost her daughter - nothing is coming to mind at all in reference to this prompt.,"My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah."
5cb67a7ab73e8a001507fae5,I am sorry but I have nothing here to relate.,
5cb67a7ab73e8a001507fae5,I hope this does not reflect bad on me or cause an issue with my participation.,
5c6cc9e2ffe5270001d3e90c,My daughter died at 28 years old in April.,"My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah. She died at Methodist Hospital. She had an operation for appendicitis. She was only eighteen years old."
5c6cc9e2ffe5270001d3e90c,Her sister was in the hospital with her and asked the nurses why the chair was placed there.,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was. She was still under ether. Back then, they used a lot of ether. There was a chair there. They were just starting to get people out of bed, you know. So, Victoria saw the chair, and she said to the nurse, “What’s this chair doing here?”"
5c6cc9e2ffe5270001d3e90c,They said they needed her to sit on the chair to avoid blood clotting.,"The nurse said, “Well, we’ve got to get her out of bed.” She said, “What are you talking about? She’s still under ether.” “She’s too sick.” But the nurse said, “Well, that’s the doctor’s orders.” So, they went to get her out of bed, and she passed out, and they had to put her back in bed. See, here, she never – I don’t know if they knew or what, but I blame them for the blood clot she got, taking her out of bed."
5c6cc9e2ffe5270001d3e90c,I got a call that my daughter had died and I went to the hospital.,"So, when she was walking around to come home after ten days, I was waiting for the call from the hospital. I didn’t have a phone then. The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night. “Mrs. Costa, they just called you from the hospital. Go Pick Marie up. She’s discharged.” ... And I went myself. ... And I went. But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.” ... The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?” “Oh my God!” I said, “Don’t tell me you’re running for my daughter!” “Yes,” she said, “come on in.” So, I went into the room. ... And just as I turned my back, my daughter passed away."
5c6cc9e2ffe5270001d3e90c,I got very angry with the staff and was shouting at them.,"I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling. ... I said, “You killed my daughter – what did you do to her?” ... And I was screaming. My hair was all pulled out. I went hysterical, you know what I mean? ... And I was in the main hallway, at the office. I was all pulled apart. One doctor wanted to give me a shot. I said, “Get out of here, I’ll kick you,” I said. “You killed my daughter, now you want to kill me?” Another nurse came over. See, they all knew me. I had three operations in no time, not even a year. And I knew all the nurses. “Mrs. Costa, please, take –” “Get out!” I said, “Don’t you dare come near me.” I was so hysterical. I was banging my head against the wall and everything. They had to grab me."
5c6cc9e2ffe5270001d3e90c,My other daughter came running in and collapsed on the floor.,"Then they brought me to the office, see. When Rita came in and saw me like that, she asked, “Mother, what happened?” I said, “We lost Marie. Marie died.” Well, that’s this one. This is a picture of Rita. She went down like lightning. Dropped to the floor, and that’s a marble floor."
5c6cc9e2ffe5270001d3e90c,"When we went home, my husband was sat on the steps outside.",So when I got home – they took me home. ... My husband was sitting on the step.
5c6cc9e2ffe5270001d3e90c,I told him that our daughter had died.,"My husband was sitting on the step. He asked, “What’s the matter? What happened to you?” ... I said, “Mike, we lost Marie. Marie died.”"
5c6cc9e2ffe5270001d3e90c,We went inside and told our son to go to his aunts and tell them what happened.,"So, I got home and called everybody, told them what happened. ... So they were waiting for my call, you know, but instead, I sent my son James, he was little then. I said, “Go tell Aunt Millie and Aunt Jenny.”"
5c6cc9e2ffe5270001d3e90c,There was a coat hanging on the back of a chair and I told my husband to take it.,
5c5cad3e4ee81200018eafe2,I think the lady's name was Mrs Costa and her daughter was in hospital to have an operation.,"My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah. She died at Methodist Hospital. She had an operation for appendicitis."
5c5cad3e4ee81200018eafe2,She went to see her the day after the operation but her daughter was still dozy from the anaesthetic and wanted to stay in bed.,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was. She was still under ether. Back then, they used a lot of ether."
5c5cad3e4ee81200018eafe2,But the doctor said she needed to get up and walk about.,"There was a chair there. They were just starting to get people out of bed, you know. So, Victoria saw the chair, and she said to the nurse, “What’s this chair doing here?” The nurse said, “Well, we’ve got to get her out of bed.” She said, “What are you talking about? She’s still under ether.” “She’s too sick.” But the nurse said, “Well, that’s the doctor’s orders.”"
5c5cad3e4ee81200018eafe2,They tried to get her to get up so they could discharge her.,"So, they went to get her out of bed, and she passed out, and they had to put her back in bed.

So, when she was walking around to come home after ten days, I was waiting for the call from the hospital."
5c5cad3e4ee81200018eafe2,Mrs Costa went home to get her some clothes to wear for when they did discharge her but when she went back her daughter had died.,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night. “Mrs. Costa, they just called you from the hospital. Go Pick Marie up. She’s discharged.” I had all the clothes laid out on the table. And Rita was – I was cooking, I said, “Rita, finish the cooking.” Daddy will be home soon.” He was working down in the yard. I said, “And put a big pot of coffee on,” because she had been wishing for coffee. And you know, every morning, that first cup of coffee, I offered it to her. When I get up in the morning, the first cup is hers. Since she’s gone, I never forget that. So I said, “Put a pot of coffee on, and send for some cake from the bakery.” I’m going to get Marie; they called me.” “All right, mother, go ahead,” she said, “I’ll finish up.” And I went myself. You know, I had the coat on my arm.

Oh, and I had everything in a bag, and I had the coat on my arm and her dress hanging on my arm.

But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”

She said, “Mrs. Costa, has your daughter ever had a fainting spell?” “Oh my God!” I said, “Don’t tell me you’re running for my daughter!” “Yes,” she said, “come on in.” So, I went into the room. And my daughter was on the bed with her bedroom slippers and her housecoat on. And the beads of sweat – honest to God, not to exaggerate, they were that big. It came – just poured from her – I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling.

She was only eighteen years old.

And just as I turned my back, my daughter passed away. She was getting ready to go home. I had the clothes and everything ready."
5c5cad3e4ee81200018eafe2,I think it was because she got a blood clot through not getting up and walking about so that wouldn't happen.,"See, here, she never – I don’t know if they knew or what, but I blame them for the blood clot she got, taking her out of bed.

And how did they figure how Marie died? The girl who was walking with Marie, told the doctor that Marie was saying goodbye to Arlene. And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.” And then Marie collapsed. Later, they said it was a blood clot."
5c5cad3e4ee81200018eafe2,Mrs Costa was very angry and shouting and accused the hospital of killing her daughter.,"I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling.

I said, “You killed my daughter – what did you do to her?”

And I was screaming. My hair was all pulled out. I went hysterical, you know what I mean?

And I was in the main hallway, at the office. I was all pulled apart. One doctor wanted to give me a shot. I said, “Get out of here, I’ll kick you,” I said. “You killed my daughter, now you want to kill me?” Another nurse came over. See, they all knew me. I had three operations in no time, not even a year. And I knew all the nurses. “Mrs. Costa, please, take –” “Get out!” I said, “Don’t you dare come near me.” I was so hysterical. I was banging my head against the wall and everything."
5c5cad3e4ee81200018eafe2,She went home and had to tell the family that her daughter had died unexpectedly,"So when I got home – they took me home. I was screaming in the car. I couldn’t get out, you know, I couldn’t – I was screaming! Everybody came out, coming out of their doors because they could hear the screams. My husband was sitting on the step. He asked, “What’s the matter? What happened to you?” Well, my hair was all pulled, and my face – I was a mess. I didn’t know what I had done to myself. I said, “Mike, we lost Marie. Marie died.”"
5c5cad3e4ee81200018eafe2,but so was so upset that she couldn't go and tell them so she got her son to do it instead.,"So, I got home and called everybody, told them what happened. I called my brother-in-law.

So they were waiting for my call, you know, but instead, I sent my son James, he was little then. I said, “Go tell Aunt Millie and Aunt Jenny.”"
5c5cad3e4ee81200018eafe2,He told everyone he could think of,"So, I got home and called everybody, told them what happened. I called my brother-in-law. He was an undertaker.

So they were waiting for my call, you know, but instead, I sent my son James, he was little then. I said, “Go tell Aunt Millie and Aunt Jenny.”"
5c5cad3e4ee81200018eafe2,and many people started remembering her when she was young and used to play in the street,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step. She was a real quiet girl, pleasant, didn’t talk much, but she was so good, I can’t even tell you."
67fbe860ceaf5c3054dd9654,The daughter died in the hospital.,"My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah. She died at Methodist Hospital."
67fbe860ceaf5c3054dd9654,The mother was very angry about her treatment.,"See, here, she never – I don’t know if they knew or what, but I blame them for the blood clot she got, taking her out of bed.

And the beads of sweat – honest to God, not to exaggerate, they were that big. It came – just poured from her – I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling.

So, she came in and she said – I said, “You killed my daughter – what did you do to her?” She said, “We don’t know what happened, Mrs. Costa.” She took me away from the bed. The nurse said to me, “Talk to her.” I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?” And I was screaming.

Later, they said it was a blood clot. I said, “Don’t you dare touch my daughter. I’ll burn this hospital down! I don’t care who’s in it.” I said, “Don’t you dare touch my daughter. You want to find out what she died from.” But if you touch my daughter, I’ll kill you.” I wouldn’t let them touch her."
67503701c4ef8958767a58d9,Early in the morning her daughter fall sick and was taking to the hospital.,"My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah. She died at Methodist Hospital. She had an operation for appendicitis. It was late Saturday afternoon when they operated, very late. Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was. She was still under ether."
