recall_id,clauses_original,len_original,c_original,n_original,clauses_again,len_again,c_again,n_again
662c0e1cf4d70f0068ea160a,"1. It's about a mum
2. who's daughter gets put in the hospital
3. because of appendicitis.
4. Then she dies.",94,4,119,"1. I can only remember
2. a scary part happens
3. in the hospital
4. where someone falls over",81,4,152
6658ed45f69162ea286e4e3a,"1. Mrs. Costa lost her daughter Annie
2. on the day that she was to be picked up from the hospital.
3. Annie was saying goodbye to the girls
4. and said that she had a pain in her leg
5. and that she could not see.
6. Then she collapsed
7. and died.
8. Mrs. Costa told her husband,
9. he had had a shave and a wash
10. as he had been working.
11. He had a heart attack -
12. as did her son who had come home.
13. The two aunts were waiting for the call
14. to say that Annie was home
15. and they saw little Jamie running towards them
16. who told them Annie had died,
17. he was crying.
18. One of the aunts had bought an orange.",566,18,28,"1. Annie was on her way home from the hospital
2. when she felt unwell.
3. She died.
4. When her mother went to tell her husband
5. he had a heart attack.
6. And so did the brother.",164,6,178
67d1f6824f74bd16996512c0,"1. The story [is] told mostly by the mother,
2. who is overwhelmed by emotions
3. and that is making her story hard to follow.
4. She is reliving events of the day,
5. when one of her daughters passed away
6. and even though it happened almost 20 years ago,
7. the memories are still there.",266,7,33,"1. Not sure I would call it a story,
2. more like recollection of events by the woman who never got over losing her daughter.
3. She talks a lot about her daughters,
4. but hardly mentions her husband or the other men.
5. Nurses or even an orange get more attention than Mr. Costa.
6. Story jumps from one irrelevant thing to the next,
7. i.e., there is no story to recollect.
8. Lots of ""She said"" or ""He did""
9. and not much else.",406,9,194
5e3d57c40d3a26000edff2e1,"1. A mother was sent to the hospital
2. to pick up her daughter
3. who was to be discharged.
4. However, she was dying
5. when she got there.
6. She blames the doctors
7. for her death,
8. who claimed it was due to a blood clot.
9. Upon hearing the news,
10. both the husband and son had heart attacks as well.
11. The mother was forced to go home screaming
12. after refusing a shot of medication.
13. A young boy was told
14. to tell his aunts
15. that Marie had died.
16. An old woman recalls
17. Marie standing on a step.",466,17,133,"1. A woman was going to pick up her daughter from the hospital.
2. However, when she got there,
3. her daughter had died.
4. The woman blamed the doctors for this
5. as she believed it was their fault.
6. The news of this,
7. when told to the family,
8. caused the woman's husband and son
9. to both have heart attacks
10. and also die.
11. Someone came to visit
12. and was holding a large orange.",359,12,165
6679dc943f855ba978447c25,"1. Marie was a young lady who had appendicitis.
2. She was in the hospital for it.
3. The care she got was not appropriate.
4. First, the doctor tried to get her to sit up in a chair,
5. and Marie passed out.
6. They let her lay back down.
7. No one seemed to know she had a blood clot that would turn out to be fatal.
8. Marie's mother, Mrs. Costa, went to the hospital
9. and kept questioning the staff about Marie.
10. She questioned why they treated Marie certain ways
11. and the staff told her it was the doctor's orders.
12. When it came time for Marie to go home,
13. Marie's mother Mrs. Costa went to the hospital with clothing for Marie.
14. Mrs. Costa's husband was waiting at home for Marie to come home.
15. When they tried to get Marie dressed to go home,
16. she passed out
17. and died shortly after.
18. Mrs. Costa was beside herself with grief.
19. She screamed and tore at her hair.
20. She demanded to know why this had happened to Marie
21. but got no straight answers.
22. Marie's leg had gone stiff,
23. and it was believed she had a blood clot
24. but no one seemed to know.
25. Well, Mrs. Costa was consumed with grief,
26. crying on the way home.
27. She arrived home
28. and told her husband Marie was gone.
29. Her husband immediately had a heart attack
30. and died after hearing this sad news.
31. Another person she told also had a heart attack
32. and died.
33. Mrs. Costa sent her young son to tell aunts that Marie was gone.
34. The aunts were also very upset.
35. An undertaker in the family took over the arrangements.",1424,35,145,"1. There was a lady in the hospital
2. who died.
3. Her mother was very upset.
4. There were a lot of details given
5. about her death.
6. Her husband was very upset,
7. waiting at home,
8. and when he found she had died
9. he also had a heart attack
10. and died.
11. A little boy was sent
12. to bring news
13. to other ladies.",287,13,118
6091ab55ea2e97910519f8e7,"1. Basically a woman recalling the day her daughter died,
2. she died sometime in April from a blood clot.
3. She threatened to burn down the hospital
4. and the girl's father and brother both had heart attacks upon hearing the news.
5. Lots of cries
6. and fighting.",248,6,180,"1. something about a woman
2. that was recalling the day
3. her daughter died
4. from a blot clot
5. on the day
6. she was supposed to be released
7. from the hospital.
8. Her husband and son-in-law had heart attacks
9. and the woman was hysterical,
10. threatened to burn down the place
11. in a rage
12. because she thought
13. the hospital killed her daughter.",319,13,67
66435e2e5c5b5aceb2195908,"1. A woman's daughter died at the hospital.
2. Her name was Marie.
3. She was 18.
4. The nurses were trying to get her out of bed.
5. The woman believed that she was too sick to be out of bed.
6. It might be causing her daughter to have blood clots.
7. On the day of this event she was called by the hospital.
8. They said she was going to be discharged.
9. But when she got there the daughter was in a bad way.
10. She got worse.
11. Eventually, she ended up dying.
12. The woman was very upset.
13. In hysterics even.
14. She blamed the nurses.
15. She asked to speak to the doctor.
16. The doctor said they don't know what happened.
17. The doctor wanted to give the mother a shot.
18. For some reason.
19. But she refused.
20. And left.
21. When the father found out what had happened to his daughter.
22. He had a heart attack.
23. And died.
24. The people waiting for the daughter to get home.
25. They hadn't been told she had actually died.
26. For some reason brought her an orange.
27. There was also a son called James.
28. And a brother-in-law who was an undertaker.",985,28,47,"1. A woman had lost her 18 year old daughter.
2. I think her name was Marie.
3. She was at the hospital.
4. She was very sick.
5. Something happened to her.
6. That made the woman think the hospital had done something to her daughter.
7. That had caused her death.
8. Because when the woman went to see her before she died,
9. She seemed to be getting better.
10. When she arrived at the hospital to find that her daughter had died,
11. She was in hysterics.
12. The doctor claimed he did everything he could.
13. He tried to sedate the woman in hysterics.
14. Her family, including her aunt, was waiting at home for the daughter to return.
15. There was also a son in law.
16. Who happened to be a funeral director.",659,16,40
6746ce67818ad1141aeeb211,"1. It's a story about Mrs. Costa,
2. whose daughter died of appendix,
3. she died at the Methodist Hospital,
4. she is 18 years old.
5. Then the oldest daughter, Victoria, went to the hospital
6. to see her before she died.
7. Then a lady from the store called Mrs. Costa
8. to come and see her daughter,
9. when she got to the hospital
10. she saw a woman who is in bad conditions
11. and the woman had 10 children,
12. so she prayed that God should not take the mother from the children.
13. And Mrs. Costa accused the nurse of killing her daughter.
14. And everyone was waiting to see Marie,
15. in fact, Mrs. Costa's younger sister had gotten a very big orange for her.
16. Then she broke the news to them about the death of her daughter Marie,
17. on hearing this her son had a heart attack
18. and her husband.",751,18,122,"1. This is a story about Mrs. Costa,
2. whom her daughter died of appendicitis,
3. at the Methodist hospital.
4. She is twenty-eight years of age.
5. Then the lady from the hospital called Mrs. Costa
6. to pick her daughter.
7. On getting to the hospital,
8. she met a woman
9. who is also on a sick bed
10. who has ten children.
11. Mrs. Costa prayed to God
12. not to take the woman.
13. Then Mrs. Costa lost her daughter,
14. and everyone has been waiting for her at home.
15. Immediately her son Michael
16. heard about the death of Marie
17. he collapsed.",490,17,23
63fbd3e8b4865c6e1fb04614,"1. The daughter suffers from appendicitis
2. and is rushed to hospital.
3. There she is treated
4. but the doctor ordered for her to leave the bed
5. even though she was in ether.
6. She got out
7. and things get out of control.
8. She is blinded
9. and then collapses
10. with a blood clot being diagnosed.
11. The mother is enraged
12. and wants to burn down the hospital
13. and verbally abuses the hospital staff.
14. Then when she gets home
15. she finds out little by little
16. every family member of hers is slowly dying around her.",484,16,60,"1. So a daughter was admitted into hospital
2. because they were showing symptoms of appendicitis
3. and therefore was rushed into emergency response.
4. They were then put into an ether
5. and surgery was commenced.
6. After the surgery
7. the mother wanted to see the daughter.
8. However, the daughter was put out of ether
9. and then stood up out of the bed.
10. They ended up getting a blood clot
11. and died from it.
12. However, the mother seemed to think it was foul play
13. and started to shout at the doctor and the medical staff.
14. After when she gets home
15. she sees that one by one
16. the family members of hers start to die
17. due to unnatural causes.",613,17,91
67b5c6ec6311c086aa61cd96,"1. It was 28 years since my daughter Marie died.
2. The doctors said she had a blood clot
3. but I didn't believe them.
4. I continuously shouted ""You KILLED my daughter!""
5. It was a long night
6. and we had to notify multiple family members,
7. including my other daughter Rita.
8. She was making a hot pot of tea in the kitchen
9. and looking outside towards Wolf Street.
10. She collapsed when she heard the news
11. and my husband had a heart attack.
12. My little sister even brought a big orange to give to Marie
13. but never got the chance.
14. My son Micheal also had a heart attack from the shocking news.
15. Hard to believe but yes they both did.
16. There was another mother losing her daughter in the room before mine.
17. I prayed and prayed for God to keep her alive for her mother.
18. Even after so many years,
19. is it still very painful for Rita to remember the news.
20. She suffers from crippling depression for weeks
21. and sometimes months at a time.
22. It was a cold winter month when it happened.
23. Probably closer to April from my memory.
24. I put on a big coat and boots before leaving to the hospital.",1051,24,60,"1. It was a cold winter day in April.
2. My daughter was rushed to the hospital after collapsing on the ground.
3. I didn't know what was wrong or what I should do.
4. Her room was shared with another girl and her mother.
5. I prayed that her daughter was going to be okay.
6. I can't imagine that kind of pain as a mother.
7. The doctors said she wasn't doing well and had multiple blood clots.
8. They moved me to another room and told me my daughter isn't going to make it.
9. I was screaming that they killed her after it happened.
10. They tried to calm me down.
11. I remember I had so many heavy layers on and I felt like I weighed a million pounds.
12. Everything was a blur after that.
13. I had to tell my husband next.
14. He collapsed of a heart attack when I told him the news.
15. My other daughter Rita was just making a coffee when she heard.
16. Everyone was screaming with pain.
17. My son had one of the worst reactions to the news.
18. We sat all of her aunts and uncles down together in the tea room as well.",966,18,189
