segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,This is a story about three of my friends,93.88,98.64,90.0,100.0
2,that I met in 1949,56.12,97.28,50.0,100.0
3,when I started college.,47.96,97.28,70.0,100.0
4,"Actually I met them before that,",36.73,13.61,30.0,0.0
5,we became friends after we all...,0.0,24.49,40.0,22.22
6,went to school at the same place.,23.47,70.75,40.0,44.44
7,"Previous to that during high school we'd all been high school athletes at different schools,",44.9,75.51,40.0,100.0
8,and so we were acquainted.,21.43,53.06,20.0,44.44
9,"But then after graduation when we all enrolled in school,",12.24,44.22,10.0,55.56
10,"we found that the four of us were all now attending the same school,",21.43,63.27,20.0,66.67
11,and we became quite good friends.,20.41,61.9,30.0,55.56
12,"I was the kid from the farm,",80.61,84.35,30.0,100.0
13,the other three guys all lived in the city.,71.43,85.71,70.0,100.0
14,"So being big macho men that we all were,",13.27,27.89,10.0,11.11
15,"they used to like to come out to the farm and hunt,",74.49,95.24,30.0,100.0
16,"and they'd come out,",12.24,28.57,10.0,11.11
17,and help me do chores and things like that.,25.51,38.1,10.0,22.22
18,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,45.92,46.26,30.0,33.33
19,I never really enjoyed hunting.,62.24,75.51,60.0,77.78
20,"Uh ... being born and raised on the farm I was used to the outdoors,",22.45,20.41,10.0,11.11
21,wasn't all that exciting to me.,6.12,17.01,0.0,11.11
22,"But these guys got a big kick out of it,",17.35,27.21,0.0,11.11
23,so I'd go along just to be one of the group.,32.65,63.95,20.0,88.89
24,"Things went on,",0.0,13.61,0.0,11.11
25,"we did this for several years,",13.27,40.14,0.0,55.56
26,"they were always coming out to the farm,",5.1,21.09,0.0,44.44
27,and hunting.,2.04,15.65,0.0,11.11
28,"After we'd been acquainted for several years,",2.04,12.24,10.0,11.11
29,one of them got the idea they'd like to go bear hunting up in Canada.,63.27,82.99,40.0,100.0
30,"Now that didn't really appeal to me,",41.84,76.19,30.0,77.78
31,"but I'd always been one of the group,",13.27,19.73,10.0,11.11
32,"and I couldn't find any real reason not to go,",9.18,19.05,0.0,0.0
33,"so I left them talk me into it,",30.61,32.65,20.0,11.11
34,wasn't too hepped up on this at all.,2.04,11.56,0.0,0.0
35,"I don't care anything really much about hunting period,",0.0,10.2,0.0,11.11
36,let alone bear hunting.,0.0,10.88,10.0,0.0
37,Be about my luck the bear would wind up hunting me.,1.02,6.12,0.0,0.0
38,"But as I said,",0.0,5.44,0.0,0.0
39,I left them talk me into it.,4.08,15.65,10.0,11.11
40,"So we took an airplane out of Fort Wayne,",29.59,42.18,20.0,55.56
41,"and we flew way up into Canada some place,",36.73,48.98,30.0,55.56
42,"and we landed on a lake,",14.29,15.65,0.0,22.22
43,"and then we rented canoes,",31.63,36.05,10.0,33.33
44,"and paddled for another ... day and a half it seemed to me,",12.24,25.17,0.0,22.22
45,'till we got way up in the north woods.,12.24,6.8,20.0,0.0
46,"Then after we ... went as far as we could in the canoes,",0.0,2.72,0.0,0.0
47,"then we had to backpack for another ... five hundred miles I thought,",27.55,17.69,0.0,11.11
48,'till we got to this cabin that they had rented way up there in the north woods.,53.06,58.5,60.0,66.67
49,"And after I got there,",0.0,0.0,0.0,0.0
50,"I was even more apprehensive than I had been even before we started,",4.08,40.14,20.0,44.44
51,'cause I didn't really need any part of that.,0.0,0.68,0.0,0.0
52,"That was pretty spooky looking territory, let me tell you.",26.53,50.34,0.0,88.89
53,"So we got up there,",0.0,2.72,0.0,0.0
54,"and got set up in the cabin,",5.1,32.65,0.0,33.33
55,and ... got our groceries stored and everything.,11.22,17.01,0.0,11.11
56,And after we got to discussing it,3.06,0.68,0.0,0.0
