recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,"[2, 3]",2,11,"The story is set in 1949, starting with college."
gpt4-1,2,"[1, 5, 6, 10, 11]",5,11,The narrator and three others became friends in college.
gpt4-1,3,"[7, 8]",2,11,They were acquainted in high school as athletes at different schools.
gpt4-1,4,"[4, 6, 9, 10]",4,11,They enrolled in the same college after graduation.
gpt4-2,1,"[2, 3]",2,18,"The story is set in 1949, starting with college."
gpt4-2,2,"[1, 5, 6, 10, 11]",5,18,The narrator and three others became friends in college.
gpt4-2,3,"[7, 8]",2,18,They were acquainted in high school as athletes at different schools.
gpt4-2,4,"[4, 6, 9, 10]",4,18,They enrolled in the same college after graduation.
gpt4-2,5,"[12, 13]",2,18,"The narrator was from a farm, while the others lived in the city."
gpt4-2,6,"[15, 16, 17, 18]",4,18,The friends would visit the farm to hunt and help with chores.
gpt4-2,7,[18],1,18,They hunted rabbits and squirrels together.
gpt4-3,1,"[2, 3]",2,23,"The story is set in 1949, starting with college."
gpt4-3,2,"[1, 5, 6, 10, 11]",5,23,The narrator and three others became friends in college.
gpt4-3,3,"[7, 8]",2,23,They were acquainted in high school as athletes at different schools.
gpt4-3,4,"[4, 6, 9, 10]",4,23,They enrolled in the same college after graduation.
gpt4-3,5,"[12, 13]",2,23,"The narrator was from a farm, while the others lived in the city."
gpt4-3,6,"[15, 16, 17, 18]",4,23,The friends would visit the farm to hunt and help with chores.
gpt4-3,7,"[18, 19, 23]",3,23,The narrator didn't enjoy hunting but participated to be with the group.
gpt4-4,1,"[2, 3]",2,34,"The story is set in 1949, starting with college."
gpt4-4,2,"[1, 5, 6, 10, 11]",5,34,The narrator and three others became friends in college.
gpt4-4,3,"[7, 8]",2,34,They were acquainted in high school as athletes at different schools.
gpt4-4,4,"[4, 6, 9, 10]",4,34,They enrolled in the same college after graduation.
gpt4-4,5,"[12, 13]",2,34,"The narrator was from a farm, while the others lived in the city."
gpt4-4,6,"[15, 16, 17, 18, 26, 27]",6,34,The friends would visit the farm to hunt and help with chores.
gpt4-4,7,"[28, 29, 30, 31, 32, 33, 34]",7,34,"The group planned a bear hunting trip to Canada, which the narrator reluctantly joined."
gpt4-5,1,"[2, 3]",2,39,"The story is set in 1949, starting with college."
gpt4-5,2,"[1, 5, 6, 10, 11]",5,39,The narrator and three others became friends in college.
gpt4-5,3,"[7, 8]",2,39,They were acquainted in high school as athletes at different schools.
gpt4-5,4,"[4, 6, 9, 10]",4,39,They enrolled in the same college after graduation.
gpt4-5,5,"[12, 13]",2,39,"The narrator was from a farm, while the others lived in the city."
gpt4-5,6,"[15, 16, 17, 18, 26, 27]",6,39,The friends would visit the farm to hunt and help with chores.
gpt4-5,7,"[29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",11,39,The narrator was apprehensive about bear hunting but agreed to go.
gpt4-6,1,"[2, 3]",2,45,"The story is set in 1949, starting with college."
gpt4-6,2,"[1, 5, 6, 10, 11]",5,45,The narrator and three others became friends in college.
gpt4-6,3,"[7, 8]",2,45,They were acquainted in high school as athletes at different schools.
gpt4-6,4,"[4, 6, 9, 10]",4,45,They enrolled in the same college after graduation.
gpt4-6,5,"[12, 13]",2,45,"The narrator was from a farm, while the others lived in the city."
gpt4-6,6,"[40, 41, 42, 43, 44, 45]",6,45,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-6,7,"[29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",11,45,The narrator was apprehensive about bear hunting but agreed to go.
gpt4-7,1,"[2, 3]",2,52,"The story is set in 1949, starting with college."
gpt4-7,2,"[1, 5, 6, 10, 11]",5,52,The narrator and three others became friends in college.
gpt4-7,3,"[7, 8]",2,52,They were acquainted in high school as athletes at different schools.
gpt4-7,4,"[4, 6, 9, 10]",4,52,They enrolled in the same college after graduation.
gpt4-7,5,"[40, 41, 42, 43, 44, 45]",6,52,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-7,6,"[46, 47, 48]",3,52,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-7,7,"[49, 50, 51, 52]",4,52,The narrator felt apprehensive and found the territory spooky.
gpt4-8,1,"[2, 3]",2,64,"The story is set in 1949, starting with college."
gpt4-8,2,"[1, 5, 6, 10, 11]",5,64,The narrator and three others became friends in college.
gpt4-8,3,"[7, 8]",2,64,They were acquainted in high school as athletes at different schools.
gpt4-8,4,"[4, 6, 9, 10]",4,64,They enrolled in the same college after graduation.
gpt4-8,5,"[40, 41, 42, 43, 44, 45]",6,64,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-8,6,"[46, 47, 48]",3,64,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-8,7,"[52, 58, 59, 63, 64]",5,64,The group spent days in the cabin playing cards and avoiding bear hunting due to the spooky woods.
gpt4-9,1,"[2, 3]",2,74,"The story is set in 1949, starting with college."
gpt4-9,2,"[1, 5, 6, 10, 11]",5,74,The narrator and three others became friends in college.
gpt4-9,3,"[7, 8]",2,74,They were acquainted in high school as athletes at different schools.
gpt4-9,4,"[4, 6, 9, 10]",4,74,They enrolled in the same college after graduation.
gpt4-9,5,"[40, 41, 42, 43, 44, 45]",6,74,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-9,6,"[46, 47, 48]",3,74,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-9,7,"[56, 57, 68, 69, 70, 71, 72, 73, 74]",9,74,The group felt pressured to hunt a bear to avoid ridicule back home.
gpt4-10,1,"[2, 3]",2,79,"The story is set in 1949, starting with college."
gpt4-10,2,"[1, 5, 6, 10, 11]",5,79,The narrator and three others became friends in college.
gpt4-10,3,"[7, 8]",2,79,They were acquainted in high school as athletes at different schools.
gpt4-10,4,"[4, 6, 9, 10]",4,79,They enrolled in the same college after graduation.
gpt4-10,5,"[40, 41, 42, 43, 44, 45]",6,79,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-10,6,"[46, 47, 48]",3,79,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-10,7,"[76, 77]",2,79,They decided to draw cards to determine who would hunt the bear.
gpt4-11,1,"[2, 3]",2,85,"The story is set in 1949, starting with college."
gpt4-11,2,"[1, 5, 6, 10, 11]",5,85,The narrator and three others became friends in college.
gpt4-11,3,"[7, 8]",2,85,They were acquainted in high school as athletes at different schools.
gpt4-11,4,"[4, 6, 9, 10]",4,85,They enrolled in the same college after graduation.
gpt4-11,5,"[40, 41, 42, 43, 44, 45]",6,85,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-11,6,"[46, 47, 48]",3,85,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-11,7,"[76, 77, 80, 82, 83, 84]",6,85,The narrator drew the high card and went bear hunting despite his reluctance.
gpt4-12,1,"[2, 3]",2,95,"The story is set in 1949, starting with college."
gpt4-12,2,"[1, 5, 6, 10, 11]",5,95,The narrator and three others became friends in college.
gpt4-12,3,"[7, 8]",2,95,They were acquainted in high school as athletes at different schools.
gpt4-12,4,"[4, 6, 9, 10]",4,95,They enrolled in the same college after graduation.
gpt4-12,5,"[40, 41, 42, 43, 44, 45]",6,95,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
