recall_id,#clauses,n,segment_ids,text
5cfc19ae3ce1c80001ddd88d,2,4,"[11, 1, 2, 3]",a guy went to college in 1949 and made some friends
63d79c0ca00135fc540fd236,10,17,"[2, 3, 4, 35, 6, 7, 9, 10, 11, 12, 13, 14, 15, 18, 19, 26, 27]","He met his friends when they were in school, as they all played on the same athletics team. They ended up going to college together and became good friends. One of them lived on a farm and the other three lived in the city, the city livers liked to visit the farm and go hunting, but the one who lived on the farm didn't like this."
6688000c0fc9f75d8caefc4f,22,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","It is a story about three friends that I met in 1949 when I started college. Actually I met them before that, we became friends after we all... went to school at the same place. Previous to that during high school we'd all been school athletes at different schools, and so we were acquainted. But then after graduation after we all enrolled in school, we found that the four of us were all now attending the same school, and became quite good friends. I was the kid from the farm, the other three guys all lived in the city. So being big macho men that we all were, they used to come out to the farm and hunt, and they'd come out, and help me do chores and things like that. Then we'd go rabbit hunting and squirrel hunting and things of that nature. I never really enjoyed hunting. Uh... being born and raised."
66921dd9f8e4de298758c407,9,20,"[1, 2, 3, 4, 6, 9, 10, 14, 15, 18, 22, 26, 27, 34, 44, 47, 50, 52, 64, 85]","god that was really hard It started to make me dizzy haha the story is about 4 friends that meet in high school and they like to hunt Sorry, that's all iv got"
665adfe2f8a77b62563b293e,15,28,"[3, 5, 6, 9, 10, 11, 12, 13, 15, 18, 24, 25, 26, 27, 29, 30, 32, 33, 34, 35, 48, 57, 59, 63, 76, 79, 119, 120]",Three friends then another person met at school they became friend which they used to come his farm for hunting squirrel and three of them live in well place as town and he used to live village area by good bonding they decided to hunting bear in Canada he cant say no to them because he dont have good knowledge about that and so on they gone and landed in a courtage and they gave up for the hunting bear of fear and they used to enjoy a lot their playing cards and they deceived to cut the bear by buying it continuing the scenario they gave up. happily living there.
58945874b5496d00018cfe1c,15,32,"[12, 13, 15, 19, 20, 23, 26, 29, 30, 35, 48, 52, 77, 78, 81, 90, 93, 95, 99, 100, 101, 102, 103, 104, 105, 107, 112, 113, 114, 115, 116, 117]",Four friends from their childhood used to go hunting on a farm (three guys from the city). They decided to go bear hunting in Canada and hired a cabin in the wood which were spooky. Once of them who didn't even want to go hunting was chosen to hunt a bear for the others to skin. He found a big old bear but couldn't shoot it because he forgot to load the rifle. The bear chased him back to the cabin. He shouted to open the door and then swerved and the bear went inside!
5f7f18137488a50407d729e6,27,34,"[1, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 23, 25, 26, 27, 28, 29, 30, 31, 32, 40, 41, 42, 43, 55, 58, 59, 60, 61, 63, 83]","I had three friends from school at the same place. During high school, we were all high school athletes at different schools. We became acquainted. After graduation, we all enrolled in school. Four of us were attending the same school. We became good friends. I was a child from a farm. The other guys all lived in the city. They used to come to the farm and hunt. They even helped me with house chores. Then we would go for rabbit hunting and squirrel hunting. I didn't like hunting. But being born in the farm, I was used to the outdoors. I will go along with the guys, just to be one of the group. We hunted for several years. They always came to me and hunt. After being together for years, one came with the idea of bear hunting in Canada. I didn't like the idea. But I would always been one of the group. I didn't have a reason to stay behind. We took an airplane and flew to Canada. We landed on the lake and rented canoes. We got groceries. No one was in the mood to go out for hunting. So we played cards, ate and slept. We sat indoors for three to four days. One day I took the old gun and go out bear hunting."
62d138e361857aef127c9e8b,23,35,"[2, 4, 5, 7, 8, 11, 12, 13, 15, 18, 19, 20, 23, 27, 29, 30, 33, 34, 35, 39, 57, 76, 80, 81, 90, 93, 94, 99, 101, 102, 105, 113, 116, 121, 122]",The individual became friends with 3 other people in 1949. They were all athletic people from different schools. They were all aware of the other before joining the same school. They became friends. The individual lived on a farm. The others were from the city. They wanted to go hunting. Initially they hunted squirrels. The storyteller didn't really care for this. He was used to this compared to the others. He wanted to fit in. They decided some years later to go bear hunting. The storyteller didn't want to go. He got roped into it. None wanted to actually hunt a bear. They decided to play a game to see who would. The reluctant storyteller was chosen. They found a bear. The gun wasn't loaded. They ran back to the cabin. They dodged the chasing bear. The bear ended up in the cabin with the others. The storyteller hasn't been invited to go hunting since.
615033332cea99204ba90a95,33,38,"[7, 8, 10, 12, 15, 17, 18, 26, 27, 29, 30, 33, 35, 39, 44, 48, 50, 52, 57, 71, 72, 76, 77, 78, 80, 84, 90, 98, 106, 107, 111, 112, 113, 115, 116, 117, 120, 122]",There were 4 friends from college who knew each other from school sports but played in different schools. One of them lived on a farm and the other guys would come to the farm to do chores and go hunting. They would hunt for squirrels before one of them decided they wanted to go hunting for a bear. I didn't want to go but they talked me into taking a plane to Canada. We then canoeed for 1 and a half days to a cabin. We then got scared and didn't want to go bear hunting anymore but we were scared that people would talk bad about us if we didn't bring a bear back. We split a deck of cards to see who was going to go get a bear and then the others would skin it and cut it down. I drew the highest card and went out looking for a bear. I found the biggest bear I ever had seen and it started chasing me. It chased me all the way to the cabin and I started shouting to open the cabin door. When I reached the cabin I went left and the bear ran straight in. I slammed the door shut and shouted for them to skin the bear. Everyone agreed I had held my end of the deal but I never got invited on another hunting trip.
6319ff03df1e7848122f18b1,12,39,"[29, 57, 63, 70, 74, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118]",The story was involving a bear in which many different events took place involving the bear. It ended up being the bear being skinned after being chased by the bear and slamming a door shut. By shutting the door shut they managed to escape the bear. The bear was ferocious and would not give in. The people being attacked by the bear eventually defeated the bear and skinned it.
