index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,"I became friends with three city guys in college after high school. I joined them on a bear hunting trip in Canada, despite not liking hunting. I accidentally led a bear into our cabin and haven't been asked to hunt since.",222,28.26,36.03,3,3,1
1,"I met three friends in college, and we often went hunting on my family farm. We went on a bear hunting trip in Canada, but none of us wanted to hunt due to fear. I accidentally lured a bear into the cabin, fulfilling the hunting trip, but my friends never asked me to hunt again.",279,24.91,52.86,3,3,2
2,"I met three friends at college in 1949. We went to Canada to hunt bears despite me not liking hunting. I accidentally led a bear into our cabin, and they never invited me hunting again.",185,22.91,46.47,3,3,3
3,"I met three friends in 1949 when we all attended college together. We became friends and they often came to my farm to hunt. They convinced me to go bear hunting in Canada despite my reluctance. I accidentally led a bear into our cabin, and my friends never asked me to go hunting again.",287,40.44,61.75,4,4,1
4,"I met three friends in college who liked hunting. We went bear hunting in Canada, but I didn't enjoy it. I was chosen to hunt the bear and ended up leading a bear to the cabin. My friends haven't asked me to go hunting since that day.",234,10.02,33.66,4,4,2
5,"I met three friends when we started college after being acquainted as high school athletes. We became good friends and they enjoyed coming to my farm for hunting. We went to Canada for a bear hunting trip, but we were too scared to go outside. I ended up trapping a bear in the cabin, and my friends never asked me to hunt again.",329,45.61,63.61,4,4,3
6,"I met my three friends in college in 1949. We often went hunting on my farm. We decided to go bear hunting in Canada. I encountered a bear but forgot to load my gun. I trapped the bear in the cabin, and my friends stopped inviting me hunting.",242,29.93,57.08,5,5,1
7,I met three friends in college in 1949. We became good friends and often hunted together. They convinced me to go bear hunting in Canada. I encountered a bear but my gun wasn't loaded. I tricked the bear into the cabin to escape.,229,33.25,51.15,5,5,2
8,"I met my friends in college after being high school athletes at different schools. We bonded over hunting trips on my farm. They convinced me to go bear hunting in Canada. I encountered a bear but forgot to load my gun. I trapped the bear in a cabin, and my friends never asked me to hunt again.",295,33.97,33.9,5,5,3
9,"I met three friends when I started college in 1949. We became good friends after attending the same school. They enjoyed coming to the farm to hunt with me. We decided to go bear hunting in Canada despite my reluctance. I ended up being the one to find a bear during the hunt. After the incident, my friends never asked me to hunt again.",337,30.77,49.27,6,6,1
10,I met three friends in college in 1949. We became good friends and often hunted on the farm. They proposed a bear hunting trip in Canada. I reluctantly joined the bear hunting trip. I encountered a bear but couldn't shoot it. I trapped the bear in the cabin and my friends never invited me hunting again.,304,37.29,64.03,6,6,2
11,"I met my three friends in college in 1949. We became friends because we attended the same school. They enjoyed visiting my farm and hunting. We decided to go bear hunting in Canada together. I encountered a bear but forgot to load my gun. I tricked the bear into the cabin, and they haven't invited me hunting since.",316,41.37,66.35,6,6,3
12,"I met my three friends in college in 1949. We became friends because we attended the same school. They often visited my farm to hunt and help with chores. One friend suggested going bear hunting in Canada. We went to Canada, but were reluctant to hunt bear. We decided the high card holder would hunt the bear. I tricked the bear into entering the cabin to avoid the hunt.",372,44.03,72.3,7,7,1
13,"I met three friends when we started college in 1949. They liked visiting my farm to hunt and do chores. We went bear hunting in Canada despite my reluctance. After arriving, we hesitated to hunt due to fear of the woods. We drew cards to decide who would hunt, and I lost. I encountered a bear but forgot to load my gun. I trapped the bear in the cabin and haven't been invited to hunt since.",392,61.98,74.8,7,7,2
14,"I met three friends in 1949 when we started college. We became friends because we attended the same school. They enjoyed hunting on my farm, though I wasn't too excited. They decided to go bear hunting in Canada, and I joined reluctantly. We stayed in a cabin, too scared to hunt bears. We drew cards to decide who would hunt, and I got the high card. I accidentally led a bear into the cabin, and they never asked me to hunt again.",432,49.57,77.34,7,7,3
15,I met three friends in college in 1949. We were all high school athletes from different schools. My friends loved visiting my farm to hunt. They planned a bear hunting trip in Canada. I didn't want to go but joined them anyway. We stayed in a cabin but were too scared to hunt. We decided the one with the high card would hunt. I accidentally led a bear into the cabin and haven't been invited to hunt since.,408,66.02,100.26,8,8,1
16,"I met my college friends in 1949. We became friends by attending the same college. I was a farm kid, and they were city kids. They enjoyed visiting my farm to hunt. My friends decided to go bear hunting in Canada. I reluctantly joined them on the trip. We were too scared to hunt a bear initially. I encountered a bear, but my gun wasn't loaded.",345,28.42,49.3,8,8,2
17,"I met three friends when I started college in 1949. We all went to the same school and became good friends. My friends liked to visit me on the farm to hunt. They decided to go bear hunting in Canada. I reluctantly joined them on the Canada hunting trip. We stayed in a cabin but were too scared to hunt bears. We decided to draw cards to determine who hunts a bear. I encountered a bear, ran back to the cabin, and tricked it inside.",434,60.28,92.9,8,8,3
18,"I met three friends in college in 1949. We were all high school athletes at different schools. We became good friends when we attended the same school. My friends loved visiting my farm to hunt. They convinced me to go bear hunting in Canada. I was apprehensive about the spooky woods. We decided the high card holder would hunt a bear. I drew the high card and encountered a huge bear. The bear chased me, and I trapped it in the cabin.",437,68.22,85.93,9,9,1
19,"I met my three friends in college in 1949. We all became good friends after enrolling in the same school. My friends enjoyed coming to the farm to hunt. I never really enjoyed hunting much. My friends wanted to go bear hunting in Canada. We traveled to a remote cabin in the woods. None of us wanted to hunt after arriving. I was chosen to go out and find a bear. I tricked the bear into the cabin, and my friends never asked me to hunt again.",443,54.62,93.12,9,9,2
20,"I met my friends in 1949 when we started college. We all attended the same school and became good friends. My friends liked visiting the farm to hunt and help with chores. I didn't enjoy hunting but joined them to be part of the group. We decided to go bear hunting in Canada despite my reluctance. We reached a cabin in the spooky northern woods. We avoided hunting for days but pressure mounted to find a bear. I drew the high card and had to hunt for a bear alone. I tricked a bear into the cabin, and my friends never asked me to hunt again.",545,65.9,87.18,9,9,3
21,I met my friends in college in 1949. We previously knew each other from high school sports. We became good friends while attending the same college. My friends visited the farm to help with chores and hunt. We decided to go bear hunting in Canada. I was reluctant but joined the bear hunting trip. We reached a cabin in the spooky Canadian woods. Nobody wanted to actually hunt the bear. I ended up being the one to face a bear. My friends never invited me to hunt again.,471,49.77,59.06,10,10,1
22,"I met my three friends in college in 1949. We became good friends after enrolling in the same school. I was from a farm, and they lived in the city. They enjoyed visiting my farm to hunt and do chores. I didn't enjoy hunting but joined them to be part of the group. They convinced me to go bear hunting in Canada. We traveled to a rented cabin deep in the Northern woods. None of us wanted to hunt bears in the spooky woods. We decided I would hunt a bear after drawing the high card. I led the bear into the cabin without shooting it.",535,78.1,127.41,10,10,2
