recall_id,recall_text,len_original,recall rate,rephrased_text,len_rephrased,rate
6319ff03df1e7848122f18b1,The story was involving a bear in which many different events took place involving the bear. It ended up being the bear being skinned after being chased by the bear and slamming a door shut. By shutting the door shut they managed to escape the bear. The bear was ferocious and would not give in. The people being attacked by the bear eventually defeated the bear and skinned it.,378,-0.06,The narrative centered around a bear where a series of incidents occurred that involved the bear. The conclusion was the bear's skinning following a pursuit by the bear and forcefully closing a door. By sealing the door tightly they succeeded in eluding the bear. The bear was aggressive and refused to relent. The individuals targeted by the bear ultimately overcame the bear and removed its hide.,398,-0.07180136255973116
5a63713163394a00015555aa,In 1949 I was at high school and I met some friends. Then we went hunting for some bears in the woods. It is who you know and not what you know. The big bears came and they did scare me a little bit.,199,-0.07,"During 1949 I attended secondary school where I encountered a few companions. Subsequently, we embarked on a hunt targeting bears within the forest. It's the connections you have rather than the knowledge you possess. The large bears emerged and indeed they frightened me to some extent.",287,-0.10729265796275261
66921dd9f8e4de298758c407,"god that was really hard It started to make me dizzy haha the story is about 4 friends that meet in high school and they like to hunt Sorry, that's all iv got",158,-0.08,"deity that proved to be extremely difficult I began to feel lightheaded hehe the tale revolves around four companions who become acquainted during their high school years and they enjoy engaging in hunting Apologies, that's the extent of what I have",249,-0.10989098365360651
666861d3a592871c05b6fa7f,"Someone lived on a farm and went hunting there with their three friends who they met during school. Their friends convinced them to go on a hunting trip, even though they did not want to, and they ended up getting attacked, but coming out of it alive.",251,-0.01,"An individual resided on a farmstead and engaged in hunting on that land accompanied by their trio of companions whom they had encountered in their school days. These friends persuaded the individual to embark on a hunt, despite their initial reluctance, which resulted in them being assaulted, yet they survived the ordeal unscathed.",334,-0.04660318284745505
63d79c0ca00135fc540fd236,"He met his friends when they were in school, as they all played on the same athletics team. They ended up going to college together and became good friends. One of them lived on a farm and the other three lived in the city, the city livers liked to visit the farm and go hunting, but the one who lived on the farm didn't like this.",331,0.02,"He encountered his companions during their school days, since they were teammates in athletics. They proceeded to attend the same university and grew to be close friends. One resided on a farmstead while the remaining three dwelled in an urban area, those from the city enjoyed visiting the rural property to engage in hunting activities, however, the farm's resident was not fond of this.",389,-0.046561802010709426
5cfc19ae3ce1c80001ddd88d,a guy went to college in 1949 and made some friends,51,0.16,A man enrolled in university in the year 1949 and formed a few friendships,74,-0.19796990451532387
5de83e5748241d7af1b6c348,"The main character of the story had a group of friends whom he knew from he was very young. They went to the same school and same college and he's from a farm, where they were from the city. The city boys loved visiting the farm and him to go hunt and play there The farm boy wasn't that keen on hunting at all as he's from the farm and he's good at outdoors. One day, they went to the North Woods in Canada to hunt bear. No one wanted to hunt bear when they've reached the cabin in the woods in a very remote territory They decided to pick the high card and whoever got the high card will have to go bear hunting. The main character was the unfortunate one. He went to try to hunt the bear but the gun wasn't loaded.",717,0.01,"The protagonist had a circle of companions with whom he had been acquainted since his early youth. They attended the same educational institution and pursued higher education at the same university while he hailed from an agricultural background, in contrast to their urban upbringing. The urban lads enjoyed their trips to the countryside and took pleasure in the opportunity to hunt and frolic on his land However, the country lad was not particularly fond of the hunt despite his rural roots and his proficiency in nature-based activities. On one occasion, they ventured to the North Woods in Canada for a bear hunting expedition. None of them were actually eager to pursue bears upon arriving at the secluded cabin nestled deep in the forest They agreed to draw the highest card and the one drawing the highest would be tasked with the bear hunt. Fate was not kind to the lead character. He set out to track down the bear only to discover his firearm was not loaded.",970,-0.025951825708855625
62e94c384f809b7d0831f4ea,"A bunch of high school friends who became friends in adult time went hunting in Canada. They hired a cabin in the woods and didnt go out hunting because they were all too scared until one day they played a game of high card to decide who goes hunting. The story teller got the high card and went out to find a bear, the gun wasnt loaded so he didnt kill it but instead got chased to the cabin where he managed to get in but the bear was outside. no more invites to the hunting parties were made.",495,0.03,"A group of old high school companions who solidified their friendship into adulthood embarked on a hunting trip in Canada. They rented a secluded cabin in the forest and refrained from venturing out to hunt due to overwhelming fear among them until a certain day arrived when they decided to play a card game for the highest number to determine the designated hunter. The narrator drew the highest card and set out in search of a bear, only to realize the firearm was not loaded thus he failed to shoot it and was instead pursued back to the cabin where he succeeded in securing himself inside while the bear lingered outside. subsequent invitations to hunting gatherings ceased.",679,0.005616272685176793
665adfe2f8a77b62563b293e,Three friends then another person met at school they became friend which they used to come his farm for hunting squirrel and three of them live in well place as town and he used to live village area by good bonding they decided to hunting bear in Canada he cant say no to them because he dont have good knowledge about that and so on they gone and landed in a courtage and they gave up for the hunting bear of fear and they used to enjoy a lot their playing cards and they deceived to cut the bear by buying it continuing the scenario they gave up. happily living there.,570,0.04,"A trio of friends, along with another individual, gathered at their school where they formed a friendship often visiting one friend's farm to hunt squirrels with three residing in a well-established town while the other dwelled in a rural village Through their strong connection, they resolved to pursue bear hunting in Canada The village friend felt unable to decline the invitation owing to his limited understanding of the matter Thus, they embarked on their journey and arrived at a cottage but their bear hunting aspirations were abandoned due to fear Instead, they found great enjoyment in playing cards together and opted to acquire a bear through purchase as a means of deception As the situation persisted, they eventually relinquished their plan and continued to live there contentedly.",796,-0.0029919054169409184
63f85b1c3124fd03faff2126,"He and three of his friends who he became friends with in college in 1947, they enjoyed hunting together both rabbits and squirrels so one day one of them suggested they go to Canada for bear hunting. On getting there, the morale reduced so they decided to use a card game to decide who gets to hunt the bear. After choosing, the guy encountered a bear but his gun wasn't loaded then he ran to the cabin and told his friends that he has gotten a bear, it's their turn to skin.",476,0.05,"He, along with three companions whom he had met during his college years in 1947, shared a passion for hunting targeting both rabbits and squirrels until one day, one proposed that they embark on a bear hunting trip in Canada. Upon their arrival, their enthusiasm waned leading them to settle on a card game to determine who would have the chance to pursue the bear. Following the selection, one of them came across a bear only to realize his gun was unloaded prompting him to sprint back to the cabin where he informed his companions that he had encountered a bear, and now it was their job to skin it.",603,0.011297321213233872
