fan_out,subjects,gpt4o
0,0.01,0.04
1,0.39,0.32
2,0.23,0.34
3,0.12,0.12
4,0.07,0.07
5,0.04,0.03
6,0.03,0.02
7,0.02,0.01
8,0.02,0.01
9,0.02,0.01
10,0.01,0.0
11,0.01,0.0
12,0.0,0.0
13,0.01,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
28,0.0,0.0
29,0.0,0.0
31,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
39,0.0,0.0
43,0.0,0.0
49,0.0,0.0
52,0.0,0.0
56,0.0,0.0
69,0.0,0.0
70,0.0,0.0
84,0.0,0.0
94,0.0,0.0
