index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,185,0.1238,"I met three friends at college in 1949. We went to Canada to hunt bears despite me not liking hunting. I accidentally led a bear into our cabin, and they never invited me hunting again.",22.91,3,3,3,"In 1949, during my college years, I became acquainted with three individuals. Despite my aversion to the sport, we embarked on a journey to Canada for a bear hunting expedition. Unintentionally, I caused a bear to follow me into our lodge, which resulted in them deciding not to include me in any future hunting excursions.",323,9.80859740536,0.0304
1,222,0.1273,"I became friends with three city guys in college after high school. I joined them on a bear hunting trip in Canada, despite not liking hunting. I accidentally led a bear into our cabin and haven't been asked to hunt since.",28.26,3,3,1,"In college, following my high school years, I formed friendships with a trio of urban dwellers. Despite my aversion to the sport of hunting, I accompanied them on a bear-hunting expedition in the Canadian wilderness. Unfortunately, I inadvertently guided a bear back to our lodge, and since that incident, I have not received another invitation to go hunting.",359,2.801221515835969,0.0078
2,229,0.1452,I met three friends in college in 1949. We became good friends and often hunted together. They convinced me to go bear hunting in Canada. I encountered a bear but my gun wasn't loaded. I tricked the bear into the cabin to escape.,33.25,5,5,2,"In 1949, during my college years, I formed a close bond with three classmates. Our friendship grew strong, and we frequently went on hunting trips together. They persuaded me to join them on a bear hunting expedition in Canada. During the hunt, I came face-to-face with a bear, only to realize my firearm was unloaded. In a quick-witted move, I managed to lure the bear into a cabin, which allowed me to make a narrow escape.",425,7.696366239561013,0.0181
3,234,0.0428,"I met three friends in college who liked hunting. We went bear hunting in Canada, but I didn't enjoy it. I was chosen to hunt the bear and ended up leading a bear to the cabin. My friends haven't asked me to go hunting since that day.",10.02,4,4,2,"During my university years, I befriended a trio with a passion for hunting. Our adventure took us to the Canadian wilderness on a bear hunting expedition, which I found unenjoyable. Fate had it that I was selected to pursue the bear, and the chase concluded with me inadvertently guiding the bear back to our lodge. Since that incident, my companions have not extended another invitation for me to join them on a hunt.",418,-8.38160443288901,-0.0201
4,242,0.1237,"I met my three friends in college in 1949. We often went hunting on my farm. We decided to go bear hunting in Canada. I encountered a bear but forgot to load my gun. I trapped the bear in the cabin, and my friends stopped inviting me hunting.",29.93,5,5,1,"In 1949, during our college years, I became acquainted with three companions. Our common pastime was to engage in hunting excursions on my agricultural property. On one occasion, we set out for a bear hunting adventure in the Canadian wilderness. I came face-to-face with a bear, only to realize I had neglected to load my firearm. The bear ended up cornered within the confines of the cabin, which led to my friends discontinuing their invitations for me to join future hunting outings.",487,7.599594705665984,0.0156
5,279,0.0893,"I met three friends in college, and we often went hunting on my family farm. We went on a bear hunting trip in Canada, but none of us wanted to hunt due to fear. I accidentally lured a bear into the cabin, fulfilling the hunting trip, but my friends never asked me to hunt again.",24.91,3,3,2,"During my college years, I befriended three individuals, and it became a tradition to go on hunting excursions at my family's farm. On one occasion, we embarked on a bear hunting adventure in Canada. However, fear overtook us, and we all hesitated to actually pursue the hunt. Ironically, I unintentionally enticed a bear to enter our cabin, which inadvertently completed our hunting mission. After that incident, my friends never requested my company for another hunting outing.",479,13.073657482038975,0.0273
6,287,0.1409,"I met three friends in 1949 when we all attended college together. We became friends and they often came to my farm to hunt. They convinced me to go bear hunting in Canada despite my reluctance. I accidentally led a bear into our cabin, and my friends never asked me to go hunting again.",40.44,4,4,1,"In 1949, during our college years, I formed a friendship with three individuals. Our bond grew strong, and they frequently visited my farm for hunting excursions. Despite my initial hesitation, they persuaded me to join them on a bear hunting trip in Canada. An unintended mishap occurred when I inadvertently guided a bear back to our cabin, after which they never again extended an invitation for me to join them in hunting.",426,25.409806606602007,0.0596
7,295,0.1152,"I met my friends in college after being high school athletes at different schools. We bonded over hunting trips on my farm. They convinced me to go bear hunting in Canada. I encountered a bear but forgot to load my gun. I trapped the bear in a cabin, and my friends never asked me to hunt again.",33.97,5,5,3,"In college, I reunited with my peers, all of whom were former high school sports players from various institutions. Our camaraderie grew during hunting excursions on my property. They persuaded me to embark on a bear hunting adventure in Canada. When I came face-to-face with a bear, I realized I hadn't loaded my firearm. I managed to confine the bear inside a cabin, and after that incident, my friends never proposed another hunting trip.",441,15.499649182251993,0.0351
8,304,0.1227,I met three friends in college in 1949. We became good friends and often hunted on the farm. They proposed a bear hunting trip in Canada. I reluctantly joined the bear hunting trip. I encountered a bear but couldn't shoot it. I trapped the bear in the cabin and my friends never invited me hunting again.,37.29,6,6,2,"In 1949, during my college years, I formed a close bond with three classmates. Our friendship grew, and we frequently went hunting together on a farm. They suggested we go on a bear hunting expedition in Canada, and despite my hesitations, I agreed to participate. When faced with a bear, I found myself unable to pull the trigger. Instead, I ended up confining the bear inside a cabin, after which my companions never asked me to join them on a hunt again.",457,11.621499966421009,0.0254
9,316,0.1309,"I met my three friends in college in 1949. We became friends because we attended the same school. They enjoyed visiting my farm and hunting. We decided to go bear hunting in Canada together. I encountered a bear but forgot to load my gun. I tricked the bear into the cabin, and they haven't invited me hunting since.",41.37,6,6,3,"In 1949, during our college years, I formed a bond with three classmates. Our friendship blossomed due to our shared educational environment. They took pleasure in coming to my farm for hunting excursions. Together, we planned a bear hunting trip in Canada. When I came face-to-face with a bear, I realized my gun was unloaded. Ingeniously, I lured the bear into the cabin, and since that incident, they have not asked me to join them on a hunt again.",451,16.09183352116001,0.0357
10,329,0.1386,"I met three friends when we started college after being acquainted as high school athletes. We became good friends and they enjoyed coming to my farm for hunting. We went to Canada for a bear hunting trip, but we were too scared to go outside. I ended up trapping a bear in the cabin, and my friends never asked me to hunt again.",45.61,4,4,3,"Upon entering college, I connected with three individuals who shared my background in high school sports. Our friendship grew, and they often visited my farm to partake in hunting excursions. On one occasion, we ventured to Canada with the intent to hunt bears, yet fear kept us from venturing outdoors. A bear was inadvertently trapped inside our cabin during the trip, which led to my friends deciding not to invite me for future hunting adventures.",451,21.62713878320899,0.048
11,337,0.0913,"I met three friends when I started college in 1949. We became good friends after attending the same school. They enjoyed coming to the farm to hunt with me. We decided to go bear hunting in Canada despite my reluctance. I ended up being the one to find a bear during the hunt. After the incident, my friends never asked me to hunt again.",30.77,6,6,1,"Upon beginning my college journey in 1949, I encountered three individuals who would soon become close companions, as we were all attending the same institution. They took pleasure in joining me on my family's farm for hunting excursions. Despite my initial hesitation, we collectively agreed to embark on a bear hunting adventure in Canada. Surprisingly, I was the one who stumbled upon a bear while on the hunt. Following that event, they never extended another invitation for me to join them in hunting.",506,16.835064605878998,0.0333
