segment_id,segment_text,p-caught
1,This is a story about three of my friends,44.23%
2,that I met in 1949,98.08%
3,when I started college.,98.08%
4,"Actually I met them before that,",55.77%
5,we became friends after we all...,63.46%
6,went to school at the same place.,71.15%
7,"Previous to that during high school we'd all been high school athletes at different schools,",100.00%
8,and so we were acquainted.,69.23%
9,"But then after graduation when we all enrolled in school,",90.38%
10,"we found that the four of us were all now attending the same school,",97.12%
11,and we became quite good friends.,88.46%
12,"I was the kid from the farm,",100.00%
13,the other three guys all lived in the city.,95.19%
14,"So being big macho men that we all were,",40.38%
15,"they used to like to come out to the farm and hunt,",100.00%
16,"and they'd come out,",95.19%
17,and help me do chores and things like that.,30.77%
18,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,100.00%
19,I never really enjoyed hunting.,100.00%
20,"Uh ... being born and raised on the farm I was used to the outdoors,",36.54%
21,wasn't all that exciting to me.,42.31%
22,"But these guys got a big kick out of it,",6.73%
23,so I'd go along just to be one of the group.,92.31%
24,"Things went on,",14.42%
25,"we did this for several years,",13.46%
26,"they were always coming out to the farm,",29.81%
27,and hunting.,8.65%
28,"After we'd been acquainted for several years,",74.04%
29,one of them got the idea they'd like to go bear hunting up in Canada.,100.00%
30,"Now that didn't really appeal to me,",25.00%
31,"but I'd always been one of the group,",32.69%
32,"and I couldn't find any real reason not to go,",18.27%
33,"so I left them talk me into it,",45.19%
34,wasn't too hepped up on this at all.,21.15%
35,"I don't care anything really much about hunting period,",25.00%
36,let alone bear hunting.,16.35%
37,Be about my luck the bear would wind up hunting me.,13.46%
38,"But as I said,",12.50%
39,I left them talk me into it.,25.96%
40,"So we took an airplane out of Fort Wayne,",100.00%
41,"and we flew way up into Canada some place,",28.85%
42,"and we landed on a lake,",98.08%
43,"and then we rented canoes,",98.08%
44,"and paddled for another ... day and a half it seemed to me,",100.00%
45,'till we got way up in the north woods.,46.15%
46,"Then after we ... went as far as we could in the canoes,",50.00%
47,"then we had to backpack for another ... five hundred miles I thought,",99.04%
48,'till we got to this cabin that they had rented way up there in the north woods.,69.23%
49,"And after I got there,",24.04%
50,"I was even more apprehensive than I had been even before we started,",13.46%
51,'cause I didn't really need any part of that.,11.54%
52,"That was pretty spooky looking territory, let me tell you.",37.50%
53,"So we got up there,",50.96%
54,"and got set up in the cabin,",59.62%
55,and ... got our groceries stored and everything.,34.62%
56,And after we got to discussing it,17.31%
57,those guys weren't any more hot about going out in those woods and looking for a bear than I was.,52.88%
58,"We sat around there for three or four days,",75.96%
59,"played cards,",100.00%
60,"and ate,",74.04%
61,"and slept,",30.77%
62,and we just couldn't ...,13.46%
63,no one was in the mood to go out and hunt bear,82.69%
64,'cause that's just a plain old spooky looking place.,41.35%
65,"We never ventured outside at night,",20.19%
66,we stayed right there in the old cabin.,12.50%
67,"Well after we'd been there for three or four days,",14.42%
68,"we got to talking it over,",34.62%
69,"and somebody said “Hey,",14.42%
70,if we don't go out and hunt some bear ...,13.46%
71,"we've got to find a bear to take back home with us,",13.46%
72,"or we're really going to get a bad time from the rest of the people,",18.27%
73,"'cause too many people know we'd gone bear hunting,",14.42%
74,and if we come home skunked with no bear they're really going to give us a bad time.”,7.69%
75,"Soo ... no one wanted to go out,",11.54%
76,so we all decided that we'd cut the cards.,100.00%
77,"Whoever got the high card ... would go out and get a bear,",79.81%
78,"and the rest of them would skin him butcher him and pack him back down,",30.77%
79,so we could take him home with us.,5.77%
80,"So you know who YOU KNOW WHO got the high card,",100.00%
81,the guy that didn't even want to be there in the first place.,46.15%
82,But I had agreed to play the game ...,20.19%
83,"So ... I took the old gun,",92.31%
84,and I go out bear hunting.,44.23%
85,I didn't like this at all.,6.73%
86,"I'm walking out there in the woods for hours it seems like,",32.69%
87,"and I just wasn't seeing any bears or anything,",21.15%
88,"and finally I heard a noise,",25.00%
89,"and I turned around,",32.69%
90,"and there was the biggest old bear I'd ever seen in my life,",99.04%
91,I'd never even seen a PICTURE of one THAT big.,14.42%
92,"I whipped up the gun,",28.85%
93,"and pulled the trigger,",52.88%
94,and nothing happened.,85.58%
95,I'd forgot to LOAD that turkey.,34.62%
96,Well he had ...,9.62%
97,"he just had no desires to have me in his territory,",11.54%
98,and he made for me.,13.46%
99,"Well there was nothing for me to do but run,",93.27%
100,"and I turned around,",81.73%
101,"I ran as hard as I could go,",87.50%
102,"and I thought I used to be pretty fast,",40.38%
103,"but that old bear,",41.35%
104,"man he was gaining,",56.73%
105,he was just right on my heels ...,72.12%
106,And when I got within sight of that cabin,64.42%
107,"I started yelling “OPEN THE DOOR, OPEN THE DOOR!”",58.65%
108,"Man I was whipping down there just as hard as I could go,",48.08%
109,"and that old bear right on my tail,",43.27%
110,"and they opened the door,",65.38%
111,"and I got right to the cabin door,",67.31%
112,"I made a quick turn to the left,",67.31%
113,and that old bear went right on in.,76.92%
114,"I just reached back,",56.73%
115,"and pulled the door shut,",94.23%
116,"and said “THERE HE IS FELLOWS,",54.81%
117,"YOU SKIN HIM,",80.77%
118,I'LL GO GET ANOTHER ONE!”,45.19%
119,"Now all this happened thirty years ago,",58.65%
120,and all my buddies agreed ... that I lived up to my commitment.,45.19%
121,"But can you BELIEVE,",49.04%
122,they haven't asked me to go hunting one time since that day.,100.00%
