segment_id,segment_text,p-caught
1,This is a story about three of my friends,25.47%
2,that I met in 1949,40.57%
3,when I started college.,95.28%
4,"Actually I met them before that,",35.85%
5,we became friends after we all...,29.25%
6,went to school at the same place.,27.36%
7,"Previous to that during high school we'd all been high school athletes at different schools,",82.08%
8,and so we were acquainted.,45.28%
9,"But then after graduation when we all enrolled in school,",53.77%
10,"we found that the four of us were all now attending the same school,",67.92%
11,and we became quite good friends.,61.32%
12,"I was the kid from the farm,",82.08%
13,the other three guys all lived in the city.,84.91%
14,"So being big macho men that we all were,",38.68%
15,"they used to like to come out to the farm and hunt,",96.23%
16,"and they'd come out,",81.13%
17,and help me do chores and things like that.,34.91%
18,Then we'd go rabbit hunting and squirrel hunting and things of that nature.,87.74%
19,I never really enjoyed hunting.,74.53%
20,"Uh ... being born and raised on the farm I was used to the outdoors,",18.87%
21,wasn't all that exciting to me.,45.28%
22,"But these guys got a big kick out of it,",43.40%
23,so I'd go along just to be one of the group.,74.53%
24,"Things went on,",13.21%
25,"we did this for several years,",21.70%
26,"they were always coming out to the farm,",72.64%
27,and hunting.,61.32%
28,"After we'd been acquainted for several years,",59.43%
29,one of them got the idea they'd like to go bear hunting up in Canada.,98.11%
30,"Now that didn't really appeal to me,",64.15%
31,"but I'd always been one of the group,",55.66%
32,"and I couldn't find any real reason not to go,",55.66%
33,"so I left them talk me into it,",82.08%
34,wasn't too hepped up on this at all.,56.60%
35,"I don't care anything really much about hunting period,",54.72%
36,let alone bear hunting.,9.43%
37,Be about my luck the bear would wind up hunting me.,4.72%
38,"But as I said,",4.72%
39,I left them talk me into it.,48.11%
40,"So we took an airplane out of Fort Wayne,",84.91%
41,"and we flew way up into Canada some place,",82.08%
42,"and we landed on a lake,",52.83%
43,"and then we rented canoes,",86.79%
44,"and paddled for another ... day and a half it seemed to me,",83.02%
45,'till we got way up in the north woods.,65.09%
46,"Then after we ... went as far as we could in the canoes,",57.55%
47,"then we had to backpack for another ... five hundred miles I thought,",88.68%
48,'till we got to this cabin that they had rented way up there in the north woods.,68.87%
49,"And after I got there,",14.15%
50,"I was even more apprehensive than I had been even before we started,",53.77%
51,'cause I didn't really need any part of that.,12.26%
52,"That was pretty spooky looking territory, let me tell you.",40.57%
53,"So we got up there,",11.32%
54,"and got set up in the cabin,",15.09%
55,and ... got our groceries stored and everything.,5.66%
56,And after we got to discussing it,16.98%
57,those guys weren't any more hot about going out in those woods and looking for a bear than I was.,31.13%
58,"We sat around there for three or four days,",12.26%
59,"played cards,",15.09%
60,"and ate,",8.49%
61,"and slept,",7.55%
62,and we just couldn't ...,4.72%
63,no one was in the mood to go out and hunt bear,18.87%
64,'cause that's just a plain old spooky looking place.,14.15%
65,"We never ventured outside at night,",16.04%
66,we stayed right there in the old cabin.,12.26%
67,"Well after we'd been there for three or four days,",4.72%
68,"we got to talking it over,",13.21%
69,"and somebody said “Hey,",4.72%
70,if we don't go out and hunt some bear ...,4.72%
71,"we've got to find a bear to take back home with us,",3.77%
72,"or we're really going to get a bad time from the rest of the people,",3.77%
73,"'cause too many people know we'd gone bear hunting,",3.77%
74,and if we come home skunked with no bear they're really going to give us a bad time.”,3.77%
75,"Soo ... no one wanted to go out,",4.72%
76,so we all decided that we'd cut the cards.,34.91%
77,"Whoever got the high card ... would go out and get a bear,",21.70%
78,"and the rest of them would skin him butcher him and pack him back down,",9.43%
79,so we could take him home with us.,4.72%
80,"So you know who YOU KNOW WHO got the high card,",28.30%
81,the guy that didn't even want to be there in the first place.,6.60%
82,But I had agreed to play the game ...,17.92%
83,"So ... I took the old gun,",22.64%
84,and I go out bear hunting.,13.21%
85,I didn't like this at all.,6.60%
86,"I'm walking out there in the woods for hours it seems like,",11.32%
87,"and I just wasn't seeing any bears or anything,",8.49%
88,"and finally I heard a noise,",12.26%
89,"and I turned around,",13.21%
90,"and there was the biggest old bear I'd ever seen in my life,",18.87%
91,I'd never even seen a PICTURE of one THAT big.,11.32%
92,"I whipped up the gun,",11.32%
93,"and pulled the trigger,",10.38%
94,and nothing happened.,12.26%
95,I'd forgot to LOAD that turkey.,7.55%
96,Well he had ...,5.66%
97,"he just had no desires to have me in his territory,",10.38%
98,and he made for me.,10.38%
99,"Well there was nothing for me to do but run,",17.92%
100,"and I turned around,",16.04%
101,"I ran as hard as I could go,",16.04%
102,"and I thought I used to be pretty fast,",15.09%
103,"but that old bear,",16.98%
104,"man he was gaining,",16.04%
105,he was just right on my heels ...,12.26%
106,And when I got within sight of that cabin,16.98%
107,"I started yelling “OPEN THE DOOR, OPEN THE DOOR!”",16.98%
108,"Man I was whipping down there just as hard as I could go,",16.04%
109,"and that old bear right on my tail,",16.98%
110,"and they opened the door,",16.04%
111,"and I got right to the cabin door,",16.98%
112,"I made a quick turn to the left,",16.98%
113,and that old bear went right on in.,16.98%
114,"I just reached back,",13.21%
115,"and pulled the door shut,",13.21%
116,"and said “THERE HE IS FELLOWS,",13.21%
117,"YOU SKIN HIM,",13.21%
118,I'LL GO GET ANOTHER ONE!”,11.32%
119,"Now all this happened thirty years ago,",5.66%
120,and all my buddies agreed ... that I lived up to my commitment.,3.77%
121,"But can you BELIEVE,",3.77%
122,they haven't asked me to go hunting one time since that day.,3.77%
