recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mean,61.93,0.25,,20.16,10.39,0.56,4.71,-0.1,3.6,3.93,4.58,0.53,1.27,0.83,-1.41,-1.19,5.45,-0.17,1.64,5.85,1.58,-0.28
5bfd6f9d7f7968000187f356,11.84,0.13,"a scout was trying to catch up, but nobody believed him, then some guy tried to pull him over.",9.73,0.39,0.27,0.54,-1.19,-2.21,-6.26,2.34,1.63,3.62,0.66,-1.43,-0.95,1.18,-0.68,-0.01,3.93,0.08,0.2
5c48ec8ac8769800019362d4,16.04,0.09,"there was a man who was on coast he was struggling, however the guards thought he was just slow and struggling to catch up. he said help but no one believed him. eventually someone did",2.63,0.58,-0.94,3.23,-1.01,-3.49,1.43,5.97,1.12,6.0,0.27,-0.65,0.4,-1.51,-0.11,-0.44,3.3,-0.39,-0.35
5c1ca2273728060001b0b056,16.99,0.11,Doing a race with scouts he fell over because he got cramps but nobody believed him because they thought he wanted to cheat and slow everyone else down,11.53,6.71,0.8,-3.36,-1.76,-1.29,4.61,-0.36,2.33,0.09,1.2,-0.27,-3.09,1.14,-0.71,-0.44,0.76,0.16,-1.06
60bbf9e1cfcce5b0382bf9b1,17.75,0.21,"We was doing the 50 yard dash, dash the 50 yard sprint down the field we did pushups",9.48,19.24,-1.0,-1.7,0.13,-3.25,-0.01,-0.5,-1.52,-0.94,0.18,-0.27,-0.99,0.58,-0.54,-0.29,0.68,-0.53,-1.0
6073ef4aa2110f1236736c6d,18.43,0.35,"He was a boy scout, who was playing and hurt himself.",16.8,2.75,1.6,-0.7,-0.64,-1.5,0.17,0.65,-0.27,-0.42,0.87,-0.69,-0.71,0.07,-0.43,-0.15,2.15,-0.61,-0.51
607717eaae6e81fa5a889d7f,20.89,0.13,I was at the boys scout camp when I was left behind and my leg caught onto something and the scouts and the scoutsmaster didn't believe that I really needed help.,17.68,-0.44,0.95,-0.71,-1.3,-2.09,-1.43,3.69,2.92,-0.96,0.82,-0.57,-1.97,6.01,-1.02,0.68,-0.0,-0.5,-0.87
605faf46917bfbfb48dcb05a,21.08,0.15,The story was about a scout who got stuck but his Scoutmaster didn’t give him attention or didn’t help then a stranger came to rescue him.,10.13,-0.53,0.08,1.93,-1.0,-2.95,0.85,3.04,-3.95,-0.45,0.43,-0.29,-0.49,6.92,-0.49,2.71,4.17,1.89,-0.92
5b44292f99da270001bd3f53,22.59,0.18,The person was a boy scout and was running a 50meter dash. They got cramp and nobody believed them as they started to slow down.,18.41,11.61,-1.38,-4.34,-0.19,-2.49,1.79,-0.9,2.86,0.2,0.32,-0.4,-3.24,0.54,-0.15,0.18,0.78,0.0,-1.01
5f0b196928879b23ce83e097,23.01,0.11,"A boy scout was walking up and down a mountain with his fellow scouts and he was at the back with cramp and they never believed him so they continued, so another scout who was walking up after him ended up grabbing him.",14.88,-1.42,-2.77,0.82,-1.05,-2.27,3.21,2.58,4.81,0.68,1.01,-1.18,-0.12,1.72,-0.65,-0.53,2.2,0.14,0.95
5cfaf97eadb3da00013c1eaa,24.05,0.07,They were in the camp and they were about 8 or 9 of them who were about to run a race. As the race started the writer had cramps and fell to the ground. Writer cried for help but no one answered. The camp instructor saw writer on the floor but did not care until one passerby saw writer and picked writer up and took the writer to safety.,9.43,7.18,-0.05,-3.55,-1.04,3.97,3.88,3.46,-3.62,-2.62,0.54,-1.02,-2.5,2.21,0.09,2.92,5.07,0.38,-0.68
5d5991afa9c6490015e96c18,25.36,0.26,In the scouts did the 50meter dash. Went up a hill and got by another bloke not the scoutmaster.,16.91,14.2,0.14,-2.74,-1.23,-3.12,-1.62,0.77,-0.81,-0.98,-0.06,-1.08,-1.1,5.5,-0.71,-0.97,2.78,0.22,-0.74
5f79f34d5a697d0c18b4ade5,25.73,0.1,"A boy was in a running event with others but when he called out he had cramps he thought the others believed he just said it as he was slow behind. No one listened to him, even the teacher. Then he slowed down and a random person showed up and picked him up.",5.66,7.35,0.27,-2.04,-0.79,-1.19,4.08,4.65,0.28,1.5,1.11,-0.81,-2.05,0.24,-1.28,3.01,5.34,1.09,-0.69
5ed3b17bc0d11002f6e15f6b,26.55,0.18,"Someone who was in the boy scouts, was doing the 50 yard dash. During this he got cramp and couldn't continue but the scoutmaster didn't believe him.",20.83,15.06,-0.38,-4.95,-0.38,-3.16,3.67,0.12,-0.53,-2.47,0.79,-0.75,-2.88,4.29,-0.98,-1.34,0.83,-0.22,-1.0
648b920a66c5e3040ab14f6a,26.66,0.23,someone in the boy scouts did the 50 yard dash but they got cramps while the others were accusing of them being slow.,19.32,14.18,-0.09,-4.95,-1.1,-1.49,2.86,0.16,1.46,-0.18,0.7,-0.22,-2.95,0.56,-0.71,-0.36,0.82,-0.03,-1.32
5ceef0cd45c1ec001920d548,27.51,0.23,"About a boy scouts leader doing a 50 yard dash, when they was going up and down and then the scouts leader grabbed them",16.83,17.08,-0.58,-3.21,0.95,3.48,-5.43,0.87,-3.74,-1.01,0.5,-0.78,-1.07,3.66,-0.38,-2.05,0.83,1.02,0.54
60bba0e7ce457da5179949c5,27.89,0.15,The boy was in the boy scouts and he was out on a trip with the group. He got a stitch and cried for help but the Scoutmaster ignored him. Before he knew it someone ran up and grabbed him.,19.89,-0.66,0.39,-1.67,-0.57,-2.27,1.08,7.14,-1.25,-3.06,0.24,-1.7,-1.27,2.7,-0.23,1.8,5.18,1.31,0.84
5fb3a3c38a7d5903b43c1949,28.29,0.29,"I was in the boys scouts doing a 50 metre dash, going up and down and back again and I got cramp",21.6,12.83,-0.27,-2.28,-1.5,2.19,4.52,-1.59,0.08,-1.75,-0.48,-0.9,-2.18,-0.35,-0.54,-0.32,0.82,-0.45,-1.14
5f776804a5ab6f298bf495a2,29.94,0.18,"yeh, I was in the Boy Scouts and we was going down the hill, and we was doing things, and that ..., The Scoutmaster was there and he went down to help but it was too late.",26.52,3.39,0.66,-0.34,-0.92,-1.74,-2.9,4.75,-1.61,-2.06,0.69,-2.16,0.79,6.97,-0.36,-2.04,0.57,0.48,-0.75
6323441a11146d51c1d5874d,29.97,0.38,yeh i was in the boy scouts and was doing the 50 yard and yelp i got the cramps,25.38,14.64,-2.88,-2.76,-1.94,-3.83,3.93,1.51,-1.21,-1.73,0.54,-0.74,-0.18,0.47,-0.22,-0.8,0.77,-0.41,-0.57
5f39289db05fd84737afec99,30.66,0.19,"A guy recalls a story in which he was in the boy scouts, and was doing 50-yard dash race. He ended up getting cramps and falling but someone helped him back up.",23.55,17.0,1.56,-4.68,-0.66,-2.54,3.03,-1.84,-3.95,-1.94,0.56,-0.21,-1.82,0.44,-0.22,-1.1,3.72,0.69,-0.93
5afdd098b8c14a00019f2701,31.8,0.24,doing the 50 yard dash in boyscouts there were 8 or 9 of them going down and up and back down again and then someone jumped out at them,18.88,15.42,-0.06,-2.36,-1.01,16.2,-11.69,1.12,-2.74,-1.77,0.68,-1.59,-1.77,0.34,-0.66,-0.78,3.4,1.27,-1.08
6097ec1a8c0b4df21cbb9024,32.1,0.14,"8 to 9 men were running up a hill, and one had a cramp and shouted for help, but the others thought that he is just trying to catch up, so they left him by himself, Out of nowhere a stranger came to his aid, ending the 30 meters run.",3.53,5.92,-2.28,-0.66,-0.61,2.61,2.31,6.71,1.59,7.42,3.06,0.05,-2.65,-0.54,-0.1,-0.27,6.45,1.12,-1.56
5ffd80c185e28327669b51f5,32.57,0.24,"yeh, i was in a boy scout camp doing the 50 meter dash, there was 8 to 9 of us and i got injured and nobody was paying attention to us",21.5,13.28,-1.59,-3.4,-0.09,7.46,0.28,2.73,-4.04,-2.13,0.75,-0.87,-1.8,0.5,-1.05,2.54,0.42,-0.95,-0.97
5b74ba4e45975900018d4451,34.05,0.19,"Yeh, we were in the Boy Scouts at the time and we went for a walk all together but I got lost and Scout Master was there, but then there was a another boy who just grabbed me.",28.29,-3.81,-0.23,1.08,-1.05,-2.66,-2.05,3.49,-3.22,-1.08,0.68,-0.54,-0.25,7.36,0.07,0.06,6.33,0.86,0.72
5e4ead217dd6be000d5a6140,34.56,0.27,"a guy going to do the 50 metre dash with 8 or 9 friends, they went up and down 2 or 3 times and the scout master became involved",12.76,14.34,-0.06,-1.5,0.25,11.8,-3.97,2.52,-2.33,-1.4,-0.28,-1.41,-0.4,5.55,-1.07,-1.49,2.2,-0.34,-0.61
60abcd6f3e5efd9fca235828,37.19,0.34,I was in the boy scouts doing the 50 yard dash. I got cramps. I was trying to get The scouts masters attention.,23.17,16.23,-0.15,-5.37,-0.3,-2.57,5.3,2.96,-1.55,-2.18,0.21,-0.53,-0.34,1.82,-0.45,1.21,0.67,-0.41,-0.53
5ca36c495c01df0013af4f75,37.65,0.24,"Yeah I was in the boy scouts at the time and I was doing the 50 yard dash, I kept getting cramp, the scout master would not help me, I kept going on and on.",32.98,14.86,-3.29,-4.13,-0.01,-3.36,1.18,2.23,-2.82,0.27,0.87,-0.8,-2.04,3.6,-0.7,0.92,-0.43,-0.27,-1.41
