segment_id,segment_text,recall_id,recall_text,recall_len,max_clause_id,mbits_original_narrative,segment_text_rephrased,mbits_rephrased_narrative
1,"Yeah, I was in the boy scouts at the time.",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,16.64," At that time, I was a member of the boy scouts.",24.56
2,"And we was doing the 50-yard dash,",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,5.4," We were engaged in a 50-yard dash,",6.76
3,"racing,",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,-0.06," competing,",0.56
4,"but we was at the pier, marked off,",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,10.89," right at the pier, which was our designated starting point,",10.28
5,and so we was doing the 50-yard dash.,56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,0.62, where we were sprinting the 50-yard distance.,0.1
6,"There was about 8 or 9 of us, you know, going down, coming back.",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,1.16," There were about eight or nine of us, racing there and back.",-0.51
7,"And, going down the third time, I caught cramps",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,8.19," On our third sprint, I suddenly got cramps",10.36
8,"and I started yelling ""Help!"",",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,10.12," and I began to shout ""Help!"",",9.58
9,"but the fellows didn't believe me, you know.",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,2.71," but my peers didn't take me seriously,",0.87
10,"They thought I was just trying to catch up, because I was going on or slowing down.",56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,-1.79, assuming I was merely trying to catch up or that I was falling behind.,-0.02
11,So all of them kept going.,56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,1.69," Consequently, they all continued running.",1.73
12,They leave me.,56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,-2.77, They left me behind.,-2.53
13,And so I started going down.,56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,-0.25," Consequently, I began to sink.",0.48
14,Scoutmaster was up there.,56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,-1.06, The Scoutmaster was present.,-2.26
15,He was watching me.,56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,-0.43, He saw what was happening to me.,-1.0
16,But he didn't pay me no attention either.,56f5d4dc736c79000b228286,"In the boy scouts and was doing 50m back and forth along the pier. After the third go he started to get cramp. He called out ""Help!"" but no of the other racers stopped to help because they thought he was doing it to slow down the others. Eventually a passer by walked up and jumped over to pull the guy with cramp out.",318,10,0.39," Yet, he also ignored my plight.",2.85
