,summary,total,len,rate,keypoints_id
19,I got cramps during a 50-yard dash at the pier.|I yelled for help but my peers and scoutmaster ignored me.|A passerby jumped in and saved me.,81.2,141,0.58,3_2
22,I raced in the 50-yard dash at the pier.|I caught cramps and yelled for help.|The other scouts and scoutmaster ignored me.|A stranger jumped in and saved me.,75.94,157,0.48,4_2
18,"I participated in a 50-yard dash with other boy scouts.|I experienced cramps and called for help, but no one believed me.|A random guy noticed and saved me from the water.",71.32,171,0.42,3_1
20,"I was participating in a 50-yard dash at the pier with other boy scouts.|I got cramps and yelled for help, but no one believed me and left me.|A guy who just arrived jumped in and rescued me.",98.69,191,0.52,3_3
21,I participated in a 50-yard dash at the pier with fellow boy scouts.|I caught cramps while running and yelled for help.|My friends thought I was joking and left me behind.|A stranger jumped over and saved me.,83.62,208,0.4,4_1
28,I was in the boy scouts.|We were racing in a 50-yard dash at the pier.|I caught cramps and yelled for help.|The other fellows didn't believe I needed help.|The scoutmaster ignored my calls for help.|A stranger jumped in and saved me.,100.48,233,0.43,6_2
23,"I participated in a 50-yard dash race at the pier with other scouts.|I caught cramps and yelled for help on the third round.|The others and the scoutmaster ignored my pleas for help.|A passerby jumped in and grabbed me, saving me from danger.",84.37,242,0.35,4_3
26,I was in the boy scouts racing at the pier.|I caught cramps and started yelling 'Help!' during the race.|The fellows thought I was pretending and kept going.|The Scoutmaster saw me but didn't pay attention.|Another guy suddenly jumped over and grabbed me.,97.51,255,0.38,5_3
30,I was in the boy scouts.|We were doing the 50-yard dash at the pier.|I caught cramps and yelled for help.|The other scouts didn't believe me.|They all kept going and left me behind.|The scoutmaster watched but did nothing.|A guy suddenly jumped in and grabbed me.,114.43,263,0.44,7_1
24,I was in the Boy Scouts during the 50-yard dash at the pier.|There were about 8 or 9 of us racing back and forth.|I got cramps during the third race and shouted for help.|Nobody believed me and thought I was just slowing down.|A random guy jumped in and grabbed me.,106.24,265,0.4,5_1
32,"I was in the boy scouts.|We were doing the 50-yard dash at the pier.|About 8 or 9 of us were racing.|I caught cramps during the third dash.|I yelled for help, but no one believed me.|The scoutmaster did not notice my distress.|A guy showed up and jumped in to save me.",110.37,268,0.41,7_3
25,I was in the boy scouts during a 50-yard dash race at the pier.|I caught cramps during the race and started yelling for help.|My fellow scouts thought I was joking and left me.|The scoutmaster saw me but didn't pay attention.|A passing guy suddenly jumped in and saved me.,97.3,272,0.36,5_2
29,I was in boy scouts doing a 50-yard dash at the pier.|There were about 8 or 9 of us racing.|I caught cramps and started yelling for help.|The fellows thought I was pretending and kept going.|The scoutmaster didn't pay me any attention.|A guy suddenly appeared and jumped in to grab me.,102.7,285,0.36,6_3
38,I was in the boy scouts.|We were doing the 50-yard dash at the pier.|There were 8 or 9 of us racing.|I caught cramps on the third run.|I started yelling for help.|The other fellows didn't believe me.|The scoutmaster ignored me.|I started going down in the water.|Another guy jumped in and grabbed me.,111.97,300,0.37,9_3
35,"I was in the boy scouts.|We were racing the 50-yard dash at the pier.|There were about 8 or 9 of us racing.|I caught cramps on the third run.|I yelled for help, but no one believed me.|The other scouts kept racing, leaving me behind.|The scoutmaster ignored my situation.|A stranger jumped in to save me.",127.24,304,0.42,8_3
