,summary,rephrased_summary,total,len,rate,suffix
0,"I was in the boy scouts.|We were doing the 50-yard dash.|There were about 8 or 9 of us racing.|On the third run, I caught cramps.|I started yelling 'Help!' during the race.|The other scouts didn't believe me.|They left me behind as they continued.|The scoutmaster watched but ignored me.|A man arrived at the pier suddenly.|He jumped in and grabbed me.","During my time with the boy scouts, we participated in a 50-yard dash. The race included roughly eight or nine competitors. However, during our third sprint, I was suddenly struck by cramps. As I cried out for assistance amidst the race, my fellow scouts thought I was joking and proceeded without me. Even the scoutmaster observed the situation but chose not to intervene. Out of nowhere, a stranger appeared at the dock, dove into the water, and came to my rescue.",111.63,352,0.32,10_1.json
1,I was in the boy scouts.|We were doing the 50-yard dash at the pier.|There were about 8 or 9 of us racing.|I caught cramps on the third run.|I started yelling for help.|The others did not believe me.|They thought I was trying to catch up.|They all left me behind.|The scoutmaster did not pay attention.|A stranger jumped in to save me.,"I participated in the Boy Scouts, and during an event, we sprinted 50 yards along the dock. In the midst of our race, with 8 or 9 competitors, I was suddenly struck by muscle cramps on my third attempt. Desperate cries for assistance escaped me, but my peers dismissed them, assuming I was merely attempting to gain an advantage. Consequently, they continued without me. Even the scoutmaster overlooked my plight. Fortunately, an unknown bystander took notice and leapt into action to rescue me.",86.72,335,0.26,10_2.json
2,I was in the boy scouts.|We were doing the 50-yard dash at the pier.|There were about 8 or 9 of us racing.|I caught cramps during the race.|I started yelling for help.|The other fellows didn't believe me.|They thought I was trying to catch up.|Everyone kept going and left me.|The scoutmaster didn't pay attention to me.|A guy jumped in and grabbed me.,"I participated in the Boy Scouts, and during an event, we engaged in a 50-yard dash on the dock. The competition included roughly eight or nine participants. Mid-race, I was suddenly struck by muscle cramps and began to shout for assistance. My peers, however, dismissed my cries, assuming I was merely attempting to gain an advantage. Consequently, they all continued the race, abandoning me. Even the scoutmaster overlooked my plight. Fortunately, a bystander took notice and leapt into the water to rescue me.",91.24,352,0.26,10_3.json
3,I was in the boy scouts.|We were racing at the pier.|There were about 8 or 9 of us.|We were doing the 50-yard dash.|I caught cramps going down the third time.|I yelled for help.|The fellows didn't believe me.|They thought I wanted to catch up.|The scoutmaster didn't pay attention.|Another guy walked up and jumped over.|He grabbed me and saved me.,"I participated in the Boy Scouts and during an event at the dock, we, a group of 8 or 9, engaged in a 50-yard sprint. On my third attempt, I was seized by cramps and cried out for assistance. My peers dismissed it, assuming I was trying to gain an advantage. The scoutmaster overlooked my distress. Fortunately, another individual approached, leaped in, and rescued me.",104.79,348,0.3,11_1.json
4,I was in the boy scouts then.|We were racing the 50-yard dash at the pier.|There were about 8 or 9 of us racing.|I caught cramps and started yelling for help.|The others thought I was trying to catch up.|Everyone else kept going and left me.|I started going down in the water.|The scoutmaster was watching but ignored me.|A guy walked up at that moment.|He jumped over without hesitation.|He grabbed me and saved me.,"At that time, I was a member of the boy scouts. We were competing in a 50-yard sprint on the dock. The race included roughly 8 or 9 participants. Suddenly, I was hit with a cramp and began to shout for assistance. My fellow scouts mistook my cries for an attempt to gain ground and continued the race, abandoning me. As I began to sink beneath the water's surface, the scoutmaster observed the situation but did not intervene. Fortunately, at that critical moment, a man approached. Without a second thought, he leaped in. He swiftly reached out, pulled me to safety, and thus rescued me from drowning.",126.55,416,0.3,11_2.json
5,I was in the boy scouts.|We were doing a 50-yard dash at the pier.|There were about 8 or 9 of us racing.|I caught cramps during the third dash.|I started yelling for help.|The fellows thought I was joking.|They kept going and left me behind.|I started going down.|The scoutmaster was watching me.|He didn't pay attention to my cries.|A guy suddenly jumped in and grabbed me.,"I participated in the boy scouts and during an event, we engaged in a 50-yard sprint by the dock. The race included roughly 8 or 9 participants. In the midst of the third sprint, I was struck by muscle cramps. I began to shout for assistance, but my peers assumed I was playing a prank and continued the race, abandoning me. As I began to sink, the scoutmaster observed the situation but seemed to disregard my pleas for help. Out of nowhere, an individual dove in and rescued me.",118.04,374,0.32,11_3.json
6,I was in the boy scouts.|We were doing the 50-yard dash race.|We were racing at the pier.|Eight or nine of us participated.|We raced back and forth multiple times.|I caught cramps on the third run.|I started yelling for help.|The others didn't believe me.|They thought I was slowing down intentionally.|They left me and continued racing.|The scoutmaster ignored my cries.|A passerby jumped in and saved me.,"I participated in the Boy Scouts, where we engaged in a 50-yard dash competition on the pier. There were about eight or nine of us sprinting to and fro repeatedly. During the third sprint, I was suddenly struck by muscle cramps and began to call out for assistance. My fellow scouts were under the impression that I was just trying to get out of the race and didn't take me seriously. They went on with the race, disregarding my situation. Even the scoutmaster paid no heed to my distress. Fortunately, a stranger noticed my plight and intervened to rescue me.",93.94,406,0.23,12_1.json
7,I was in the boy scouts.|We were doing the 50-yard dash.|The race was at the pier.|There were about eight or nine of us racing.|I caught cramps on the third round.|I started yelling for help.|The fellows didn't believe me.|They thought I was slowing down to catch up.|Everyone else kept going.|The scoutmaster was watching me.|He didn't pay me any attention.|A guy who just walked up jumped in to grab me.,"I participated in the Boy Scouts, where we engaged in a 50-yard dash located at the pier. The competition included roughly eight or nine participants. During the third lap, I was suddenly struck by cramps and began to shout for assistance. My peers, however, were skeptical and assumed I was merely trying to gain an advantage by slowing down. As a result, they continued the race without hesitation. Meanwhile, the scoutmaster observed the situation but did not intervene. Fortunately, a bystander who had recently arrived took immediate action and came to my rescue.",123.37,405,0.3,12_2.json
8,I was in the boy scouts at the time.|We were doing the 50-yard dash by the pier.|There were about 8 or 9 of us racing.|I caught cramps going down the third time.|I started yelling 'Help!' for assistance.|The fellows didn't believe I needed help.|They thought I was just trying to catch up.|All the other racers kept going without me.|The scoutmaster was watching but ignored me.|Another guy walked up while this was happening.|He jumped over and grabbed me for no reason.|I was saved by that guy who noticed my struggle.,"During my tenure with the boy scouts, we were engaged in a 50-yard sprint adjacent to the dock. Our group consisted of 8 or 9 competitors. On my third sprint, I was suddenly afflicted with muscle cramps. Desperate for aid, I began to shout 'Help!' Yet, my peers dismissed my cries, assuming I was merely attempting to gain an advantage. They continued the race, leaving me behind. Even the scoutmaster, who was observing, seemed to disregard my plight. Amidst the chaos, an onlooker approached. Without hesitation, he leaped in and rescued me, having discerned the seriousness of my situation.",121.18,520,0.23,12_3.json
9,I was in the boy scouts.|We were doing the 50-yard dash.|We were racing at the pier.|There were about 8 or 9 of us.|I caught cramps while running.|I started yelling for help.|The fellows didn't believe me.|They thought I was slowing down.|They all kept going and left me.|I started going down in the water.|The scoutmaster was watching me.|The scoutmaster didn't pay attention.|A random guy jumped in to save me.,"I participated in the Boy Scouts and during an event, we engaged in a 50-yard sprint along the pier. Our group consisted of 8 or 9 members. Mid-run, I was struck by a sudden onset of muscle cramps and began to call out for assistance. However, my peers dismissed my cries, assuming I was merely falling behind, and they proceeded without me. As I began to sink into the water, our scoutmaster observed the situation but failed to act. It was an unrelated bystander who ultimately dove in to rescue me.",103.1,412,0.25,13_1.json
