recall_id,#clauses,n,segment_ids,text
5d95fc8c7f79070017f92e93,17,14,"[1, 2, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19]","yeh so we was at the Boy Scouts, doing the 50-yard dash, and so we went to do the 50-yard dash and we started going down, coming up and going down again the third time, I had a cramp and started yelling ""Help!"" but no one came, they thought I was going down and trying to catch up, even the Scoutsmaster was there and he gave me no attention, but then some guy just walked in, he jumped over and grabbed me!"
60a252db049918aa001fe65a,6,14,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16]",There were 8/9 scouts doing running drills at the peer. The narrator started cramping and asked for help from the teammates but they thought he was joking and the instructor also did not pay attention to him.
597631e5082c9e000150dc26,9,15,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19]","A race in the Boy Scouts, starting from a pier, participant got cramp and started yelling but everyone thought he was faking it and ignored him but in the end someone came along and rescued him."
5afde9de3eb22c00019bb6e3,11,15,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 17, 18, 19]","I was doing the 50 yard dash it was the scouts and we were doing it by the pier, it was marked, and we was going up and down and all of a sudden I caught cramps and I called for help but the guys didn't believe me and the Scoutmaster he was up at the top then there was this guy who had just walked up and he reached and grabbed me."
5d5ee3e95aa2cf0001510593,14,15,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 16, 17, 18, 19]","yeh I was in the boy scouts doing the 50 yard dash at teh pier going up and down about 8 ofus, up and down I got cramp and started to fall off and and yelled help I was just trying to catch up but no body believed me. Scoutmaster was there but didn’t beleive me but there was another guy who jumped over and grabbed me."
5f776804a5ab6f298bf495a2,8,15,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","yeh, I was in the Boy Scouts and we was going down the hill, and we was doing things, and that ..., The Scoutmaster was there and he went down to help but it was too late."
5f79f34d5a697d0c18b4ade5,11,15,"[2, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","A boy was in a running event with others but when he called out he had cramps he thought the others believed he just said it as he was slow behind. No one listened to him, even the teacher. Then he slowed down and a random person showed up and picked him up."
606368818e6b621922c84680,10,15,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 14, 15, 16, 17, 18, 19]","I was in the boy scouts and we were running a 50 yard dash up and down to the pier 3 times, I got the cramps and started yelling but the boys ignored me. The scoutmaster saw me yelling but he ignored me as well and did nothing at that moment a man walking by saw me a helped me."
6130db53a8123c2c3700f988,15,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16]","There was a run/race in the boy scouts on the pier. There was about 8 or 9 boys taking part. They were running back and forth and the main boy got cramp in his leg. Potentially, the other boys did not believe the cramp was real or they did not want to stop to help as it would mean they could lose the race. Even the scout master did not pay the boy any attention."
6414bb5268067523aa656cf6,10,15,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 14, 15, 16, 17, 18, 19]",They were in the Boy Scouts and doing a 50 yard dash at the pier. There were 8/9 of them and they were running up and down the pier. One of them got cramp but no one believed them and the Scoutmaster just watched. Then there was another man who came over and grabbed them.
