recall_id,clause_id,clause_text
5aa18536dbdb470001ef2cf1,1,"Yeh,"
5aa18536dbdb470001ef2cf1,2,so I was in the boy scouts
5aa18536dbdb470001ef2cf1,3,and we was doing the 50 yard dash.
5aa18536dbdb470001ef2cf1,4,We was doing the 50 yard dash
5aa18536dbdb470001ef2cf1,5,and two or three times in
5aa18536dbdb470001ef2cf1,6,and I got the cramps.
5aa18536dbdb470001ef2cf1,7,I started yelling for help
5aa18536dbdb470001ef2cf1,8,but nobody believed me
5aa18536dbdb470001ef2cf1,9,because they thought I was trying to catch up
5aa18536dbdb470001ef2cf1,10,because I was slowing down.
5aa18536dbdb470001ef2cf1,11,The scoutmaster was there
5aa18536dbdb470001ef2cf1,12,and he paid me no attention.
5aa18536dbdb470001ef2cf1,13,Then suddenly a man came up at that time
5aa18536dbdb470001ef2cf1,14,and he grabbed me.
5f0b196928879b23ce83e097,1,A boy scout was walking up and down a mountain
5f0b196928879b23ce83e097,2,with his fellow scouts
5f0b196928879b23ce83e097,3,and he was at the back
5f0b196928879b23ce83e097,4,with cramp
5f0b196928879b23ce83e097,5,and they never believed him
5f0b196928879b23ce83e097,6,"so they continued,"
5f0b196928879b23ce83e097,7,so another scout
5f0b196928879b23ce83e097,8,who was walking up after him
5f0b196928879b23ce83e097,9,ended up grabbing him.
5d5db7f7ca179000180b17cc,1,About being in boy Scouts
5d5db7f7ca179000180b17cc,2,and doing a 50 yard run
5d5db7f7ca179000180b17cc,3,"along with 8 or 9 people,"
5d5db7f7ca179000180b17cc,4,"going up and down,"
5d5db7f7ca179000180b17cc,5,the third time I caught cramps
5d5db7f7ca179000180b17cc,6,and started calling for help
5d5db7f7ca179000180b17cc,7,"but the fellow runs,"
5d5db7f7ca179000180b17cc,8,"didn't believe me,"
5d5db7f7ca179000180b17cc,9,they thought I was faking it
5d5db7f7ca179000180b17cc,10,and just continued.
5d5db7f7ca179000180b17cc,11,"My Scout master didn't tell me,"
5d5db7f7ca179000180b17cc,12,then another guy jumped over a fence
5d5db7f7ca179000180b17cc,13,to help me.
5ac0eabce1546900019bd744,1,About 8 or 9 boy scouts were doing a 50 yard dash from the pier.
5ac0eabce1546900019bd744,2,The boy narrating began to experience cramps
5ac0eabce1546900019bd744,3,but the other boys didn't believe him
