segment_id,segment_text,segment_text_rephrased
1,"Yeah, I was in the boy scouts at the time."," At that time, I was a member of the boy scouts."
2,"And we was doing the 50-yard dash,"," We were engaged in a 50-yard dash,"
3,"racing,"," competing,"
4,"but we was at the pier, marked off,"," right at the pier, which was our designated starting point,"
5,and so we was doing the 50-yard dash., where we were sprinting the 50-yard distance.
6,"There was about 8 or 9 of us, you know, going down, coming back."," There were about eight or nine of us, racing there and back."
7,"And, going down the third time, I caught cramps"," On our third sprint, I suddenly got cramps"
8,"and I started yelling ""Help!"","," and I began to shout ""Help!"","
9,"but the fellows didn't believe me, you know."," but my peers didn't take me seriously,"
10,"They thought I was just trying to catch up, because I was going on or slowing down.", assuming I was merely trying to catch up or that I was falling behind.
11,So all of them kept going.," Consequently, they all continued running."
12,They leave me., They left me behind.
13,And so I started going down.," Consequently, I began to sink."
14,Scoutmaster was up there., The Scoutmaster was present.
15,He was watching me., He saw what was happening to me.
16,But he didn't pay me no attention either.," Yet, he also ignored my plight."
17,"And for no reason at all there was another guy, who had just walked up that minute..."," Unexpectedly, another individual, who had arrived just at that moment..."
18,He just jumped over, leapt forward
19,and grabbed me., and rescued me.
