index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,"I participated in a 50-yard dash with other boy scouts. I experienced cramps and called for help, but no one believed me. A random guy noticed and saved me from the water.",171,57.47,64.35,3,3,1
1,I got cramps during a 50-yard dash at the pier. I yelled for help but my peers and scoutmaster ignored me. A passerby jumped in and saved me.,141,68.06,65.28,3,3,2
2,"I was participating in a 50-yard dash at the pier with other boy scouts. I got cramps and yelled for help, but no one believed me and left me. A guy who just arrived jumped in and rescued me.",191,77.13,82.47,3,3,3
3,I participated in a 50-yard dash at the pier with fellow boy scouts. I caught cramps while running and yelled for help. My friends thought I was joking and left me behind. A stranger jumped over and saved me.,208,72.21,76.05,4,4,1
4,I raced in the 50-yard dash at the pier. I caught cramps and yelled for help. The other scouts and scoutmaster ignored me. A stranger jumped in and saved me.,157,72.75,65.09,4,4,2
5,"I participated in a 50-yard dash race at the pier with other scouts. I caught cramps and yelled for help on the third round. The others and the scoutmaster ignored my pleas for help. A passerby jumped in and grabbed me, saving me from danger.",242,82.57,74.82,4,4,3
6,I was in the Boy Scouts during the 50-yard dash at the pier. There were about 8 or 9 of us racing back and forth. I got cramps during the third race and shouted for help. Nobody believed me and thought I was just slowing down. A random guy jumped in and grabbed me.,265,97.33,101.78,5,5,1
7,I was in the boy scouts during a 50-yard dash race at the pier. I caught cramps during the race and started yelling for help. My fellow scouts thought I was joking and left me. The scoutmaster saw me but didn't pay attention. A passing guy suddenly jumped in and saved me.,272,92.73,93.48,5,5,2
8,I was in the boy scouts racing at the pier. I caught cramps and started yelling 'Help!' during the race. The fellows thought I was pretending and kept going. The Scoutmaster saw me but didn't pay attention. Another guy suddenly jumped over and grabbed me.,255,104.99,95.49,5,5,3
9,"I participated in a 50-yard dash at the pier with the boy scouts. I got cramps during the third 50-yard dash. I yelled for help, but my fellow scouts didn't believe me. My fellow scouts left me struggling and continued racing. The scoutmaster noticed me but didn't react. A random guy jumped in and saved me.",308,91.92,94.95,6,6,1
10,I was in the boy scouts. We were racing in a 50-yard dash at the pier. I caught cramps and yelled for help. The other fellows didn't believe I needed help. The scoutmaster ignored my calls for help. A stranger jumped in and saved me.,233,91.83,86.58,6,6,2
11,I was in boy scouts doing a 50-yard dash at the pier. There were about 8 or 9 of us racing. I caught cramps and started yelling for help. The fellows thought I was pretending and kept going. The scoutmaster didn't pay me any attention. A guy suddenly appeared and jumped in to grab me.,285,114.5,100.19,6,6,3
12,I was in the boy scouts. We were doing the 50-yard dash at the pier. I caught cramps and yelled for help. The other scouts didn't believe me. They all kept going and left me behind. The scoutmaster watched but did nothing. A guy suddenly jumped in and grabbed me.,263,102.39,102.06,7,7,1
13,"I was in boy scouts doing a 50-yard dash at the pier. About 8 or 9 of us were racing back and forth. On the third time, I got cramps and yelled for help. The others didn't believe me and kept going. They left me behind as I started going down. The scoutmaster saw me but didn't pay attention. A guy nearby unexpectedly jumped in to grab me.",340,129.2,134.79,7,7,2
14,"I was in the boy scouts. We were doing the 50-yard dash at the pier. About 8 or 9 of us were racing. I caught cramps during the third dash. I yelled for help, but no one believed me. The scoutmaster did not notice my distress. A guy showed up and jumped in to save me.",268,108.97,100.84,7,7,3
15,"I was in the boy scouts. We were doing the 50-yard dash at the pier. There were about 8 or 9 of us racing. I caught cramps the third time racing. I yelled for help, but they didn't believe me. The other racers kept going and left me. The scoutmaster was watching but ignored me. A guy suddenly jumped in and grabbed me.",319,122.77,126.66,8,8,1
16,"I was participating in the 50-yard dash. We were racing at the pier. There were about 8 or 9 of us racing. I caught cramps on the third round. I yelled for help, but my friends didn't believe me. Everyone kept racing and left me behind. The scoutmaster was watching but ignored me. A passerby jumped in and saved me.",316,109.9,111.0,8,8,2
17,"I was in the boy scouts. We were racing the 50-yard dash at the pier. There were about 8 or 9 of us racing. I caught cramps on the third run. I yelled for help, but no one believed me. The other scouts kept racing, leaving me behind. The scoutmaster ignored my situation. A stranger jumped in to save me.",304,108.78,114.22,8,8,3
18,"I was in the boy scouts doing a 50-yard dash. We were at the pier with about 8 or 9 of us racing. On the third run, I caught cramps and yelled for help. The fellows didn't believe me and kept going. They thought I was just trying to catch up. Everyone left me behind. The scoutmaster was watching but ignored me. I started going down into the water. Another guy jumped over and grabbed me.",389,143.07,147.36,9,9,1
19,I was in the boy scouts. We were doing the 50-yard dash at the pier. I caught cramps during the third run. I started yelling for help. The fellows did not believe me. They thought I was trying to catch up. They left me behind. The Scoutmaster watched me but did nothing. Another guy jumped over and grabbed me.,310,125.3,125.55,9,9,2
20,I was in the boy scouts. We were doing the 50-yard dash at the pier. There were 8 or 9 of us racing. I caught cramps on the third run. I started yelling for help. The other fellows didn't believe me. The scoutmaster ignored me. I started going down in the water. Another guy jumped in and grabbed me.,300,125.18,107.83,9,9,3
21,"I was in the boy scouts. We were doing the 50-yard dash. There were about 8 or 9 of us racing. On the third run, I caught cramps. I started yelling 'Help!' during the race. The other scouts didn't believe me. They left me behind as they continued. The scoutmaster watched but ignored me. A man arrived at the pier suddenly. He jumped in and grabbed me.",352,121.55,128.09,10,10,1
22,I was in the boy scouts. We were doing the 50-yard dash at the pier. There were about 8 or 9 of us racing. I caught cramps on the third run. I started yelling for help. The others did not believe me. They thought I was trying to catch up. They all left me behind. The scoutmaster did not pay attention. A stranger jumped in to save me.,335,126.29,132.23,10,10,2
23,I was in the boy scouts. We were doing the 50-yard dash at the pier. There were about 8 or 9 of us racing. I caught cramps during the race. I started yelling for help. The other fellows didn't believe me. They thought I was trying to catch up. Everyone kept going and left me. The scoutmaster didn't pay attention to me. A guy jumped in and grabbed me.,352,128.11,125.6,10,10,3
24,I was in the boy scouts. We were racing at the pier. There were about 8 or 9 of us. We were doing the 50-yard dash. I caught cramps going down the third time. I yelled for help. The fellows didn't believe me. They thought I wanted to catch up. The scoutmaster didn't pay attention. Another guy walked up and jumped over. He grabbed me and saved me.,348,148.6,133.15,11,11,1
25,I was in the boy scouts then. We were racing the 50-yard dash at the pier. There were about 8 or 9 of us racing. I caught cramps and started yelling for help. The others thought I was trying to catch up. Everyone else kept going and left me. I started going down in the water. The scoutmaster was watching but ignored me. A guy walked up at that moment. He jumped over without hesitation. He grabbed me and saved me.,416,139.39,155.34,11,11,2
26,I was in the boy scouts. We were doing a 50-yard dash at the pier. There were about 8 or 9 of us racing. I caught cramps during the third dash. I started yelling for help. The fellows thought I was joking. They kept going and left me behind. I started going down. The scoutmaster was watching me. He didn't pay attention to my cries. A guy suddenly jumped in and grabbed me.,374,133.82,128.63,11,11,3
27,I was in the boy scouts. We were doing the 50-yard dash race. We were racing at the pier. Eight or nine of us participated. We raced back and forth multiple times. I caught cramps on the third run. I started yelling for help. The others didn't believe me. They thought I was slowing down intentionally. They left me and continued racing. The scoutmaster ignored my cries. A passerby jumped in and saved me.,406,115.88,124.75,12,12,1
28,I was in the boy scouts. We were doing the 50-yard dash. The race was at the pier. There were about eight or nine of us racing. I caught cramps on the third round. I started yelling for help. The fellows didn't believe me. They thought I was slowing down to catch up. Everyone else kept going. The scoutmaster was watching me. He didn't pay me any attention. A guy who just walked up jumped in to grab me.,405,155.38,134.76,12,12,2
29,I was in the boy scouts at the time. We were doing the 50-yard dash by the pier. There were about 8 or 9 of us racing. I caught cramps going down the third time. I started yelling 'Help!' for assistance. The fellows didn't believe I needed help. They thought I was just trying to catch up. All the other racers kept going without me. The scoutmaster was watching but ignored me. Another guy walked up while this was happening. He jumped over and grabbed me for no reason. I was saved by that guy who noticed my struggle.,520,163.51,158.06,12,12,3
30,I was in the boy scouts. We were doing the 50-yard dash. We were racing at the pier. There were about 8 or 9 of us. I caught cramps while running. I started yelling for help. The fellows didn't believe me. They thought I was slowing down. They all kept going and left me. I started going down in the water. The scoutmaster was watching me. The scoutmaster didn't pay attention. A random guy jumped in to save me.,412,143.59,129.82,13,13,1
31,I was in the boy scouts. We were doing the 50-yard dash. We were racing at the pier. There were about 8 or 9 of us. I caught cramps the third time. I started yelling 'Help!'. The fellows didn't believe me. They thought I was slowing down. They all kept going and left me. I started going down. The Scoutmaster was watching me. He didn't pay attention to me. Another guy grabbed me and helped.,392,157.17,151.36,13,13,2
32,I was in the boy scouts. We were doing the 50-yard dash. We were racing on the pier. About 8 or 9 of us were participating. I got cramps going down the third time. I started yelling 'Help!' The others didn't believe me. They thought I was trying to catch up. They left me behind. The Scoutmaster was watching me. He didn't pay me any attention. Another guy walked up. He jumped over and grabbed me.,398,154.61,159.44,13,13,3
33,I was in the boy scouts. We were doing the 50-yard dash. We were at the pier. There were about 8 or 9 of us. I caught cramps going down the third time. I started yelling for help. The fellows didn't believe me. They thought I was just trying to catch up. All of them kept going. They left me behind. The scoutmaster was watching me. He didn't pay me any attention. Another guy had just walked up. He jumped over and grabbed me.,427,181.24,166.86,14,14,1
34,I was in the boy scouts. We were doing the 50-yard dash. We were at the pier. There were about 8 or 9 of us racing. I caught cramps going down the third time. I started yelling 'Help!' for assistance. The fellows didn't believe my cries for help. They thought I was trying to catch up. All of them kept going and left me. I started going down into the water. The scoutmaster was watching me. The scoutmaster ignored my cries for help. Another guy walked up that minute. He jumped over and grabbed me.,500,188.51,174.35,14,14,2
35,I was in the boy scouts. We were doing the 50-yard dash. We were racing at the pier. There were about 8 or 9 of us racing. I caught cramps during the third dash. I started yelling for help. The others didn't believe me. They thought I was just trying to catch up. All of them kept going without me. The scoutmaster was watching us. The scoutmaster didn't pay attention to me. Another guy walked up at that moment. He jumped over and grabbed me. I was saved by that guy.,469,151.52,152.84,14,14,3
36,"I was in the boy scouts. We were doing the 50-yard dash. We were racing at the pier. There were about 8 or 9 of us racing. We were going down and coming back. On the third time, I caught cramps. I started yelling 'Help!'. The fellows didn't believe me. They thought I was trying to catch up. All of them kept going. They left me. I started going down. The scoutmaster was watching me. He didn't pay me any attention. Another guy jumped over and grabbed me.",456,186.66,180.64,15,15,1
37,I was in the boy scouts at the time. We were doing the 50-yard dash. We were at the pier for the race. There were about 8 or 9 of us racing. I caught cramps during the third run. I started yelling for help. The fellows didn't believe me. They thought I was just trying to catch up. They all kept going and left me. I started going down in the water. The Scoutmaster was watching me. He didn't pay me any attention. Another guy walked up at that moment. He jumped over without hesitation. He grabbed and saved me.,512,175.39,178.1,15,15,2
38,"I was in the boy scouts at the time. We were doing the 50-yard dash at the pier. There were about 8 or 9 of us racing. On the third run, I caught cramps. I started yelling for help. The fellows didn't believe me. They thought I was trying to catch up. All of them kept going. They left me behind. I started going down into the water. The scoutmaster was watching me. He didn't pay attention to my calls for help. Another guy walked up unexpectedly. The new guy noticed I needed help. He jumped in and grabbed me.",512,161.27,159.69,15,15,3
