segment_id,segment_text,p-caught
1,"Yeah, I was in the boy scouts at the time.",82.65%
2,"And we was doing the 50-yard dash,",80.61%
3,"racing,",44.90%
4,"but we was at the pier, marked off,",50.00%
5,and so we was doing the 50-yard dash.,80.61%
6,"There was about 8 or 9 of us, you know, going down, coming back.",67.35%
7,"And, going down the third time, I caught cramps",92.86%
8,"and I started yelling ""Help!"",",63.27%
9,"but the fellows didn't believe me, you know.",83.67%
10,"They thought I was just trying to catch up, because I was going on or slowing down.",65.31%
11,So all of them kept going.,56.12%
12,They leave me.,33.67%
13,And so I started going down.,29.59%
14,Scoutmaster was up there.,70.41%
15,He was watching me.,59.18%
16,But he didn't pay me no attention either.,75.51%
17,"And for no reason at all there was another guy, who had just walked up that minute...",69.39%
18,He just jumped over,66.33%
19,and grabbed me.,70.41%
