index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,138,0.3549,I was racing with the boy scouts and got cramps. I called for help but everyone ignored me. A guy who just arrived jumped in and saved me.,48.97,3,3,7,I found myself competing in a race alongside the boy scouts when I experienced cramps. My cries for assistance went unheard as everyone disregarded me. An individual who had recently shown up leaped into action and rescued me.,226,41.28069760079998,0.1827
1,141,0.4827,I got cramps during a 50-yard dash at the pier. I yelled for help but my peers and scoutmaster ignored me. A passerby jumped in and saved me.,68.06,3,3,2,"Cramps struck me while sprinting the 50-yard stretch on the dock. Despite my cries for assistance, my companions and scout leader disregarded me. An onlooker leaped to my rescue and pulled me to safety.",202,46.99050139710002,0.2326
2,157,0.4634,I raced in the 50-yard dash at the pier. I caught cramps and yelled for help. The other scouts and scoutmaster ignored me. A stranger jumped in and saved me.,72.75,4,4,2,I sprinted in the short-distance sprint by the dock. I experienced muscle spasms and cried out for assistance. The remaining scouts and the leader paid no attention to my plight. An unknown individual leaped into action and rescued me.,235,39.70542144810001,0.169
3,171,0.3361,"I participated in a 50-yard dash with other boy scouts. I experienced cramps and called for help, but no one believed me. A random guy noticed and saved me from the water.",57.47,3,3,1,"I took part in a short sprint spanning 50 yards alongside fellow boy scouts. I suffered from muscle spasms and cried out for assistance, yet my claims were met with disbelief. An unknown individual observed my distress and rescued me from the aquatic peril.",257,43.1432876264,0.1679
4,177,0.3617,"I was participating in a 50-yard dash with the boy scouts. I caught cramps and started yelling for help, but no one believed me. A guy who just arrived jumped in and rescued me.",64.02,3,3,8,"I took part in a sprint spanning 50 yards alongside the boy scouts. Cramps seized me and I began to shout for assistance, yet nobody took me seriously. A man who had recently shown up leaped into action and saved me.",216,48.3196992558,0.2237
5,185,0.3866,"I participated in a 50-yard dash at the pier with other boy scouts. I caught cramps and yelled for help, but no one believed me. A random guy jumped in to help me when I was in trouble.",71.52,3,3,5,"I took part in a short sprint spanning 50 yards alongside fellow boy scouts at the dock. I experienced muscle cramps and cried out for assistance, yet my pleas were met with disbelief. An unknown individual leaped to my aid during my moment of distress.",253,48.100925439799994,0.1901
6,187,0.4259,"I was racing in the 50-yard dash with the other scouts on the pier. I got cramps and started yelling for help, but no one believed me. A guy who had just arrived jumped over and saved me.",79.65,3,3,6,"I competed in the short sprint alongside fellow scouts at the dock. Cramps struck me, prompting cries for assistance, yet my pleas were met with disbelief. A newcomer leaped into action and rescued me.",201,48.56466923699999,0.2416
7,191,0.4038,"I was participating in a 50-yard dash at the pier with other boy scouts. I got cramps and yelled for help, but no one believed me and left me. A guy who just arrived jumped in and rescued me.",77.13,3,3,3,"I took part in a short sprint along the dock with fellow scouts. Suffering from muscle spasms, I cried out for assistance, yet everyone dismissed my pleas and abandoned me. A man who had just shown up dove in to save me.",220,49.824546821300004,0.2265
8,198,0.3879,"I was racing in the 50-yard dash with the boy scouts at the pier. I caught cramps and yelled for help, but nobody believed me or paid attention. A guy who happened to walk by jumped in and saved me.",76.81,3,3,4,"I competed in the short sprint with the boy scouts on the dock. I experienced muscle spasms and cried out for assistance, yet no one took me seriously or gave heed. A passerby, who was there by chance, leaped into action and rescued me.",236,51.823316178100015,0.2196
9,208,0.3472,I participated in a 50-yard dash at the pier with fellow boy scouts. I caught cramps while running and yelled for help. My friends thought I was joking and left me behind. A stranger jumped over and saved me.,72.21,4,4,1,"I took part in a short sprint along the dock with other members of the boy scouts. During the race, I experienced muscle spasms and cried out for assistance. Believing I was kidding, my companions continued on without me. An unknown individual leaped to my aid and rescued me.",276,48.938407886600025,0.1773
