segment_id,segment_text,p-caught
1,"Yeah, I was in the boy scouts at the time.",60.40%
2,"And we was doing the 50-yard dash,",87.13%
3,"racing,",48.51%
4,"but we was at the pier, marked off,",53.47%
5,and so we was doing the 50-yard dash.,87.13%
6,"There was about 8 or 9 of us, you know, going down, coming back.",70.30%
7,"And, going down the third time, I caught cramps",90.10%
8,"and I started yelling ""Help!"",",80.20%
9,"but the fellows didn't believe me, you know.",86.14%
10,"They thought I was just trying to catch up, because I was going on or slowing down.",62.38%
11,So all of them kept going.,72.28%
12,They leave me.,35.64%
13,And so I started going down.,50.50%
14,Scoutmaster was up there.,83.17%
15,He was watching me.,67.33%
16,But he didn't pay me no attention either.,81.19%
17,"And for no reason at all there was another guy, who had just walked up that minute...",84.16%
18,He just jumped over,86.14%
19,and grabbed me.,86.14%
