original_summary_name,rephrased_summary_name,mbits,original_length,rephrased_length
summary_gpt4o_71_1,summary_gpt4o_71_1,1275.6859163751835,3169,2913
summary_gpt4o_71_1,summary_gpt4o_12_1,142.03191084055,3169,606
summary_gpt4o_71_1,summary_gpt4o_63_1,560.6505659663395,3169,2403
summary_gpt4o_71_1,summary_gpt4o_100_1,556.9609204486762,3169,2915
summary_gpt4o_71_1,summary_gpt4o_28_1,308.7789331144801,3169,1243
summary_gpt4o_71_1,summary_gpt4o_55_1,522.7665598138208,3169,2756
summary_gpt4o_71_1,summary_gpt4o_36_1,322.78616479565994,3169,1547
summary_gpt4o_71_1,summary_gpt4o_47_1,514.619272513203,3169,2011
summary_gpt4o_71_1,summary_gpt4o_24_1,250.83628225987547,3169,1052
summary_gpt4o_71_1,summary_gpt4o_59_1,544.8128740497447,3169,2094
summary_gpt4o_71_1,summary_gpt4o_90_1,548.5219250213016,3169,2408
summary_gpt4o_71_1,summary_gpt4o_190_1,638.0659812515291,3169,3049
summary_gpt4o_71_1,summary_gpt4o_182_1,524.9896941273314,3169,6567
summary_gpt4o_71_1,summary_gpt4o_82_1,581.171145251916,3169,3090
summary_gpt4o_71_1,summary_gpt4o_5_1,79.56452750199999,3169,347
summary_gpt4o_71_1,summary_gpt4o_9_1,154.88165941992995,3169,555
summary_gpt4o_71_1,summary_gpt4o_180_1,558.8832455407296,3169,3334
summary_gpt4o_71_1,summary_gpt4o_80_1,517.652815256816,3169,3176
summary_gpt4o_71_1,summary_gpt4o_192_1,499.17513263749686,3169,2631
summary_gpt4o_71_1,summary_gpt4o_7_1,76.76527152923103,3169,382
summary_gpt4o_71_1,summary_gpt4o_61_1,565.9851525525067,3169,2542
summary_gpt4o_71_1,summary_gpt4o_110_1,534.9974881863295,3169,3495
summary_gpt4o_71_1,summary_gpt4o_10_1,115.26487825304002,3169,562
summary_gpt4o_71_1,summary_gpt4o_73_1,494.11480542894947,3169,2434
summary_gpt4o_71_1,summary_gpt4o_26_1,304.18936675930775,3169,1288
summary_gpt4o_71_1,summary_gpt4o_38_1,404.6506532010869,3169,1437
summary_gpt4o_71_1,summary_gpt4o_45_1,444.8075161350679,3169,1886
summary_gpt4o_71_1,summary_gpt4o_34_1,336.92111190955825,3169,1458
summary_gpt4o_71_1,summary_gpt4o_49_1,460.0312719947599,3169,2063
summary_gpt4o_71_1,summary_gpt4o_57_1,541.0990775426529,3169,2195
summary_gpt4o_71_1,summary_gpt4o_3_1,48.54898978219997,3169,222
summary_gpt4o_71_1,summary_gpt4o_184_1,587.7069011165329,3169,3004
summary_gpt4o_71_1,summary_gpt4o_84_1,515.9658818954074,3169,3636
summary_gpt4o_71_1,summary_gpt4o_130_1,592.8869188703038,3169,5111
summary_gpt4o_71_1,summary_gpt4o_30_1,342.299284506724,3169,1313
summary_gpt4o_71_1,summary_gpt4o_53_1,503.7583530079586,3169,2059
summary_gpt4o_71_1,summary_gpt4o_22_1,334.9801589550734,3169,1264
summary_gpt4o_71_1,summary_gpt4o_41_1,485.64196066964746,3169,2233
summary_gpt4o_71_1,summary_gpt4o_69_1,481.3064424837071,3169,2969
summary_gpt4o_71_1,summary_gpt4o_14_1,165.82148684377998,3169,674
summary_gpt4o_71_1,summary_gpt4o_77_1,527.1295461042746,3169,2412
summary_gpt4o_71_1,summary_gpt4o_65_1,493.33044335958766,3169,2026
summary_gpt4o_71_1,summary_gpt4o_18_1,194.54528128501505,3169,768
summary_gpt4o_71_1,summary_gpt4o_43_1,554.3434209450593,3169,2308
summary_gpt4o_71_1,summary_gpt4o_20_1,191.29067862568337,3169,694
summary_gpt4o_71_1,summary_gpt4o_120_1,582.9446769386859,3169,3707
summary_gpt4o_71_1,summary_gpt4o_51_1,440.4864803353589,3169,2140
summary_gpt4o_71_1,summary_gpt4o_32_1,328.68759084010594,3169,1291
summary_gpt4o_71_1,summary_gpt4o_67_1,533.0050481089388,3169,2589
summary_gpt4o_71_1,summary_gpt4o_79_1,488.48547722047306,3169,3494
summary_gpt4o_71_1,summary_gpt4o_75_1,577.9605854996844,3169,3110
summary_gpt4o_71_1,summary_gpt4o_16_1,216.37351481298504,3169,889
summary_gpt4o_71_1,summary_gpt4o_186_1,495.0839447260242,3169,8438
summary_gpt4o_71_1,summary_gpt4o_86_1,632.8245935380778,3169,3016
summary_gpt4o_71_1,summary_gpt4o_194_1,558.0199374070944,3169,5161
summary_gpt4o_71_1,summary_gpt4o_4_1,38.31106402191999,3169,330
summary_gpt4o_71_1,summary_gpt4o_8_1,142.92368676289328,3169,617
summary_gpt4o_71_1,summary_gpt4o_191_1,542.8869384200543,3169,7015
summary_gpt4o_71_1,summary_gpt4o_183_1,630.86875635244,3169,3384
summary_gpt4o_71_1,summary_gpt4o_83_1,585.1540964501165,3169,2641
summary_gpt4o_71_1,summary_gpt4o_37_1,479.0862054129184,3169,2012
summary_gpt4o_71_1,summary_gpt4o_54_1,595.685274926428,3169,2625
summary_gpt4o_71_1,summary_gpt4o_29_1,286.12849008243575,3169,1192
summary_gpt4o_71_1,summary_gpt4o_58_1,523.6705083338965,3169,2431
summary_gpt4o_71_1,summary_gpt4o_25_1,250.1178332245931,3169,1170
summary_gpt4o_71_1,summary_gpt4o_46_1,488.3965368416599,3169,1962
summary_gpt4o_71_1,summary_gpt4o_13_1,190.98472848432704,3169,833
summary_gpt4o_71_1,summary_gpt4o_70_1,606.4315054063219,3169,2792
summary_gpt4o_71_1,summary_gpt4o_170_1,521.0101606879148,3169,4716
summary_gpt4o_71_1,summary_gpt4o_62_1,452.082558482219,3169,1947
summary_gpt4o_71_1,summary_gpt4o_44_1,459.6223208065456,3169,1696
summary_gpt4o_71_1,summary_gpt4o_39_1,409.03050395713115,3169,2048
summary_gpt4o_71_1,summary_gpt4o_27_1,391.61224620489145,3169,1517
summary_gpt4o_71_1,summary_gpt4o_56_1,489.8174025754181,3169,2221
summary_gpt4o_71_1,summary_gpt4o_48_1,440.3105822436447,3169,2356
summary_gpt4o_71_1,summary_gpt4o_35_1,368.8734366220822,3169,1337
summary_gpt4o_71_1,summary_gpt4o_160_1,592.5159954664418,3169,2963
summary_gpt4o_71_1,summary_gpt4o_60_1,541.3440152628348,3169,2457
summary_gpt4o_71_1,summary_gpt4o_72_1,501.7351258308081,3169,3030
summary_gpt4o_71_1,summary_gpt4o_11_1,153.933997633219,3169,645
summary_gpt4o_71_1,summary_gpt4o_6_1,102.56321901146998,3169,388
summary_gpt4o_71_1,summary_gpt4o_181_1,541.3413985752676,3169,2652
summary_gpt4o_71_1,summary_gpt4o_81_1,514.4119749395373,3169,2739
summary_gpt4o_71_1,summary_gpt4o_193_1,599.2881581267293,3169,6556
summary_gpt4o_71_1,summary_gpt4o_76_1,604.6686558608685,3169,2882
summary_gpt4o_71_1,summary_gpt4o_15_1,227.10146502694067,3169,828
summary_gpt4o_71_1,summary_gpt4o_68_1,458.95647037823255,3169,1927
summary_gpt4o_71_1,summary_gpt4o_19_1,248.55207451782144,3169,884
summary_gpt4o_71_1,summary_gpt4o_64_1,474.4046101281299,3169,2483
summary_gpt4o_71_1,summary_gpt4o_52_1,503.4357275165207,3169,2113
summary_gpt4o_71_1,summary_gpt4o_31_1,350.62524899691755,3169,1221
summary_gpt4o_71_1,summary_gpt4o_140_1,502.1800691553366,3169,2344
summary_gpt4o_71_1,summary_gpt4o_40_1,426.60488755193865,3169,1951
summary_gpt4o_71_1,summary_gpt4o_23_1,252.43119714612715,3169,1001
summary_gpt4o_71_1,summary_gpt4o_189_1,616.516898522661,3169,3213
summary_gpt4o_71_1,summary_gpt4o_185_1,520.2141337536345,3169,5430
summary_gpt4o_71_1,summary_gpt4o_85_1,563.2570631761834,3169,2360
summary_gpt4o_71_1,summary_gpt4o_187_1,582.7826525717219,3169,7899
summary_gpt4o_71_1,summary_gpt4o_78_1,549.7874374334197,3169,4135
summary_gpt4o_71_1,summary_gpt4o_66_1,550.6721922061531,3169,1977
summary_gpt4o_71_1,summary_gpt4o_17_1,186.21310117662009,3169,845
summary_gpt4o_71_1,summary_gpt4o_74_1,586.1933563416535,3169,3473
summary_gpt4o_71_1,summary_gpt4o_21_1,245.35193963803113,3169,1139
summary_gpt4o_71_1,summary_gpt4o_42_1,422.6146877246815,3169,1795
summary_gpt4o_71_1,summary_gpt4o_33_1,330.63437634923895,3169,1299
summary_gpt4o_71_1,summary_gpt4o_50_1,441.0258533063587,3169,2236
summary_gpt4o_71_1,summary_gpt4o_150_1,502.1017370267509,3169,1862
summary_gpt4o_12_1,summary_gpt4o_71_1,90.5246539272198,552,2913
summary_gpt4o_12_1,summary_gpt4o_12_1,233.991537072424,552,606
summary_gpt4o_12_1,summary_gpt4o_63_1,82.47674986129095,552,2403
summary_gpt4o_12_1,summary_gpt4o_100_1,84.40728127402008,552,2915
summary_gpt4o_12_1,summary_gpt4o_28_1,104.01054498897996,552,1243
summary_gpt4o_12_1,summary_gpt4o_55_1,100.36708219643585,552,2756
summary_gpt4o_12_1,summary_gpt4o_36_1,98.57077429907996,552,1547
summary_gpt4o_12_1,summary_gpt4o_47_1,131.7863566263535,552,2011
summary_gpt4o_12_1,summary_gpt4o_24_1,83.65937583434993,552,1052
summary_gpt4o_12_1,summary_gpt4o_59_1,99.64387370752002,552,2094
summary_gpt4o_12_1,summary_gpt4o_90_1,91.39154319855857,552,2408
summary_gpt4o_12_1,summary_gpt4o_190_1,95.18303508120472,552,3049
summary_gpt4o_12_1,summary_gpt4o_182_1,56.91909804500801,552,6567
summary_gpt4o_12_1,summary_gpt4o_82_1,104.47773179673368,552,3090
summary_gpt4o_12_1,summary_gpt4o_5_1,45.76560094199996,552,347
summary_gpt4o_12_1,summary_gpt4o_9_1,98.00420439578,552,555
summary_gpt4o_12_1,summary_gpt4o_180_1,79.65700818034611,552,3334
summary_gpt4o_12_1,summary_gpt4o_80_1,79.7466076571402,552,3176
summary_gpt4o_12_1,summary_gpt4o_192_1,86.35890493163788,552,2631
summary_gpt4o_12_1,summary_gpt4o_7_1,38.93022962765997,552,382
summary_gpt4o_12_1,summary_gpt4o_61_1,111.02905725572624,552,2542
summary_gpt4o_12_1,summary_gpt4o_110_1,81.6714753461622,552,3495
summary_gpt4o_12_1,summary_gpt4o_10_1,47.91364158768005,552,562
summary_gpt4o_12_1,summary_gpt4o_73_1,77.58932567992974,552,2434
summary_gpt4o_12_1,summary_gpt4o_26_1,97.35012366659998,552,1288
summary_gpt4o_12_1,summary_gpt4o_38_1,122.68616352540698,552,1437
summary_gpt4o_12_1,summary_gpt4o_45_1,88.2038247729406,552,1886
summary_gpt4o_12_1,summary_gpt4o_34_1,96.10328246357312,552,1458
summary_gpt4o_12_1,summary_gpt4o_49_1,123.67326303360596,552,2063
summary_gpt4o_12_1,summary_gpt4o_57_1,90.31659405735512,552,2195
summary_gpt4o_12_1,summary_gpt4o_3_1,36.8758741848,552,222
summary_gpt4o_12_1,summary_gpt4o_184_1,91.9733944182351,552,3004
summary_gpt4o_12_1,summary_gpt4o_84_1,49.50673593251145,552,3636
summary_gpt4o_12_1,summary_gpt4o_130_1,69.79957018411824,552,5111
summary_gpt4o_12_1,summary_gpt4o_30_1,122.92875276256892,552,1313
summary_gpt4o_12_1,summary_gpt4o_53_1,106.02140586496898,552,2059
summary_gpt4o_12_1,summary_gpt4o_22_1,129.53997444515005,552,1264
