segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
1,My daughter died.,95.92,82.8,100.0,100.0,4.08,17.2
2,It’ll be twenty-eight years this month.,45.92,62.37,80.0,100.0,34.08,37.63
3,"The thirtieth of this month, yeah.",14.29,54.84,20.0,100.0,5.71,45.16
4,She died at Methodist Hospital.,55.1,61.29,60.0,70.0,4.9,8.71
5,She had an operation for appendicitis.,65.31,77.42,100.0,100.0,34.69,22.58
6,"It was late Saturday afternoon when they operated, very late.",7.14,30.11,40.0,50.0,32.86,19.89
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",25.51,47.31,40.0,60.0,14.49,12.69
8,She was still under ether.,22.45,41.94,60.0,80.0,37.55,38.06
9,"Back then, they used a lot of ether.",11.22,34.41,40.0,70.0,28.78,35.59
10,There was a chair there.,19.39,32.26,40.0,40.0,20.61,7.74
11,"They were just starting to get people out of bed, you know.",6.12,46.24,30.0,90.0,23.88,43.76
12,"So, Victoria saw the chair,",8.16,23.66,30.0,50.0,21.84,26.34
13,"and she said to the nurse, “What’s this chair doing here?”",12.24,40.86,30.0,60.0,17.76,19.14
14,"The nurse said, “Well, we’ve got to get her out of bed.”",16.33,56.99,40.0,70.0,23.67,13.01
15,"She said, “What are you talking about? She’s still under ether.”",10.2,29.03,30.0,70.0,19.8,40.97
16,“She’s too sick.”,6.12,33.33,20.0,60.0,13.88,26.67
17,"But the nurse said, “Well, that’s the doctor’s orders.”",10.2,47.31,10.0,60.0,-0.2,12.69
18,"So, they went to get her out of bed,",12.24,46.24,20.0,70.0,7.76,23.76
19,"and she passed out,",23.47,62.37,10.0,90.0,-13.47,27.63
20,and they had to put her back in bed.,11.22,32.26,10.0,80.0,-1.22,47.74
21,"See, here, she never – I don’t know if they knew or what,",0.0,31.18,10.0,80.0,10.0,48.82
22,"but I blame them for the blood clot she got, taking her out of bed.",34.69,67.74,40.0,100.0,5.31,32.26
23,"So, when she was walking around to come home after ten days,",8.16,49.46,20.0,90.0,11.84,40.54
24,I was waiting for the call from the hospital.,23.47,69.89,0.0,90.0,-23.47,20.11
25,I didn’t have a phone then.,15.31,35.48,0.0,70.0,-15.31,34.52
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",12.24,76.34,0.0,80.0,-12.24,3.66
27,"“Mrs. Costa, they just called you from the hospital.",10.2,66.67,0.0,80.0,-10.2,13.33
28,Go Pick Marie up.,11.22,82.8,0.0,80.0,-11.22,-2.8
