segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,My daughter died.,95.92,100.0,100.0,100.0
2,It’ll be twenty-eight years this month.,45.92,79.89,80.0,22.22
3,"The thirtieth of this month, yeah.",14.29,70.11,20.0,11.11
4,She died at Methodist Hospital.,55.1,94.83,60.0,33.33
5,She had an operation for appendicitis.,65.31,95.4,100.0,44.44
6,"It was late Saturday afternoon when they operated, very late.",7.14,77.01,40.0,0.0
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",25.51,90.23,40.0,11.11
8,She was still under ether.,22.45,81.03,60.0,0.0
9,"Back then, they used a lot of ether.",11.22,69.54,40.0,0.0
10,There was a chair there.,19.39,70.11,40.0,0.0
11,"They were just starting to get people out of bed, you know.",6.12,68.39,30.0,0.0
12,"So, Victoria saw the chair,",8.16,67.24,30.0,0.0
13,"and she said to the nurse, “What’s this chair doing here?”",12.24,66.67,30.0,0.0
14,"The nurse said, “Well, we’ve got to get her out of bed.”",16.33,77.01,40.0,0.0
15,"She said, “What are you talking about? She’s still under ether.”",10.2,64.94,30.0,0.0
16,“She’s too sick.”,6.12,63.22,20.0,0.0
17,"But the nurse said, “Well, that’s the doctor’s orders.”",10.2,65.52,10.0,0.0
18,"So, they went to get her out of bed,",12.24,66.09,20.0,0.0
19,"and she passed out,",23.47,66.67,10.0,0.0
20,and they had to put her back in bed.,11.22,60.34,10.0,0.0
21,"See, here, she never – I don’t know if they knew or what,",0.0,56.9,10.0,0.0
22,"but I blame them for the blood clot she got, taking her out of bed.",34.69,77.59,40.0,44.44
23,"So, when she was walking around to come home after ten days,",8.16,63.22,20.0,11.11
24,I was waiting for the call from the hospital.,23.47,67.82,0.0,0.0
25,I didn’t have a phone then.,15.31,54.6,0.0,0.0
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",12.24,56.9,0.0,0.0
27,"“Mrs. Costa, they just called you from the hospital.",10.2,50.0,0.0,0.0
28,Go Pick Marie up.,11.22,50.0,0.0,11.11
29,She’s discharged.”,13.27,49.43,10.0,11.11
30,I had all the clothes laid out on the table.,5.1,50.0,0.0,0.0
31,"And Rita was – I was cooking,",11.22,46.55,0.0,0.0
32,"I said, “Rita, finish the cooking.”",9.18,44.83,0.0,0.0
33,Daddy will be home soon.”,6.12,43.68,0.0,0.0
34,He was working down in the yard.,8.16,41.38,0.0,0.0
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",16.33,48.28,0.0,0.0
36,"And you know, every morning, that first cup of coffee, I offered it to her.",4.08,38.51,10.0,0.0
37,"When I get up in the morning, the first cup is hers.",5.1,37.36,20.0,0.0
38,"Since she’s gone, I never forget that.",0.0,35.63,0.0,0.0
39,"So I said, “Put a pot of coffee on,",2.04,33.33,0.0,0.0
40,and send for some cake from the bakery.”,5.1,32.76,0.0,0.0
41,I’m going to get Marie; they called me.”,0.0,31.03,0.0,0.0
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",0.0,29.31,0.0,0.0
43,"And I went myself. You know, I had the coat on my arm.",5.1,30.46,0.0,0.0
44,She was operated on in March –,2.04,25.29,0.0,0.0
45,"No, April! So that was the thirtieth.",0.0,25.29,0.0,0.0
46,"She was operated – ten days before, so that would be the twentieth.",10.2,23.56,0.0,0.0
47,"The twentieth of April, right? It was kind of chilly.",5.1,22.41,0.0,0.0
48,"Oh, and I had everything in a bag,",1.02,19.54,0.0,0.0
49,and I had the coat on my arm and her dress hanging on my arm.,12.24,23.56,0.0,0.0
50,"She saw me from the windows, from Wolf Street.",10.2,20.11,0.0,0.0
51,"She said, “My mother’s just coming.”",0.0,14.94,0.0,0.0
52,"She was with the girls, saying goodbye to everyone – you know how it is.",3.06,16.09,0.0,0.0
53,"They told me on the phone, it would be ten dollars more for her board.",2.04,17.82,0.0,0.0
54,And to make sure I brought her girdle to put on.,2.04,11.49,0.0,0.0
55,"I said, “All right, I’ll be right over.”",0.0,8.05,0.0,0.0
56,And I went.,0.0,8.05,0.0,0.0
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",15.31,20.11,0.0,0.0
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",22.45,16.67,0.0,0.0
59,"She lived near my sister, and she had ten children.",12.24,3.45,0.0,0.0
60,They had said she was in very bad shape.,1.02,1.72,0.0,0.0
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",6.12,0.57,0.0,0.0
