segment_ids,text,keypoint
"(1, 3)","My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah.",I remember my daughter's death anniversary
"(4, 6)","She died at Methodist Hospital. She had an operation for appendicitis. It was late Saturday afternoon when they operated, very late.",She died after an appendicitis operation
"(7, 9)","Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was. She was still under ether. Back then, they used a lot of ether.",My daughter was under ether post-surgery
"(10, 13)","There was a chair there. They were just starting to get people out of bed, you know. So, Victoria saw the chair, and she said to the nurse, “What’s this chair doing here?”",They planned to get her out of bed too soon
"(14, 17)","The nurse said, “Well, we’ve got to get her out of bed.” She said, “What are you talking about? She’s still under ether.” “She’s too sick.” But the nurse said, “Well, that’s the doctor’s orders.”",The nurse insisted on following doctor's orders
"(18, 20)","So, they went to get her out of bed, and she passed out, and they had to put her back in bed.",My daughter fainted when they moved her
"(21, 22)","See, here, she never – I don’t know if they knew or what, but I blame them for the blood clot she got, taking her out of bed.",I blame them for her fatal blood clot
"(23, 26)","So, when she was walking around to come home after ten days, I was waiting for the call from the hospital. I didn’t have a phone then. The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",I awaited her discharge without a phone
"(27, 29)","“Mrs. Costa, they just called you from the hospital. Go Pick Marie up. She’s discharged.”",I was called to pick her up from the hospital
"(30, 33)","I had all the clothes laid out on the table. And Rita was – I was cooking, I said, “Rita, finish the cooking.” Daddy will be home soon.”",I prepared for her return with coffee and cake
"(34, 37)","He was working down in the yard. I said, “And put a big pot of coffee on,” because she had been wishing for coffee. And you know, every morning, that first cup of coffee, I offered it to her. When I get up in the morning, the first cup is hers.",I still offer her the first cup of coffee
"(38, 41)","Since she’s gone, I never forget that. So I said, “Put a pot of coffee on, and send for some cake from the bakery.” I’m going to get Marie; they called me.”",I was excited to bring Marie home
"(42, 45)","“All right, mother, go ahead,” she said, “I’ll finish up.” And I went myself. You know, I had the coat on my arm. She was operated on in March – No, April! So that was the thirtieth.",I went to the hospital with her clothes
"(46, 49)","She was operated – ten days before, so that would be the twentieth. The twentieth of April, right? It was kind of chilly. Oh, and I had everything in a bag, and I had the coat on my arm and her dress hanging on my arm.",It was chilly when I went to get her
"(50, 52)","She saw me from the windows, from Wolf Street. She said, “My mother’s just coming.” She was with the girls, saying goodbye to everyone – you know how it is.",Marie was saying goodbye to friends
"(53, 56)","They told me on the phone, it would be ten dollars more for her board. And to make sure I brought her girdle to put on. I said, “All right, I’ll be right over.” And I went.",I was told to bring extra money and her girdle
"(57, 60)","But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.” So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder. She lived near my sister, and she had ten children. They had said she was in very bad shape.",I prayed for another patient while waiting
"(61, 64)","I prayed, “Oh dear God, don’t take that mother away from her children.” I was praying for her, you know. Then a little nurse’s aide went to the closet and got some blankets. I started getting the chills,",I felt chills and prayed for the sick mother
"(65, 68)","and I was thinking about it, when the aide said to the nurse, “Oh, she’s going into a cold sweat now.” The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?” “Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",I panicked when they mentioned my daughter
"(69, 72)","“Yes,” she said, “come on in.” So, I went into the room. And my daughter was on the bed with her bedroom slippers and her housecoat on. And the beads of sweat – honest to God, not to exaggerate, they were that big.",Marie was sweating profusely on the bed
"(73, 76)","It came – just poured from her – I said, “What did you do, kill my daughter? You killed her! You killed her!” That’s what I kept yelling.",I accused them of killing my daughter
"(77, 80)","And the doctor rushed in, see, they were trying to get the doctor, you know. She was a lady doctor. Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",The doctors couldn't explain what happened
"(81, 84)","She was a lady doctor. So, she came in and she said – I said, “You killed my daughter – what did you do to her?” She said, “We don’t know what happened, Mrs. Costa.”",I was distraught and demanded answers
"(85, 88)","She took me away from the bed. The nurse said to me, “Talk to her.” I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?” And I was screaming.",I was hysterical as Marie was dying
"(89, 91)","My hair was all pulled out. I went hysterical, you know what I mean? She was only eighteen years old. Beautiful girl, you can see from her picture.",I went into shock over my young daughter's death
"(92, 95)","And just as I turned my back, my daughter passed away. She was getting ready to go home. I had the clothes and everything ready. My husband was waiting for her.",Marie passed away just before going home
"(96, 99)","He came home, went upstairs to shave and wash, then sat on the step, waiting. “When is the mother coming?” The hospital kept calling. The people in the office didn’t know what had happened yet.","My husband was unaware, waiting for her"
"(100, 103)","They kept calling the store, trying to reach us. They asked, “When is the mother coming to pick up Marie? She’s discharged.” And Rita said “That’s strange, the mother went to the hospital. She should be there.”","The hospital kept calling, unaware of her death"
"(104, 107)","So they came back to the hospital to look for us. Rita said, “Gee, that’s strange,” she said, “Mother must’ve gotten really worked up about Marie.” You know, I’ve always had a bad heart.",Rita worried about my reaction to Marie's discharge
"(108, 111)","“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought. So she came over with my son-in-law, in the car. And I was in the main hallway, at the office. I was all pulled apart.",Rita found me distraught at the hospital
"(112, 115)","One doctor wanted to give me a shot. I said, “Get out of here, I’ll kick you,” I said. “You killed my daughter, now you want to kill me?”","I refused medical help, blaming them for her death"
"(116, 119)","Another nurse came over. See, they all knew me. I had three operations in no time, not even a year. And I knew all the nurses.",I knew the nurses from my own operations
"(120, 123)","“Mrs. Costa, please, take –” “Get out!” I said, “Don’t you dare come near me.” I was so hysterical. I was banging my head against the wall and everything.",I was hysterical and refused their comfort
"(124, 127)","They had to grab me. Then they brought me to the office, see. When Rita came in and saw me like that, she asked, “Mother, what happened?” I said, “We lost Marie.",Rita collapsed upon hearing of Marie's death
"(128, 131)","Marie died.” Well, that’s this one. This is a picture of Rita. She went down like lightning. Dropped to the floor, and that’s a marble floor.",Rita suffered a leg injury from the shock
