segment_id,segment_text,real_p_caught,gpt4o_emulated_p_caught,diff,abs_diff
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",44,92,-48,48
30,I had all the clothes laid out on the table.,44,88,-44,44
11,"They were just starting to get people out of bed, you know.",43,82,-39,39
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",42,81,-39,39
8,She was still under ether.,39,77,-38,38
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",47,83,-36,36
22,"but I blame them for the blood clot she got, taking her out of bed.",63,98,-35,35
14,"The nurse said, “Well, we’ve got to get her out of bed.”",53,88,-35,35
2,It’ll be twenty-eight years this month.,58,92,-34,34
4,She died at Methodist Hospital.,57,91,-34,34
6,"It was late Saturday afternoon when they operated, very late.",28,62,-34,34
53,"They told me on the phone, it would be ten dollars more for her board.",24,58,-34,34
190,It was a shock to everybody. That was a shock that –,42,76,-34,34
18,"So, they went to get her out of bed,",43,76,-33,33
46,"She was operated – ten days before, so that would be the twentieth.",46,14,32,32
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",52,83,-31,31
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",43,74,-31,31
192,"She was a real quiet girl, pleasant, didn’t talk much,",42,72,-30,30
59,"She lived near my sister, and she had ten children.",35,65,-30,30
60,They had said she was in very bad shape.,33,63,-30,30
102,She’s discharged.”,47,17,30,30
130,She went down like lightning.,47,76,-29,29
159,"He asked, “What’s the matter? What happened to you?”",42,13,29,29
140,And how did they figure how Marie died?,33,6,27,27
31,"And Rita was – I was cooking,",47,74,-27,27
125,"Then they brought me to the office, see.",38,11,27,27
5,She had an operation for appendicitis.,72,99,-27,27
45,"No, April! So that was the thirtieth.",50,24,26,26
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",66,92,-26,26
161,I didn’t know what I had done to myself.,36,10,26,26
160,"Well, my hair was all pulled, and my face – I was a mess.",38,12,26,26
75,You killed her! You killed her!”,58,83,-25,25
39,"So I said, “Put a pot of coffee on,",35,60,-25,25
32,"I said, “Rita, finish the cooking.”",43,68,-25,25
29,She’s discharged.”,30,5,25,25
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",36,11,25,25
19,"and she passed out,",58,83,-25,25
50,"She saw me from the windows, from Wolf Street.",37,61,-24,24
3,"The thirtieth of this month, yeah.",51,75,-24,24
158,My husband was sitting on the step.,47,23,24,24
118,"I had three operations in no time, not even a year.",41,17,24,24
117,"See, they all knew me.",42,18,24,24
94,I had the clothes and everything ready.,38,14,24,24
152,I wouldn’t let them touch her.,35,59,-24,24
166,"Right there, my Michael came, and my Michael collapsed.",68,91,-23,23
193,"but she was so good, I can’t even tell you.",44,67,-23,23
119,And I knew all the nurses.,39,16,23,23
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",37,59,-22,22
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",40,62,-22,22
85,She took me away from the bed.,29,7,22,22
141,"The girl who was walking with Marie,",32,10,22,22
176,My sister’s husband – he’s passed away now too. God rest his soul.,46,24,22,22
168,"It was all – my two sisters were here, waiting until about half-past four.",39,60,-21,21
21,"See, here, she never – I don’t know if they knew or what,",29,8,21,21
44,She was operated on in March –,33,12,21,21
15,"She said, “What are you talking about? She’s still under ether.”",27,48,-21,21
9,"Back then, they used a lot of ether.",32,53,-21,21
177,Maybe you know him...,42,21,21,21
24,I was waiting for the call from the hospital.,65,86,-21,21
115,"“You killed my daughter, now you want to kill me?”",53,33,20,20
153,So when I got home – they took me home.,63,43,20,20
74,"I said, “What did you do, kill my daughter?",72,92,-20,20
144,And then Marie collapsed.,44,24,20,20
1,My daughter died.,77,97,-20,20
27,"“Mrs. Costa, they just called you from the hospital.",62,82,-20,20
64,"I started getting the chills,",28,47,-19,19
172,"I said, “All right.”",34,15,19,19
163,My husband had a heart attack.,75,94,-19,19
178,"So they were waiting for my call, you know,",46,27,19,19
164,"Yes, he had a heart attack.",60,41,19,19
17,"But the nurse said, “Well, that’s the doctor’s orders.”",44,62,-18,18
132,She went down like lightning.,39,21,18,18
100,"They kept calling the store, trying to reach us.",47,65,-18,18
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",37,20,17,17
54,And to make sure I brought her girdle to put on.,24,41,-17,17
174,I called my brother-in-law.,49,32,17,17
55,"I said, “All right, I’ll be right over.”",22,5,17,17
107,"You know, I’ve always had a bad heart.",36,19,17,17
186,"They said, “James, what’s the matter, honey?",52,35,17,17
136,"Thirty – no, twenty-eight years since her sister died?",47,30,17,17
69,"“Yes,” she said, “come on in.”",46,29,17,17
36,"And you know, every morning, that first cup of coffee, I offered it to her.",36,53,-17,17
146,"I said, “Don’t you dare touch my daughter.",48,65,-17,17
23,"So, when she was walking around to come home after ten days,",46,62,-16,16
91,"Beautiful girl, you can see from her picture.",32,16,16,16
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",71,87,-16,16
182,"and done the cement work, and they were cleaning the pavement.",50,34,16,16
56,And I went.,49,33,16,16
150,You want to find out what she died from.”,47,63,-16,16
175,He was an undertaker.,47,31,16,16
78,"see, they were trying to get the doctor, you know.",32,16,16,16
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",41,57,-16,16
137,"When she gets that pain, it’s like she has phlebitis from it.",46,62,-16,16
183,"They said, “Here comes little Jamie,” and now they said,",50,35,15,15
181,"They had cleaned the pavement,",50,35,15,15
187,Why are you crying?”,51,36,15,15
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",50,35,15,15
98,The hospital kept calling.,43,58,-15,15
97,“When is the mother coming?”,45,30,15,15
62,"I was praying for her, you know.",22,7,15,15
95,My husband was waiting for her.,50,65,-15,15
40,and send for some cake from the bakery.”,35,50,-15,15
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",25,11,14,14
165,"Then my son, Michael, yeah. That night.",50,64,-14,14
111,I was all pulled apart.,42,28,14,14
99,The people in the office didn’t know what had happened yet.,46,60,-14,14
184,“Maybe he’s come to tell us Marie’s home.”,52,38,14,14
83,"I said, “You killed my daughter – what did you do to her?”",66,52,14,14
109,"So she came over with my son-in-law, in the car.",42,56,-14,14
93,She was getting ready to go home.,46,33,13,13
86,"The nurse said to me, “Talk to her.”",38,25,13,13
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",32,45,-13,13
167,"He had a heart attack too, no kidding.",51,38,13,13
131,"Dropped to the floor, and that’s a marble floor.",43,56,-13,13
77,"And the doctor rushed in,",39,26,13,13
129,"Well, that’s this one. This is a picture of Rita.",32,19,13,13
127,"I said, “We lost Marie.",48,36,12,12
124,They had to grab me.,45,33,12,12
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",65,53,12,12
173,"So, I got home and called everybody, told them what happened.",60,48,12,12
20,and they had to put her back in bed.,30,42,-12,12
84,"She said, “We don’t know what happened, Mrs. Costa.”",50,62,-12,12
65,"and I was thinking about it,",21,10,11,11
63,Then a little nurse’s aide went to the closet and got some blankets.,30,19,11,11
116,Another nurse came over.,43,32,11,11
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",39,28,11,11
82,"So, she came in and she said –",26,15,11,11
70,"So, I went into the room.",51,41,10,10
41,I’m going to get Marie; they called me.”,49,59,-10,10
185,"But when he got there, the poor kid’s eyes were all red.",52,42,10,10
194,That’s all. So that’s what happened.,34,24,10,10
47,"The twentieth of April, right? It was kind of chilly.",21,12,9,9
188,"“Aunt Jenny, Aunt Millie, Marie died,” he said.",58,49,9,9
43,"And I went myself. You know, I had the coat on my arm.",45,54,-9,9
92,"And just as I turned my back, my daughter passed away.",60,69,-9,9
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”",62,53,9,9
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",50,41,9,9
79,She was a lady doctor.,42,33,9,9
37,"When I get up in the morning, the first cup is hers.",33,41,-8,8
104,So they came back to the hospital to look for us.,43,35,8,8
154,I was screaming in the car.,43,51,-8,8
121,"“Get out!” I said, “Don’t you dare come near me.”",48,40,8,8
169,"They waited because they knew she was coming home that day, waiting for the call.",39,31,8,8
149,"I said, “Don’t you dare touch my daughter.",47,55,-8,8
128,Marie died.”,52,44,8,8
135,And that girl is suffering.,41,33,8,8
123,I was banging my head against the wall and everything.,58,50,8,8
189,"Well, my sisters and my mother, you know, they were all alive.",38,30,8,8
13,"and she said to the nurse, “What’s this chair doing here?”",38,46,-8,8
12,"So, Victoria saw the chair,",22,30,-8,8
145,"Later, they said it was a blood clot.",70,77,-7,7
122,I was so hysterical.,53,46,7,7
106,"she said, “Mother must’ve gotten really worked up about Marie.”",40,34,6,6
34,He was working down in the yard.,37,31,6,6
120,"“Mrs. Costa, please, take –”",47,41,6,6
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,52,58,-6,6
76,That’s what I kept yelling.,53,47,6,6
148,I don’t care who’s in it.”,44,38,6,6
138,"She suffers – seven, eight, nine weeks at a time.",48,53,-5,5
155,"I couldn’t get out, you know, I couldn’t –",39,34,5,5
33,Daddy will be home soon.”,43,48,-5,5
81,She was a lady doctor.,39,34,5,5
10,There was a chair there.,30,35,-5,5
112,One doctor wanted to give me a shot.,49,54,-5,5
134,"Hard like a pole, the back of her leg.",39,34,5,5
101,"They asked, “When is the mother coming to pick up Marie?",50,54,-4,4
179,"but instead, I sent my son James, he was little then.",59,55,4,4
28,Go Pick Marie up.,77,81,-4,4
52,"She was with the girls, saying goodbye to everyone – you know how it is.",32,36,-4,4
88,And I was screaming.,64,60,4,4
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",38,34,4,4
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",51,47,4,4
48,"Oh, and I had everything in a bag,",39,42,-3,3
139,"She can’t walk, she goes through such pain since then.",40,43,-3,3
16,“She’s too sick.”,31,34,-3,3
25,I didn’t have a phone then.,33,36,-3,3
157,"Everybody came out, coming out of their doors because they could hear the screams.",45,48,-3,3
147,I’ll burn this hospital down!,50,53,-3,3
38,"Since she’s gone, I never forget that.",31,34,-3,3
49,and I had the coat on my arm and her dress hanging on my arm.,43,46,-3,3
90,"I went hysterical, you know what I mean? She was only eighteen years old.",63,65,-2,2
156,I was screaming!,43,45,-2,2
151,"But if you touch my daughter, I’ll kill you.”",46,48,-2,2
73,It came – just poured from her –,36,34,2,2
110,"And I was in the main hallway, at the office.",44,42,2,2
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",46,44,2,2
51,"She said, “My mother’s just coming.”",26,25,1,1
105,"Rita said, “Gee, that’s strange,”",41,40,1,1
114,"I’ll kick you,” I said.",49,48,1,1
142,told the doctor that Marie was saying goodbye to Arlene.,35,36,-1,1
113,"I said, “Get out of here,",46,45,1,1
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",46,47,-1,1
133,"And the back of her leg, it felt just like a pole.",41,41,0,0
89,My hair was all pulled out.,53,53,0,0
