segment_id,segment_text,real_p_caught,gpt4o_emulated_p_caught,diff,abs_diff
190,It was a shock to everybody. That was a shock that –,42,100,-58,58
153,So when I got home – they took me home.,63,22,41,41
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",65,100,-35,35
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",44,77,-33,33
25,I didn’t have a phone then.,33,0,33,33
137,"When she gets that pain, it’s like she has phlebitis from it.",46,77,-31,31
10,There was a chair there.,30,0,30,30
138,"She suffers – seven, eight, nine weeks at a time.",48,77,-29,29
27,"“Mrs. Costa, they just called you from the hospital.",62,33,29,29
5,She had an operation for appendicitis.,72,100,-28,28
45,"No, April! So that was the thirtieth.",50,22,28,28
164,"Yes, he had a heart attack.",60,88,-28,28
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",71,44,27,27
165,"Then my son, Michael, yeah. That night.",50,77,-27,27
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",51,77,-26,26
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",52,77,-25,25
128,Marie died.”,52,77,-25,25
163,My husband had a heart attack.,75,100,-25,25
46,"She was operated – ten days before, so that would be the twentieth.",46,22,24,24
1,My daughter died.,77,100,-23,23
83,"I said, “You killed my daughter – what did you do to her?”",66,44,22,22
156,I was screaming!,43,22,21,21
172,"I said, “All right.”",34,55,-21,21
154,I was screaming in the car.,43,22,21,21
166,"Right there, my Michael came, and my Michael collapsed.",68,88,-20,20
76,That’s what I kept yelling.,53,33,20,20
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",42,22,20,20
4,She died at Methodist Hospital.,57,77,-20,20
136,"Thirty – no, twenty-eight years since her sister died?",47,66,-19,19
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,52,33,19,19
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",37,55,-18,18
155,"I couldn’t get out, you know, I couldn’t –",39,22,17,17
15,"She said, “What are you talking about? She’s still under ether.”",27,44,-17,17
189,"Well, my sisters and my mother, you know, they were all alive.",38,55,-17,17
64,"I started getting the chills,",28,44,-16,16
169,"They waited because they knew she was coming home that day, waiting for the call.",39,55,-16,16
168,"It was all – my two sisters were here, waiting until about half-past four.",39,55,-16,16
50,"She saw me from the windows, from Wolf Street.",37,22,15,15
167,"He had a heart attack too, no kidding.",51,66,-15,15
139,"She can’t walk, she goes through such pain since then.",40,55,-15,15
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",37,22,15,15
146,"I said, “Don’t you dare touch my daughter.",48,33,15,15
22,"but I blame them for the blood clot she got, taking her out of bed.",63,77,-14,14
36,"And you know, every morning, that first cup of coffee, I offered it to her.",36,22,14,14
158,My husband was sitting on the step.,47,33,14,14
31,"And Rita was – I was cooking,",47,33,14,14
135,And that girl is suffering.,41,55,-14,14
130,She went down like lightning.,47,33,14,14
192,"She was a real quiet girl, pleasant, didn’t talk much,",42,55,-13,13
38,"Since she’s gone, I never forget that.",31,44,-13,13
59,"She lived near my sister, and she had ten children.",35,22,13,13
177,Maybe you know him...,42,55,-13,13
65,"and I was thinking about it,",21,33,-12,12
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",43,55,-12,12
157,"Everybody came out, coming out of their doors because they could hear the screams.",45,33,12,12
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",32,44,-12,12
12,"So, Victoria saw the chair,",22,33,-11,11
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",66,77,-11,11
17,"But the nurse said, “Well, that’s the doctor’s orders.”",44,55,-11,11
60,They had said she was in very bad shape.,33,22,11,11
44,She was operated on in March –,33,22,11,11
140,And how did they figure how Marie died?,33,22,11,11
193,"but she was so good, I can’t even tell you.",44,55,-11,11
144,And then Marie collapsed.,44,33,11,11
37,"When I get up in the morning, the first cup is hers.",33,22,11,11
129,"Well, that’s this one. This is a picture of Rita.",32,22,10,10
194,That’s all. So that’s what happened.,34,44,-10,10
49,and I had the coat on my arm and her dress hanging on my arm.,43,33,10,10
32,"I said, “Rita, finish the cooking.”",43,33,10,10
52,"She was with the girls, saying goodbye to everyone – you know how it is.",32,22,10,10
9,"Back then, they used a lot of ether.",32,22,10,10
33,Daddy will be home soon.”,43,33,10,10
24,I was waiting for the call from the hospital.,65,55,10,10
47,"The twentieth of April, right? It was kind of chilly.",21,11,10,10
142,told the doctor that Marie was saying goodbye to Arlene.,35,44,-9,9
176,My sister’s husband – he’s passed away now too. God rest his soul.,46,55,-9,9
79,She was a lady doctor.,42,33,9,9
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",46,55,-9,9
16,“She’s too sick.”,31,22,9,9
159,"He asked, “What’s the matter? What happened to you?”",42,33,9,9
117,"See, they all knew me.",42,33,9,9
178,"So they were waiting for my call, you know,",46,55,-9,9
107,"You know, I’ve always had a bad heart.",36,44,-8,8
29,She’s discharged.”,30,22,8,8
2,It’ll be twenty-eight years this month.,58,66,-8,8
102,She’s discharged.”,47,55,-8,8
75,You killed her! You killed her!”,58,66,-8,8
175,He was an undertaker.,47,55,-8,8
85,She took me away from the bed.,29,22,7,7
82,"So, she came in and she said –",26,33,-7,7
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",40,33,7,7
127,"I said, “We lost Marie.",48,55,-7,7
3,"The thirtieth of this month, yeah.",51,44,7,7
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”",62,55,7,7
147,I’ll burn this hospital down!,50,44,6,6
114,"I’ll kick you,” I said.",49,55,-6,6
48,"Oh, and I had everything in a bag,",39,33,6,6
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",50,44,6,6
13,"and she said to the nurse, “What’s this chair doing here?”",38,44,-6,6
173,"So, I got home and called everybody, told them what happened.",60,66,-6,6
174,I called my brother-in-law.,49,55,-6,6
77,"And the doctor rushed in,",39,33,6,6
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",50,44,6,6
95,My husband was waiting for her.,50,44,6,6
74,"I said, “What did you do, kill my daughter?",72,66,6,6
81,She was a lady doctor.,39,33,6,6
8,She was still under ether.,39,33,6,6
84,"She said, “We don’t know what happened, Mrs. Costa.”",50,44,6,6
6,"It was late Saturday afternoon when they operated, very late.",28,22,6,6
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",38,33,5,5
132,She went down like lightning.,39,44,-5,5
125,"Then they brought me to the office, see.",38,33,5,5
101,"They asked, “When is the mother coming to pick up Marie?",50,55,-5,5
119,And I knew all the nurses.,39,44,-5,5
86,"The nurse said to me, “Talk to her.”",38,33,5,5
183,"They said, “Here comes little Jamie,” and now they said,",50,55,-5,5
181,"They had cleaned the pavement,",50,55,-5,5
92,"And just as I turned my back, my daughter passed away.",60,55,5,5
160,"Well, my hair was all pulled, and my face – I was a mess.",38,33,5,5
112,One doctor wanted to give me a shot.,49,44,5,5
134,"Hard like a pole, the back of her leg.",39,44,-5,5
56,And I went.,49,44,5,5
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",39,44,-5,5
94,I had the clothes and everything ready.,38,33,5,5
41,I’m going to get Marie; they called me.”,49,44,5,5
182,"and done the cement work, and they were cleaning the pavement.",50,55,-5,5
145,"Later, they said it was a blood clot.",70,66,4,4
51,"She said, “My mother’s just coming.”",26,22,4,4
70,"So, I went into the room.",51,55,-4,4
21,"See, here, she never – I don’t know if they knew or what,",29,33,-4,4
34,He was working down in the yard.,37,33,4,4
187,Why are you crying?”,51,55,-4,4
179,"but instead, I sent my son James, he was little then.",59,55,4,4
106,"she said, “Mother must’ve gotten really worked up about Marie.”",40,44,-4,4
121,"“Get out!” I said, “Don’t you dare come near me.”",48,44,4,4
149,"I said, “Don’t you dare touch my daughter.",47,44,3,3
150,You want to find out what she died from.”,47,44,3,3
161,I didn’t know what I had done to myself.,36,33,3,3
19,"and she passed out,",58,55,3,3
20,and they had to put her back in bed.,30,33,-3,3
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",41,44,-3,3
63,Then a little nurse’s aide went to the closet and got some blankets.,30,33,-3,3
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",25,22,3,3
120,"“Mrs. Costa, please, take –”",47,44,3,3
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",47,44,3,3
73,It came – just poured from her –,36,33,3,3
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",36,33,3,3
90,"I went hysterical, you know what I mean? She was only eighteen years old.",63,66,-3,3
100,"They kept calling the store, trying to reach us.",47,44,3,3
188,"“Aunt Jenny, Aunt Millie, Marie died,” he said.",58,55,3,3
105,"Rita said, “Gee, that’s strange,”",41,44,-3,3
184,“Maybe he’s come to tell us Marie’s home.”,52,55,-3,3
186,"They said, “James, what’s the matter, honey?",52,55,-3,3
118,"I had three operations in no time, not even a year.",41,44,-3,3
123,I was banging my head against the wall and everything.,58,55,3,3
185,"But when he got there, the poor kid’s eyes were all red.",52,55,-3,3
133,"And the back of her leg, it felt just like a pole.",41,44,-3,3
122,I was so hysterical.,53,55,-2,2
40,and send for some cake from the bakery.”,35,33,2,2
69,"“Yes,” she said, “come on in.”",46,44,2,2
88,And I was screaming.,64,66,-2,2
14,"The nurse said, “Well, we’ve got to get her out of bed.”",53,55,-2,2
89,My hair was all pulled out.,53,55,-2,2
53,"They told me on the phone, it would be ten dollars more for her board.",24,22,2,2
93,She was getting ready to go home.,46,44,2,2
99,The people in the office didn’t know what had happened yet.,46,44,2,2
54,And to make sure I brought her girdle to put on.,24,22,2,2
23,"So, when she was walking around to come home after ten days,",46,44,2,2
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",46,44,2,2
151,"But if you touch my daughter, I’ll kill you.”",46,44,2,2
109,"So she came over with my son-in-law, in the car.",42,44,-2,2
111,I was all pulled apart.,42,44,-2,2
152,I wouldn’t let them touch her.,35,33,2,2
115,"“You killed my daughter, now you want to kill me?”",53,55,-2,2
39,"So I said, “Put a pot of coffee on,",35,33,2,2
113,"I said, “Get out of here,",46,44,2,2
11,"They were just starting to get people out of bed, you know.",43,44,-1,1
131,"Dropped to the floor, and that’s a marble floor.",43,44,-1,1
18,"So, they went to get her out of bed,",43,44,-1,1
141,"The girl who was walking with Marie,",32,33,-1,1
43,"And I went myself. You know, I had the coat on my arm.",45,44,1,1
