recall_id,chars,average,text
summary_gpt4o_3_1.json,184,0.6344,My daughter Marie died after an operation due to a blood clot. I felt angry and blamed the hospital for her death. The news of Marie's death caused heart attacks in my husband and son.
summary_gpt4o_3_2.json,201,0.4773,"My daughter died after complications from an appendicitis operation. I was at the hospital when she unexpectedly passed away. The loss devastated our family, causing us immense grief and health issues."
summary_gpt4o_4_2.json,236,0.5062,My daughter died twenty-eight years ago after an operation. I blame the hospital for her death due to a blood clot. Her sister Rita still suffers from the shock of Marie's death. My family and I were devastated by the news of her death.
summary_gpt4o_3_3.json,237,0.605,"My daughter died due to complications after an appendicitis operation. I was devastated and blamed the hospital for taking her out of bed too soon. Our family's grief was profound, causing additional health crises for my husband and son."
summary_gpt4o_4_3.json,257,0.5386,"My daughter died at the hospital after an appendicitis operation. We were told she was discharged, but she collapsed from a blood clot. I was devastated and blamed the hospital for her death. My husband's and son's health were severely affected by the news."
summary_gpt4o_4_1.json,283,0.6053,"My daughter died in the hospital after surgery due to a blood clot. I was devastated and hysterical upon hearing the news of her death. This tragic event severely impacted my family, causing further health issues. The memory of my daughter and her untimely death haunts me every day."
summary_gpt4o_5_1.json,293,0.5207,"My daughter died at Methodist Hospital after surgery. Victoria visited her in the hospital the following morning. Marie was discharged, but collapsed and died soon after. I blamed the hospital for her death and reacted hysterically. The incident deeply affected my entire family and community."
summary_gpt4o_6_2.json,294,0.61,I lost my daughter Marie twenty-eight years ago. Marie died after an operation due to a blood clot. I went to the hospital to bring Marie home. I was devastated and hysterical after Marie's death. Marie’s death affected my entire family deeply. The loss of Marie left lasting pain in our lives.
summary_gpt4o_5_3.json,333,0.5015,My daughter died 28 years ago on the thirtieth of the month. She had an operation for appendicitis and died due to a suspected blood clot. I blamed the hospital staff for moving her while she was unwell. My husband and son both had heart attacks after hearing the news. The entire neighborhood and family were shocked and devastated.
summary_gpt4o_7_1.json,348,0.5809,My daughter died after an operation for appendicitis. The hospital called me to pick up Marie. I went to the hospital with her clothes prepared. The nurse informed me my daughter had collapsed. Marie complained of leg pain before passing away. I was hysterical and refused to let them touch her. My family was devastated upon learning of her death.
summary_gpt4o_5_2.json,356,0.4778,"My daughter Marie died after surgery due to a blood clot. Victoria found Marie still under ether when they wanted her out of bed. I was preparing to bring Marie home, but learned she passed away at the hospital. My husband and son both had heart attacks after hearing the news. The shock of Marie's death affected the entire family and neighborhood deeply."
summary_gpt4o_6_1.json,356,0.595,"My daughter Marie died twenty-eight years ago after surgery. Victoria found Marie still under ether after surgery. The hospital tried to get Marie out of bed against her condition. I went to pick Marie up, but was informed she had fainting spells. Marie passed away in the hospital unexpectedly. The shock of Marie's death affected my entire family deeply."
summary_gpt4o_7_3.json,364,0.5224,I lost my daughter 28 years ago. My daughter died after an operation at Methodist Hospital. I felt the hospital was to blame for her death. I was devastated and became hysterical upon learning of her death. Our family was deeply affected by Marie's passing. Marie had mentioned leg pain and vision issues before collapsing. The neighborhood remembers Marie fondly.
summary_gpt4o_8_2.json,384,0.5487,My daughter died at Methodist Hospital. She had an operation for appendicitis. She was still under ether after the operation. The nurse took her out of bed despite her condition. They said she had a blood clot when she collapsed. I was told she died when I arrived at the hospital. My family and I were in shock and devastated. Her death impacted my family physically and emotionally.
summary_gpt4o_6_3.json,397,0.4828,"My daughter Marie died at the hospital 28 years ago. Marie had surgery for appendicitis and was still under ether. The hospital staff followed doctor's orders that caused Marie a blood clot. Marie was getting ready to go home when she collapsed and died. I reacted with immense grief and blamed the hospital for Marie's death. The family was devastated by Marie's death, and it impacted us deeply."
summary_gpt4o_9_3.json,397,0.4941,"My daughter died twenty-eight years ago. She died after an operation for appendicitis. I blame the hospital for her blood clot. She was supposed to come home after ten days. At the hospital, I learned she was critically ill. She died suddenly while getting ready to leave. I was hysterical and blamed the doctors. My family was devastated by her death. The memory of Marie still haunts our family."
summary_gpt4o_10_1.json,475,0.5348,"My daughter died at Methodist Hospital. She had an operation for appendicitis. The nurse ignored her condition under ether. The hospital said she was discharged to go home. I was preparing to bring her home and made coffee. At the hospital, I was told my daughter was in distress. I blamed the hospital for a blood clot she had. I was hysterical when she died unexpectedly. My family was devastated and suffered from the shock. My son delivered the tragic news to my sisters."
summary_gpt4o_10_3.json,487,0.5455,"My daughter died on April 30th from a blood clot. She had an appendicitis operation and was under ether. The doctors removed her from bed too soon. I was waiting to pick her up from the hospital. At the hospital, they told me my daughter fainted. I found my daughter sweating heavily and unconscious. I blamed the hospital for what happened to her. My daughter passed away while I was with her. My family was devastated by her sudden death. The community was also shocked by her passing."
summary_gpt4o_7_2.json,493,0.4777,"My daughter died at Methodist Hospital after an appendicitis operation. Victoria visited the hospital and questioned the nurse about my daughter's condition. Marie was discharged, and I prepared to bring her home. The hospital informed me Marie had fainted and was in a critical condition. I arrived to find Marie had died from a suspected blood clot. My family was devastated, and the news caused chaos and hysteria. My son James informed my sisters, and the neighborhood shared in our grief."
summary_gpt4o_8_3.json,505,0.5123,"My daughter died twenty-eight years ago. She had surgery for appendicitis at Methodist Hospital. A nurse tried to get her out of bed too soon after her operation. I went to pick her up from the hospital, but she wasn't ready. At the hospital, they told me she had fainted and was cold sweating. She passed away in the hospital as we were preparing for her discharge. I believe her death was due to a blood clot from being moved too soon. Her death had a devastating impact on our family and the community."
summary_gpt4o_9_1.json,510,0.5721,"I lost my daughter 28 years ago this month. She died after an appendicitis operation at Methodist Hospital. Victoria, my oldest daughter, found her still under ether when visiting. The hospital tried to get her out of bed too early. Marie was discharged but collapsed due to a blood clot. I arrived at the hospital to find she had died. Her passing caused a chain of grief in my family. My husband and son both had heart attacks from the shock. Our neighborhood and family were deeply affected by Marie's loss."
