segment_ids,text,keypoint
"(1, 3)","My daughter died. It’ll be twenty-eight years this month. The thirtieth of this month, yeah.",My daughter died twenty-eight years ago this month
"(4, 6)","She died at Methodist Hospital. She had an operation for appendicitis. It was late Saturday afternoon when they operated, very late.",I lost her after late appendicitis surgery at Methodist
"(7, 9)","Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was. She was still under ether. Back then, they used a lot of ether.",I heard Victoria visit Sunday; Marie still under ether
"(10, 11)","There was a chair there. They were just starting to get people out of bed, you know.",I saw staff preparing to move patients to chairs
"(12, 13)","So, Victoria saw the chair, and she said to the nurse, “What’s this chair doing here?”",I heard Victoria question the nurse about the chair
"(14, 17)","The nurse said, “Well, we’ve got to get her out of bed.” She said, “What are you talking about? She’s still under ether.” “She’s too sick.” But the nurse said, “Well, that’s the doctor’s orders.”",I heard nurse insist doctor ordered Marie up anyway
"(18, 20)","So, they went to get her out of bed, and she passed out, and they had to put her back in bed.",I watched them lift Marie; she fainted immediately
"(21, 22)","See, here, she never – I don’t know if they knew or what, but I blame them for the blood clot she got, taking her out of bed.",I blame that moment for the deadly blood clot
"(23, 25)","So, when she was walking around to come home after ten days, I was waiting for the call from the hospital. I didn’t have a phone then.",Ten days later I waited for the hospital’s call
"(26, 29)","The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night. “Mrs. Costa, they just called you from the hospital. Go Pick Marie up. She’s discharged.”",A storekeeper relayed to me that Marie was discharged
"(30, 33)","I had all the clothes laid out on the table. And Rita was – I was cooking, I said, “Rita, finish the cooking.” Daddy will be home soon.”",I laid out clothes and asked Rita to keep cooking
"(34, 37)","He was working down in the yard. I said, “And put a big pot of coffee on,” because she had been wishing for coffee. And you know, every morning, that first cup of coffee, I offered it to her. When I get up in the morning, the first cup is hers.",Husband worked outside; I prepared the cherished coffee
"(38, 41)","Since she’s gone, I never forget that. So I said, “Put a pot of coffee on, and send for some cake from the bakery.” I’m going to get Marie; they called me.”",I recalled offering her first cup and planned cake
"(42, 43)","“All right, mother, go ahead,” she said, “I’ll finish up.” And I went myself. You know, I had the coat on my arm.",Rita agreed and I rushed off with Marie’s coat
"(44, 47)","She was operated on in March – No, April! So that was the thirtieth. She was operated – ten days before, so that would be the twentieth. The twentieth of April, right? It was kind of chilly.",I remembered the chilly twentieth of April operation
"(48, 49)","Oh, and I had everything in a bag, and I had the coat on my arm and her dress hanging on my arm.",I carried Marie’s clothes and coat in a bag
