real_caught,segment_id,segment_text,gpt4,gpt4o_all,gpt4o_idxmx
82.8,1,My daughter died.,100.0,98.85,100.0
62.37,2,It’ll be twenty-eight years this month.,100.0,90.8,66.67
54.84,3,"The thirtieth of this month, yeah.",100.0,71.26,44.44
61.29,4,She died at Methodist Hospital.,70.0,89.08,77.78
77.42,5,She had an operation for appendicitis.,100.0,99.43,100.0
30.11,6,"It was late Saturday afternoon when they operated, very late.",50.0,53.45,22.22
47.31,7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",60.0,90.23,77.78
41.94,8,She was still under ether.,80.0,71.26,33.33
34.41,9,"Back then, they used a lot of ether.",70.0,48.85,22.22
32.26,10,There was a chair there.,40.0,25.86,
46.24,11,"They were just starting to get people out of bed, you know.",90.0,85.06,44.44
23.66,12,"So, Victoria saw the chair,",50.0,26.44,33.33
40.86,13,"and she said to the nurse, “What’s this chair doing here?”",60.0,44.25,44.44
56.99,14,"The nurse said, “Well, we’ve got to get her out of bed.”",70.0,88.51,55.56
29.03,15,"She said, “What are you talking about? She’s still under ether.”",70.0,48.28,44.44
33.33,16,“She’s too sick.”,60.0,31.03,22.22
47.31,17,"But the nurse said, “Well, that’s the doctor’s orders.”",60.0,61.49,55.56
46.24,18,"So, they went to get her out of bed,",70.0,74.71,44.44
62.37,19,"and she passed out,",90.0,79.89,55.56
32.26,20,and they had to put her back in bed.,80.0,42.53,33.33
31.18,21,"See, here, she never – I don’t know if they knew or what,",80.0,10.34,33.33
67.74,22,"but I blame them for the blood clot she got, taking her out of bed.",100.0,98.28,77.78
49.46,23,"So, when she was walking around to come home after ten days,",90.0,59.2,44.44
69.89,24,I was waiting for the call from the hospital.,90.0,86.78,55.56
35.48,25,I didn’t have a phone then.,70.0,28.74,
76.34,26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",80.0,85.63,44.44
66.67,27,"“Mrs. Costa, they just called you from the hospital.",80.0,83.33,33.33
82.8,28,Go Pick Marie up.,80.0,81.03,77.78
32.26,29,She’s discharged.”,70.0,6.9,22.22
47.31,30,I had all the clothes laid out on the table.,70.0,86.78,44.44
50.54,31,"And Rita was – I was cooking,",70.0,67.82,33.33
46.24,32,"I said, “Rita, finish the cooking.”",70.0,61.49,33.33
46.24,33,Daddy will be home soon.”,70.0,52.87,33.33
39.78,34,He was working down in the yard.,70.0,35.06,33.33
43.01,35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",70.0,60.34,33.33
38.71,36,"And you know, every morning, that first cup of coffee, I offered it to her.",80.0,49.43,22.22
35.48,37,"When I get up in the morning, the first cup is hers.",70.0,39.08,22.22
33.33,38,"Since she’s gone, I never forget that.",70.0,31.03,44.44
37.63,39,"So I said, “Put a pot of coffee on,",70.0,64.94,33.33
37.63,40,and send for some cake from the bakery.”,70.0,56.32,33.33
52.69,41,I’m going to get Marie; they called me.”,70.0,58.62,44.44
26.88,42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",70.0,11.49,22.22
48.39,43,"And I went myself. You know, I had the coat on my arm.",80.0,49.43,44.44
35.48,44,She was operated on in March –,60.0,14.37,22.22
53.76,45,"No, April! So that was the thirtieth.",80.0,26.44,22.22
