segment_id,segment_text,segment_text_rephrased
1,My daughter died., My daughter passed away.
2,It’ll be twenty-eight years this month., It has been almost twenty-eight years since then.
3,"The thirtieth of this month, yeah."," Specifically, it will be on the thirtieth of this month."
4,She died at Methodist Hospital., She passed at Methodist Hospital.
5,She had an operation for appendicitis., She underwent surgery for appendicitis.
6,"It was late Saturday afternoon when they operated, very late.", The operation took place very late on a Saturday afternoon.
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was."," The following morning, my eldest daughter, Victoria, visited the hospital to check on her."
8,She was still under ether., She was still affected by the anesthesia.
9,"Back then, they used a lot of ether."," At that time, ether was commonly used."
10,There was a chair there., There was a chair in the room.
11,"They were just starting to get people out of bed, you know.", They had just begun encouraging patients to get out of bed.
12,"So, Victoria saw the chair,"," Victoria noticed the chair,"
13,"and she said to the nurse, “What’s this chair doing here?”"," and asked the nurse, “Why is this chair here?”"
14,"The nurse said, “Well, we’ve got to get her out of bed.”"," The nurse replied, “We need to help her get out of bed.”"
15,"She said, “What are you talking about? She’s still under ether.”"," Victoria responded, “How can that be? She’s still under the influence of ether.”"
16,“She’s too sick.”, “She’s too ill.”
17,"But the nurse said, “Well, that’s the doctor’s orders.”"," However, the nurse insisted, “Those are the doctor’s instructions.”"
18,"So, they went to get her out of bed,"," They attempted to help her out of bed,"
19,"and she passed out,"," but she fainted,"
20,and they had to put her back in bed., and they had to lay her back down.
21,"See, here, she never – I don’t know if they knew or what,"," You see, I’m not sure if they were aware or not,"
22,"but I blame them for the blood clot she got, taking her out of bed.", but I hold them responsible for the blood clot she developed from being moved.
23,"So, when she was walking around to come home after ten days,"," Then, ten days later as she was preparing to leave the hospital,"
24,I was waiting for the call from the hospital., I was anticipating a call from the hospital.
25,I didn’t have a phone then.," At that time, I didn’t own a phone."
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night."," The woman from the local store, who had a phone, rang me up at about a quarter to five in the evening."
27,"“Mrs. Costa, they just called you from the hospital."," “Mrs. Costa,” she said, “you have a call from the hospital."
28,Go Pick Marie up., Go pick up Marie.
29,She’s discharged.”, She’s ready to be discharged.”
30,I had all the clothes laid out on the table., I had already laid out all her clothes on the table.
31,"And Rita was – I was cooking,"," While I was preparing dinner,"
32,"I said, “Rita, finish the cooking.”"," I instructed Rita, ""Please finish cooking."""
33,Daddy will be home soon.”," ""Dad will be back any minute."""
34,He was working down in the yard., He was busy working outside in the yard.
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee."," I told her, ""Also, start brewing a large pot of coffee,"" since she had been craving it."
36,"And you know, every morning, that first cup of coffee, I offered it to her."," Every morning, I always made sure the first cup was ready for her."
37,"When I get up in the morning, the first cup is hers.", The first thing I do after waking up is prepare her cup of coffee.
38,"Since she’s gone, I never forget that."," Even after she passed, I've continued this ritual."
39,"So I said, “Put a pot of coffee on,"," So I requested, ""Brew some coffee,"
40,and send for some cake from the bakery.”," and order some cake from the bakery."""
41,I’m going to get Marie; they called me.”," ""I need to pick up Marie; they've just informed me."""
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”"," ""Go ahead, mom,"" she replied, ""I'll take care of everything here."""
43,"And I went myself. You know, I had the coat on my arm."," So off I went, coat draped over my arm."
44,She was operated on in March –, Her surgery was in March—
45,"No, April! So that was the thirtieth."," Actually, it was April! So it was the thirtieth."
46,"She was operated – ten days before, so that would be the twentieth."," She had her surgery ten days earlier, so that would have been the twentieth."
47,"The twentieth of April, right? It was kind of chilly."," The twentieth of April, correct? It was quite cool that day."
48,"Oh, and I had everything in a bag,"," Oh, and I had everything packed in a bag,"
49,and I had the coat on my arm and her dress hanging on my arm., along with her coat over my arm and her dress as well.
50,"She saw me from the windows, from Wolf Street.", She spotted me from the windows on Wolf Street.
51,"She said, “My mother’s just coming.”"," She announced, ""There's my mom arriving."""
52,"She was with the girls, saying goodbye to everyone – you know how it is."," She was with her friends, bidding them farewell – you know the drill."
53,"They told me on the phone, it would be ten dollars more for her board.", They had informed me over the phone that there would be an additional charge of ten dollars for her stay.
54,And to make sure I brought her girdle to put on., And they reminded me to bring her girdle.
55,"I said, “All right, I’ll be right over.”"," I responded, ""Okay, I'll be there shortly."""
56,And I went., And then I left.
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”"," But upon my arrival, the nurse told me, ""Please take a seat, Mrs. Costa, just sit here for a bit."""
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.", I sat down and found myself praying for another woman in the hospital who had undergone gall bladder surgery.
59,"She lived near my sister, and she had ten children.", She lived near my sister and was a mother to ten children.
60,They had said she was in very bad shape., I was told she was in quite a critical condition.
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”"," I implored, ""Oh dear God, please don't take this mother from her children."""
62,"I was praying for her, you know."," I was offering prayers for her, you understand."
63,Then a little nurse’s aide went to the closet and got some blankets., Then a young nurse's aide fetched some blankets from the closet.
64,"I started getting the chills,"," I began to feel shivery,"
65,"and I was thinking about it,"," and as I pondered over it,"
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”"," the aide remarked to the nurse, ""She's starting to sweat coldly now."""
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”"," The nurse put down the phone and approached me, asking, ""Mrs. Costa, has your daughter ever experienced a fainting episode?"""
