index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,184,0.0115,My daughter Marie died after an operation due to a blood clot. I felt angry and blamed the hospital for her death. The news of Marie's death caused heart attacks in my husband and son.,2.13,3,3,1,"Marie, my child, passed away following surgery because of a thrombosis. I was filled with rage and held the medical facility responsible for her passing. My husband and son suffered cardiac arrests upon hearing about Marie's demise.",232,-23.46077571141406,-0.1011
1,201,-0.1318,"My daughter died after complications from an appendicitis operation. I was at the hospital when she unexpectedly passed away. The loss devastated our family, causing us immense grief and health issues.",-26.49,3,3,2,"My child succumbed to issues arising from surgery to remove her appendix. I was present in the medical facility when she suddenly departed from life. Our family was shattered by the bereavement, leading to profound sorrow and medical problems.",243,-40.258820081606125,-0.1657
2,236,0.029,My daughter died twenty-eight years ago after an operation. I blame the hospital for her death due to a blood clot. Her sister Rita still suffers from the shock of Marie's death. My family and I were devastated by the news of her death.,6.85,4,4,2,"Twenty-eight years ago, my daughter passed away following a surgical procedure. I hold the hospital responsible for her passing because of a thrombosis. Marie's sister, Rita, continues to be deeply affected by the trauma of losing Marie. The announcement of her demise left my family and me in a state of profound grief.",320,-21.823725313913076,-0.0682
3,283,-0.1067,"My daughter died in the hospital after surgery due to a blood clot. I was devastated and hysterical upon hearing the news of her death. This tragic event severely impacted my family, causing further health issues. The memory of my daughter and her untimely death haunts me every day.",-30.2,4,4,1,"My child passed away in the medical facility following an operation because of a thrombosis. The announcement of her passing left me shattered and overcome with hysteria. The sorrowful occurrence profoundly affected my relatives, leading to additional medical problems. The recollection of my daughter and her premature demise torments me daily.",345,-34.353697261202115,-0.0996
4,293,0.0917,"My daughter died at Methodist Hospital after surgery. Victoria visited her in the hospital the following morning. Marie was discharged, but collapsed and died soon after. I blamed the hospital for her death and reacted hysterically. The incident deeply affected my entire family and community.",26.88,5,5,1,"My child passed away at Methodist Hospital post-operation. The next morning, Victoria came to see her in the medical facility. Marie was released, yet she collapsed and passed away shortly thereafter. I held the hospital responsible for her demise and responded with hysteria. This event profoundly impacted my whole family and the surrounding community.",354,6.251951799489882,0.0177
5,294,-0.0488,I lost my daughter Marie twenty-eight years ago. Marie died after an operation due to a blood clot. I went to the hospital to bring Marie home. I was devastated and hysterical after Marie's death. Marie’s death affected my entire family deeply. The loss of Marie left lasting pain in our lives.,-14.36,6,6,2,Twenty-eight years have passed since my daughter Marie was lost to me. A blood clot following surgery led to Marie's untimely demise. My intention was to collect Marie from the hospital and bring her back home. Marie's passing left me in a state of utter devastation and hysteria. The passing of Marie profoundly impacted every member of our family. Marie's absence has caused enduring sorrow in our existence.,410,-31.9338512072207,-0.0779
6,348,0.0102,My daughter died after an operation for appendicitis. The hospital called me to pick up Marie. I went to the hospital with her clothes prepared. The nurse informed me my daughter had collapsed. Marie complained of leg pain before passing away. I was hysterical and refused to let them touch her. My family was devastated upon learning of her death.,3.55,7,7,1,"My child passed away following a surgical procedure for appendicitis. I received a call from the hospital to collect Marie. I arrived at the hospital with her garments ready. A nurse notified me that my daughter had suffered a collapse. Before she died, Marie had expressed discomfort in her legs. Overcome with hysteria, I resisted their attempts to approach her. The news of her passing left my family in a state of profound grief.",433,-14.572860256585093,-0.0337
7,356,0.1288,"My daughter Marie died after surgery due to a blood clot. Victoria found Marie still under ether when they wanted her out of bed. I was preparing to bring Marie home, but learned she passed away at the hospital. My husband and son both had heart attacks after hearing the news. The shock of Marie's death affected the entire family and neighborhood deeply.",45.86,5,5,2,"Marie, my daughter, passed away from a postoperative blood clot. When it was time for her to get up, Victoria discovered Marie unconscious from the anesthesia. While I was getting ready to take Marie back home, I found out she had died in the hospital. Upon receiving the tragic update, my husband and son suffered cardiac arrests. Marie's sudden passing profoundly impacted our whole family and the local community.",416,-17.866206884770083,-0.0429
8,356,0.0861,"My daughter Marie died twenty-eight years ago after surgery. Victoria found Marie still under ether after surgery. The hospital tried to get Marie out of bed against her condition. I went to pick Marie up, but was informed she had fainting spells. Marie passed away in the hospital unexpectedly. The shock of Marie's death affected my entire family deeply.",30.64,6,6,1,"Twenty-eight years ago, my daughter Marie passed away following an operation. Post-surgery, Victoria discovered Marie unconscious from the anesthesia. Despite her fragile state, the hospital attempted to mobilize Marie from her bed. Upon my arrival to collect Marie, I was notified about her episodes of syncope. Unexpectedly, Marie succumbed in the hospital. The sudden loss of Marie profoundly impacted my whole family.",421,-5.728920221655101,-0.0136
9,384,0.0001,My daughter died at Methodist Hospital. She had an operation for appendicitis. She was still under ether after the operation. The nurse took her out of bed despite her condition. They said she had a blood clot when she collapsed. I was told she died when I arrived at the hospital. My family and I were in shock and devastated. Her death impacted my family physically and emotionally.,0.03,8,8,2,"My child passed away at Methodist Hospital. She underwent surgery for appendicitis. She remained unconscious from the anesthesia following the surgery. Despite her state, the nurse removed her from the bed. It was claimed that she suffered a blood clot upon collapsing. Upon my arrival at the hospital, I received the news of her passing. My relatives and I were overwhelmed with shock and grief. Her passing had a profound effect on my family's physical and mental well-being.",477,-27.74343503580314,-0.0582
