recall_id,integral_ilya_no_summary,integral_ilya_no_summary_again,recall_length,recall_length_again,delta,ratio,recall_length_diff,rank_ilya_no_summary,rank_ilya_no_summary_again,rank_diff
583c25b675d7c80001b73e9a,428431.66575199296,207414.9452727302,1974,2075,-221016.72047926276,0.48412608556529263,101,3.0,2.0,-1.0
5a6c8047e70ca900017acdae,60932.86561755369,-22421.434970465052,164,122,-83354.30058801874,-0.36796948154701314,-42,31.0,30.0,-1.0
5a9fa90f873cda00010d29d8,256183.5929932249,-9618.939149505592,1513,1299,-265802.5321427305,-0.03754705380277798,-214,15.0,26.0,11.0
5bbb5e3f118c0600013c3202,249750.80717175727,113709.92137651364,1466,696,-136040.88579524364,0.4552935090148224,-770,18.0,4.0,-14.0
5c5cad3e4ee81200018eafe2,263714.17307348095,112076.08274245425,1114,966,-151638.0903310267,0.4249907444725223,-148,14.0,5.0,-9.0
5c6cc9e2ffe5270001d3e90c,317862.1799865819,81648.2636431829,1034,654,-236213.916343399,0.2568668711912489,-380,10.0,9.0,-1.0
5cb67a7ab73e8a001507fae5,79911.12167243907,-2147.0320164722257,511,277,-82058.15368891129,-0.026867749714151814,-234,29.0,25.0,-4.0
5d542c3a5af5900019bc80c4,381335.0711375586,106794.65602627632,1314,1101,-274540.41511128226,0.28005463989372326,-213,5.0,6.0,1.0
5f3287b83428cb05746e2214,275233.40050840715,86276.44653510768,1227,856,-188956.95397329947,0.3134664847207464,-371,13.0,8.0,-5.0
607b0ffd5eba9d3a9d3f588d,212015.831903368,60207.92693148345,1570,1033,-151807.90497188456,0.28397844817044066,-537,21.0,13.0,-8.0
607dd554d9ec5e0fd85237cb,295381.79534266563,18162.725163479456,1086,608,-277219.0701791862,0.06148897951686324,-478,12.0,20.0,8.0
63039dbefda87c47a91fec04,246205.38532974778,13607.045549436265,950,346,-232598.3397803115,0.05526705084542354,-604,19.0,21.0,2.0
645e967fad9bc8bdc1a16ac0,208180.7108630157,-24381.874881496537,1430,323,-232562.58574451224,-0.11711879924139548,-1107,22.0,31.0,9.0
64772fe9752146745277bc45,389787.9030995562,1318.458729289427,1757,171,-388469.4443702668,0.003382502942767513,-1586,4.0,24.0,20.0
6631974094690f6997799b7c,364349.28375315317,120004.5313464482,1477,1130,-244344.75240670497,0.3293667277462012,-347,6.0,3.0,-3.0
6637b21240220c2517fffa1a,359192.68632047385,-16726.212469014885,1363,362,-375918.8987894887,-0.04656612761344383,-1001,7.0,27.0,20.0
6658c4239af9537eefdfbcc9,102798.86888148164,-35410.76474112256,392,144,-138209.6336226042,-0.3444664822328752,-248,28.0,32.0,4.0
66a7cf92e1fd4aa48ba59b52,324747.8085354116,44870.3632731115,1605,718,-279877.4452623001,0.1381698724172258,-887,9.0,14.0,5.0
66c8a81f25959e5f183e2bb3,299629.89511167794,73204.6722382222,854,443,-226425.22287345573,0.24431698382745617,-411,11.0,10.0,-1.0
66d31a1b0515fe747830bab9,122166.42924840454,-16979.47302462575,453,182,-139145.90227303028,-0.13898640673290774,-271,27.0,28.0,1.0
6710a58eeff954cb2243950e,465398.5978134085,31925.677511953123,1939,448,-433472.92030145536,0.06859856832820334,-1491,2.0,17.0,15.0
673a1dcffde7de9c08f6d2e6,201483.04788605394,2521.056905431821,964,181,-198961.99098062213,0.012512501333896692,-783,24.0,22.0,-2.0
673feeafa80a279f5cc63e33,252550.26964431448,95671.54646471079,1262,838,-156878.7231796037,0.37882179496166135,-424,16.0,7.0,-9.0
67503701c4ef8958767a58d9,78940.82723485815,-19554.12470007038,289,199,-98494.95193492854,-0.2477061032296328,-90,30.0,29.0,-1.0
675ab3f6c12c9e3fd27046b3,225478.25767036373,62425.15659410681,1453,331,-163053.10107625692,0.27685665677516813,-1122,20.0,12.0,-8.0
676054ef296caad582258e02,358511.6907347096,70814.5392744047,1229,621,-287697.1514603049,0.19752365433127766,-608,8.0,11.0,3.0
67665f7b0329bd3e30515ad2,168755.65158506227,1975.6334910606988,750,42,-166780.01809400157,0.01170706564493853,-708,26.0,23.0,-3.0
67727a80c7d8eee59166d596,199205.00169419358,24169.99301140312,942,1151,-175035.00868279045,0.12133225976176694,209,25.0,19.0,-6.0
67be0b14104c7c690273444a,610703.1736578719,695811.4074156194,2220,2243,85108.23375774745,1.1393610471155449,23,1.0,1.0,0.0
67d00ceb0de1512e5669d4c5,250374.1509149944,42081.54979173685,1199,962,-208292.60112325754,0.16807465801860727,-237,17.0,15.0,-2.0
67fbe860ceaf5c3054dd9654,52004.96184651437,29492.790540929913,214,104,-22512.17130558446,0.5671149346859229,-110,32.0,18.0,-14.0
682ac1b6669fa157b2399b41,206935.19237553474,41249.65036881977,1463,1218,-165685.54200671497,0.19933608148179138,-245,23.0,16.0,-7.0
