recall_id,length,length-again,diff-length,mbits-integral,mbits-integral-again,diff-mbits,segments-caught,segments-caught-again,segments-caught-intersection
583c25b675d7c80001b73e9a,1974.0,2075.0,101.0,428432,207415,-221017,141,178,131
5a6c8047e70ca900017acdae,164.0,122.0,-42.0,60933,-22421,-83354,109,192,109
5a9fa90f873cda00010d29d8,1513.0,1299.0,-214.0,256184,-9619,-265803,68,185,67
5bbb5e3f118c0600013c3202,1466.0,696.0,-770.0,249751,113710,-136041,160,72,66
5c5cad3e4ee81200018eafe2,1114.0,966.0,-148.0,263714,112076,-151638,182,66,65
5c6cc9e2ffe5270001d3e90c,1034.0,654.0,-380.0,317862,81648,-236214,36,73,25
5cb67a7ab73e8a001507fae5,511.0,277.0,-234.0,79911,-2147,-82058,175,15,15
5d542c3a5af5900019bc80c4,1314.0,1101.0,-213.0,381335,106795,-274540,83,66,39
5f3287b83428cb05746e2214,1227.0,856.0,-371.0,275233,86276,-188957,47,133,35
607b0ffd5eba9d3a9d3f588d,1570.0,1033.0,-537.0,212016,60208,-151808,60,176,60
607dd554d9ec5e0fd85237cb,1086.0,608.0,-478.0,295382,18163,-277219,71,45,31
63039dbefda87c47a91fec04,950.0,346.0,-604.0,246205,13607,-232598,38,22,15
645e967fad9bc8bdc1a16ac0,1430.0,323.0,-1107.0,208181,-24382,-232563,69,186,64
64772fe9752146745277bc45,1757.0,171.0,-1586.0,389788,1318,-388469,100,170,86
6631974094690f6997799b7c,1477.0,1130.0,-347.0,364349,120005,-244345,178,143,140
6637b21240220c2517fffa1a,1363.0,362.0,-1001.0,359193,-16726,-375919,187,194,187
6658c4239af9537eefdfbcc9,392.0,144.0,-248.0,102799,-35411,-138210,131,0,0
66a7cf92e1fd4aa48ba59b52,1605.0,718.0,-887.0,324748,44870,-279877,188,163,163
66c8a81f25959e5f183e2bb3,854.0,443.0,-411.0,299630,73205,-226425,45,82,25
66d31a1b0515fe747830bab9,453.0,182.0,-271.0,122166,-16979,-139146,46,28,13
6710a58eeff954cb2243950e,1939.0,448.0,-1491.0,465399,31926,-433473,94,81,33
673a1dcffde7de9c08f6d2e6,964.0,181.0,-783.0,201483,2521,-198962,128,11,6
673feeafa80a279f5cc63e33,1262.0,838.0,-424.0,252550,95672,-156879,67,192,67
67503701c4ef8958767a58d9,289.0,199.0,-90.0,78941,-19554,-98495,25,182,20
675ab3f6c12c9e3fd27046b3,1453.0,331.0,-1122.0,225478,62425,-163053,77,56,38
676054ef296caad582258e02,1229.0,621.0,-608.0,358512,70815,-287697,91,26,23
67665f7b0329bd3e30515ad2,750.0,42.0,-708.0,168756,1976,-166780,117,0,0
67727a80c7d8eee59166d596,942.0,1151.0,209.0,199205,24170,-175035,73,191,73
67d00ceb0de1512e5669d4c5,1199.0,962.0,-237.0,250374,42082,-208293,132,194,132
67fbe860ceaf5c3054dd9654,214.0,104.0,-110.0,52005,29493,-22512,39,32,9
682ac1b6669fa157b2399b41,1463.0,1218.0,-245.0,206935,41250,-165686,127,194,127
