segment_id,segment_text,p-caught
1,My daughter died.,91.59%
2,It’ll be twenty-eight years this month.,93.46%
3,"The thirtieth of this month, yeah.",76.64%
4,She died at Methodist Hospital.,93.46%
5,She had an operation for appendicitis.,100.00%
6,"It was late Saturday afternoon when they operated, very late.",75.70%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",96.26%
8,She was still under ether.,88.79%
9,"Back then, they used a lot of ether.",79.44%
10,There was a chair there.,45.79%
11,"They were just starting to get people out of bed, you know.",79.44%
12,"So, Victoria saw the chair,",43.93%
13,"and she said to the nurse, “What’s this chair doing here?”",57.01%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",90.65%
15,"She said, “What are you talking about? She’s still under ether.”",61.68%
16,“She’s too sick.”,51.40%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",73.83%
18,"So, they went to get her out of bed,",80.37%
19,"and she passed out,",85.98%
20,and they had to put her back in bed.,47.66%
21,"See, here, she never – I don’t know if they knew or what,",27.10%
22,"but I blame them for the blood clot she got, taking her out of bed.",98.13%
23,"So, when she was walking around to come home after ten days,",63.55%
24,I was waiting for the call from the hospital.,92.52%
25,I didn’t have a phone then.,55.14%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",91.59%
27,"“Mrs. Costa, they just called you from the hospital.",91.59%
28,Go Pick Marie up.,91.59%
29,She’s discharged.”,30.84%
30,I had all the clothes laid out on the table.,91.59%
31,"And Rita was – I was cooking,",83.18%
32,"I said, “Rita, finish the cooking.”",79.44%
33,Daddy will be home soon.”,61.68%
34,He was working down in the yard.,51.40%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",80.37%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",67.29%
37,"When I get up in the morning, the first cup is hers.",63.55%
38,"Since she’s gone, I never forget that.",57.94%
39,"So I said, “Put a pot of coffee on,",73.83%
40,and send for some cake from the bakery.”,68.22%
41,I’m going to get Marie; they called me.”,78.50%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",35.51%
43,"And I went myself. You know, I had the coat on my arm.",68.22%
44,She was operated on in March –,29.91%
45,"No, April! So that was the thirtieth.",40.19%
46,"She was operated – ten days before, so that would be the twentieth.",30.84%
47,"The twentieth of April, right? It was kind of chilly.",24.30%
48,"Oh, and I had everything in a bag,",60.75%
49,and I had the coat on my arm and her dress hanging on my arm.,63.55%
50,"She saw me from the windows, from Wolf Street.",68.22%
51,"She said, “My mother’s just coming.”",49.53%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",57.94%
53,"They told me on the phone, it would be ten dollars more for her board.",71.96%
54,And to make sure I brought her girdle to put on.,57.01%
55,"I said, “All right, I’ll be right over.”",18.69%
56,And I went.,41.12%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",92.52%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",83.18%
59,"She lived near my sister, and she had ten children.",72.90%
60,They had said she was in very bad shape.,72.90%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",76.64%
62,"I was praying for her, you know.",20.56%
63,Then a little nurse’s aide went to the closet and got some blankets.,33.64%
64,"I started getting the chills,",57.94%
65,"and I was thinking about it,",21.50%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",55.14%
