segment_id,segment_text,p-rec,p-caught
1,My daughter died.,87.80%,73.81%
2,It’ll be twenty-eight years this month.,29.27%,40.48%
3,"The thirtieth of this month, yeah.",24.39%,42.86%
4,She died at Methodist Hospital.,43.90%,66.67%
5,She had an operation for appendicitis.,53.66%,73.81%
6,"It was late Saturday afternoon when they operated, very late.",7.32%,35.71%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",21.95%,57.14%
8,She was still under ether.,17.07%,30.95%
9,"Back then, they used a lot of ether.",4.88%,21.43%
10,There was a chair there.,21.95%,40.48%
11,"They were just starting to get people out of bed, you know.",2.44%,50.00%
12,"So, Victoria saw the chair,",4.88%,38.10%
13,"and she said to the nurse, “What’s this chair doing here?”",14.63%,47.62%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",29.27%,61.90%
15,"She said, “What are you talking about? She’s still under ether.”",9.76%,40.48%
16,“She’s too sick.”,4.88%,42.86%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",9.76%,42.86%
18,"So, they went to get her out of bed,",14.63%,45.24%
19,"and she passed out,",24.39%,57.14%
20,and they had to put her back in bed.,17.07%,33.33%
21,"See, here, she never – I don’t know if they knew or what,",0.00%,30.95%
22,"but I blame them for the blood clot she got, taking her out of bed.",29.27%,59.52%
23,"So, when she was walking around to come home after ten days,",4.88%,45.24%
24,I was waiting for the call from the hospital.,26.83%,76.19%
25,I didn’t have a phone then.,19.51%,35.71%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",9.76%,76.19%
27,"“Mrs. Costa, they just called you from the hospital.",12.20%,73.81%
28,Go Pick Marie up.,14.63%,83.33%
29,She’s discharged.”,9.76%,38.10%
30,I had all the clothes laid out on the table.,7.32%,47.62%
31,"And Rita was – I was cooking,",9.76%,59.52%
32,"I said, “Rita, finish the cooking.”",12.20%,52.38%
33,Daddy will be home soon.”,4.88%,50.00%
34,He was working down in the yard.,12.20%,61.90%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",36.59%,61.90%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",7.32%,47.62%
37,"When I get up in the morning, the first cup is hers.",4.88%,42.86%
38,"Since she’s gone, I never forget that.",0.00%,35.71%
39,"So I said, “Put a pot of coffee on,",7.32%,52.38%
40,and send for some cake from the bakery.”,17.07%,57.14%
41,I’m going to get Marie; they called me.”,0.00%,64.29%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",0.00%,33.33%
43,"And I went myself. You know, I had the coat on my arm.",9.76%,59.52%
44,She was operated on in March –,4.88%,30.95%
45,"No, April! So that was the thirtieth.",2.44%,40.48%
46,"She was operated – ten days before, so that would be the twentieth.",7.32%,40.48%
47,"The twentieth of April, right? It was kind of chilly.",2.44%,19.05%
48,"Oh, and I had everything in a bag,",2.44%,52.38%
49,and I had the coat on my arm and her dress hanging on my arm.,19.51%,57.14%
50,"She saw me from the windows, from Wolf Street.",2.44%,35.71%
51,"She said, “My mother’s just coming.”",0.00%,26.19%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",4.88%,38.10%
53,"They told me on the phone, it would be ten dollars more for her board.",7.32%,16.67%
54,And to make sure I brought her girdle to put on.,7.32%,16.67%
55,"I said, “All right, I’ll be right over.”",0.00%,11.90%
56,And I went.,0.00%,52.38%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",14.63%,66.67%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",24.39%,45.24%
59,"She lived near my sister, and she had ten children.",14.63%,45.24%
60,They had said she was in very bad shape.,2.44%,40.48%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",7.32%,35.71%
62,"I was praying for her, you know.",0.00%,23.81%
63,Then a little nurse’s aide went to the closet and got some blankets.,7.32%,38.10%
64,"I started getting the chills,",2.44%,33.33%
65,"and I was thinking about it,",0.00%,23.81%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",4.88%,42.86%
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",12.20%,52.38%
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",4.88%,61.90%
69,"“Yes,” she said, “come on in.”",0.00%,42.86%
70,"So, I went into the room.",4.88%,47.62%
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,7.32%,50.00%
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",12.20%,69.05%
73,It came – just poured from her –,0.00%,40.48%
74,"I said, “What did you do, kill my daughter?",26.83%,88.10%
75,You killed her! You killed her!”,17.07%,78.57%
76,That’s what I kept yelling.,2.44%,69.05%
77,"And the doctor rushed in,",2.44%,42.86%
78,"see, they were trying to get the doctor, you know.",0.00%,38.10%
79,She was a lady doctor.,0.00%,45.24%
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",7.32%,45.24%
81,She was a lady doctor.,4.88%,40.48%
82,"So, she came in and she said –",0.00%,30.95%
83,"I said, “You killed my daughter – what did you do to her?”",0.00%,80.95%
84,"She said, “We don’t know what happened, Mrs. Costa.”",2.44%,66.67%
85,She took me away from the bed.,0.00%,40.48%
86,"The nurse said to me, “Talk to her.”",0.00%,42.86%
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",2.44%,45.24%
88,And I was screaming.,2.44%,71.43%
89,My hair was all pulled out.,2.44%,61.90%
90,"I went hysterical, you know what I mean? She was only eighteen years old.",4.88%,73.81%
91,"Beautiful girl, you can see from her picture.",2.44%,40.48%
92,"And just as I turned my back, my daughter passed away.",34.15%,88.10%
93,She was getting ready to go home.,0.00%,61.90%
94,I had the clothes and everything ready.,2.44%,50.00%
95,My husband was waiting for her.,14.63%,71.43%
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",17.07%,83.33%
97,“When is the mother coming?”,0.00%,57.14%
98,The hospital kept calling.,7.32%,57.14%
99,The people in the office didn’t know what had happened yet.,0.00%,73.81%
100,"They kept calling the store, trying to reach us.",9.76%,64.29%
101,"They asked, “When is the mother coming to pick up Marie?",4.88%,76.19%
102,She’s discharged.”,4.88%,66.67%
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",2.44%,73.81%
104,So they came back to the hospital to look for us.,2.44%,59.52%
105,"Rita said, “Gee, that’s strange,”",0.00%,66.67%
106,"she said, “Mother must’ve gotten really worked up about Marie.”",2.44%,59.52%
107,"You know, I’ve always had a bad heart.",2.44%,50.00%
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",0.00%,57.14%
109,"So she came over with my son-in-law, in the car.",9.76%,69.05%
110,"And I was in the main hallway, at the office.",2.44%,52.38%
111,I was all pulled apart.,0.00%,54.76%
112,One doctor wanted to give me a shot.,14.63%,76.19%
113,"I said, “Get out of here,",2.44%,73.81%
114,"I’ll kick you,” I said.",0.00%,73.81%
115,"“You killed my daughter, now you want to kill me?”",12.20%,71.43%
116,Another nurse came over.,0.00%,57.14%
117,"See, they all knew me.",7.32%,57.14%
118,"I had three operations in no time, not even a year.",7.32%,57.14%
119,And I knew all the nurses.,0.00%,54.76%
120,"“Mrs. Costa, please, take –”",0.00%,66.67%
121,"“Get out!” I said, “Don’t you dare come near me.”",4.88%,64.29%
122,I was so hysterical.,4.88%,76.19%
123,I was banging my head against the wall and everything.,4.88%,76.19%
124,They had to grab me.,0.00%,54.76%
125,"Then they brought me to the office, see.",0.00%,45.24%
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",7.32%,83.33%
127,"I said, “We lost Marie.",7.32%,69.05%
128,Marie died.”,14.63%,73.81%
129,"Well, that’s this one. This is a picture of Rita.",0.00%,42.86%
130,She went down like lightning.,17.07%,76.19%
131,"Dropped to the floor, and that’s a marble floor.",7.32%,73.81%
132,She went down like lightning.,2.44%,57.14%
133,"And the back of her leg, it felt just like a pole.",14.63%,69.05%
134,"Hard like a pole, the back of her leg.",14.63%,59.52%
135,And that girl is suffering.,0.00%,50.00%
136,"Thirty – no, twenty-eight years since her sister died?",2.44%,54.76%
137,"When she gets that pain, it’s like she has phlebitis from it.",4.88%,64.29%
138,"She suffers – seven, eight, nine weeks at a time.",7.32%,61.90%
139,"She can’t walk, she goes through such pain since then.",2.44%,54.76%
140,And how did they figure how Marie died?,0.00%,50.00%
141,"The girl who was walking with Marie,",0.00%,50.00%
142,told the doctor that Marie was saying goodbye to Arlene.,0.00%,54.76%
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",17.07%,61.90%
144,And then Marie collapsed.,9.76%,73.81%
145,"Later, they said it was a blood clot.",29.27%,71.43%
146,"I said, “Don’t you dare touch my daughter.",4.88%,59.52%
147,I’ll burn this hospital down!,9.76%,57.14%
148,I don’t care who’s in it.”,0.00%,54.76%
149,"I said, “Don’t you dare touch my daughter.",2.44%,59.52%
150,You want to find out what she died from.”,2.44%,59.52%
151,"But if you touch my daughter, I’ll kill you.”",2.44%,52.38%
152,I wouldn’t let them touch her.,2.44%,52.38%
153,So when I got home – they took me home.,19.51%,83.33%
154,I was screaming in the car.,7.32%,73.81%
155,"I couldn’t get out, you know, I couldn’t –",0.00%,61.90%
156,I was screaming!,12.20%,61.90%
157,"Everybody came out, coming out of their doors because they could hear the screams.",4.88%,69.05%
158,My husband was sitting on the step.,14.63%,66.67%
159,"He asked, “What’s the matter? What happened to you?”",12.20%,61.90%
160,"Well, my hair was all pulled, and my face – I was a mess.",2.44%,59.52%
161,I didn’t know what I had done to myself.,0.00%,54.76%
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",31.71%,83.33%
163,My husband had a heart attack.,58.54%,90.48%
164,"Yes, he had a heart attack.",24.39%,73.81%
165,"Then my son, Michael, yeah. That night.",21.95%,61.90%
166,"Right there, my Michael came, and my Michael collapsed.",31.71%,88.10%
167,"He had a heart attack too, no kidding.",17.07%,73.81%
168,"It was all – my two sisters were here, waiting until about half-past four.",2.44%,69.05%
169,"They waited because they knew she was coming home that day, waiting for the call.",2.44%,64.29%
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",31.71%,73.81%
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",4.88%,57.14%
172,"I said, “All right.”",0.00%,47.62%
173,"So, I got home and called everybody, told them what happened.",4.88%,57.14%
174,I called my brother-in-law.,9.76%,59.52%
175,He was an undertaker.,9.76%,57.14%
176,My sister’s husband – he’s passed away now too. God rest his soul.,0.00%,52.38%
177,Maybe you know him...,0.00%,50.00%
178,"So they were waiting for my call, you know,",0.00%,52.38%
179,"but instead, I sent my son James, he was little then.",21.95%,78.57%
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”",29.27%,76.19%
181,"They had cleaned the pavement,",9.76%,76.19%
182,"and done the cement work, and they were cleaning the pavement.",4.88%,73.81%
183,"They said, “Here comes little Jamie,” and now they said,",0.00%,64.29%
184,“Maybe he’s come to tell us Marie’s home.”,0.00%,61.90%
185,"But when he got there, the poor kid’s eyes were all red.",12.20%,78.57%
186,"They said, “James, what’s the matter, honey?",0.00%,61.90%
187,Why are you crying?”,0.00%,69.05%
188,"“Aunt Jenny, Aunt Millie, Marie died,” he said.",39.02%,78.57%
189,"Well, my sisters and my mother, you know, they were all alive.",2.44%,52.38%
190,It was a shock to everybody. That was a shock that –,2.44%,52.38%
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",14.63%,57.14%
192,"She was a real quiet girl, pleasant, didn’t talk much,",7.32%,47.62%
193,"but she was so good, I can’t even tell you.",2.44%,47.62%
194,That’s all. So that’s what happened.,4.88%,52.38%
