story/mbits,caught & RECalled,RECalled,caught,caught and not RECalled,not RECalled,not caught
bear,4.1685,4.0776,1.8368,0.788,0.0706,-0.1094
boyscout,7.4824,7.3394,5.1959,0.6169,-0.0876,-0.6448
costa,6.3289,6.0401,2.0881,1.027,-0.0162,-0.2289
doSomething,6.026,5.7772,2.6998,1.2588,0.0934,-0.3175
hester_v1-park,5.8143,5.6146,4.0274,0.804,-0.2772,-0.6579
hester_v2-church,5.9831,5.7246,3.4752,0.7296,-0.4465,-0.9586
panic,2.9733,2.8716,2.1667,0.6827,-0.2465,-0.5533
schissel_v1-pool,9.8125,9.7139,7.6764,1.3689,-0.288,-0.5675
schissel_v2-lake,6.535,6.5436,4.8897,0.8235,-0.0538,0.0881
triplett_v1-rookie,9.5668,9.4838,6.145,2.3457,1.3516,0.0453
triplett_v2-catlady,11.5925,11.4643,7.5774,2.9509,1.3018,0.3527
stein,4.1609,3.9075,1.8974,0.9264,0.1902,-0.1602
