segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
1,About a month ago see we were going to a church league softball game...,54.44,84.21,100.0,100.0,45.56,15.79
2,They'd had the games all scheduled for the diamond at Homestead High School.,33.33,42.11,60.0,80.0,26.67,37.89
3,You know where that's at?,4.44,5.26,0.0,0.0,-4.44,-5.26
4,"Well we're going up Twenty­-four,",63.33,76.84,40.0,60.0,-23.33,-16.84
5,"and getting ready to turn there, at Ranch Eggs,",21.11,33.68,50.0,50.0,28.89,16.32
6,"and I was slowing down,",5.56,23.16,0.0,10.0,-5.56,-13.16
7,"got my turn signal on,",5.56,26.32,0.0,20.0,-5.56,-6.32
8,"and as I was slowing down,",5.56,24.21,0.0,20.0,-5.56,-4.21
9,"there's this guy sitting over here to the right,",14.44,65.26,50.0,90.0,35.56,24.74
10,coming on to Twenty­-four.,8.89,38.95,10.0,60.0,1.11,21.05
11,Looked like he's about in his middle fifties.,28.89,48.42,90.0,100.0,61.11,51.58
12,And he starts creeping out onto Twenty-four,14.44,56.84,60.0,80.0,45.56,23.16
13,"and he's blocking off the lane,",38.89,72.63,80.0,100.0,41.11,27.37
14,and he's heading for the same spot that I'm going.,6.67,23.16,10.0,20.0,3.33,-3.16
15,You know how you sit there and wait for the traffic to get by?,4.44,12.63,0.0,0.0,-4.44,-12.63
16,Right there in the median?,5.56,13.68,0.0,0.0,-5.56,-13.68
17,"This guy starts,",2.22,6.32,0.0,0.0,-2.22,-6.32
18,"pulls out in the lane,",4.44,35.79,0.0,50.0,-4.44,14.21
19,"I thought ""you jerk""...",8.89,40.0,10.0,40.0,1.11,0.0
20,but I hurried up and got in there ahead of him.,21.11,43.16,10.0,20.0,-11.11,-23.16
21,And he sits there and waits on.,3.33,6.32,0.0,10.0,-3.33,3.68
22,Mean he's got Twenty­-four blocked.,11.11,61.05,40.0,90.0,28.89,28.95
23,He's sitting there right in the middle of the highway.,11.11,69.47,30.0,90.0,18.89,20.53
24,Got it blocked.,13.33,55.79,30.0,50.0,16.67,-5.79
25,"So we went on across as soon as traffic cleared,",8.89,36.84,0.0,0.0,-8.89,-36.84
26,"and we're headed up there towards that diamond,",6.67,30.53,0.0,10.0,-6.67,-20.53
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",8.89,40.0,10.0,10.0,1.11,-30.0
28,"and this guy's following us see,",22.22,72.63,40.0,90.0,17.78,17.37
29,as we're going up there this little hill right there.,4.44,33.68,0.0,40.0,-4.44,6.32
30,At Ranch Eggs.,10.0,32.63,0.0,30.0,-10.0,-2.63
31,"We're going up this hill,",5.56,30.53,0.0,30.0,-5.56,-0.53
32,and this guy's right on my tail.,36.67,76.84,80.0,100.0,43.33,23.16
33,"And Lisa was with me,",38.89,51.58,0.0,0.0,-38.89,-51.58
34,and she said “That guy is right on your tail!”,26.67,49.47,0.0,40.0,-26.67,-9.47
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",22.22,64.21,20.0,100.0,-2.22,35.79
36,"and I'm trying to keep an eye on him,",7.78,24.21,0.0,10.0,-7.78,-14.21
37,make sure he doesn't slam into me or anything.,7.78,24.21,0.0,10.0,-7.78,-14.21
38,"He starts weaving back and forth,",43.33,86.32,90.0,100.0,46.67,13.68
39,couldn't keep it in one lane.,37.78,84.21,70.0,100.0,32.22,15.79
40,Really ...bad news.,3.33,15.79,0.0,20.0,-3.33,4.21
41,And all the time this is going on...,2.22,12.63,0.0,10.0,-2.22,-2.63
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,25.56,67.37,30.0,100.0,4.44,32.63
43,How it's everybody's responsibility.,7.78,17.89,0.0,30.0,-7.78,12.11
44,So I was trying to make up my mind what to do.,5.56,44.21,20.0,90.0,14.44,45.79
45,I was pretty sure he was drunk...,32.22,85.26,60.0,90.0,27.78,4.74
46,at least he appeared that way...,12.22,83.16,50.0,90.0,37.78,6.84
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",20.0,44.21,0.0,60.0,-20.0,15.79
48,"'cause I'm thinking he's drunk,",7.78,38.95,40.0,30.0,32.22,-8.95
49,"and I know I oughta do something about it,",4.44,24.21,10.0,20.0,5.56,-4.21
50,"but at the same time if he's sick,",27.78,77.89,70.0,80.0,42.22,2.11
51,"like maybe he's having a heart attack or something,",28.89,76.84,40.0,80.0,11.11,3.16
52,you know.,2.22,16.84,0.0,10.0,-2.22,-6.84
53,You gotta do something.,7.78,41.05,0.0,30.0,-7.78,-11.05
54,"I'd really feel bad if I read the papers the next day that the guy,",10.0,49.47,0.0,10.0,-10.0,-39.47
55,some guy died with a heart attack and there I was thinking he was drunk.,22.22,37.89,0.0,10.0,-22.22,-27.89
56,And I didn't really want to get involved to be honest with you.,4.44,33.68,30.0,50.0,25.56,16.32
57,"But I had made up my mind that I was going to,",8.89,40.0,10.0,50.0,1.11,10.0
58,"so we pulled up to the stop at this sign,",11.11,57.89,70.0,100.0,58.89,42.11
59,and right across the road stopped a sheriff's car.,45.56,85.26,60.0,100.0,14.44,14.74
60,"So I motion for him to come over,",25.56,80.0,80.0,100.0,54.44,20.0
61,"and they whip across the road,",4.44,46.32,0.0,50.0,-4.44,3.68
62,"and I got out the car,",6.67,61.05,0.0,80.0,-6.67,18.95
63,"walked over there,",4.44,53.68,0.0,70.0,-4.44,16.32
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",62.22,82.11,70.0,90.0,7.78,7.89
65,but he's got a problem.,24.44,63.16,60.0,70.0,35.56,6.84
66,He can't keep his car on one side of the road.”,10.0,57.89,20.0,50.0,10.0,-7.89
67,And I said “He's got a definite problem...”,1.11,46.32,20.0,10.0,18.89,-36.32
68,So they started down there.,7.78,62.11,10.0,60.0,2.22,-2.11
