segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,About a month ago see we were going to a church league softball game...,54.44,96.67,100.0,100.0
2,They'd had the games all scheduled for the diamond at Homestead High School.,33.33,91.67,60.0,88.89
3,You know where that's at?,4.44,42.5,0.0,22.22
4,"Well we're going up Twenty­-four,",63.33,85.83,40.0,88.89
5,"and getting ready to turn there, at Ranch Eggs,",21.11,73.33,50.0,77.78
6,"and I was slowing down,",5.56,60.83,0.0,33.33
7,"got my turn signal on,",5.56,58.33,0.0,22.22
8,"and as I was slowing down,",5.56,56.67,0.0,22.22
9,"there's this guy sitting over here to the right,",14.44,63.33,50.0,44.44
10,coming on to Twenty­-four.,8.89,54.17,10.0,22.22
11,Looked like he's about in his middle fifties.,28.89,60.83,90.0,33.33
12,And he starts creeping out onto Twenty-four,14.44,69.17,60.0,88.89
13,"and he's blocking off the lane,",38.89,59.17,80.0,55.56
14,and he's heading for the same spot that I'm going.,6.67,44.17,10.0,22.22
15,You know how you sit there and wait for the traffic to get by?,4.44,45.0,0.0,22.22
16,Right there in the median?,5.56,42.5,0.0,22.22
17,"This guy starts,",2.22,41.67,0.0,22.22
18,"pulls out in the lane,",4.44,41.67,0.0,22.22
19,"I thought ""you jerk""...",8.89,39.17,10.0,11.11
20,but I hurried up and got in there ahead of him.,21.11,69.17,10.0,77.78
21,And he sits there and waits on.,3.33,35.83,0.0,0.0
22,Mean he's got Twenty­-four blocked.,11.11,54.17,40.0,55.56
23,He's sitting there right in the middle of the highway.,11.11,45.0,30.0,33.33
24,Got it blocked.,13.33,36.67,30.0,22.22
25,"So we went on across as soon as traffic cleared,",8.89,42.5,0.0,22.22
26,"and we're headed up there towards that diamond,",6.67,39.17,0.0,22.22
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",8.89,30.0,10.0,11.11
28,"and this guy's following us see,",22.22,40.0,40.0,22.22
29,as we're going up there this little hill right there.,4.44,23.33,0.0,0.0
30,At Ranch Eggs.,10.0,22.5,0.0,0.0
31,"We're going up this hill,",5.56,19.17,0.0,0.0
32,and this guy's right on my tail.,36.67,34.17,80.0,22.22
33,"And Lisa was with me,",38.89,20.83,0.0,11.11
34,and she said “That guy is right on your tail!”,26.67,38.33,0.0,55.56
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",22.22,30.0,20.0,0.0
36,"and I'm trying to keep an eye on him,",7.78,13.33,0.0,0.0
37,make sure he doesn't slam into me or anything.,7.78,8.33,0.0,0.0
38,"He starts weaving back and forth,",43.33,35.0,90.0,44.44
39,couldn't keep it in one lane.,37.78,17.5,70.0,55.56
40,Really ...bad news.,3.33,3.33,0.0,0.0
41,And all the time this is going on...,2.22,2.5,0.0,0.0
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,25.56,18.33,30.0,33.33
43,How it's everybody's responsibility.,7.78,2.5,0.0,0.0
44,So I was trying to make up my mind what to do.,5.56,1.67,20.0,0.0
45,I was pretty sure he was drunk...,32.22,15.0,60.0,0.0
46,at least he appeared that way...,12.22,5.0,50.0,0.0
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",20.0,11.67,0.0,22.22
48,"'cause I'm thinking he's drunk,",7.78,2.5,40.0,0.0
49,"and I know I oughta do something about it,",4.44,0.0,10.0,0.0
50,"but at the same time if he's sick,",27.78,16.67,70.0,22.22
51,"like maybe he's having a heart attack or something,",28.89,15.0,40.0,11.11
52,you know.,2.22,0.83,0.0,0.0
53,You gotta do something.,7.78,0.0,0.0,0.0
54,"I'd really feel bad if I read the papers the next day that the guy,",10.0,0.83,0.0,0.0
55,some guy died with a heart attack and there I was thinking he was drunk.,22.22,3.33,0.0,0.0
56,And I didn't really want to get involved to be honest with you.,4.44,9.17,30.0,0.0
57,"But I had made up my mind that I was going to,",8.89,5.83,10.0,11.11
58,"so we pulled up to the stop at this sign,",11.11,9.17,70.0,11.11
59,and right across the road stopped a sheriff's car.,45.56,30.83,60.0,66.67
60,"So I motion for him to come over,",25.56,17.5,80.0,22.22
61,"and they whip across the road,",4.44,0.83,0.0,0.0
62,"and I got out the car,",6.67,0.0,0.0,0.0
63,"walked over there,",4.44,0.0,0.0,0.0
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",62.22,27.5,70.0,66.67
65,but he's got a problem.,24.44,2.5,60.0,11.11
66,He can't keep his car on one side of the road.”,10.0,5.0,20.0,11.11
67,And I said “He's got a definite problem...”,1.11,1.67,20.0,0.0
68,So they started down there.,7.78,2.5,10.0,0.0
69,"And as soon as he sees me get out of the car and walk over there to the police car,",10.0,6.67,40.0,11.11
70,the guy stops way far away from the intersection.,26.67,17.5,70.0,22.22
71,"He stops,",13.33,3.33,60.0,0.0
72,"and he throws his car into reverse,",40.0,28.33,90.0,55.56
73,and starts backing up.,28.89,8.33,60.0,11.11
74,"When the cops went down there to check him out,",11.11,7.5,20.0,0.0
75,he starts backing up going backwards down that road.,13.33,14.17,70.0,0.0
76,"Pretty soon they catch up with him,",5.56,1.67,10.0,0.0
77,"and he starts forward again,",23.33,8.33,10.0,0.0
78,"and they make a U­-turn in the road and start following him,",31.11,15.83,60.0,44.44
79,and he's just driving real slow and careful.,34.44,22.5,50.0,55.56
80,Ha ha it's pretty comical...,17.78,14.17,20.0,22.22
81,I don't know if they ever stopped him or not.,37.78,22.5,90.0,22.22
