segment_ids,text,keypoint
"(1, 3)",About a month ago see we were going to a church league softball game... They'd had the games all scheduled for the diamond at Homestead High School. You know where that's at?,Setting up the trip to the softball game
"(4, 7)","Well we're going up Twenty­-four, and getting ready to turn there, at Ranch Eggs, and I was slowing down, got my turn signal on,",Approaching the turn at Ranch Eggs
"(8, 11)","and as I was slowing down, there's this guy sitting over here to the right, coming on to Twenty­-four. Looked like he's about in his middle fifties.",Noticing a man pulling onto the road
"(12, 14)","And he starts creeping out onto Twenty-four and he's blocking off the lane, and he's heading for the same spot that I'm going.","Man blocks the lane, heading same direction"
"(15, 16)",You know how you sit there and wait for the traffic to get by? Right there in the median?,Describing waiting in the median
"(17, 20)","This guy starts, pulls out in the lane, I thought ""you jerk""... but I hurried up and got in there ahead of him.","Man pulls out, narrator gets ahead"
"(21, 24)",And he sits there and waits on. Mean he's got Twenty­-four blocked. He's sitting there right in the middle of the highway. Got it blocked.,"Man blocks highway, narrator continues"
"(25, 27)","So we went on across as soon as traffic cleared, and we're headed up there towards that diamond, and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",Heading toward the diamond after the incident
"(28, 30)","and this guy's following us see, as we're going up there this little hill right there. At Ranch Eggs.",Man follows as they go up the hill
"(31, 32)","We're going up this hill, and this guy's right on my tail.",Man tailgates closely up the hill
"(33, 35)","And Lisa was with me, and she said “That guy is right on your tail!” I looked in the mirror and sure enough he's right up there practically bumper to bumper,",Lisa notices the man tailgating
"(36, 37)","and I'm trying to keep an eye on him, make sure he doesn't slam into me or anything.",Narrator watches to avoid a collision
"(38, 40)","He starts weaving back and forth, couldn't keep it in one lane. Really ...bad news.","Man weaves dangerously, appears intoxicated"
"(41, 44)",And all the time this is going on... I'm thinking how drunk driving is the number one killer of kids and all this business. How it's everybody's responsibility. So I was trying to make up my mind what to do.,Narrator reflects on drunk driving responsibility
"(45, 49)","I was pretty sure he was drunk... at least he appeared that way... so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is, 'cause I'm thinking he's drunk, and I know I oughta do something about it,",Deciding to confront the man at the stop sign
"(50, 53)","but at the same time if he's sick, like maybe he's having a heart attack or something, you know. You gotta do something.",Considering if the man might be sick
"(54, 56)","I'd really feel bad if I read the papers the next day that the guy, some guy died with a heart attack and there I was thinking he was drunk. And I didn't really want to get involved to be honest with you.",Worrying about misjudging the situation
"(57, 59)","But I had made up my mind that I was going to, so we pulled up to the stop at this sign, and right across the road stopped a sheriff's car.","Arriving at the stop sign, sheriff appears"
"(60, 63)","So I motion for him to come over, and they whip across the road, and I got out the car, walked over there,",Narrator signals sheriff and approaches
"(64, 67)","and said to this deputy “This guy behind me is either sick or he's drunk, but he's got a problem. He can't keep his car on one side of the road.” And I said “He's got a definite problem...”",Explaining the situation to the deputy
"(68, 70)","So they started down there. And as soon as he sees me get out of the car and walk over there to the police car, the guy stops way far away from the intersection.","Police approach, man stops far from intersection"
"(71, 73)","He stops, and he throws his car into reverse, and starts backing up.",Man reverses and backs up the road
"(74, 75)","When the cops went down there to check him out, he starts backing up going backwards down that road.",Cops pursue as man continues backing up
"(76, 79)","Pretty soon they catch up with him, and he starts forward again, and they make a U­-turn in the road and start following him, and he's just driving real slow and careful.","Police catch up, man drives slowly, police follow"
"(80, 81)",Ha ha it's pretty comical... I don't know if they ever stopped him or not.,Narrator finds the situation comical and unresolved
