segment_id,segment_text,real_p_caught,gpt4o_emulated_p_caught,diff,abs_diff
48,"'cause I'm thinking he's drunk,",37,77,-40,40
4,"Well we're going up Twenty­-four,",73,33,40,40
70,the guy stops way far away from the intersection.,49,88,-39,39
33,"And Lisa was with me,",49,11,38,38
54,"I'd really feel bad if I read the papers the next day that the guy,",47,11,36,36
25,"So we went on across as soon as traffic cleared,",35,0,35,35
66,He can't keep his car on one side of the road.”,55,22,33,33
28,"and this guy's following us see,",69,100,-31,31
13,"and he's blocking off the lane,",69,100,-31,31
30,At Ranch Eggs.,31,0,31,31
20,but I hurried up and got in there ahead of him.,41,11,30,30
19,"I thought ""you jerk""...",38,11,27,27
32,and this guy's right on my tail.,73,100,-27,27
75,he starts backing up going backwards down that road.,51,77,-26,26
10,coming on to Twenty­-four.,37,11,26,26
68,So they started down there.,59,33,26,26
55,some guy died with a heart attack and there I was thinking he was drunk.,36,11,25,25
11,Looked like he's about in his middle fifties.,46,22,24,24
60,"So I motion for him to come over,",76,100,-24,24
78,"and they make a U­-turn in the road and start following him,",67,44,23,23
18,"pulls out in the lane,",34,11,23,23
8,"and as I was slowing down,",23,0,23,23
23,He's sitting there right in the middle of the highway.,66,44,22,22
56,And I didn't really want to get involved to be honest with you.,32,11,21,21
81,I don't know if they ever stopped him or not.,53,33,20,20
24,Got it blocked.,53,33,20,20
72,"and he throws his car into reverse,",69,88,-19,19
59,and right across the road stopped a sheriff's car.,81,100,-19,19
34,and she said “That guy is right on your tail!”,47,66,-19,19
51,"like maybe he's having a heart attack or something,",73,55,18,18
38,"He starts weaving back and forth,",82,100,-18,18
53,You gotta do something.,39,22,17,17
43,How it's everybody's responsibility.,17,0,17,17
52,you know.,16,0,16,16
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",61,77,-16,16
57,"But I had made up my mind that I was going to,",38,22,16,16
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",38,22,16,16
9,"there's this guy sitting over here to the right,",62,77,-15,15
40,Really ...bad news.,15,0,15,15
2,They'd had the games all scheduled for the diamond at Homestead High School.,40,55,-15,15
79,and he's just driving real slow and careful.,58,44,14,14
50,"but at the same time if he's sick,",74,88,-14,14
22,Mean he's got Twenty­-four blocked.,58,44,14,14
16,Right there in the median?,13,0,13,13
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",42,55,-13,13
71,"He stops,",21,33,-12,12
69,"And as soon as he sees me get out of the car and walk over there to the police car,",32,44,-12,12
74,"When the cops went down there to check him out,",54,66,-12,12
41,And all the time this is going on...,12,0,12,12
12,And he starts creeping out onto Twenty-four,54,66,-12,12
5,"and getting ready to turn there, at Ranch Eggs,",32,44,-12,12
15,You know how you sit there and wait for the traffic to get by?,12,0,12,12
14,and he's heading for the same spot that I'm going.,22,11,11,11
6,"and I was slowing down,",22,11,11,11
80,Ha ha it's pretty comical...,33,22,11,11
61,"and they whip across the road,",44,55,-11,11
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",78,88,-10,10
37,make sure he doesn't slam into me or anything.,23,33,-10,10
44,So I was trying to make up my mind what to do.,42,33,9,9
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,64,55,9,9
46,at least he appeared that way...,79,88,-9,9
39,couldn't keep it in one lane.,80,88,-8,8
26,"and we're headed up there towards that diamond,",29,22,7,7
63,"walked over there,",51,44,7,7
45,I was pretty sure he was drunk...,81,88,-7,7
65,but he's got a problem.,60,66,-6,6
17,"This guy starts,",6,0,6,6
21,And he sits there and waits on.,6,0,6,6
76,"Pretty soon they catch up with him,",49,44,5,5
3,You know where that's at?,5,0,5,5
73,and starts backing up.,61,66,-5,5
31,"We're going up this hill,",29,33,-4,4
7,"got my turn signal on,",25,22,3,3
1,About a month ago see we were going to a church league softball game...,80,77,3,3
62,"and I got out the car,",58,55,3,3
77,"and he starts forward again,",57,55,2,2
29,as we're going up there this little hill right there.,32,33,-1,1
36,"and I'm trying to keep an eye on him,",23,22,1,1
49,"and I know I oughta do something about it,",23,22,1,1
67,And I said “He's got a definite problem...”,44,44,0,0
58,"so we pulled up to the stop at this sign,",55,55,0,0
