recall_id,sum,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
mean,93.21,,16.74,4.74,3.98,9.78,5.84,0.9,-0.75,-0.76,1.73,-0.29,2.43,-0.25,2.79,-1.27,0.77,1.71,0.75,0.53,-1.01,0.07,-0.79,1.04,0.76,-0.0,1.93,-2.2,-8.43,1.41,1.13,1.44,-0.23,0.42,2.51,1.17,3.19,0.78,0.09,2.76,1.85,0.57,-0.31,5.99,-0.48,1.0,0.35,1.05,1.91,-0.53,0.67,5.57,1.59,-0.25,0.24,4.81,0.11,-0.23,-0.18,-0.51,5.89,-0.7,-0.87,0.97,-0.56,-0.4,-0.41,0.02,1.25,-0.0,0.08,1.18,0.66,0.76,0.11,0.33,-1.05,-0.59,1.33,0.34,2.24,1.77,2.25
82,-5.5600000000000005,my laptop froze,-1.69,-0.23,2.61,2.81,0.48,-0.26,-1.09,0.11,-0.48,0.28,1.26,-1.18,0.93,-0.62,-1.87,0.01,0.33,-0.46,-0.06,-0.79,0.95,0.08,0.22,0.68,-0.63,-1.46,-4.91,1.27,1.44,0.51,-0.31,-0.35,-2.11,0.36,1.31,0.0,-0.09,-0.26,-0.66,0.58,0.29,1.26,-0.83,-1.8,-0.31,1.21,0.02,0.3,0.75,0.1,0.57,-0.15,-0.21,0.85,0.35,-0.55,-0.54,-0.33,-0.03,-1.29,0.24,-0.15,-0.27,-0.86,-0.36,-0.98,0.43,-1.06,-1.11,1.19,0.23,0.54,0.17,0.5,-0.72,-0.6,0.06,0.04,0.36,0.85,-0.43
80,-4.8199999999999985,Four people decided to attend a softball game This writer comes across a drunk man This lady could sense something was off about him Whilst she was driving She came across a sheriff car She informed them that the man was either very sick or very drunk The lady then recalled How much drink driving impacts drivers and victims,11.73,-4.29,2.89,2.81,-0.06,-0.48,-0.47,-0.07,5.75,-1.93,3.55,-5.07,-0.93,-3.28,-1.72,0.96,1.65,-1.01,-2.34,-2.78,-0.39,-0.05,-0.12,0.05,0.54,-3.05,-9.37,-1.79,1.48,1.44,-0.61,-1.41,-1.46,-3.69,0.15,-0.01,-0.7,1.94,1.02,1.11,-0.09,4.43,-1.22,-0.75,-0.57,0.76,-2.63,-0.51,0.42,6.11,0.62,-0.35,-0.19,1.25,0.45,0.44,-1.28,-1.32,9.29,-1.82,-0.85,1.07,-0.21,0.85,-1.17,-0.74,-0.14,-0.45,-4.35,0.63,0.46,-0.62,0.39,0.65,-2.22,0.22,-0.82,-1.11,-0.2,1.3,-0.54
34,2.190000000000001,A couple were at a baseball game and then left. They went to highway 44 and came across a strange driver who tailgated them. When they had a chance to hail a police car they did. The police then investigated.,12.8,2.26,4.02,6.98,1.34,0.67,-0.71,-1.05,-3.67,-2.06,-0.4,-5.32,1.95,-0.04,-0.0,0.66,0.63,-0.15,-1.2,0.07,0.15,0.66,0.67,-0.04,3.11,-3.16,-8.87,0.04,0.7,0.35,-0.41,0.99,-1.98,1.29,1.63,0.18,-0.99,-0.74,-0.52,0.51,-0.41,0.11,-1.34,-1.18,-0.42,0.98,-5.82,-0.56,0.36,-0.11,0.09,0.15,-0.47,1.13,-0.28,-0.52,-0.72,-1.3,5.91,-0.88,0.14,0.03,-0.61,-0.77,-0.06,-1.52,0.53,-0.34,-0.6,0.33,0.42,0.26,0.33,1.37,-1.77,-0.69,0.2,-0.48,0.16,1.03,-0.84
96,2.4699999999999998,"A person is on their way to the church softball game on 24th ave. On the way there, they notice a car blocking the highway, so they take a detour. Suddenly an erratic driver begins following them, tailgating very closely. This makes the driver nervous, so they pull over. Once pulled over the other driver does as well further back. A sheriff car is nearby, so the driver flags them down and tells them about the erratic driver, that they are possibly intoxicated or in need of medical assistance. Suddenly the erratic driver shifts it in reverse and takes off. The sheriff follows suit.",14.3,1.09,3.38,6.29,0.28,-0.11,-1.07,-0.66,1.83,-1.33,-0.93,-1.2,3.7,-3.54,0.05,0.1,0.13,0.47,-1.81,-3.64,-1.25,1.47,1.37,0.1,2.26,-2.7,-9.83,0.21,0.39,0.9,0.07,1.18,-2.05,1.97,2.9,0.36,-0.43,0.11,0.96,0.57,-1.72,0.81,-1.75,0.44,-0.81,0.51,-4.15,-1.22,-0.59,2.36,0.49,0.01,0.96,1.04,-0.63,-0.44,-0.36,-2.08,4.46,-0.73,-2.32,1.82,-0.7,-2.38,-0.87,-1.05,2.03,-0.59,-1.3,-1.23,0.94,1.66,-1.4,-1.91,0.49,-1.79,-0.77,-0.27,-2.08,1.68,0.02
84,2.5000000000000018,He was on his way to Homestead to play ball He went up Highway 24 Another car was merging on to the highway and slowed down He managed to get ahead of the car but the car stayed in the middle of the highway slowing down the traffic Then the slowed car sped up and he was on its tail His passenger was named Lisa and mentioned that the car was on his tail He continued on Highway 24 towards the field,12.56,5.21,3.84,14.06,-0.97,1.4,-1.39,-0.14,-3.72,1.42,-4.45,-2.58,3.18,-1.28,-0.36,0.51,0.16,0.05,-2.11,1.04,-3.53,1.21,4.25,0.25,-2.22,-2.86,-11.75,0.24,-0.15,0.8,-0.39,2.13,8.3,3.61,1.0,-1.67,-0.71,-4.87,-1.96,-0.31,-0.94,-0.02,-1.35,-2.1,-0.62,0.57,-0.24,-0.51,0.66,-0.28,-0.16,-0.31,-0.21,0.6,-0.73,-0.6,-0.42,-0.42,0.05,-3.33,-0.08,0.11,-0.47,-1.41,-0.46,-1.15,1.44,-0.96,-0.95,0.3,0.45,0.21,0.39,0.46,-2.03,-0.58,0.36,0.32,-0.72,0.81,-0.98
26,5.3599999999999985,they were going to a baseball game with Lisa a car stopped in the middle of the highway and almost rear-ended them then at first they thought maybe he was drunk because of how he was driving then he felt bad and thought he may be having a heart attack The guy was reversing into them now They called the police and told them he was either drunk or having a heart attack as first he was on their bumper then he was reversing into them The police arrive and the car in question now slows down and drives normal,13.69,-1.6,2.54,3.75,-1.31,0.0,-0.46,-1.62,-1.7,-0.11,1.41,0.24,1.21,-3.81,-0.16,1.26,0.98,0.28,-1.77,-1.57,-0.35,1.34,2.39,-1.26,-0.22,-2.87,-8.98,2.42,1.08,1.13,-0.43,-0.58,3.09,0.8,1.67,-0.57,-0.56,1.12,0.89,0.56,-0.17,1.3,-2.39,-0.77,0.19,-0.2,-1.03,0.25,0.33,1.33,2.17,-1.15,-0.38,1.18,0.22,-0.37,-0.82,-1.37,-0.58,-1.55,0.43,-0.08,-0.56,-1.26,-1.5,-1.3,0.11,0.36,1.22,-0.4,0.79,-0.24,0.8,-0.63,-2.46,-0.31,1.25,-1.3,3.53,-0.56,-0.64
65,6.48,Uhh. Some guy is going to a baseball game or something. He's at an intersection. Another car is being weird. The other car is riding his bumper. He's got a woman named Lisa with him. He thinks the other guy is drunk or sick or something. He stops. [He] tells a cop about it. Then the guy pulls off. The cop starts chasing him.,15.67,0.25,5.14,2.28,1.29,3.02,0.18,-0.65,-5.22,-0.32,0.77,-3.4,1.58,-1.01,0.59,0.72,1.3,0.4,-3.03,-1.09,-1.11,-1.69,-0.0,-0.11,2.37,-4.19,-10.86,-0.25,-0.46,1.62,-0.45,0.88,7.86,0.75,1.9,-0.73,-0.91,0.12,0.37,-0.18,-1.25,0.73,-2.19,-0.47,-0.25,0.31,-2.51,-0.46,-0.41,6.69,0.99,0.11,-1.12,2.15,-0.32,-0.56,-0.73,-0.2,0.82,0.17,-2.75,0.58,-0.47,-1.05,-0.82,-0.4,1.05,-0.68,-0.64,-0.85,0.46,-0.64,-0.19,-0.13,-1.32,-1.33,1.05,0.4,-1.37,0.71,-0.03
25,6.63,I was driving to a baseball game with Lisa when a middle-aged man pulled up into the lane beside me. He was angry I did not let him into my lane so he blocked a lane and then proceeded to tailgate me for several miles. As we approached our destination I got to a stop sign and saw a police car. When I got out of my car to tell the police about his erratic driving the other driver backed up down the road. The police chased the other driver but I am not sure they ever caught up with him.,13.18,-1.19,2.83,3.81,0.25,0.86,-0.04,-1.9,3.47,-1.57,5.74,-4.13,4.63,-0.1,-0.98,0.21,0.19,0.45,-4.12,0.61,-1.6,0.9,-0.28,0.32,-0.47,-3.18,-7.25,0.85,-0.81,0.63,-0.3,1.23,5.51,0.25,1.6,0.5,-0.39,-2.54,-0.49,1.41,-0.16,-1.64,-1.57,-1.7,-0.69,0.52,1.25,-1.1,0.01,-0.96,0.23,-0.16,-0.26,0.58,-0.4,-1.06,-0.31,-1.32,4.03,-3.95,-0.47,1.08,-1.85,-3.42,-0.61,-2.36,1.83,-0.63,1.47,-0.33,0.34,1.44,-0.78,-0.33,0.46,-2.19,-0.38,-0.44,-0.83,1.12,4.08
73,9.239999999999998,Some guy was going somewhere. Homestead and he was driving and there was a guy in the median but he thought the guy was drunk but what if he wasn't drunk and had a heart attack and the guy didn't want to hear on the news that he thought drunk guy was actually heart attack guy so he went back to check and lots of other words...omg,14.04,7.52,3.75,3.47,-0.65,0.59,-0.79,-0.9,5.44,-3.99,3.24,-9.11,-0.35,-6.19,-1.29,6.63,-0.13,-1.17,-1.12,-2.61,-1.1,0.88,0.71,-0.41,-0.38,-2.79,-8.73,-3.97,1.37,2.34,-0.88,-2.95,-0.89,-0.12,-0.2,-0.77,-0.31,-0.41,0.65,2.07,0.53,2.1,-1.76,-1.32,0.67,0.73,1.72,1.48,1.26,3.4,1.55,-1.66,-0.42,10.05,2.56,-0.63,-1.4,-0.37,-1.69,-1.66,-0.29,0.5,-0.4,-2.16,-0.85,-1.17,0.69,0.21,-2.66,1.02,0.47,-0.35,0.24,1.21,-2.37,-0.32,-0.32,-0.69,0.51,0.87,-0.53
17,9.479999999999999,"There was a person driving on the freeway and [they were] heading to a hill when they noticed a suspicious driver. He started by attempting to cut the driver off however they managed to get in before him. Once further ahead, the passenger noticed the driver tailing them closely. After a while, they notice a police car and gesture [to] them to come over. [To] the car they share the information that the driver is either unwell or drunk. The police make the decision to follow the mysterious driver while he slowly drives away.",3.15,-1.01,4.16,6.18,-1.44,-0.47,-0.71,-0.71,1.1,-0.61,-0.25,-2.45,3.62,0.02,-1.24,0.98,1.09,-0.21,-0.39,4.31,-0.8,-1.57,-0.88,-0.22,1.5,-1.63,-9.99,1.37,1.25,0.06,-0.1,0.7,1.51,1.96,1.3,0.43,-0.17,-0.91,0.81,0.99,0.06,1.42,-1.51,0.36,-0.8,1.21,-5.55,-1.41,0.12,2.27,0.4,-0.19,-0.23,1.63,-0.76,-0.16,-0.6,-2.6,6.18,1.34,0.19,1.48,-0.68,1.11,-1.27,-1.51,0.24,-1.32,-3.49,1.05,0.35,-1.61,0.25,0.8,-1.92,-0.04,-0.12,0.26,2.02,1.46,0.32
47,9.489999999999998,Some people were driving and saw a potentially drunk driver cut in to traffic and drive erratically.,7.02,-2.95,3.08,4.77,0.12,0.43,-0.35,-0.59,0.56,1.07,0.14,-1.53,1.96,-1.01,0.67,1.05,0.76,0.22,-1.3,-1.75,0.02,-0.06,-0.19,-0.24,0.71,-2.0,-6.08,1.13,0.89,1.24,-0.04,-0.5,-2.71,-0.32,2.05,0.55,-0.1,2.71,1.27,0.93,-0.44,2.99,-0.48,0.1,0.1,1.73,-1.64,-0.34,1.08,-0.11,0.19,-0.02,-1.05,1.05,0.38,0.25,-0.64,-0.04,0.19,-1.98,-0.26,-0.1,-0.2,-0.33,-0.1,-1.39,0.74,-1.02,-1.85,1.63,0.3,0.15,0.37,-0.06,-1.75,-0.57,-0.31,0.04,0.4,1.08,-0.23
85,12.599999999999998,A lady who went for a game observed that she's being followed by a man who she assumed is either sick or drunk. With her ongoing thought about causes of road accident and negative happenings on the road she was worried and concerned about the man's driving attitude. She explained to the local sheriff about this happening when she got her chance then the man/driver desist and take off leading to a chase.,10.04,-2.79,4.09,4.34,0.37,0.87,-0.33,-0.29,3.35,-1.17,2.64,-2.99,1.3,-0.68,-0.74,1.76,0.7,0.45,-2.25,-1.76,0.45,-0.64,0.58,-0.3,0.72,-3.21,-8.46,1.91,1.19,0.92,-0.48,0.56,-0.96,-0.68,1.35,-0.51,-1.03,0.2,0.25,1.01,0.14,8.94,-0.83,-0.77,-0.23,1.27,-2.36,-0.64,0.58,6.08,1.21,-0.3,-0.87,1.27,-0.1,-0.73,-1.83,-1.2,3.18,0.04,-2.14,0.51,-0.88,-0.25,-1.15,-1.45,1.62,-1.68,0.08,-1.2,0.77,-0.38,-0.56,-0.5,-1.27,-1.37,-0.25,0.54,-1.69,1.95,-0.73
22,13.019999999999998,"Driver with Melanie was driving on a highway, somewhere near twenty four when a guy was blocking the highway, he then proceeded to follow them and driver was concerned as to whether he was drunk or having a heart attack so stopped the sheriff.",6.89,-3.33,4.01,13.92,0.16,-0.08,-0.78,-0.56,4.37,-2.29,-0.34,-0.46,3.51,-3.15,-0.27,1.25,0.54,0.04,-3.17,-1.84,0.14,1.32,2.16,0.04,0.83,-3.06,-8.83,2.16,1.67,1.34,-0.25,0.08,-1.11,-1.0,1.35,-0.03,-0.69,0.58,0.01,0.14,-0.6,1.19,-1.43,0.32,0.67,0.59,-4.07,-0.5,-0.36,5.05,3.06,-0.76,-0.72,2.18,1.19,-0.63,-0.78,-0.75,4.72,-0.71,-1.5,0.39,-0.56,-1.06,-0.81,-2.13,0.44,-1.11,-2.16,0.64,0.36,-0.2,0.17,0.58,-1.42,-0.88,0.0,-0.41,-0.18,0.99,-1.06
61,13.1,IT'S ABOUT A GUY WHO WAS BEING FOLLOWED BUMPER TO BUMPER BY ANOTHER CAR. HE INITIALLY THOUGHT THE GUY WAS EITHER SICK OR DRUNK CAUSE HE COULDN'T STAY IN HIS LANE. SO HE STOPPED BY A SHERIFF. WHERE HE EXPLAINED WHAT WAS GOING ON BUT WHEN THE POLICE STARTED GOING AFTER HIM HE STARTED DRIVING IN REVERSE.,11.84,-3.08,4.43,4.73,-0.47,0.73,-0.11,-0.77,-4.01,-0.83,2.18,-0.64,1.88,-1.5,0.15,1.13,0.87,0.27,-1.72,-0.45,0.62,-0.17,-0.17,0.48,0.91,-2.36,-9.82,0.99,-0.3,1.88,0.2,0.37,-2.57,0.91,1.36,-0.52,-0.65,2.57,0.96,-1.92,-0.63,1.76,-1.7,-0.77,-0.55,0.01,-2.92,-0.41,-0.53,4.95,1.33,-0.11,-0.36,2.67,-0.03,-0.64,-0.89,0.08,5.11,-0.72,-1.53,0.57,-0.58,0.07,-1.62,-0.57,0.92,0.82,-0.61,-1.24,0.68,1.33,0.25,-0.32,2.11,-1.8,0.89,-0.68,0.99,1.07,-0.7
77,13.139999999999999,On a sunny day the church baseball league went up the 24th at Meadowview.,16.77,5.98,2.13,10.2,0.22,-1.31,-1.77,-0.71,0.66,-1.08,1.59,-2.31,1.3,0.03,-1.25,0.08,0.43,-0.45,-0.55,-0.93,0.08,0.35,-0.05,0.87,-0.31,-1.96,-8.65,0.2,1.03,1.27,-0.44,-0.63,-2.37,0.42,1.64,0.14,-0.67,-0.54,-1.06,0.3,-0.02,1.05,-0.9,-1.82,-0.01,1.33,0.09,-0.11,0.92,-0.15,0.46,-0.21,-0.51,1.28,0.08,-0.55,-0.54,-0.22,-0.18,-2.67,0.42,0.13,-0.45,-0.26,-0.4,-1.07,0.45,-1.4,-1.62,0.58,0.34,0.77,0.19,0.09,-0.87,-0.42,0.11,-0.39,0.35,1.22,-0.6
15,13.89,I was driving and a person was driving erratically and I thought the person was drunk but then thought maybe they're having a medical emergency. I got the sheriff's attention and it was pretty comical.,6.39,-0.98,3.59,5.59,-0.18,1.19,-0.48,-0.67,1.45,0.24,1.58,0.18,0.68,-1.88,-0.58,1.19,1.37,-0.33,-0.97,-2.36,-0.83,-0.69,0.11,-0.46,-0.4,-2.71,-7.59,1.82,0.48,1.98,-0.28,-0.64,-2.19,0.14,2.01,0.55,-0.5,2.57,0.76,-0.07,-0.66,1.47,-1.3,-0.05,0.41,0.61,-3.63,0.41,0.94,4.94,0.59,-0.62,-1.29,1.72,1.11,-0.76,-0.69,-1.08,5.05,-0.47,-0.7,-0.09,-0.39,-1.09,-0.98,-0.62,0.54,-1.3,-1.98,2.04,0.37,-0.75,0.55,-0.25,-0.88,-2.25,0.23,-0.8,0.56,5.19,0.71
0,14.620000000000003,"Someone and their partner were driving on Twenty Four to a softball game at the church, when they noticed a guy was tailing their car. They tried to lose him, but he continued tailing them. However, the other guy crashed his car, and he didn't move. Not wanting to leave the man to die, though, they called the police, who turned up soon enough. The other man drove off and was never caught.",20.69,-4.06,2.77,14.09,-0.55,0.04,-1.26,-0.93,-0.2,-0.62,-0.72,-2.61,2.21,-1.8,-0.58,1.27,0.04,0.47,-1.75,0.93,1.75,-1.24,-1.02,0.57,0.91,-2.3,-9.29,1.88,1.5,1.43,0.28,1.22,0.18,1.1,1.58,-0.33,-0.91,-0.7,-0.37,0.26,0.0,0.06,-1.44,-0.01,-0.23,0.98,0.01,0.3,-0.0,0.69,0.17,0.27,-0.12,2.5,-1.13,-0.82,-0.61,-1.12,-3.06,-2.73,-0.54,0.55,-0.77,-1.45,-0.12,-0.89,1.35,-0.08,-0.76,-1.1,0.76,0.76,-0.35,0.84,-0.75,-0.7,1.5,-0.81,-0.16,0.19,-0.49
37,16.4,We were on our way to a softball league game. Pulling up twenty four interstate. They see another driver behind them. Who they suspect was ill or drunk. Call the sheriffs over. To try and stop the man. As they didn't want to be known as the person who did nothing. The sheriff tries to signal them down. But they go into reverse. And then forward. After it was comical.,14.75,-8.3,3.28,14.62,-0.23,-1.61,-1.08,-0.31,-0.29,-0.27,2.92,-0.91,-0.68,-4.22,-1.18,1.89,1.32,0.55,-3.52,-2.26,0.57,-0.16,0.44,-0.44,-0.6,-2.98,-9.26,0.74,2.08,3.0,-0.08,-1.22,-1.22,-0.5,-0.1,0.86,-0.3,2.62,1.34,0.24,-0.78,2.28,0.38,0.31,-0.36,1.62,-4.01,-1.01,0.7,2.79,0.43,-0.47,0.69,3.0,-1.21,0.82,-1.52,-1.09,3.93,-1.84,1.07,-0.24,-0.8,-0.19,-1.24,-0.25,0.64,0.34,-1.23,-0.96,0.88,1.38,0.12,-2.14,-0.92,-2.76,4.32,-1.21,0.02,4.9,0.51
