recall_id,recall_text,recall_len,max_clause_id,mbits_original_narrative,mbits_rephrased_narrative
0,"Someone and their partner were driving on Twenty Four to a softball game at the church, when they noticed a guy was tailing their car. They tried to lose him, but he continued tailing them. However, the other guy crashed his car, and he didn't move. Not wanting to leave the man to die, though, they called the police, who turned up soon enough. The other man drove off and was never caught.",391,12,14.62,25.83
1,"A man was in the car with a woman named Lisa, going to watch a softball game driving down the Twenty-Four. A man in his mid fifties was pulling in from somewhere blocking the road with his car on the Twenty-Four when the driver in the car with Lisa drove in and overtook him. The man in his mid fifties began following their car bumper to bumper, swaying between the two lanes on the road. The driver and Lisa thought the man was either drunk, which led him to think about how drunk driving is a major killer of young people on the roads, or the man was either sick having a heart attack or something similar. The driver didn't want to somehow read the papers the next day and find out the mid fifties man had actually suffered a heart attack and died as a result, thinking he was actually just drunk driving. Soon they see a Sheriff nearby while driving and so he waves to the sheriff to get his attention and pull over and tells him about the mid fifties man following them and that he's either sick or drunk and to go check on him. As soon as the deputy approaches the mid fifties man's car he begins to put his car in reverse and go backwards as quickly as possible. The driver and Lisa appear humoured and not knowing whether the police had ever caught or reached the man in his fifties.",1292,32,79.15,128.71
2,"About a week ago I was headed to a softball game at Homestead Diamond put on by my church. I was driving down Twenty-Four and was waiting to turn, but a car started going for the spot at the same time. I quickly drove past him and he just stayed stopped blocking the highway. Then the driver started following us. I was with my friend Lisa and she said the vehicle was right on my tail, like almost bumper to bumper. And he was driving all over the place and not staying in his lane. I thought for sure he was drunk, and that I should turn around and confront him. But then I thought that he could also have a medical problem, like maybe he was having a heart attack, and I didn't want to read the news the next day and see that someone died while having a heart attack and I could have done something to help them. Part of me also didn't want to do anything but by then, I had already made up my mind to confront him. Then I saw a sheriff on the other side of the road, so I stopped and motioned for him to come over. I told the sheriff that the man behind me was driving erratically and couldn't stay on one side of the road, and that he was either drunk or having a heart attack, but was having some kind of problem. When I stopped to talk to the sheriff the driver of the vehicle stopped a ways down the road. Then when the sheriff drove after him, he started driving the road in reverse. Then the driver turned the car around and started driving the right way, with the sheriff following. He was driving really slow and it was such a funny thing to witness. I'm not sure if the sheriff ever stopped the driver of the vehicle.",1630,34,171.19,189.87
4,About a month ago a man was going to play softball near a church and was travelling with his wife in their car when they turned on highway 24 a man in a car behind them was also trying to turn at the same time and was following them and weaving about in the road behind them. He thought the man was drunk or ill and was going to go back to the car behind him when they stopped at the next junction. He saw a police car and waved the officers over and told them about the man and they went down the road to investigate. The driver turned his car around and the police followed him. The man did not know if the man was caught by the police or not.,645,16,55.46,81.35
5,"On their way to a softball event at the diamonds, the main character was driving on 24 lane or road. He has a girl named Lisa in the car. Another man stops at the intersection and blocks off traffic. The main character goes past and the man follows. The driver behind them is driving weirdly so the main character assumes he is drunk. Then he assumes he is maybe sick and should check him out in case the newspaper says a man had a heart attack and the main character could've helped. The MC stops the car, spots a sheriff’s car, and calls them over. He tells the deputy to check the other driver out. When the driver saw the MC talking to the police, he reversed, the police followed. Then he went forward and the police had to make a u-turn. The MC thought this was comical. He wasn't sure if the other driver was caught or not.",830,23,101.54,120.82
6,"We were going up to twenty four when this guy around the age of 50 starts following me bumper to bumper, at first I didn't take it serious but he was too close that I was worried that he might hit me. I decided that at the next intersection I am going to confront him, I mean what if he is drunk and major accidents are caused by drunk driving and he can't even keep to one lane. I didn't want to get involved but I have to, also what if he is having a heart attack, I don't want to read on the news that he died while I could have done something about it. At the next stop sight I jumped out and informed a sheriff about him, ""that man is either drunk or is having a health problem, he has been following me for a while now and he can't keep on his lane."" Seeing that I was talking to the police he stopped way far and started reversing and the police started chasing him.",873,24,63.37,91.14
7,"A driver and their passenger named Lisa are driving to a baseball game on Egg Ranch Hill. On the way, another driver attempts to cut them off on the 24 highway. The other driver proceeds to drive erratically behind them. At first, the driver assumes he is drunk. It's his responsibility to report it. The driver then considers he may be sick. Possibly having a heart attack. The driver fears he will regret not doing anything if the man is sick. He hears about it after-the-fact. He decides to stop and confront him. When only a few miles from the baseball diamond, the driver spots a sheriff. He stops to speak with him. He addresses his issues with the other driver. As the other driver nears, he spies the sheriff. He turns his car, driving away. The sheriff proceeds after him. The other driver now driving cautiously. The driver does not know what happened after that.",873,18,60.59,77.47
8,"A person was driving and [they] turned right at the Egg Road house. Then [they] noticed a person was driving poorly behind them and they started to either think ‘this guy is drunk’ or ‘[this guy is] having a heart attack.’ Since they didn't want to read the newspaper tomorrow and see ‘man died of heart attack’ she flagged down the cops to let them know that ‘this guy has a problem’ and then the poor driver started to drive backwards and eventually the police caught up to them. [I am] not sure what happened to the guy in the end though, but it was funny!",559,14,19.33,41.42
9,All I can remember is drink driving number 24 he was blocking with his car and that drink driving is the main cause of driving related deaths,141,5,16.93,22.7
11,Someone and a girl named Lisa are on their way to a church softball game. They're near highway 24. There's a man in his mid-fifties. That is edging out. And blocking the intersection. The guy and Lisa manage to get out ahead of him. Then they notice that the older man is behind them. And he is driving really close to them. And cannot maintain a lane. They think that he is either drunk or sick. He doesn't really want to stop. But also doesn't want to hear about a man dying. Because he was sick. And he didn't help them. So they're about to pull over. And they see a sheriff's car. Which they wave down. They tell the Sheriff that the man behind them is either sick or drunk. When the man behind them sees the Sheriff. He puts his car in reverse. And starts backing away. Then he drives away. With the Sheriff after him. The storyteller and Lisa never found out if the man was caught. And there was something about Ranch Eggs. Which I didn't understand.,956,26,102.51,134.99
12,"They were going to a church diamond league softball game at the high school and they were going up 24 and they were getting ready to turn at the ranch eggs. They put on their turn signals and went over. There was a guy in his mid fifties who was blocking the lane and headed to the same spot as they were going and they said you jerk and they got ahead of him. The guy who was blocking the lane starts following them and Lisa the friend said, ""This guy is on your tail."" He starts weaving back and forth and this lead him to thinking the guy could be a drunk driver and how it is the number 1 killer of kids and that it is everyone's responsibility to report drunk driving. Then he thinks maybe they were having a heart attack and that he would feel guilty if he read the paper and saw a man had died of a heart attack and then he motioned at the police to come towards him. He then tells the police that the guy behind him is either drunk or sick. As the police moved towards him, the guy started backing away. The police pursued him but don't know what the result was.",1070,25,183.3,207.55
13,"The driver was driving somewhere, with someone called Lisa, and there was another car ahead, blocking the junction, holding up the traffic. Somehow the driver of this car ended up behind the first driver and he was weaving in and out. The first driver was concerned that the other driver was drunk, or ill, and he was concerned about an accident happening. He pulled up by some police officers (sheriffs) and told them what had happened. They then went back down the road to speak to this other driver but he then reversed his car back down the road, did a u-turn and then proceeded to drive very slowly. The first driver found this funny and wondered whether the police ever got to speak to the other driver.",709,19,21.45,62.4
14,Going to the baseball diamond on ranch eggs. Took the twenty four. There was an erratic driver swerving and blocking traffic in the median. Went to report him and once the sheriffs started following him he started driving more carefully.,237,9,64.14,59.67
15,I was driving and a person was driving erratically and I thought the person was drunk but then thought maybe they're having a medical emergency. I got the sheriff's attention and it was pretty comical.,201,6,13.89,38.31
16,"When I was going to a church football game I saw a guy driving a car. He stopped at a junction and blocked it. He could not seem to keep on one side of the road. I thought he must be drunk and wanted to get away from him, then I thought, what if he is sick? I would feel terrible to read in the newspaper tomorrow that he had died from a heart attack and I had done nothing about it. Just then I spotted a sheriff's car, so I went over to him and told him that the guy in the car down the road was either drunk or sick as he could not keep his car on one side of the road. As soon as the guy in the car saw me walking over to the sheriff's car he started reversing. The sheriff drove towards him. The guy started driving carefully. The sheriff followed him. I have no idea if they ever stopped him or not.",805,20,69.25,114.53
17,"There was a person driving on the freeway and [they were] heading to a hill when they noticed a suspicious driver. He started by attempting to cut the driver off however they managed to get in before him. Once further ahead, the passenger noticed the driver tailing them closely. After a while, they notice a police car and gesture [to] them to come over. [To] the car they share the information that the driver is either unwell or drunk. The police make the decision to follow the mysterious driver while he slowly drives away.",528,13,9.48,26.44
18,"We were going to the baseball diamond, and the High School. And we were driving up 25th, and we come to an intersection where this guy is coming from 24th. And he tries to get in right in the median, where people turn from you know. And I think ""you jerk"" but I manage to get in front of him. Then we head up 25th, up the hill, by Egg Ranch. And this guy, looks to be middle fifties, is right on my tail. Lisa looked back there and said ""He's right on your tail!"" And sure enough, we're basically bumper to bumper. And he can't keep his truck straight, in and out of the lane. So I think he must be drunk. And all I can think is how drunk driving is the number one killer on the roads. And how it's everyone's responsibility. That or maybe he's having a medical problem, like a heart attack. I just know it would kill me if I read in the papers the next day about a guy dying from a heart attack on the road. He could be having a heart attack and here I am thinking he's drunk. So I feel like I have to do something. We're coming up to a stop sign and I decide that when I stop, I'm going to get out and go see what's going on. Either he's drunk or having a medical problem, and I decided I needed to help. I don't really want to get involved but I feel like I have to. So I stop at the stop sign. And across the intersection, a police car has pulled up. So I wave him over, and I get out of the car. And I tell the deputy that either this guy behind me is drunk or having a definite medical problem because he's swerving across the lanes. But the driver saw me get out and talk to the deputy, and now he's stopped way back, far back from my car. Ha ha. Then as the deputy is walking down there to talk to him, he starts backing up. And then he pulls a u turn, and the police car follows him. But he's going real slow and careful down the road. It was quite comical. I don't know if they ever managed to pull him over.",1918,46,221.55,239.85
