,summary,rephrased_summary,total,len,rate,suffix
0,"I was driving to a church league softball game.|I saw a man in his fifties blocking the lane.|I managed to get ahead of the man.|The man started following me closely.|I suspected the man was drunk.|I considered confronting the man.|I saw a sheriff's car at a stop sign.|I told the deputy about the man's driving.|The man tried to reverse away from the police.|The police chased the man, who drove slowly.","En route to a church league softball match, I noticed a middle-aged man obstructing the road. Successfully navigating past him, I became aware that he was tailing me closely. His behavior led me to believe he might be intoxicated. The thought of confronting him crossed my mind. However, upon spotting a sheriff's patrol car at an intersection, I decided to inform the officer about the erratic driver. In an attempt to evade law enforcement, the individual began to back up, but the police initiated a pursuit, during which he proceeded at a reduced speed.",124.0,404,0.31,10_1.json
1,"I was driving to a softball game at Homestead High School.|I saw a man blocking the lane as I was turning onto Twenty-four.|I managed to get ahead of him though he blocked the highway.|The man followed closely behind us as we drove to the game.|Lisa noticed how close the man was to our car.|I suspected the man might be drunk or having a medical issue.|I decided to assess the situation at the next stop sign.|I saw a sheriff's car at the stop sign and asked for help.|The man reversed his car when he saw me talking to the police.|The police followed him, but I don't know if they stopped him.","While en route to a softball match at Homestead High School, I encountered a man obstructing traffic as I made my turn onto Route Twenty-four. I successfully navigated around him despite his presence on the road. This individual maintained a close tail on us all the way to the game, a fact that Lisa couldn't help but notice. Concerned that he might be inebriated or experiencing a health crisis, I planned to evaluate the situation at the upcoming stop. Upon reaching the stop, I spotted a sheriff's patrol car and promptly sought assistance. The man quickly put his vehicle in reverse upon seeing my interaction with law enforcement. The sheriff's car pursued him, although I'm uncertain whether they ultimately apprehended him.",180.01,595,0.3,10_2.json
2,I was going to a softball game at Homestead High School.|I was turning onto Twenty-four at Ranch Eggs.|I saw a man blocking the lane as I was turning.|I got ahead of the man who blocked the lane.|The man followed me closely on the road.|Lisa noticed the man driving close to my car.|The man was weaving and seemed drunk.|I thought the driver might be drunk or sick.|I decided to alert a nearby sheriff's car.|The man reversed when he saw me talking to the sheriff.,"I was on my way to a softball match at Homestead High School when I made a turn onto Twenty-four near Ranch Eggs. There, I encountered a man obstructing the traffic lane during my turn. After passing the individual who was impeding the lane, I noticed he began tailing me closely. Lisa observed that the man was maintaining a very short distance from our vehicle. His erratic driving behavior suggested intoxication. Concerned that he might be under the influence or unwell, I opted to notify a sheriff's patrol car in the vicinity. Upon noticing my interaction with law enforcement, the man abruptly changed his course.",174.38,464,0.38,10_3.json
3,We were going to a church league softball game.|We drove up Twenty-four with my turn signal on.|I noticed an older man blocking the lane.|I hurried to get ahead of the man.|The man blocked the highway and followed us.|Lisa pointed out the man was right on my tail.|The man was weaving and looked possibly drunk.|I considered what to do about the situation.|I decided to contact authorities at the stop sign.|I flagged down a sheriff's car for help.|The man attempted to reverse away from the sheriffs.,"We were en route to a church league softball match, traveling along Route Twenty-four with my indicator blinking. An elderly gentleman was obstructing the traffic flow, so I quickly maneuvered to pass him. However, he persisted in tailgating us, as Lisa observed. His erratic driving suggested he might be intoxicated. Contemplating our options, I resolved to seek assistance from law enforcement at the next stop sign. Successfully, I managed to signal a sheriff's patrol car. In response, the gentleman tried to back his vehicle away from the approaching sheriffs.",144.51,501,0.29,11_1.json
4,I was driving to a church league softball game.|I noticed a man blocking the road near Twenty-four.|I hurried to get ahead of him on the road.|The man started following us closely.|I suspected the man was drunk or having a medical issue.|I decided to report the situation to the police.|I saw a sheriff's car at a stop sign.|I informed the deputy about the man's erratic driving.|The man tried to avoid the police by reversing.|The police pursued the man carefully.|I found the situation both concerning and comical.,"En route to a church league softball match, I observed an individual obstructing the path near Twenty-four. In an attempt to bypass him, I accelerated. However, the individual began tailing us at a close distance. It crossed my mind that he might be intoxicated or experiencing a health crisis. Consequently, I resolved to alert law enforcement. Spotting a sheriff's vehicle at an intersection, I approached and relayed details of the erratic behavior. The suspect attempted to elude capture by reversing, but the officers commenced a cautious pursuit. The incident struck me as both alarming and somewhat amusing.",173.16,516,0.34,11_2.json
5,"I was driving to the church league softball game.|I was about to turn onto Twenty-four at Ranch Eggs.|A man tried to block my lane as I slowed down.|I hurried and got ahead of him on the road.|The man followed us very closely up the hill.|Lisa noticed he was right on our tail, practically bumper to bumper.|The man was weaving in his lane, seeming drunk or sick.|I considered confronting him in case he needed help.|I decided to alert the police as I saw a sheriff's car.|I told the deputy about the man's erratic driving.|The man reversed away from the intersection when he saw me approach the police.","While en route to the church league softball match, I was preparing to merge onto Route Twenty-four near Ranch Eggs when a man attempted to obstruct my path, causing me to decelerate. I quickly maneuvered past him on the roadway. Ascending the hill, the man tailed us closely, with Lisa pointing out that he was nearly touching our bumper. His vehicle swayed within his lane, suggesting he might be intoxicated or unwell. I contemplated stopping to check if he required assistance, but upon noticing a sheriff's patrol car, I opted to report the erratic behavior to the authorities. As I approached the police to relay my concerns, the man executed a reverse turn at the junction, evidently trying to avoid the encounter with law enforcement.",183.83,603,0.3,11_3.json
6,I was driving to a softball game at Homestead High School.|I saw a man in his fifties blocking the lane on Twenty-four.|I hurried and got into the lane before him.|The man followed us closely after I turned at Ranch Eggs.|Lisa noticed the guy was right on my tail and told me.|I suspected the man was drunk while he was weaving.|I planned to confront him at the stop sign for clarity.|I saw a sheriff's car and decided to involve the police.|I informed the deputy that the man had a driving problem.|The man reversed when seeing me approach the police car.|The cops followed him as he moved very cautiously forward.|I found the entire situation rather comical in the end.,"En route to a softball match at Homestead High, I encountered a middle-aged man obstructing traffic on Route Twenty-four. I quickly maneuvered into the lane ahead of him. After making a turn at Ranch Eggs, the man began tailgating us, which Lisa pointed out. His erratic driving led me to believe he might be intoxicated. I intended to address him at the next stop sign to get some answers. However, upon spotting a patrol car, I opted to seek assistance from law enforcement. I alerted the officer to the man's erratic driving behavior. The man, noticing my interaction with the sheriff, put his car in reverse. The police began to tail him as he proceeded with exaggerated caution. Reflecting on the incident, I couldn't help but find the whole ordeal amusing.",233.87,671,0.35,12_1.json
7,"We were going to a church league softball game at Homestead High School.|I slowed down and turned at Ranch Eggs onto Twenty-four.|A middle-aged man started creeping onto Twenty-four, blocking my lane.|I hurried to get in front of him as he blocked the highway.|As we drove, the man followed us closely, right on my tail.|Lisa noticed the man was practically bumper to bumper behind us.|The man was weaving and seemed drunk, so I was concerned.|I considered he might be sick, like having a heart attack.|I decided to act when we reached a stop sign.|I saw a sheriff's car and motioned for them to help.|The man backed up his car when he saw me with police.|Police tried to catch him as he drove slowly and carefully.","We were en route to a softball game for the church league at Homestead High School. As I decelerated to make a turn off Ranch Eggs onto Highway Twenty-four, a man of middle age began to inch forward onto the highway, obstructing my path. I quickly maneuvered to pass him before he completely impeded the road. Throughout our journey, he tailed us persistently, maintaining an uncomfortably close distance. Lisa observed that he was nearly touching our bumper. His erratic driving and apparent intoxication raised my alarm. It crossed my mind that he could be experiencing a medical emergency, such as a heart attack. At a stop sign, I resolved to take action. Spotting a sheriff's patrol car, I signaled for assistance. The man reversed his vehicle upon noticing my interaction with the law enforcement. As the police attempted to pursue him, he proceeded to drive away with deliberate slowness and caution.",267.95,715,0.37,12_2.json
8,"We were driving to a softball game at Homestead High School.|I was slowing down to turn at Ranch Eggs with my signal on.|A man in his fifties started blocking the lane on Twenty-four.|I hurried and got ahead of him, but he blocked the road.|We crossed safely and noticed he was following us closely.|Lisa pointed out he was following bumper to bumper.|He was weaving and couldn't stay in one lane.|I suspected he was either drunk or having a medical issue.|I decided to address the situation at the stop sign.|I saw a sheriff's car and motioned for help.|The man noticed me and reversed away upon seeing police.|The police tried to stop him as he drove slowly away.","On our way to a softball match at Homestead High School, I began to decelerate to make a turn at Ranch Eggs, my turn signal clearly active. Suddenly, a middle-aged man began to impede traffic on Route Twenty-four. I managed to maneuver past him, despite his attempts to obstruct the roadway. Once we were on the other side, it became apparent that he was tailgating us with minimal distance between our vehicles. Lisa observed that he was following us extremely closely. His erratic driving, as he swerved between lanes, led me to believe he was either intoxicated or suffering from a health emergency. At the upcoming stop sign, I planned to confront the issue. Spotting a sheriff's patrol car, I gestured for assistance. The man, realizing my actions and noticing the police, quickly put his car in reverse to escape. The sheriff pursued him, though he was only able to drive off at a slow pace.",222.16,665,0.33,12_3.json
9,I was going to a church league softball game.|I was driving to Homestead High School.|I saw a man blocking the lane on Twenty-four.|I hurried up and got ahead of the man.|The man followed us closely in traffic.|Lisa noticed the man was right on my tail.|I suspected the man was drunk.|I was worried about drunk driving being a danger.|I didn't want to get involved but decided to act.|I stopped at a stop sign and saw a sheriff's car.|I informed the deputy about the man's behavior.|The man started reversing when he saw me talk to the deputy.|I don't know if they stopped the man or not.,"I was en route to a church league softball match and on my way to Homestead High School. On the road, a man was obstructing traffic on Twenty-four, so I quickly maneuvered past him. The man began tailgating us through the traffic. Lisa pointed out that he was extremely close behind us. I had a hunch that he might be intoxicated. The threat of drunk driving crossed my mind, and although I was hesitant to get involved, I felt compelled to take action. At a stop sign, I came across a sheriff's patrol car and took the opportunity to alert the deputy to the man's erratic driving. Upon noticing my interaction with the law enforcement officer, the man began to back up. Whether the authorities apprehended him or not remains unknown to me.",197.43,588,0.34,13_1.json
10,"I was headed to a church league softball game a month ago.|The game was scheduled at Homestead High School.|I was about to turn at Ranch Eggs on Twenty-four.|I saw a guy in his mid-fifties starting to block my lane.|I managed to enter the lane ahead of him.|He began following me closely, nearly bumper to bumper.|Lisa noticed he was tailgating us.|He was weaving and couldn't keep in one lane.|I suspected he might be drunk or sick.|I decided to confront him at the stop sign.|A sheriff's car was stopped across the road at the intersection.|I informed the deputy about the guy's erratic driving.|The guy reversed when he saw me with the police.","A month back, I was on my way to play in a church-sponsored softball match at Homestead High School. As I prepared to make my turn near Ranch Eggs on the 24th street, I observed a man in his fifties attempting to cut into my driving path. Skillfully, I managed to slip into the lane before him, but he started to pursue me closely, his vehicle almost touching mine. Lisa caught on to his tailgating antics. His car was swerving, struggling to stay within a single lane, which led me to think he could be under the influence or unwell. At a stop sign, I resolved to address him, but just then, I noticed a sheriff's patrol car stationed at the crossroads. I approached the officer and reported the man's dangerous driving behavior. Upon noticing my interaction with law enforcement, the man quickly put his car in reverse.",204.71,646,0.32,13_2.json
11,We were driving to a church league softball game.|I started to turn with the signal on Twenty-four.|A man in his fifties blocked the lane attempting to merge.|I managed to get ahead of him despite the block.|He followed us closely up the hill at Ranch Eggs.|Lisa noticed he was tailgating us dangerously.|The man weaved between lanes suggesting he was drunk.|I considered he might be sick or having a heart attack.|I decided to help despite my reluctance to get involved.|We stopped at a sign near a sheriff's car.|I alerted the deputy about the man's erratic driving.|The man attempted to avoid the police by reversing.|The police pursued him as he drove slowly and carefully.,"On our way to a church league softball match, I was making a turn onto Twenty-four with my signal on when a middle-aged man tried to merge into the same lane, obstructing our path. Nonetheless, I managed to slip past him. He clung to our bumper, following us up the incline by Ranch Eggs, which Lisa observed with concern due to his perilously close proximity. His zigzagging across the road hinted at possible intoxication. I speculated that he could be in distress, possibly from illness or a cardiac event. Despite my hesitation to intervene, I felt compelled to offer assistance. When we came to a halt by a traffic sign, conveniently near a sheriff's patrol car, I took the opportunity to inform the officer of the man's unpredictable behavior. In an attempt to elude law enforcement, the man began to back up, but the police were quick to give chase as he proceeded to navigate the road with slow, deliberate movements.",253.53,677,0.37,13_3.json
12,"I was driving to the church league softball game.|We were heading to Homestead High School for the game.|I was slowing down to turn onto Twenty-four.|A man in his fifties started creeping onto Twenty-four.|He blocked my lane by heading for the same spot.|I managed to get ahead of him in the lane.|We continued driving towards the diamond, north of Twenty-four.|The man followed us closely and was right on my tail.|Lisa noticed him tailgating us.|The man was weaving in and out of the lane.|I thought he might be drunk or having a medical issue.|We stopped at a sign where I saw a sheriff's car.|I told the deputy about the man's erratic driving.|The man started reversing but police caught up with him.","En route to our church league's softball match, we were on our way to Homestead High School. As I was decelerating to make a turn onto Twenty-four, a man in his mid-fifties began inching forward onto the same road. He obstructed my path as he aimed for the identical spot. Nevertheless, I succeeded in securing a position ahead of him in the traffic lane. Our journey continued northbound towards the field, beyond Twenty-four, with the man maintaining a close pursuit, practically on our bumper. Lisa took note of his tailgating behavior. His vehicle was darting back and forth across the lane, leading me to speculate that he might be intoxicated or experiencing a health emergency. Upon reaching a stop sign, I spotted a patrol car belonging to the sheriff's department. I approached the officer and relayed the details of the man's unpredictable driving. As the man began to reverse, the authorities were quick to apprehend him.",242.28,704,0.34,14_1.json
13,"We were driving to a softball game a month ago.|The games were scheduled at Homestead High School.|I slowed down to turn, saw an older man blocking the lane.|The man started creeping out, causing a traffic block.|I hurried and got ahead of him at the turn.|The man blocked the highway in the median.|We crossed and headed towards the diamond.|The man followed us closely up a hill.|Lisa noticed him tailing us very close.|I watched him, fearing he might crash into us.|The man was weaving and seemed possibly drunk.|I planned to approach him at the stop sign.|A sheriff's car was at the stop sign.|The man reversed when he saw the police.","A month back, as we were en route to a softball match at Homestead High School, I had to decelerate for a turn and noticed an elderly gentleman obstructing the road. His slow movement was causing a backup of vehicles. I managed to get in front of him as we made the turn, but he ended up blocking the center of the highway. We continued on our way to the field, with the gentleman following us up an incline. Lisa was quick to spot him tailgating us at an uncomfortably close distance. I kept an eye on him, concerned about the potential for a collision, as his erratic driving suggested he might be under the influence. My intention was to confront him once we reached a stop sign, but as luck would have it, a sheriff's patrol car was stationed there. Upon noticing the police, the man chose to back his car away.",173.21,638,0.27,14_2.json
14,We were going to a church league softball game.|The games were at Homestead High School.|I was slowing down and signaling to turn.|A man in his fifties blocked the lane.|I managed to get ahead of him.|The man was blocking Twenty-four.|Lisa noticed the man following us closely.|The man was weaving in and out of lanes.|I thought he might be drunk or sick.|I planned to confront him at the stop sign.|A sheriff's car was at the stop sign.|I informed the deputy about the man's behavior.|The man reversed away when I approached the police.|The deputies followed him cautiously.,"We were on our way to participate in a softball match organized by our church, which was scheduled at Homestead High School. As I was decelerating and indicating my intention to make a turn, a middle-aged man obstructed the traffic flow. Eventually, I succeeded in moving past him. This individual was causing a hold-up on Route Twenty-four. Lisa observed that he was tailing us at a close distance and erratically switching between lanes. It crossed my mind that he could be under the influence or experiencing a medical issue. My intention was to address him once we reached the stop sign. However, upon arriving there, we encountered a patrol car belonging to the sheriff's department. I took the opportunity to report the erratic driver to the deputy. Seeing me engage with law enforcement, the man began to back his vehicle away. The deputies then proceeded to trail him with caution.",214.08,575,0.37,14_3.json
