segment_ids,text,keypoint
"(1, 3)",About a month ago see we were going to a church league softball game... They'd had the games all scheduled for the diamond at Homestead High School. You know where that's at?,Heading to a church softball game at Homestead
"(4, 7)","Well we're going up Twenty­-four, and getting ready to turn there, at Ranch Eggs, and I was slowing down, got my turn signal on,","Slowing on Twenty-four, preparing to turn off"
"(8, 10)","and as I was slowing down, there's this guy sitting over here to the right, coming on to Twenty­-four.",Narrator spots another car edging onto road
"(11, 14)","Looked like he's about in his middle fifties. And he starts creeping out onto Twenty-four and he's blocking off the lane, and he's heading for the same spot that I'm going.","Older driver creeps out, blocking narrator’s lane"
"(15, 16)",You know how you sit there and wait for the traffic to get by? Right there in the median?,Explains waiting in the median for traffic
"(17, 20)","This guy starts, pulls out in the lane, I thought ""you jerk""... but I hurried up and got in there ahead of him.",Man pulls ahead; narrator slips by first
"(21, 24)",And he sits there and waits on. Mean he's got Twenty­-four blocked. He's sitting there right in the middle of the highway. Got it blocked.,Other driver now blocks the highway completely
"(25, 28)","So we went on across as soon as traffic cleared, and we're headed up there towards that diamond, and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center, and this guy's following us see,","Narrator continues toward diamond, tailgater follows close"
"(29, 32)","as we're going up there this little hill right there. At Ranch Eggs. We're going up this hill, and this guy's right on my tail.",Climbing hill; tailgater sits right on bumper
"(33, 34)","And Lisa was with me, and she said “That guy is right on your tail!”",Lisa remarks how close the car is
"(35, 37)","I looked in the mirror and sure enough he's right up there practically bumper to bumper, and I'm trying to keep an eye on him, make sure he doesn't slam into me or anything.","Narrator watches mirror, worried about collision"
"(38, 40)","He starts weaving back and forth, couldn't keep it in one lane. Really ...bad news.","Tailgater weaves unpredictably, obviously bad news"
"(41, 44)",And all the time this is going on... I'm thinking how drunk driving is the number one killer of kids and all this business. How it's everybody's responsibility. So I was trying to make up my mind what to do.,Thinks about drunk-driving dangers and responsibility
"(45, 48)","I was pretty sure he was drunk... at least he appeared that way... so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is, 'cause I'm thinking he's drunk,",Plans to confront tailgater at upcoming stop
"(49, 52)","and I know I oughta do something about it, but at the same time if he's sick, like maybe he's having a heart attack or something, you know.",Also considers driver might be sick instead
"(53, 55)","You gotta do something. I'd really feel bad if I read the papers the next day that the guy, some guy died with a heart attack and there I was thinking he was drunk.",Feels guilty imagining wrong assumption in headlines
"(56, 59)","And I didn't really want to get involved to be honest with you. But I had made up my mind that I was going to, so we pulled up to the stop at this sign, and right across the road stopped a sheriff's car.",Reaches stop sign and spots parked sheriff
"(60, 63)","So I motion for him to come over, and they whip across the road, and I got out the car, walked over there,","Signals deputies, exits car, approaches them"
"(64, 67)","and said to this deputy “This guy behind me is either sick or he's drunk, but he's got a problem. He can't keep his car on one side of the road.” And I said “He's got a definite problem...”",Tells police the following driver has a problem
"(68, 70)","So they started down there. And as soon as he sees me get out of the car and walk over there to the police car, the guy stops way far away from the intersection.",Police move; tailgater halts far back
"(71, 73)","He stops, and he throws his car into reverse, and starts backing up.","Driver throws car in reverse, backs away"
"(74, 75)","When the cops went down there to check him out, he starts backing up going backwards down that road.",Cops pursue as he reverses down road
"(76, 79)","Pretty soon they catch up with him, and he starts forward again, and they make a U­-turn in the road and start following him, and he's just driving real slow and careful.",Police chase continues; driver now crawls forward
"(80, 81)",Ha ha it's pretty comical... I don't know if they ever stopped him or not.,"Narrator amused, unsure if police ever stopped him"
