segment_id,pcaught,prec,mbits,segment_text
1,0.8421052631578947,0.5157894736842106,16.74,About a month ago see we were going to a church league softball game...
2,0.42105263157894735,0.3157894736842105,4.74,They'd had the games all scheduled for the diamond at Homestead High School.
3,0.05263157894736842,0.042105263157894736,3.98,You know where that's at?
4,0.7684210526315789,0.6,9.78,"Well we're going up Twenty­-four,"
5,0.3368421052631579,0.2,5.84,"and getting ready to turn there, at Ranch Eggs,"
6,0.23157894736842105,0.05263157894736842,0.9,"and I was slowing down,"
7,0.2631578947368421,0.05263157894736842,-0.75,"got my turn signal on,"
8,0.24210526315789474,0.05263157894736842,-0.76,"and as I was slowing down,"
9,0.6526315789473685,0.1368421052631579,1.73,"there's this guy sitting over here to the right,"
10,0.3894736842105263,0.08421052631578947,-0.29,coming on to Twenty­-four.
11,0.4842105263157895,0.2736842105263158,2.43,Looked like he's about in his middle fifties.
12,0.5684210526315789,0.1368421052631579,-0.25,And he starts creeping out onto Twenty-four
13,0.7263157894736842,0.3684210526315789,2.79,"and he's blocking off the lane,"
14,0.23157894736842105,0.06315789473684211,-1.27,and he's heading for the same spot that I'm going.
15,0.12631578947368421,0.042105263157894736,0.77,You know how you sit there and wait for the traffic to get by?
16,0.1368421052631579,0.05263157894736842,1.71,Right there in the median?
17,0.06315789473684211,0.021052631578947368,0.75,"This guy starts,"
18,0.35789473684210527,0.042105263157894736,0.53,"pulls out in the lane,"
19,0.4,0.08421052631578947,-1.01,"I thought ""you jerk""..."
20,0.43157894736842106,0.2,0.07,but I hurried up and got in there ahead of him.
21,0.06315789473684211,0.031578947368421054,-0.79,And he sits there and waits on.
22,0.6105263157894737,0.10526315789473684,1.04,Mean he's got Twenty­-four blocked.
23,0.6947368421052632,0.10526315789473684,0.76,He's sitting there right in the middle of the highway.
24,0.5578947368421052,0.12631578947368421,-0.0,Got it blocked.
25,0.3684210526315789,0.08421052631578947,1.93,"So we went on across as soon as traffic cleared,"
26,0.30526315789473685,0.06315789473684211,-2.2,"and we're headed up there towards that diamond,"
27,0.4,0.08421052631578947,-8.43,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,"
28,0.7263157894736842,0.21052631578947367,1.41,"and this guy's following us see,"
29,0.3368421052631579,0.042105263157894736,1.13,as we're going up there this little hill right there.
30,0.3263157894736842,0.09473684210526316,1.44,At Ranch Eggs.
31,0.30526315789473685,0.05263157894736842,-0.23,"We're going up this hill,"
32,0.7684210526315789,0.3473684210526316,0.42,and this guy's right on my tail.
33,0.5157894736842106,0.3684210526315789,2.51,"And Lisa was with me,"
34,0.49473684210526314,0.25263157894736843,1.17,and she said “That guy is right on your tail!”
35,0.6421052631578947,0.21052631578947367,3.19,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,"
36,0.24210526315789474,0.07368421052631578,0.78,"and I'm trying to keep an eye on him,"
37,0.24210526315789474,0.07368421052631578,0.09,make sure he doesn't slam into me or anything.
38,0.8631578947368421,0.4105263157894737,2.76,"He starts weaving back and forth,"
39,0.8421052631578947,0.35789473684210527,1.85,couldn't keep it in one lane.
40,0.15789473684210525,0.031578947368421054,0.57,Really ...bad news.
41,0.12631578947368421,0.021052631578947368,-0.31,And all the time this is going on...
42,0.6736842105263158,0.24210526315789474,5.99,I'm thinking how drunk driving is the number one killer of kids and all this business.
43,0.17894736842105263,0.07368421052631578,-0.48,How it's everybody's responsibility.
44,0.4421052631578947,0.05263157894736842,1.0,So I was trying to make up my mind what to do.
45,0.8526315789473684,0.30526315789473685,0.35,I was pretty sure he was drunk...
46,0.8315789473684211,0.11578947368421053,1.05,at least he appeared that way...
47,0.4421052631578947,0.18947368421052632,1.91,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,"
48,0.3894736842105263,0.07368421052631578,-0.53,"'cause I'm thinking he's drunk,"
49,0.24210526315789474,0.042105263157894736,0.67,"and I know I oughta do something about it,"
