real_caught,segment_id,segment_text,gpt4,gpt4o_all,gpt4o_idxmx
84.21,1,About a month ago see we were going to a church league softball game...,100.0,96.66666666666667,77.77777777777777
42.11,2,They'd had the games all scheduled for the diamond at Homestead High School.,80.0,86.66666666666667,55.55555555555556
5.26,3,You know where that's at?,0.0,,
76.84,4,"Well we're going up Twenty­-four,",60.0,76.66666666666667,33.333333333333336
33.68,5,"and getting ready to turn there, at Ranch Eggs,",50.0,59.166666666666664,44.44444444444444
23.16,6,"and I was slowing down,",10.0,17.5,11.11111111111111
26.32,7,"got my turn signal on,",20.0,44.166666666666664,22.22222222222222
24.21,8,"and as I was slowing down,",20.0,2.5,
65.26,9,"there's this guy sitting over here to the right,",90.0,92.5,77.77777777777777
38.95,10,coming on to Twenty­-four.,60.0,41.666666666666664,11.11111111111111
48.42,11,Looked like he's about in his middle fifties.,100.0,65.0,22.22222222222222
56.84,12,And he starts creeping out onto Twenty-four,80.0,75.0,66.66666666666667
72.63,13,"and he's blocking off the lane,",100.0,98.33333333333333,100.0
23.16,14,and he's heading for the same spot that I'm going.,20.0,35.833333333333336,11.11111111111111
12.63,15,You know how you sit there and wait for the traffic to get by?,0.0,5.833333333333333,
13.68,16,Right there in the median?,0.0,6.666666666666667,
6.32,17,"This guy starts,",0.0,0.8333333333333334,
35.79,18,"pulls out in the lane,",50.0,19.166666666666668,11.11111111111111
40.0,19,"I thought ""you jerk""...",40.0,27.5,11.11111111111111
43.16,20,but I hurried up and got in there ahead of him.,20.0,85.0,11.11111111111111
6.32,21,And he sits there and waits on.,10.0,10.0,
61.05,22,Mean he's got Twenty­-four blocked.,90.0,73.33333333333333,44.44444444444444
69.47,23,He's sitting there right in the middle of the highway.,90.0,84.16666666666667,44.44444444444444
55.79,24,Got it blocked.,50.0,43.333333333333336,33.333333333333336
36.84,25,"So we went on across as soon as traffic cleared,",0.0,64.16666666666667,
30.53,26,"and we're headed up there towards that diamond,",10.0,65.0,22.22222222222222
40.0,27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",10.0,30.833333333333332,22.22222222222222
72.63,28,"and this guy's following us see,",90.0,97.5,100.0
33.68,29,as we're going up there this little hill right there.,40.0,32.5,33.333333333333336
32.63,30,At Ranch Eggs.,30.0,20.833333333333332,
30.53,31,"We're going up this hill,",30.0,10.833333333333334,33.333333333333336
76.84,32,and this guy's right on my tail.,100.0,70.0,100.0
51.58,33,"And Lisa was with me,",0.0,43.333333333333336,11.11111111111111
49.47,34,and she said “That guy is right on your tail!”,40.0,92.5,66.66666666666667
64.21,35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",100.0,67.5,77.77777777777777
24.21,36,"and I'm trying to keep an eye on him,",10.0,22.5,22.22222222222222
24.21,37,make sure he doesn't slam into me or anything.,10.0,20.0,33.333333333333336
86.32,38,"He starts weaving back and forth,",100.0,96.66666666666667,100.0
84.21,39,couldn't keep it in one lane.,100.0,89.16666666666667,88.88888888888889
15.79,40,Really ...bad news.,20.0,5.0,
12.63,41,And all the time this is going on...,10.0,0.8333333333333334,
67.37,42,I'm thinking how drunk driving is the number one killer of kids and all this business.,100.0,84.16666666666667,55.55555555555556
17.89,43,How it's everybody's responsibility.,30.0,22.5,
44.21,44,So I was trying to make up my mind what to do.,90.0,53.333333333333336,33.333333333333336
85.26,45,I was pretty sure he was drunk...,90.0,90.0,88.88888888888889
83.16,46,at least he appeared that way...,90.0,86.66666666666667,88.88888888888889
44.21,47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",60.0,75.83333333333333,55.55555555555556
38.95,48,"'cause I'm thinking he's drunk,",30.0,30.833333333333332,77.77777777777777
