recall_id,#clauses,n,segment_ids,text
23,26,35,"[1, 4, 5, 6, 7, 8, 10, 12, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 42, 44, 45, 46, 50, 51, 60, 69, 70, 72, 74, 78, 81]","There is a lady driving in the road with her friend Lisa. They recall that two months ago they were supposed to go and watch a softball game. As they are driving they realize that someone is driving suspiciously close to them. Lisa even said he was on their tail. He was very close such that it was bumper to bumper. They continued on the road and turned onto the road called twenty-four and the man followed them still. They realized that he was weaving and could not keep to one side of the road, he was not keeping to his lane. At this point they thought that he was either drunk or sick for example having a heart-attack. They called the cops on him and as he saw police approaching his car he had parked at a distance, he started driving in reverse. The cops started chasing him and this is where the story ends as the two ladies also never got to know if the police caught up with the driver."
96,16,36,"[1, 4, 6, 7, 8, 9, 13, 23, 24, 25, 28, 29, 32, 35, 36, 37, 38, 39, 41, 42, 45, 46, 50, 51, 58, 59, 60, 62, 64, 66, 70, 72, 73, 75, 76, 78]","A person is on their way to the church softball game on 24th ave. On the way there, they notice a car blocking the highway, so they take a detour. Suddenly an erratic driver begins following them, tailgating very closely. This makes the driver nervous, so they pull over. Once pulled over the other driver does as well further back. A sheriff car is nearby, so the driver flags them down and tells them about the erratic driver, that they are possibly intoxicated or in need of medical assistance. Suddenly the erratic driver shifts it in reverse and takes off. The sheriff follows suit."
16,20,37,"[1, 9, 10, 11, 12, 13, 22, 23, 24, 38, 39, 42, 45, 46, 50, 51, 54, 55, 56, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 72, 73, 74, 78, 79, 80, 81]","When I was going to a church football game I saw a guy driving a car. He stopped at a junction and blocked it. He could not seem to keep on one side of the road. I thought he must be drunk and wanted to get away from him, then I thought, what if he is sick? I would feel terrible to read in the newspaper tomorrow that he had died from a heart attack and I had done nothing about it. Just then I spotted a sheriff's car, so I went over to him and told him that the guy in the car down the road was either drunk or sick as he could not keep his car on one side of the road. As soon as the guy in the car saw me walking over to the sheriff's car he started reversing. The sheriff drove towards him. The guy started driving carefully. The sheriff followed him. I have no idea if they ever stopped him or not."
35,11,37,"[1, 2, 4, 9, 12, 13, 16, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 34, 35, 38, 39, 42, 45, 46, 48, 50, 58, 59, 60, 61, 62, 63, 64, 65, 66]",They were going to a church baseball game at the diamond and were on Highway 24. A guy blocked the highway and the narrator moved into the median before the guy. The guy then followed the narrator down the road to the diamond about a mile or two past Ranch Eggs. The guy was swerving and the narrator thought he was drunk or sick. Lisa pointed out the guy was really close. The narrator stopped at a stop sign and motioned the cops over.
97,35,37,"[1, 2, 4, 7, 10, 11, 15, 21, 25, 28, 31, 32, 34, 38, 39, 42, 45, 46, 47, 50, 53, 54, 58, 59, 60, 62, 63, 64, 65, 66, 68, 72, 73, 76, 78, 79, 81]","I [was] heading to church to [the] softball game, as they have them all arranged, and [I] was driving down the twenty-four, when a male in his mid-50's pulls onto the highway, [and] we were stuck for a second whilst traffic cleared, but when it did, I pulled off into the right lane, [and] the man followed me, and he got really close to my bumper, and Lisa said how close he was to the bumper, I thought he was drunk because he couldn't keep his car straight, [and] he was weaving and really close, then there was a stop sign coming up, and I thought I will get out at the stop sign, and go and check on him, because even though I think he's drunk, and drink driving is the biggest killer, I also thought he may be sick, and I didn't want to read about a man having a heart attack in his car, and not have done anything. When we approached the stop sign, I saw a police car, and waved the deputy over, I got out [of] my car, and approached the police, and told them he was weaving around, and he's probably drunk, and when they went to approach him, he started reversing back down the hill, and the police followed him, and when they caught up, he started driving forward real slow, and sensible, and they followed, [and] I wonder if they caught up with him."
100,18,37,"[1, 2, 4, 9, 10, 12, 13, 14, 20, 22, 23, 24, 25, 28, 29, 32, 35, 38, 39, 45, 46, 48, 58, 59, 60, 64, 65, 66, 68, 72, 73, 74, 75, 76, 77, 78, 81]","People are driving to church softball game at Homestead High School. They are driving up twenty four. Some vehicle in front of them starts trying to turn to where they are going. It is blocking off the entire intersection. Eventually, they go past the vehicle. The vehicle then starts erratically following them. It is swerving all over the road. They decide to pull over. They see a sheriff's vehicle. They then call over. They talk to about the other vehicle. It is being driven erratically. They mention that the driver might be drunk. The cops then chase the vehicle. It backs up in reverse. It then starts driving forwards. It then switches back into reverse. The narrator doesn't know if they ever caught the driver."
1,32,38,"[1, 4, 10, 11, 13, 20, 23, 26, 28, 31, 32, 33, 34, 35, 38, 39, 42, 45, 46, 50, 51, 54, 55, 58, 59, 60, 64, 67, 68, 72, 74, 75, 76, 77, 78, 79, 80, 81]","A man was in the car with a woman named Lisa, going to watch a softball game driving down the Twenty-Four. A man in his mid fifties was pulling in from somewhere blocking the road with his car on the Twenty-Four when the driver in the car with Lisa drove in and overtook him. The man in his mid fifties began following their car bumper to bumper, swaying between the two lanes on the road. The driver and Lisa thought the man was either drunk, which led him to think about how drunk driving is a major killer of young people on the roads, or the man was either sick having a heart attack or something similar. The driver didn't want to somehow read the papers the next day and find out the mid fifties man had actually suffered a heart attack and died as a result, thinking he was actually just drunk driving. Soon they see a Sheriff nearby while driving and so he waves to the sheriff to get his attention and pull over and tells him about the mid fifties man following them and that he's either sick or drunk and to go check on him. As soon as the deputy approaches the mid fifties man's car he begins to put his car in reverse and go backwards as quickly as possible. The driver and Lisa appear humoured and not knowing whether the police had ever caught or reached the man in his fifties."
6,24,38,"[4, 9, 11, 19, 28, 29, 32, 34, 35, 37, 39, 42, 45, 46, 47, 48, 50, 51, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 69, 70, 72, 73, 74, 75, 76, 78]","We were going up to twenty four when this guy around the age of 50 starts following me bumper to bumper, at first I didn't take it serious but he was too close that I was worried that he might hit me. I decided that at the next intersection I am going to confront him, I mean what if he is drunk and major accidents are caused by drunk driving and he can't even keep to one lane. I didn't want to get involved but I have to, also what if he is having a heart attack, I don't want to read on the news that he died while I could have done something about it. At the next stop sight I jumped out and informed a sheriff about him, ""that man is either drunk or is having a health problem, he has been following me for a while now and he can't keep on his lane."" Seeing that I was talking to the police he stopped way far and started reversing and the police started chasing him."
69,30,38,"[1, 4, 9, 10, 11, 12, 13, 22, 23, 24, 25, 28, 32, 33, 38, 39, 45, 46, 47, 50, 51, 58, 59, 62, 64, 65, 66, 67, 68, 70, 72, 73, 74, 75, 76, 77, 79, 80]","A couple was going to a baseball game and on their way there was a car on highway 24 that was blocking the road by the median. The couple passed the car and the car followed them and tailgated them while swerving. The driver told his partner, Lisa, that he was going to stop at the stop sign up ahead and he was going to go back and approach the driver to see if he was either drunk or if he was sick (having a medical emergency). When the couple approached the stop sign they noticed a police officer and got out of their car to inform him of what had happened. The car behind them noticed this and stopped down the road. The police officer went down to speak to the driver but the driver started to reverse the car, until the police officer was able to catch up. Once the officer caught up the driver started driving forward again, really slow and really carefully in a very comical way."
5,23,39,"[1, 2, 4, 9, 10, 11, 13, 20, 22, 23, 24, 25, 28, 33, 38, 39, 42, 45, 46, 50, 51, 53, 54, 56, 58, 59, 60, 61, 64, 66, 67, 69, 72, 74, 76, 77, 78, 80, 81]","On their way to a softball event at the diamonds, the main character was driving on 24 lane or road. He has a girl named Lisa in the car. Another man stops at the intersection and blocks off traffic. The main character goes past and the man follows. The driver behind them is driving weirdly so the main character assumes he is drunk. Then he assumes he is maybe sick and should check him out in case the newspaper says a man had a heart attack and the main character could've helped. The MC stops the car, spots a sheriff’s car, and calls them over. He tells the deputy to check the other driver out. When the driver saw the MC talking to the police, he reversed, the police followed. Then he went forward and the police had to make a u-turn. The MC thought this was comical. He wasn't sure if the other driver was caught or not."
