recall_id,chars,average,text
68,0,0.6421,
85,0,0.6415,
31,0,0.6553,
76,0,0.5775,
38,0,0.578,
32,0,0.5515,
47,0,0.5297,
86,0,0.5635,
71,0,0.4518,
35,0,0.5943,
40,0,0.5944,
81,0,0.6587,
69,0,0.6388,
63,0,0.5848,
16,0,0.6276,
27,0,0.5808,
93,0,0.5763,
52,0,0.5956,
99,0,0.5897,
58,0,0.4599,
44,0,0.5791,
75,0,0.6021,
88,0,0.6454,
36,0,0.585,
41,0,0.4808,
70,0,0.6564,
33,0,0.5795,
87,0,0.5815,
46,0,0.5095,
39,0,0.5558,
77,0,0.5013,
84,0,0.5435,
45,0,0.6362,
1,0,0.6285,
30,0,0.5845,
89,0,0.6112,
48,0,0.5382,
83,0,0.5279,
37,0,0.6288,
73,0,0.5916,
79,0,0.591,
78,0,0.6172,
72,0,0.641,
43,0,0.6471,
74,0,0.5568,
64,0,0.5654,
11,0,0.6403,
94,0,0.5718,
57,0,0.5763,
96,0,0.6091,
22,0,0.5922,
4,0,0.6395,
28,0,0.5656,
19,0,0.5834,
13,0,0.568,
66,0,0.5038,
7,0,0.5945,
61,0,0.6991,
21,0,0.6144,
95,0,0.492,
65,0,0.6137,
59,0,0.5796,
98,0,0.5107,
0,0,0.6017,
26,0,0.634,
92,0,0.6842,
62,0,0.5218,
17,0,0.611,
54,0,0.6526,
80,0,0.5778,
100,0,0.6284,
25,0,0.6057,
55,0,0.6432,
6,0,0.5928,
12,0,0.5837,
67,0,0.6034,
18,0,0.5342,
29,0,0.6158,
5,0,0.6143,
97,0,0.5946,
56,0,0.5594,
14,0,0.5327,
23,0,0.5525,
60,0,0.6208,
2,0,0.5819,
90,0,0.5263,
51,0,0.5961,
24,0,0.5028,
8,0,0.595,
50,0,0.5752,
91,0,0.5673,
9,0,0.6592,
15,0,0.6015,
34,0,0.5482,
