index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,"I saw a man driving erratically near a church league softball game. I suspected the man was drunk and decided to alert the police. The man tried to evade the police, but I don't know if they caught him.",202,30.24,24.99,3,3,1
1,I was turning onto Twenty-four and a man blocked the lane. The man followed me closely and seemed drunk. I informed a sheriff and they went to check on him.,156,22.44,37.56,3,3,2
2,"I encountered a reckless driver blocking the lane as I turned onto Twenty-four. The driver followed me closely, weaving and appearing impaired. I alerted a nearby sheriff's deputy, who pursued the suspect driving erratically.",225,20.44,18.18,3,3,3
3,"We were going to a softball game at Homestead High School. I encountered a possibly drunk driver who followed us closely. I decided to approach a sheriff's car to report the driver. The driver reversed to avoid the police, and they followed him.",245,48.2,39.02,4,4,1
4,I was driving to a softball game with Lisa. A man blocked my lane and followed us closely. I suspected he was drunk and considered confronting him. I informed a sheriff who then pursued the man.,194,35.82,52.42,4,4,2
5,I was driving to a softball game at Homestead High School. A man blocked my lane and then followed me closely on the road. I suspected the man was drunk and decided to take action. I informed a sheriff's deputy about the man's erratic driving.,243,28.53,36.85,4,4,3
6,"I was driving to a softball game with Lisa. I encountered a man who blocked the road with his car. The man followed us closely, making me think he was drunk. I decided to report him to the police when we reached a stop sign. The police chased him, but I'm unsure if they stopped him.",283,35.99,53.42,5,5,1
7,"I was driving to a softball game and slowed down to turn. A man pulled into my lane and blocked traffic. The man followed me closely and drove erratically. I suspected he was either drunk or sick. I informed a deputy, and they followed him.",240,29.81,37.6,5,5,2
8,"I was driving to a church league softball game with a friend. A man in another car blocked the lane while I was turning. The man followed us closely, and seemed to be driving erratically. I suspected the driver was drunk or having a medical issue. I alerted a sheriff about the driver, who then tried to escape.",311,35.22,38.27,5,5,3
9,"I went to a church league softball game at Homestead High School. I saw a man blocking the lane on Twenty-four as I was turning. The man followed me closely up a hill, making me nervous. I thought the man might be drunk or having a medical issue. I decided to get help from a nearby sheriff’s car. The man reversed and drove slowly when the police approached.",359,62.76,86.85,6,6,1
10,We were going to a church league softball game. I was preparing to turn when a guy started blocking the lane. The guy followed us closely and was driving erratically. I suspected the guy might be drunk or having a medical issue. I decided to alert a nearby sheriff's car about the situation. The guy tried to evade the police by driving in reverse.,348,43.7,57.91,6,6,2
11,I was driving to a softball game. A man blocked the lane and followed me. Lisa noticed he was tailgating us. I thought he might be drunk or sick. I decided to alert the sheriff nearby. The man tried to escape when he saw the police.,232,31.65,54.55,6,6,3
