recall_id,keypoints,attempt,summary_text,segment_ids,correlation
summary_gpt4o_10_2.json,10,2,"1. I was driving to a softball game at Homestead High School. 2. I saw a man blocking the lane as I was turning onto Twenty-four. 3. I managed to get ahead of him though he blocked the highway. 4. The man followed closely behind us as we drove to the game. 5. Lisa noticed how close the man was to our car. 6. I suspected the man might be drunk or having a medical issue. 7. I decided to assess the situation at the next stop sign. 8. I saw a sheriff's car at the stop sign and asked for help. 9. The man reversed his car when he saw me talking to the police. 10. The police followed him, but I don't know if they stopped him.","[1, 2, 4, 5, 9, 10, 12, 13, 20, 22, 23, 24, 28, 29, 32, 33, 34, 35, 38, 39, 42, 45, 46, 44, 47, 48, 49, 50, 51, 58, 59, 60, 61, 62, 63, 64, 65, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",0.669
summary_gpt4o_23_2.json,23,2,"1. I was heading to a softball game a month ago. 2. The games were at Homestead High School. 3. I was driving on Twenty-four to the game. 4. I prepared to turn at Ranch Eggs. 5. A man in his fifties was to my right. 6. He started blocking my lane. 7. He was heading to the same spot as me. 8. I hurried ahead of him despite his obstruction. 9. He stopped, blocking the highway traffic. 10. We continued towards the baseball diamond. 11. The man began following us closely. 12. Lisa noticed the tailgating man. 13. I checked my mirror; he was very close. 14. The man started weaving in his lane. 15. I suspected he might be drunk. 16. I considered if he might be sick instead. 17. I decided to confront him at a stop sign. 18. At the stop sign, I saw a sheriff's car. 19. I signaled the sheriff for assistance. 20. I explained the man's erratic driving to the deputy. 21. The man stopped far from the intersection. 22. He reversed when he saw me speak to police. 23. Police pursued him; his driving was controlled.","[1, 2, 4, 5, 30, 9, 11, 12, 13, 18, 22, 23, 14, 20, 24, 25, 26, 28, 32, 33, 34, 35, 38, 39, 42, 45, 46, 50, 51, 47, 48, 57, 58, 59, 60, 61, 64, 65, 66, 67, 70, 72, 73, 74, 75, 76, 77, 78, 79]",0.6623
summary_gpt4o_8_3.json,8,3,"1. I was driving to a softball game at Homestead High School. 2. A man in his fifties started blocking my lane. 3. I managed to get ahead of him despite the obstruction. 4. The man followed closely and drove erratically. 5. I suspected he was either drunk or having a health issue. 6. At a stop sign, I decided to involve the sheriff. 7. I alerted the deputy to the man's dangerous driving. 8. The man tried to avoid the police by reversing.","[1, 2, 9, 11, 12, 13, 20, 28, 32, 35, 38, 39, 42, 45, 46, 50, 51, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 70, 72, 73, 75]",0.659
summary_gpt4o_8_2.json,8,2,1. We went to a church league softball game. 2. I encountered a driver blocking my lane. 3. The driver followed us closely up a hill. 4. Lisa warned me the driver was on our tail. 5. I thought the driver might be drunk or ill. 6. We reached a stop sign with a sheriff nearby. 7. I informed the deputy about the driver's behavior. 8. The driver reversed when police approached.,"[1, 2, 9, 13, 22, 23, 28, 29, 31, 32, 33, 34, 38, 39, 42, 45, 46, 50, 51, 58, 59, 60, 62, 63, 64, 65, 66, 67, 70, 72, 73, 75]",0.6495
summary_gpt4o_6_1.json,6,1,"1. I went to a church league softball game at Homestead High School. 2. I saw a man blocking the lane on Twenty-four as I was turning. 3. The man followed me closely up a hill, making me nervous. 4. I thought the man might be drunk or having a medical issue. 5. I decided to get help from a nearby sheriff’s car. 6. The man reversed and drove slowly when the police approached.","[1, 2, 4, 5, 9, 12, 13, 28, 29, 31, 32, 34, 35, 38, 39, 42, 45, 46, 47, 48, 50, 51, 58, 59, 60, 61, 63, 64, 70, 72, 73, 74, 75, 76, 77, 78, 79]",0.6489
summary_gpt4o_16_1.json,16,1,1. I was going to a church league softball game. 2. The games were scheduled at Homestead High School. 3. I was turning onto Twenty-four near Ranch Eggs. 4. A man in his fifties was blocking the lane. 5. I managed to get ahead of the man. 6. The man blocked the highway behind us. 7. We continued towards the diamond on Aboite Center. 8. The man was following closely behind us. 9. Lisa noticed the man was right on my tail. 10. The man was weaving and couldn't stay in his lane. 11. I suspected the man was drunk. 12. I considered approaching the man at the stop sign. 13. I saw a sheriff's car across the road. 14. I informed the deputy about the man's driving. 15. The man started reversing away from the cops. 16. The cops followed him as he drove slowly.,"[1, 2, 4, 5, 9, 11, 13, 19, 20, 22, 23, 24, 25, 26, 27, 28, 32, 33, 34, 38, 39, 42, 45, 46, 47, 48, 49, 50, 51, 58, 59, 60, 62, 63, 64, 65, 66, 67, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]",0.6476
summary_gpt4o_20_3.json,20,3,1. We were going to a church league softball game. 2. The games were scheduled at Homestead High School. 3. I was driving on Twenty-four with my turn signal on. 4. A man in his fifties started obstructing the lane. 5. I hurried up and got in front of him. 6. The man was blocking the highway. 7. I continued driving towards the diamond. 8. The man followed us very closely. 9. Lisa noticed he was on our tail. 10. I suspected he might be drunk. 11. I considered he could have a medical issue. 12. I decided to intervene at the next stop sign. 13. I saw a sheriff's car across the road. 14. I motioned to the sheriff to come over. 15. I informed the deputy about the man's driving. 16. The man stopped far from the intersection. 17. He reversed as the cops approached. 18. The police chased him as he drove slowly. 19. It was comical watching him drive away. 20. I don't know if the police stopped him.,"[1, 2, 4, 7, 9, 11, 12, 13, 19, 20, 22, 23, 24, 25, 26, 28, 32, 33, 34, 38, 39, 45, 46, 50, 51, 47, 57, 58, 59, 60, 64, 65, 66, 70, 72, 74, 75, 76, 77, 78, 79, 80, 81]",0.6405
summary_gpt4o_26_2.json,26,2,"1. We were driving to a church league softball game a month ago. 2. The game was at Homestead High School's diamond. 3. I was on Twenty-four and preparing to turn at Ranch Eggs. 4. A middle-aged guy started creeping onto Twenty-four blocking my lane. 5. I hurried up to get ahead of him. 6. He was sitting in the middle of the highway blocking it. 7. We continued toward the diamond with the guy following us. 8. Lisa noticed he was right on our tail. 9. I saw him weaving and couldn't stay in one lane. 10. I thought about how drunk driving is a major problem. 11. I suspected the guy might be drunk. 12. I considered he might also be sick or having a heart attack. 13. I hesitated to get involved but decided to act. 14. We approached a stop sign and saw a sheriff's car. 15. I motioned for the deputies to come over. 16. I informed the deputy about the guy's erratic driving. 17. The deputies began to investigate the situation. 18. The guy noticed me talking to the deputy. 19. He stopped far from the intersection and reversed. 20. As the cops approached, he reversed down the road. 21. The deputies caught up, and he drove slowly forward. 22. The deputies did a U-turn to follow him. 23. The guy drove very carefully after that. 24. I don't know if they eventually stopped him. 25. I found the situation somewhat comical. 26. I was unsure whether he was truly drunk or sick.","[1, 2, 4, 5, 9, 10, 11, 12, 13, 19, 20, 22, 23, 24, 25, 26, 28, 32, 33, 34, 38, 39, 42, 45, 46, 50, 51, 44, 56, 57, 58, 59, 60, 61, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 81, 80, nan]",0.6392
summary_gpt4o_6_2.json,6,2,1. We were going to a church league softball game. 2. I was preparing to turn when a guy started blocking the lane. 3. The guy followed us closely and was driving erratically. 4. I suspected the guy might be drunk or having a medical issue. 5. I decided to alert a nearby sheriff's car about the situation. 6. The guy tried to evade the police by driving in reverse.,"[1, 5, 9, 12, 13, 28, 32, 34, 35, 38, 39, 42, 45, 46, 48, 50, 51, 59, 60, 61, 62, 63, 64, 65, 67, 70, 72, 73, 75]",0.6388
summary_gpt4o_17_1.json,17,1,"1. We were going to a church league softball game at Homestead High School. 2. I was driving on Twenty-four and ready to turn at Ranch Eggs. 3. A middle-aged guy started creeping onto Twenty-four blocking my lane. 4. I hurried and got ahead of the guy in the lane. 5. The guy stayed in the middle of the highway blocking traffic. 6. We continued towards the diamond about one to two miles away. 7. The guy started following us, driving close behind. 8. Lisa noticed the guy was right on my tail. 9. I kept an eye on him to avoid any collision. 10. He was weaving back and forth, unable to stay in one lane. 11. I worried he might be drunk or having a medical emergency. 12. I decided to address the situation at the next stop sign. 13. We reached a stop sign and I saw a sheriff's car on the road. 14. I signaled the deputy about the guy following us. 15. I informed the deputy the guy might be sick or drunk. 16. The guy reversed and backed up when he saw the police. 17. The police followed him and he drove slowly away.","[1, 2, 4, 5, 9, 10, 12, 13, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 37, 38, 39, 42, 45, 46, 50, 51, 44, 47, 49, 53, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 70, 72, 73, 74, 75, 76, 77, 78, 79]",0.6342
