story,sample_idx,keypoints,summary_text,narrative_len_chars,coverage_fraction,coverage_pct,part_coverage_fraction,part_coverage_pct,summary_len_chars,sum_logp,summary_len_tokens,sum_mbits
schissel_v1-pool,0,"[""The reception was fancy"", ""A bee neared my face"", ""My friend shoved me poolward"", ""The splash ruined my dress""]",The reception was fancy A bee neared my face My friend shoved me poolward The splash ruined my dress,802,0.4444444444444444,44.44444444444444,1.0,100.0,100,-114.63204677,21,48.32513701580001
schissel_v1-pool,1,"[""My cousin held a reception"", ""My aunt handed champagne"", ""A bee alarmed my friend"", ""She pushed me into water""]",My cousin held a reception My aunt handed champagne A bee alarmed my friend She pushed me into water,802,0.3888888888888889,38.88888888888889,0.75,75.0,100,-120.1229685,19,55.54442672999999
schissel_v1-pool,2,"[""Everyone dressed elegantly"", ""A bee hovered nearby"", ""My friend pushed me"", ""My cousin joked afterward""]",Everyone dressed elegantly A bee hovered nearby My friend pushed me My cousin joked afterward,802,0.2777777777777778,27.77777777777778,0.75,75.0,93,-102.8737002775,16,40.00417013386
schissel_v1-pool,3,"[""The wedding reception glittered"", ""My aunt served champagne"", ""My friend misread danger"", ""I landed in the pool""]",The wedding reception glittered My aunt served champagne My friend misread danger I landed in the pool,802,0.3333333333333333,33.33333333333333,0.75,75.0,102,-115.98759912,19,34.078200417000005
schissel_v1-pool,4,"[""The garden party continued"", ""A bee threatened me"", ""My friend shoved me"", ""Her apology followed laughter""]",The garden party continued A bee threatened me My friend shoved me Her apology followed laughter,802,0.4444444444444444,44.44444444444444,1.0,100.0,96,-109.2468206,16,29.642998963000004
schissel_v1-pool,5,"[""My cousin celebrated marriage"", ""Auntie gave me champagne"", ""A bee prompted panic"", ""The pool ruined me""]",My cousin celebrated marriage Auntie gave me champagne A bee prompted panic The pool ruined me,802,0.4444444444444444,44.44444444444444,1.0,100.0,94,-126.7928411,17,44.93783530000001
schissel_v1-pool,6,"[""The hotel garden hosted us"", ""A bee approached"", ""My friend acted hastily"", ""My wet dress suffered""]",The hotel garden hosted us A bee approached My friend acted hastily My wet dress suffered,802,0.3333333333333333,33.33333333333333,1.0,100.0,89,-114.3233517,16,30.607911159999993
schissel_v1-pool,7,"[""The reception looked elegant"", ""A bee hovered close"", ""My friend saved me badly"", ""The cake nearly survived me""]",The reception looked elegant A bee hovered close My friend saved me badly The cake nearly survived me,802,0.3888888888888889,38.88888888888889,1.0,100.0,101,-121.0969321,18,30.47167566
schissel_v1-pool,8,"[""My aunt handed my drink"", ""I warned her carefully"", ""My friend pushed me"", ""My cousin mocked my landing""]",My aunt handed my drink I warned her carefully My friend pushed me My cousin mocked my landing,802,0.3333333333333333,33.33333333333333,1.0,100.0,94,-114.1880011,18,40.651090229999994
schissel_v1-pool,9,"[""The wedding gathered everyone"", ""A bee scared my friend"", ""She shoved me into water"", ""Apologies and jokes followed""]",The wedding gathered everyone A bee scared my friend She shoved me into water Apologies and jokes followed,802,0.5,50.0,1.0,100.0,106,-113.44564392,19,30.859575910000004
schissel_v2-lake,0,"[""Friends camped by a lake"", ""She dared me for a frog"", ""She pushed me into water"", ""I laughed and promised revenge""]",Friends camped by a lake She dared me for a frog She pushed me into water I laughed and promised revenge,774,0.5555555555555556,55.55555555555556,1.0,100.0,104,-108.34029716,22,36.097434003
schissel_v2-lake,1,"[""We enjoyed summer camping"", ""My friend spotted a frog"", ""I refused her catching dare"", ""She shoved me, then I laughed""]","We enjoyed summer camping My friend spotted a frog I refused her catching dare She shoved me, then I laughed",774,0.3888888888888889,38.88888888888889,1.0,100.0,108,-130.24647149,21,47.40623939499999
schissel_v2-lake,2,"[""Our trip stayed peaceful"", ""A frog started mischief"", ""My friend nudged me in"", ""I accepted it laughingly""]",Our trip stayed peaceful A frog started mischief My friend nudged me in I accepted it laughingly,774,0.3888888888888889,38.88888888888889,1.0,100.0,96,-123.750712756,19,33.249360306
schissel_v2-lake,3,"[""We visited our favorite woods"", ""She challenged my sandwich break"", ""Her nudge dunked me"", ""I vowed playful payback""]",We visited our favorite woods She challenged my sandwich break Her nudge dunked me I vowed playful payback,774,0.5,50.0,1.0,100.0,106,-145.15809947,21,40.48898673210001
schissel_v2-lake,4,"[""Campers relaxed near shore"", ""My friend found a frog"", ""She ignored my refusal"", ""I surfaced laughing with threats""]",Campers relaxed near shore My friend found a frog She ignored my refusal I surfaced laughing with threats,774,0.4444444444444444,44.44444444444444,1.0,100.0,105,-135.2917309,19,35.68233073
schissel_v2-lake,5,"[""We shared an annual campout"", ""She wanted the frog caught"", ""She pushed me lakeward"", ""I laughed and planned revenge""]",We shared an annual campout She wanted the frog caught She pushed me lakeward I laughed and planned revenge,774,0.4444444444444444,44.44444444444444,1.0,100.0,107,-131.76282337,21,36.00321409
schissel_v2-lake,6,"[""The afternoon began peacefully"", ""A frog prompted her dare"", ""My refusal prompted her push"", ""Her prank ended in laughter""]",The afternoon began peacefully A frog prompted her dare My refusal prompted her push Her prank ended in laughter,774,0.3333333333333333,33.33333333333333,1.0,100.0,112,-131.8157612,19,43.970689600000014
schissel_v2-lake,7,"[""We camped in woods"", ""She dared me mid-sandwich"", ""I landed in the lake"", ""I threatened future revenge""]",We camped in woods She dared me mid-sandwich I landed in the lake I threatened future revenge,774,0.4444444444444444,44.44444444444444,1.0,100.0,93,-122.32886042,21,29.2463293779
schissel_v2-lake,8,"[""Our favorite spot hosted camping"", ""My friend chased frog fun"", ""She shoved unwilling me"", ""I laughed at the prank""]",Our favorite spot hosted camping My friend chased frog fun She shoved unwilling me I laughed at the prank,774,0.3888888888888889,38.88888888888889,1.0,100.0,105,-145.9246524,19,26.8369891
schissel_v2-lake,9,"[""We relaxed during camping"", ""She discovered a shoreline frog"", ""Her nudge soaked me"", ""I laughed and warned her""]",We relaxed during camping She discovered a shoreline frog Her nudge soaked me I laughed and warned her,774,0.4444444444444444,44.44444444444444,0.75,75.0,102,-126.41791755,19,31.25482115640001
boyscout,0,"[""Scouts raced at the pier"", ""He cramped and shouted"", ""Others ignored his pleas"", ""A stranger rescued him""]",Scouts raced at the pier He cramped and shouted Others ignored his pleas A stranger rescued him,711,0.7368421052631579,73.68421052631578,1.0,100.0,95,-117.67878006,18,48.26956126
boyscout,1,"[""Boys ran fifty yards"", ""He got cramps"", ""Scouts and leader ignored him"", ""A newcomer saved him""]",Boys ran fifty yards He got cramps Scouts and leader ignored him A newcomer saved him,711,0.5789473684210527,57.89473684210527,1.0,100.0,85,-118.13681965,18,49.234066893
boyscout,2,"[""Scouts held a dash"", ""He faltered in water"", ""Everyone dismissed his cries"", ""One man pulled him out""]",Scouts held a dash He faltered in water Everyone dismissed his cries One man pulled him out,711,0.631578947368421,63.1578947368421,1.0,100.0,91,-122.41816196,19,41.062418484000005
boyscout,3,"[""The troop raced repeatedly"", ""He cramped on lap three"", ""Boys and scoutmaster overlooked him"", ""A stranger grabbed him""]",The troop raced repeatedly He cramped on lap three Boys and scoutmaster overlooked him A stranger grabbed him,711,0.7894736842105263,78.94736842105263,1.0,100.0,109,-135.8768852,19,45.60108870999999
boyscout,4,"[""Scouts raced by the pier"", ""He began sinking"", ""His troop disbelieved him"", ""A passerby rescued him""]",Scouts raced by the pier He began sinking His troop disbelieved him A passerby rescued him,711,0.5789473684210527,57.89473684210527,1.0,100.0,90,-113.683102205,20,33.244892669239995
boyscout,5,"[""Eight scouts were racing"", ""He slowed from cramps"", ""His cries went unheeded"", ""A newly arrived man saved him""]",Eight scouts were racing He slowed from cramps His cries went unheeded A newly arrived man saved him,711,0.5789473684210527,57.89473684210527,1.0,100.0,100,-127.80217746,21,50.121754383
boyscout,6,"[""Boy scouts ran a dash"", ""He yelled for help"", ""The group kept going"", ""A stranger jumped in""]",Boy scouts ran a dash He yelled for help The group kept going A stranger jumped in,711,0.4210526315789473,42.10526315789473,1.0,100.0,82,-102.95971185,17,46.80818042299999
boyscout,7,"[""The narrator raced scouts"", ""Cramps pulled him under"", ""Leaders and boys ignored him"", ""A stranger saved him""]",The narrator raced scouts Cramps pulled him under Leaders and boys ignored him A stranger saved him,711,0.8947368421052632,89.47368421052632,1.0,100.0,99,-127.17489249,18,45.99020992999999
boyscout,8,"[""Scouts sprinted at the pier"", ""He cramped and sank"", ""Nobody believed his warning"", ""A man rescued him""]",Scouts sprinted at the pier He cramped and sank Nobody believed his warning A man rescued him,711,0.6842105263157895,68.42105263157895,1.0,100.0,93,-122.36679953,19,37.367997515
boyscout,9,"[""Boys repeated pier races"", ""He cried out from cramps"", ""The scoutmaster watched passively"", ""A stranger pulled him up""]",Boys repeated pier races He cried out from cramps The scoutmaster watched passively A stranger pulled him up,711,0.5789473684210527,57.89473684210527,1.0,100.0,108,-140.58182885,22,51.774788363
triplett_v1-rookie,0,"[""The rookie attracted the chief’s daughter."", ""The daughter threatened flight."", ""The chief joined his search."", ""Frank’s warning prompted his transfer.""]",The rookie attracted the chief’s daughter. The daughter threatened flight. The chief joined his search. Frank’s warning prompted his transfer.,1329,0.1875,18.75,1.0,100.0,142,-138.7323077,26,45.081198
triplett_v1-rookie,1,"[""The chief had a talkative daughter."", ""She left a runaway note."", ""They found her at the station."", ""The rookie transferred afterward.""]",The chief had a talkative daughter. She left a runaway note. They found her at the station. The rookie transferred afterward.,1329,0.3125,31.25,1.0,100.0,125,-118.4505615,26,47.112187375000005
triplett_v1-rookie,2,"[""The rookie ignored the girl."", ""Her note alarmed the chief."", ""Their search failed."", ""Her safe return enabled his transfer.""]",The rookie ignored the girl. Her note alarmed the chief. Their search failed. Her safe return enabled his transfer.,1329,0.28125,28.125,1.0,100.0,115,-121.9217606,23,31.79628668000001
triplett_v1-rookie,3,"[""The veteran chief intimidated the rookie."", ""His daughter pursued the rookie."", ""A scarf prompted a search."", ""Frank advised the rookie’s departure.""]",The veteran chief intimidated the rookie. His daughter pursued the rookie. A scarf prompted a search. Frank advised the rookie’s departure.,1329,0.21875,21.875,1.0,100.0,139,-141.40479262,26,59.33732370500001
triplett_v1-rookie,4,"[""The daughter annoyed the rookie."", ""Her message claimed escape."", ""Police found her reading."", ""The rookie left the precinct.""]",The daughter annoyed the rookie. Her message claimed escape. Police found her reading. The rookie left the precinct.,1329,0.3125,31.25,0.75,75.0,116,-126.7346477,22,37.719225600000016
triplett_v1-rookie,5,"[""The rookie liked fitness."", ""The daughter sought his attention."", ""The chief confronted him."", ""Frank’s caution ended his rookie year.""]",The rookie liked fitness. The daughter sought his attention. The chief confronted him. Frank’s caution ended his rookie year.,1329,0.3125,31.25,0.75,75.0,125,-128.69942281,24,48.29707567999999
triplett_v1-rookie,6,"[""The chief suspected the rookie."", ""The daughter staged a disappearance."", ""The search reached a park."", ""The rookie transferred soon after.""]",The chief suspected the rookie. The daughter staged a disappearance. The search reached a park. The rookie transferred soon after.,1329,0.25,25.0,1.0,100.0,130,-115.6994196,24,32.8812321
triplett_v1-rookie,7,"[""The daughter was a chatterbox."", ""Her father scolded her."", ""Her note caused a hunt."", ""The deputy urged the rookie away.""]",The daughter was a chatterbox. Her father scolded her. Her note caused a hunt. The deputy urged the rookie away.,1329,0.25,25.0,0.75,75.0,112,-128.7952317887,27,35.4246393851
triplett_v1-rookie,8,"[""The rookie avoided the daughter."", ""She threatened to run away."", ""The chief searched with him."", ""The station discovery preceded transfer.""]",The rookie avoided the daughter. She threatened to run away. The chief searched with him. The station discovery preceded transfer.,1329,0.25,25.0,1.0,100.0,130,-129.43370573,24,43.115965004
triplett_v1-rookie,9,"[""The chief was formidable."", ""His daughter fancied the rookie."", ""Her false disappearance ended safely."", ""Mitchell’s advice made him leave.""]",The chief was formidable. His daughter fancied the rookie. Her false disappearance ended safely. Mitchell’s advice made him leave.,1329,0.34375,34.375,0.75,75.0,130,-143.6275229517,25,51.238230117780006
triplett_v2-catlady,0,"[""Mrs. Baker sheltered cats and grandson"", ""Her rude grandson courted me"", ""His note-led search ended at treehouse"", ""Dawson's warning made me hide""]",Mrs. Baker sheltered cats and grandson Her rude grandson courted me His note-led search ended at treehouse Dawson's warning made me hide,1291,0.4375,43.75,1.0,100.0,136,-186.26054057,28,84.68763199106002
triplett_v2-catlady,1,"[""Mrs. Baker kept many cats"", ""Her grandson annoyed the narrator"", ""His runaway note sparked a mill search"", ""His treehouse return brought Dawson's warning""]",Mrs. Baker kept many cats Her grandson annoyed the narrator His runaway note sparked a mill search His treehouse return brought Dawson's warning,1291,0.4375,43.75,1.0,100.0,144,-184.3243067,26,73.54275998340002
triplett_v2-catlady,2,"[""The cat lady raised a grandson"", ""The boy pursued a tomboy"", ""His note sent them searching"", ""Dawson's warning followed his discovery""]",The cat lady raised a grandson The boy pursued a tomboy His note sent them searching Dawson's warning followed his discovery,1291,0.25,25.0,1.0,100.0,124,-152.87481312,23,56.980333156399986
triplett_v2-catlady,3,"[""Mrs. Baker housed many cats"", ""Her unmannerly grandson liked me"", ""His note led us to the mill"", ""Dawson warned me after we found him""]",Mrs. Baker housed many cats Her unmannerly grandson liked me His note led us to the mill Dawson warned me after we found him,1291,0.34375,34.375,1.0,100.0,124,-162.2031344,27,62.6748041602
triplett_v2-catlady,4,"[""Mrs. Baker loved her cats"", ""Her grandson tried befriending me"", ""His false escape caused a search"", ""Officer Dawson advised concealment""]",Mrs. Baker loved her cats Her grandson tried befriending me His false escape caused a search Officer Dawson advised concealment,1291,0.21875,21.875,0.75,75.0,127,-154.275227345,24,58.61812017064301
triplett_v2-catlady,5,"[""Mrs. Baker owned many cats"", ""Her grandson lacked manners"", ""His runaway threat prompted tracking"", ""Dawson's warning kept me hidden""]",Mrs. Baker owned many cats Her grandson lacked manners His runaway threat prompted tracking Dawson's warning kept me hidden,1291,0.46875,46.875,1.0,100.0,123,-155.5085273,21,54.658027115500005
triplett_v2-catlady,6,"[""Mrs. Baker nagged her grandson"", ""The rude boy chased friendship"", ""His note triggered a futile search"", ""His treehouse discovery led to Dawson""]",Mrs. Baker nagged her grandson The rude boy chased friendship His note triggered a futile search His treehouse discovery led to Dawson,1291,0.375,37.5,1.0,100.0,134,-166.79873604,25,45.902186695229986
triplett_v2-catlady,7,"[""Mrs. Baker was a cat lady"", ""Her grandson fancied the narrator"", ""His cap drew us toward the mill"", ""Dawson warned after the treehouse find""]",Mrs. Baker was a cat lady Her grandson fancied the narrator His cap drew us toward the mill Dawson warned after the treehouse find,1291,0.15625,15.625,0.75,75.0,130,-179.3813912942,27,67.834926724532
triplett_v2-catlady,8,"[""Mrs. Baker kept cats nearby"", ""Her grandson sought my friendship"", ""His note made us search"", ""I hid after Dawson's warning""]",Mrs. Baker kept cats nearby Her grandson sought my friendship His note made us search I hid after Dawson's warning,1291,0.34375,34.375,1.0,100.0,114,-159.579573,22,71.47981295849999
triplett_v2-catlady,9,"[""Mrs. Baker fostered cats and worry"", ""Her ill-mannered grandson pursued me"", ""His fake runaway trip ended upstairs"", ""Dawson told me to lay low""]",Mrs. Baker fostered cats and worry Her ill-mannered grandson pursued me His fake runaway trip ended upstairs Dawson told me to lay low,1291,0.375,37.5,0.75,75.0,134,-182.310462905,28,56.39325001892
hester_v1-park,0,"[""The narrator starts design work"", ""Her father remains wheelchair-bound"", ""A park prayer precedes his steps"", ""His mobility returns over years""]",The narrator starts design work Her father remains wheelchair-bound A park prayer precedes his steps His mobility returns over years,2414,0.2222222222222222,22.22222222222222,0.75,75.0,132,-150.964660189,22,40.91140128689
hester_v1-park,1,"[""The narrator lives near work"", ""Her recovering father stays home"", ""She prays during lunch"", ""He walks and later recovers""]",The narrator lives near work Her recovering father stays home She prays during lunch He walks and later recovers,2414,0.2407407407407407,24.074074074074073,1.0,100.0,112,-124.24584532,21,23.828402509739988
hester_v1-park,2,"[""The narrator begins her career"", ""Her father struggles after surgery"", ""She follows a prayerful impulse"", ""His recovery steadily advances""]",The narrator begins her career Her father struggles after surgery She follows a prayerful impulse His recovery steadily advances,2414,0.2407407407407407,24.074074074074073,0.75,75.0,128,-126.5464548,20,25.40616058
hester_v1-park,3,"[""The narrator works in design"", ""Her father cannot walk unaided"", ""She prays in the park"", ""He soon regains independence""]",The narrator works in design Her father cannot walk unaided She prays in the park He soon regains independence,2414,0.2222222222222222,22.22222222222222,1.0,100.0,110,-116.7645475366,23,29.713732062858
