segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
1,Let me share a story from when I was twenty-one years old.,62,66,10,100,-52,34
2,I was living in a small apartment near the city center.,55,65,8,80,-47,15
3,I had just started my first job.,49,56,9,40,-40,-16
4,And uh I was working as a graphic designer.,37,55,8,100,-29,45
5,"My father, who was recovering from a surgery, hadn't been out in – in uh – well I'd say about eight months.",68,94,8,100,-60,6
6,He had to use a wheelchair to get around.,45,63,10,100,-35,37
7,"The only person there with him during the day was a kind neighbor, a lady in her sixties.",66,85,8,70,-58,-15
8,My younger sister was away at college –,40,48,3,10,-37,-38
9,so it was just my dad and the neighbor lady at home during the day.,18,68,8,70,-10,2
10,"One day, I got this strong feeling while I was at work.",75,93,9,90,-66,-3
11,"It told me: ""If you go to the nearby park during your lunch break and pray for your father's recovery, he'll start to improve.""",69,85,8,100,-61,15
12,I looked around my office.,16,41,5,10,-11,-31
13,I didn't see anyone nearby.,27,37,5,0,-22,-37
14,"So, I went to the park during my break",78,92,8,100,-70,8
15,and found a quiet spot there.,21,41,6,50,-15,9
16,That feeling came back again.,24,30,4,0,-20,-30
17,I looked around once more.,11,25,4,0,-7,-25
18,I still didn't see anyone nearby,13,29,3,0,-10,-29
19,but I decided to take a chance.,2,21,2,10,0,-11
20,"I wasn't too far from my office, maybe a ten-minute walk.",24,26,0,20,-24,-6
21,I found a bench to sit on and closed my eyes – uh – uh –,6,63,0,60,-6,-3
22,that feeling came back once more.,10,23,0,0,-10,-23
23,I just took a deep breath.,2,5,0,0,-2,-5
24,I was sitting under a big oak tree now.,48,52,2,80,-46,28
25,I looked up at the branches above me.,9,16,0,0,-9,-16
26,Nobody was around.,7,27,0,0,-7,-27
27,"And uh I said to myself, well now,",0,4,0,0,0,-4
28,I had been taught that prayers can make a difference.,15,45,0,40,-15,-5
29,And that it doesn't hurt to try.,9,44,0,40,-9,-4
30,"I knew I wasn't perfect, but I wanted to help my dad.",8,30,0,30,-8,0
31,I'd admit that to anyone.,2,7,0,0,-2,-7
32,But I was willing to give it a try.,8,28,0,30,-8,2
33,I looked around one more time,1,18,0,0,-1,-18
34,and then I closed my eyes,9,24,0,0,-9,-24
35,and said a quiet prayer.,53,74,0,70,-53,-4
36,"I whispered, ""God, I don't know if you're listening.",11,33,0,10,-11,-23
37,But I ask you to please help my father recover.,37,71,1,60,-36,-11
38,"So he can regain his independence and enjoy life again.""",15,51,0,40,-15,-11
39,I opened my eyes,3,5,0,10,-3,5
40,and went back to work.,19,37,1,10,-18,-27
41,"Suddenly, I received a text message from my father.",80,87,5,100,-75,13
42,"It said, ""I just took a few steps with my walker.""",83,92,5,100,-78,8
43,I – I couldn't believe it.,10,26,0,10,-10,-16
44,It felt like a sign that my prayer had been heard.,17,29,0,0,-17,-29
45,I rushed home after work,23,43,0,0,-23,-43
46,and saw my father standing in the living room with the help of his walker.,45,63,0,10,-45,-53
47,He hadn't been able to do that in months without assistance.,10,44,2,30,-8,-14
48,"And there he was, taking small steps.",10,25,1,0,-9,-25
49,That was the turning point in his recovery.,12,34,4,90,-8,56
50,He continued to improve,42,58,4,60,-38,2
51,and regained most of his mobility within a year.,19,52,5,100,-14,48
52,"It's been, what, six or seven years since then?",35,58,3,90,-32,32
53,My father is now able to walk without any assistance.,61,80,5,100,-56,20
54,"He's living life to the fullest, even in his seventies.",52,41,5,100,-47,59
