,1,2,3,4,5,6,7,8,9,10,11,12
1,1.43,5.46,5.11,2.79,1.45,0.0,1.45,0.5,0.0,0.44,0.0,0.09
2,2.42,4.44,6.45,4.23,3.12,0.27,1.04,0.21,0.0,0.0,0.48,0.0
3,3.43,5.27,6.04,6.68,0.95,0.33,4.09,1.27,0.04,0.0,0.0,0.0
4,1.74,3.41,6.28,2.62,0.85,3.33,2.95,0.0,1.47,0.0,0.0,0.0
5,1.57,1.65,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.63,0.49,0.46,1.8,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
7,0.91,0.26,0.45,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.12,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.72,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
