,summary,total,len,rate,keypoints_id
81,I was working as a graphic designer and living in a small apartment.|I prayed during my lunch break for my father's recovery.|My father began to recover and can now walk without assistance.,52.08,189,0.28,3_1
83,I prayed for my father's recovery at the park during my lunch break.|I received a text saying my father took a few steps with his walker.|My father regained his mobility and now enjoys life fully.,65.5,196,0.33,3_3
82,"I felt a strong urge to pray for my father's recovery during my lunch break.|I went to a nearby park and said a quiet prayer for my father's health.|My father started to recover soon after, and he now walks independently in his seventies.",66.34,238,0.28,3_2
86,I was working as a graphic designer and living in a small apartment.|My father was recovering from surgery and had a kind neighbor helping him.|I prayed for my father's recovery during a lunch break at the park.|My father began to improve and is now living life fully in his seventies.,84.26,285,0.3,4_3
84,I lived in a small apartment and worked as a graphic designer.|My father was recovering from surgery and couldn't leave home.|I felt a strong urge to pray for my father's recovery during lunch break.|My father's recovery started after my prayer and he eventually regained full mobility.,65.46,286,0.23,4_1
88,"I was living in a small apartment near the city center.|My father was recovering from surgery and using a wheelchair.|A strong feeling led me to pray for my father's recovery.|After praying, I learned my father had taken steps with a walker.|My father continued to improve and now walks unaided.",67.67,295,0.23,5_2
87,I prayed in a park during lunch for my father's recovery.|I received a text from my father about his progress after I prayed.|I was surprised to see my father taking steps with a walker.|That day marked the beginning of my father's recovery.|My father regained his mobility and is living fully now.,62.82,298,0.21,5_1
89,"I lived in a small apartment near the city center at twenty-one.|My father was recovering from surgery and needed a wheelchair.|I felt compelled to pray for my father's recovery during lunch break.|After praying, my father texted me that he took steps with his walker.|My father's health improved and he walks independently now.",84.37,328,0.26,5_3
96,I lived in a small apartment at twenty-one.|I worked as a graphic designer.|My father was recovering from surgery.|A neighbor helped him during the day.|I felt I should pray for my father at a park.|I prayed under an oak tree during lunch break.|My father texted that he used his walker.|He regained mobility and now walks independently.,91.18,337,0.27,8_1
92,I lived in a small apartment near the city center.|My father was recovering from surgery and used a wheelchair.|I decided to pray for my father's recovery during a lunch break.|I went to a park and prayed under an oak tree.|I received a text that my father took steps with his walker.|My father regained most of his mobility and now walks unaided.,82.59,347,0.24,6_3
91,I started my first job as a graphic designer.|My father was recovering from surgery and used a wheelchair.|I felt a strong urge to pray for my father's recovery at the park.|I prayed for my father's recovery during my lunch break.|I received a text saying my father took steps with his walker.|My father fully regained mobility and enjoys life now.,75.98,348,0.22,6_2
90,I lived in a small apartment near the city center.|I started my first job as a graphic designer.|My father was recovering from surgery and used a wheelchair.|I felt urged to pray for my father's recovery during my lunch break.|I prayed in the park and soon received a message from my father.|My father started improving rapidly and regained his mobility.,83.97,354,0.24,6_1
93,I lived in a small apartment near the city center.|I worked as a graphic designer.|My father was recovering from surgery and used a wheelchair.|A feeling urged me to pray for my father's recovery during lunch.|I went to a park and prayed for my father.|My father texted me that he took steps with his walker.|My father eventually regained full mobility and is active again.,79.43,373,0.21,7_1
85,"I was living in a small apartment and working as a graphic designer at age twenty-one.|My father was recovering from surgery and relied on a wheelchair with the help of a neighbor.|I felt compelled to pray for my father's recovery during a lunch break in a park.|After my prayer, my father texted me about taking steps with his walker, marking a turning point in his recovery.",92.54,376,0.25,4_2
94,I was living in a small apartment near the city center.|My father was recovering from surgery and used a wheelchair.|A kind neighbor helped my father during the day.|I felt the urge to pray for my father's recovery during lunch.|I went to the park and prayed for my father's health.|My father texted me about taking steps with his walker.|My father fully regained mobility and lives life fully now.,96.27,398,0.24,7_2
