recall_id,clause_id,clause_text,rephrased_text
55c4ab59fdf99b33083253ad,1,When I was 21,"At the age of 21,"
55c4ab59fdf99b33083253ad,2,I was working as a graphic designer.,I served as a graphic designer.
55c4ab59fdf99b33083253ad,3,My father was ill at the time,"During that period, my father was suffering from an illness"
55c4ab59fdf99b33083253ad,4,and had been for a while,and this had been the case for some time
55c4ab59fdf99b33083253ad,5,he was living alone,living by himself
55c4ab59fdf99b33083253ad,6,with just a neighbour to help him,relying on a neighbor for assistance
55c4ab59fdf99b33083253ad,7,and was unable to walk etc.,and he was incapacitated to the extent of being unable to walk and so on.
55c4ab59fdf99b33083253ad,8,One day while I was at the office,"Once, while I was present at my workplace"
55c4ab59fdf99b33083253ad,9,I felt a voice tell me,I sensed an inner voice instructing me
55c4ab59fdf99b33083253ad,10,that I should go to a nearby park,to visit a park close by
55c4ab59fdf99b33083253ad,11,& pray for my father,and to offer prayers for my father's well-being
55c4ab59fdf99b33083253ad,12,and this would help him recover.,believing that it would aid in his healing.
55c4ab59fdf99b33083253ad,13,I went to the park,I proceeded to the park
55c4ab59fdf99b33083253ad,14,and prayed.,and offered my prayers.
55c4ab59fdf99b33083253ad,15,Very soon after,Not long thereafter
55c4ab59fdf99b33083253ad,16,I got a call from my father,my father contacted me via telephone
55c4ab59fdf99b33083253ad,17,saying he had been able to stand with his walker for the first time in months.,to inform me that he had managed to rise using his walker for the first occasion in several months.
55c4ab59fdf99b33083253ad,18,He continued to recover,His health progressively improved
55c4ab59fdf99b33083253ad,19,and now he lives life to the full,and presently he enjoys life fully
55c4ab59fdf99b33083253ad,20,even though he is in his 70s.,despite being in his seventies.
56220229ed6e5a0005c7fac1,1,A person in their 20s,An individual in their twenties
56220229ed6e5a0005c7fac1,2,living in an apartment near the city centre.,resides in a flat close to the downtown area.
56220229ed6e5a0005c7fac1,3,Their father can only get around by wheelchair,Their dad relies on a wheelchair for mobility
56220229ed6e5a0005c7fac1,4,and his only company is a neighbouring woman.,with a woman from next door as his sole companion.
56220229ed6e5a0005c7fac1,5,The narrator goes to the park,The storyteller visits the park
56220229ed6e5a0005c7fac1,6,to pray for their father's health,to offer prayers for their dad's well-being
56220229ed6e5a0005c7fac1,7,"and when they return to work,","and upon their return to their job,"
56220229ed6e5a0005c7fac1,8,they receive a text message from their father,they get a text from their dad
56220229ed6e5a0005c7fac1,9,saying he took a few steps.,informing them that he managed to walk a bit.
56220229ed6e5a0005c7fac1,10,"Six or seven years later,","After six or seven years have passed,"
56220229ed6e5a0005c7fac1,11,the father has fully recovered.,the dad has made a complete recovery.
59e721e0ac0af70001b36a13,1,The story I was 21 living in the city with my dad who had major surgery.,"At 21, I resided in the urban area alongside my father, who had undergone significant surgery."
59e721e0ac0af70001b36a13,2,My sister was at college.,My sibling was attending university.
59e721e0ac0af70001b36a13,3,"In the daytime, a neighbour and my dad was home.","During the day, a neighbor would be with my father at home."
