segment_id,segment_text,p-caught
1,Let me share a story from when I was twenty-one years old.,67.35%
2,I was living in a small apartment near the city center.,66.33%
3,I had just started my first job.,57.14%
4,And uh I was working as a graphic designer.,56.12%
5,"My father, who was recovering from a surgery, hadn't been out in – in uh – well I'd say about eight months.",95.92%
6,He had to use a wheelchair to get around.,64.29%
7,"The only person there with him during the day was a kind neighbor, a lady in her sixties.",86.73%
8,My younger sister was away at college –,48.98%
9,so it was just my dad and the neighbor lady at home during the day.,69.39%
10,"One day, I got this strong feeling while I was at work.",94.90%
11,"It told me: ""If you go to the nearby park during your lunch break and pray for your father's recovery, he'll start to improve.""",86.73%
12,I looked around my office.,41.84%
13,I didn't see anyone nearby.,37.76%
14,"So, I went to the park during my break",93.88%
15,and found a quiet spot there.,41.84%
16,That feeling came back again.,30.61%
17,I looked around once more.,25.51%
18,I still didn't see anyone nearby,29.59%
19,but I decided to take a chance.,21.43%
20,"I wasn't too far from my office, maybe a ten-minute walk.",26.53%
21,I found a bench to sit on and closed my eyes – uh – uh –,64.29%
22,that feeling came back once more.,23.47%
23,I just took a deep breath.,5.10%
24,I was sitting under a big oak tree now.,53.06%
25,I looked up at the branches above me.,16.33%
26,Nobody was around.,27.55%
27,"And uh I said to myself, well now,",4.08%
28,I had been taught that prayers can make a difference.,45.92%
29,And that it doesn't hurt to try.,44.90%
30,"I knew I wasn't perfect, but I wanted to help my dad.",30.61%
31,I'd admit that to anyone.,7.14%
32,But I was willing to give it a try.,28.57%
33,I looked around one more time,18.37%
34,and then I closed my eyes,24.49%
35,and said a quiet prayer.,75.51%
36,"I whispered, ""God, I don't know if you're listening.",33.67%
37,But I ask you to please help my father recover.,72.45%
38,"So he can regain his independence and enjoy life again.""",52.04%
39,I opened my eyes,5.10%
40,and went back to work.,37.76%
41,"Suddenly, I received a text message from my father.",88.78%
42,"It said, ""I just took a few steps with my walker.""",93.88%
43,I – I couldn't believe it.,26.53%
44,It felt like a sign that my prayer had been heard.,29.59%
45,I rushed home after work,43.88%
46,and saw my father standing in the living room with the help of his walker.,64.29%
47,He hadn't been able to do that in months without assistance.,44.90%
48,"And there he was, taking small steps.",25.51%
49,That was the turning point in his recovery.,34.69%
50,He continued to improve,59.18%
51,and regained most of his mobility within a year.,53.06%
52,"It's been, what, six or seven years since then?",59.18%
53,My father is now able to walk without any assistance.,81.63%
54,"He's living life to the fullest, even in his seventies.",41.84%
