recall_id,keypoints,attempt,summary_text,segment_ids,correlation
summary_gpt4o_10_2.json,10,2,1. I lived in a small apartment near the city center. 2. I started my first job as a graphic designer. 3. My father was recovering from surgery and used a wheelchair. 4. A kind neighbor was the only person with my father during the day. 5. I had a strong feeling to pray for my father's recovery at a park. 6. I went to the park during my lunch break to pray. 7. I whispered a prayer under a big oak tree for my father. 8. I received a text from my father saying he took steps with his walker. 9. I rushed home and saw my father standing with his walker. 10. My father now walks without assistance and enjoys life in his seventies.,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 14, 24, 35, 37, 41, 42, 45, 46, 53]",0.769
summary_gpt4o_10_3.json,10,3,1. I lived in a small apartment near the city. 2. I started my first job as a graphic designer. 3. My father was recovering and used a wheelchair. 4. A neighbor lady helped my father during the day. 5. I had a strong feeling to pray for my father at the park. 6. I went to the park during my break to pray. 7. I sat under a tree and said a prayer for my father. 8. My father texted that he took steps with his walker. 9. I saw my father standing with his walker after work. 10. My father fully recovered and lives independently now.,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 14, 21, 24, 35, 41, 42, 45, 46, 50, 51, 53]",0.7648
summary_gpt4o_17_1.json,17,1,1. I lived in a small apartment near the city center. 2. I had just started my first job as a graphic designer. 3. My father was recovering from surgery and hadn't been out much. 4. My father needed a wheelchair to get around. 5. A kind neighbor lady helped my father during the day. 6. My younger sister was away at college. 7. I got a strong feeling at work about my father's recovery. 8. The feeling urged me to pray during my lunch break. 9. I went to a nearby park to pray for my father. 10. I found a quiet spot under a big oak tree. 11. I said a quiet prayer for my father's recovery. 12. I received a text from my father after the prayer. 13. My father started taking steps with his walker. 14. I rushed home and saw my father standing with a walker. 15. My father continued to improve and regained mobility. 16. It's been six or seven years since his recovery. 17. My father can now walk without assistance and enjoys life.,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 24, 35, 37, 38, 41, 42, 46, 49, 50, 51, 52, 53, 54]",0.7601
summary_gpt4o_11_3.json,11,3,1. I lived in a small apartment near the city center. 2. I had just started my first job as a graphic designer. 3. My father was recovering from surgery and used a wheelchair. 4. A kind neighbor stayed with my father during the day. 5. I felt a strong urge to pray for my father's recovery at the park. 6. I walked to the park during my lunch break to pray quietly. 7. I sat under an oak tree and whispered a prayer for my father. 8. I returned to work and received a text from my father. 9. My father said he took a few steps with his walker. 10. I saw my father standing in the living room with his walker. 11. My father regained most mobility and now walks unassisted.,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 14, 15, 21, 24, 35, 41, 42, 46, 51, 53]",0.752
summary_gpt4o_16_1.json,16,1,1. I was twenty-one years old. 2. I lived near the city center. 3. I had started my first job. 4. I worked as a graphic designer. 5. My father was recovering from surgery. 6. He used a wheelchair for mobility. 7. A kind neighbor helped my father. 8. My sister was away at college. 9. I felt a strong urge to pray. 10. I went to a park during lunch break. 11. I sat on a bench under an oak tree. 12. I prayed for my father's recovery. 13. I received a text from my father. 14. He took a few steps with his walker. 15. My father's recovery began to improve. 16. My father now walks without assistance.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 21, 24, 11, 28, 29, 30, 35, 37, 38, 41, 42, 46, 48, 49, 50, 51, 53]",0.7381
summary_gpt4o_10_1.json,10,1,"1. I lived in a small apartment near the city center when I was twenty-one. 2. I started my first job as a graphic designer. 3. My father was recovering from surgery and used a wheelchair. 4. My father's only daytime companion was a kind neighbor. 5. I had a strong feeling to pray for my father's recovery during lunch. 6. I went to a nearby park to pray quietly under an oak tree. 7. I prayed for my father's recovery and his independence. 8. After praying, I received a text from my father saying he walked. 9. I saw my father standing with a walker for the first time in months. 10. My father improved and now walks without assistance.","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 14, 15, 20, 21, 24, 37, 38, 41, 42, 46, 47, 50, 51, 53]",0.7374
summary_gpt4o_21_2.json,21,2,1. I was twenty-one years old. 2. I lived in a small apartment near the city center. 3. I had just started my first job. 4. I was working as a graphic designer. 5. My father was recovering from surgery. 6. My father hadn't been out in eight months. 7. My father used a wheelchair. 8. A neighbor lady helped my father during the day. 9. My younger sister was away at college. 10. I was at work when I had a strong feeling. 11. The feeling suggested I pray for my father's recovery. 12. I went to the park during my lunch break to pray. 13. I sat under a big oak tree and prayed. 14. I asked God to help my father recover. 15. I returned to work and received a text from my father. 16. My father texted that he took a few steps with his walker. 17. I rushed home to see my father standing with his walker. 18. My father began to recover after that day. 19. My father regained most of his mobility within a year. 20. It's been six or seven years since then. 21. My father now walks without any assistance.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 24, 37, 41, 42, 46, 49, 51, 52, 53]",0.7318
summary_gpt4o_20_2.json,20,2,1. I was twenty-one years old. 2. I lived in a small apartment. 3. I started my first job. 4. I was working as a graphic designer. 5. My father was recovering from surgery. 6. He hadn't been out for eight months. 7. He used a wheelchair to get around. 8. A neighbor lady stayed with him during the day. 9. My sister was away at college. 10. I felt the urge to pray for my father at work. 11. I went to a nearby park during lunch. 12. I decided to pray under a big oak tree. 13. I prayed for my father's recovery. 14. I received a text from my father. 15. He took a few steps with his walker. 16. I rushed home and saw him standing. 17. He was taking small steps in the living room. 18. That was the turning point in his recovery. 19. He regained most of his mobility within a year. 20. My father now walks without assistance.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 24, 35, 37, 41, 42, 46, 48, 49, 51, 53]",0.7318
summary_gpt4o_8_1.json,8,1,1. I lived in a small apartment at twenty-one. 2. I worked as a graphic designer. 3. My father was recovering from surgery. 4. A neighbor helped him during the day. 5. I felt I should pray for my father at a park. 6. I prayed under an oak tree during lunch break. 7. My father texted that he used his walker. 8. He regained mobility and now walks independently.,"[1, 2, 3, 4, 5, 7, 9, 10, 11, 14, 24, 41, 42, 50, 51, 53]",0.7196
summary_gpt4o_11_1.json,11,1,1. I was living in a small apartment near the city center. 2. I was working as a graphic designer. 3. My father was recovering from surgery and used a wheelchair. 4. Only a kind neighbor helped my father during the day. 5. I felt I should pray for my father's recovery during lunch. 6. I went to a nearby park and found a quiet spot. 7. I prayed for my father's recovery under a big oak tree. 8. I received a text from my father saying he took a few steps. 9. I saw my father standing with a walker after work. 10. My father's recovery began to improve significantly then. 11. My father can now walk without assistance and enjoys life.,"[2, 4, 5, 6, 7, 9, 10, 11, 14, 15, 24, 35, 37, 38, 41, 42, 45, 46, 49, 50, 53, 54]",0.7119
