index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
0,189,0.1425,I was working as a graphic designer and living in a small apartment. I prayed during my lunch break for my father's recovery. My father began to recover and can now walk without assistance.,26.94,3,3,1,"Employed as a graphic designer, I resided in a compact living space. During my midday pause, I would offer prayers for my dad's health improvement. Gradually, he regained his strength and now has the ability to ambulate independently.",234,12.3223036376,0.0527
1,196,0.1289,I prayed for my father's recovery at the park during my lunch break. I received a text saying my father took a few steps with his walker. My father regained his mobility and now enjoys life fully.,25.26,3,3,3,"During my midday recess at the park, I offered prayers for my dad's recuperation. Shortly after, I got a message informing me that he had managed to walk a bit using his walking aid. My dad has since reclaimed his ability to move around and is now thoroughly relishing his existence.",283,16.78162761608,0.0593
2,238,0.1437,"I felt a strong urge to pray for my father's recovery during my lunch break. I went to a nearby park and said a quiet prayer for my father's health. My father started to recover soon after, and he now walks independently in his seventies.",34.19,3,3,2,"During my midday break, I was compelled to offer a prayer for my dad's recuperation. I found solace in a local park where I whispered a prayer for his well-being. Shortly thereafter, my dad began to show signs of improvement and now, in his seventies, he is able to walk on his own.",282,27.605449600359993,0.0979
3,285,0.1829,I was working as a graphic designer and living in a small apartment. My father was recovering from surgery and had a kind neighbor helping him. I prayed for my father's recovery during a lunch break at the park. My father began to improve and is now living life fully in his seventies.,52.11,4,4,3,"Employed in the field of graphic design, I resided in a compact living space. While my father was on the mend from an operation, a considerate neighbor lent him assistance. During a pause for lunch at a local park, I took a moment to hope earnestly for my dad's health to return. Fortunately, his condition started to get better, and presently, he's embracing life to the fullest in his seventies.",397,22.474132496270006,0.0566
4,286,0.125,I lived in a small apartment and worked as a graphic designer. My father was recovering from surgery and couldn't leave home. I felt a strong urge to pray for my father's recovery during lunch break. My father's recovery started after my prayer and he eventually regained full mobility.,35.76,4,4,1,"Residing in a compact flat, I was employed in the field of graphic design. As my father was convalescing from an operation and was homebound, I was compelled to offer prayers for his recuperation during my midday intermission. Following my supplications, my father began to recuperate and ultimately restored his complete range of movement.",340,25.275627038840017,0.0743
5,295,0.1371,"I was living in a small apartment near the city center. My father was recovering from surgery and using a wheelchair. A strong feeling led me to pray for my father's recovery. After praying, I learned my father had taken steps with a walker. My father continued to improve and now walks unaided.",40.46,5,5,2,"I resided in a compact flat close to the heart of the city. My dad was in the process of healing from an operation and relied on a wheelchair for mobility. Compelled by a profound intuition, I offered prayers for his recuperation. Subsequent to my prayers, I was informed that my dad had managed to walk using a walker. His condition progressively got better, and he is now able to walk without any assistance.",410,11.667934399140005,0.0285
6,298,0.0833,I prayed in a park during lunch for my father's recovery. I received a text from my father about his progress after I prayed. I was surprised to see my father taking steps with a walker. That day marked the beginning of my father's recovery. My father regained his mobility and is living fully now.,24.83,5,5,1,"During my lunch break, I offered prayers for my dad's healing in a tranquil park. Following my prayer, I got an update via text from him regarding his health. It was astonishing to witness him walking with the aid of a walker. That moment signified the start of his journey to recuperation. He has since reclaimed his ability to move around and is now enjoying life to its fullest.",381,11.174480419570008,0.0293
7,328,0.1597,"I lived in a small apartment near the city center at twenty-one. My father was recovering from surgery and needed a wheelchair. I felt compelled to pray for my father's recovery during lunch break. After praying, my father texted me that he took steps with his walker. My father's health improved and he walks independently now.",52.37,5,5,3,"At the age of twenty-one, I resided in a compact flat close to the downtown area. My dad was in the process of recuperation from an operation and required the use of a wheelchair. During my lunch break, I was driven by a strong urge to offer prayers for my dad's recuperation. Following my prayer, I received a text from my dad informing me that he had managed to walk using his walker. Since then, my father's condition has progressed, and he is now able to walk on his own.",475,48.374795824790006,0.1018
8,337,0.1958,I lived in a small apartment at twenty-one. I worked as a graphic designer. My father was recovering from surgery. A neighbor helped him during the day. I felt I should pray for my father at a park. I prayed under an oak tree during lunch break. My father texted that he used his walker. He regained mobility and now walks independently.,65.99,8,8,1,"At the age of twenty-one, I resided in a compact flat and was employed in the field of graphic design. My dad was in the process of recuperation following an operation, with a neighbor lending assistance throughout the daylight hours. I was compelled by a sense that I needed to offer prayers for my dad's well-being, choosing a park as the place to do so. It was beneath the branches of an oak tree where I spent my lunch pauses in prayer. Subsequently, I received a message from my father announcing that he had started to use his walker. Over time, he recovered his ability to move around and now ambulates on his own.",621,62.61248397108,0.1008
9,347,0.1569,I lived in a small apartment near the city center. My father was recovering from surgery and used a wheelchair. I decided to pray for my father's recovery during a lunch break. I went to a park and prayed under an oak tree. I received a text that my father took steps with his walker. My father regained most of his mobility and now walks unaided.,54.45,6,6,3,"Residing in a compact flat close to the downtown area, I was in close proximity to my father who was convalescing post-operation and relied on a wheelchair for mobility. During a midday recess, I felt compelled to offer prayers for his recuperation. I chose a serene park as my sanctuary and sought solace beneath the branches of a sturdy oak. It was there that I was greeted with a message informing me that my father had managed to ambulate using his walker. Over time, he remarkably recovered a significant portion of his mobility and currently ambles without assistance.",574,39.21104431384001,0.0683
