,1,2,3,4,5,6,7,8,9,10,11,12
1,1.42,3.06,3.22,2.56,0.85,1.27,2.25,0.0,0.0,0.0,0.0,0.8
2,2.08,4.88,2.69,3.98,1.63,1.63,0.0,0.16,0.32,0.0,0.0,0.0
3,2.63,3.39,3.61,3.6,1.14,1.5,1.27,2.08,0.0,0.0,0.6,0.0
4,0.81,2.54,1.66,1.67,1.14,1.44,0.0,0.0,0.0,0.0,0.0,0.0
5,2.47,1.63,1.93,4.2,2.08,0.33,0.0,2.32,0.0,0.0,1.29,0.0
6,1.24,1.13,0.0,2.02,2.78,2.17,0.0,0.0,0.0,0.85,0.0,0.0
7,1.42,1.22,0.0,3.97,0.0,0.0,0.0,0.78,0.5,0.0,0.0,0.0
8,1.07,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0
9,0.0,0.05,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,1.15,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
