recall_id,recall_text,recall_len,max_clause_id,mbits_original_narrative,mbits_rephrased_narrative
55ad3f2dfdf99b563a2471c8,"When I was twenty two years old I was working in a book store. At the time my grandpa became unwell. Whilst stacking books in the store I heard a voice telling me to go to the alter and light a candle for him. I looked around but couldn't see anyone but the voice remained. My grandma always told me a prayer from a sincere heart can have a meaningful impact, but a prayer from someone with no faith is meaningless. I know I am not a saint as I have made many mistakes. But as I was leaving the store I felt compelled to turn around and go to pray. I said my prayer that I don't know how to pray but would like support for my grandpa. Once I returned home I was surprised to see my grandpa in the living room, my sister told me he had started to recover. This was the first time I had seen him as normally he was bedridden and it marked the start of his recovery. I wasn't sure if my prayer had anything to do with his recovery, but it did make me reconsider my views on faith. We then spent as much time as we could with my grandpa as he made his recovery and learnt to enjoy the time we had together. He continued to live on for many years seeing through his 90th birthday When I was twenty two years old",1206,30,110.97,129.79
55f821f832af740005172118,A man without faith decided to pray at church for his sick grandpa to heal and he believes it worked because his grandpa got up from his sick bed and lived for many more years.,176,9,0.62,14.34
5629f7f1c8ffc2000f5135a0,"A person was working in a bookshop near to the home. He was 22. He had just one sister who was caring for the grandad, who was bed ridden, as the parents were out of town. The young person heard a voice which said he must go to the church to light a candle. If he did that the grandad would get better. He did that and went back to the bookshop where he continued to shelve the books. He than had an urge to go home - no voice this time - where he found his grandad in a chair. He was told that the grandad had an urge to get out of the bed where he had been for many months. The grandad continued to get better and lived to 90.",628,11,69.02,92.58
568db47ae3ef9e000ca0dcdd,"Guy works at bookstore, hears voice telling him to light a candle to heal his ailing granddad. He does, it works, Granddad lives to be 90 something and dies.",157,5,3.86,23.91
5756decbba27eb0006d5201e,"It was a 22 year old fresh out of college who worked at a bookstore and lived with his sister and grandfather. His grandpa was unable to care for himself and was looked after his granddaughter. While working at the bookstore, our lead heard a voice that told him to go to church and light a candle. Having heard the voice, he decided to go there on his break. While at the church, he pondered and hesitated weighing up the push and pull of his decision; him not being religious but also how his mom stated you if you don't believe in faith, it won't work. Our character tried it and prayed; and miraculously, his grandpa could talk for the first time in years. It was the start of his recovery and led to many more years of his life before he passed. The 22 year old then had believed in faith more that day.",808,22,30.88,38.18
5772b5b39137f30001ebbbb7,"Let me tell you a story about when I was twenty two, fresh out of college. I was working in a bookstore and living with my sister then. My sister was taking care of my grandpa, who was bedridden. One day as I was working I heard a voice in my head telling me to go to the church yard. I am not a particularly religious person. I heard the voice again and went looking for the church. I found the church and I prayed. After that I went home. My sister was there and she told me my grandfather had experienced a sudden surge of energy. That marked the beginning of his recovery. After that he steadily got better and made a full recovery. That was twenty years ago and he went on to live a full life till he passed at the age of ninety. That was the beginning of my faith. Sometimes when things get tough I still look back on that moment and remember the power of faith and prayer.",879,25,28.5,55.33
57a7337e913c710001977341,Lady was working in her book store shelving books. She is one of two siblings the other being her sister. Her sister looked after their grandpa who had been bedridden for many months and had to be assisted with moving around and looking after him. Whilst working the lady heard a voice in her head saying if she went now to her church and lit a candle her grandpa would get better. She ignored the voice at first but the message was repeated many times. After a while the lady went to the church despite her lack of faith and before she went in she remembered her grandma’s words that a sincere prayer can work miracles but prayers without faith were useless. The lady whilst unsure lit a candle and knelt at the alter in prayer and asked god to help her grandpa recover and gain his strength and let him have a life again. She went back to the bookstore and continued to shelve books until she felt an overwhelming urge to go home. She locked up the bookstore and went home to find her grandpa in the living room having sat up in bed saying he had the urge to get up. Grandpa recovered and lived for a number of years and then passed away but the extra time with him was fulfilling for the family. The incident happened 20 years ago but has helped the lady in sad and troubled times to help her through.,1304,11,102.75,99.31
5803cb9a3073510001231d82,"22 years old working in a bookstore shelving books. My sister cares for our grandpa whilst our parents are out of town. One day whilst stacking the shelves with books I hear a voice say to me 'if you go to church & light a candle your grandpa will get better'. This 'voice' kept nagging at me. So I shut the bookstore & headed to the church. I stood a while outside pondering whether to go in. I went in, lit a candle & said a prayer for grandpa. I went back to the bookstore & reopened it for a while before a nagging voice in my head told me to go home. I returned home where I was surprised to see grandpa sat up in a chair, something I hadn't seen for a while. Grandpa lived for a good few years after. Maybe it was the prayer that helped him get better/more mobile, who knows. Do you believe in the power of prayer?",820,12,61.4,63.38
5841a2d39d65770001cebfa1,Working in a bookshop after college. My sister at home caring for my bedridden grandpa. It is just me and my sister. I hear a voice urging me to go to the church and light a candle and my Grandpa will recover. I go to the Church and even though I'm not religious and have made many mistakes in my life I light a candle and say a prayer. My Grandmother said a prayer from a genuine heart can make miracles but also that a prayer without faith was meaningless. I then return to the shop. I feel an urge to go home. When I get there my Grandpa is sat in the living room. My sister said he felt a surge of energy which helped to get him out of bed. I wondered if it was the lighting of the candle. My Grandpa lived to be 90 and celebrated his birthday surrounded by family and friends. I recall that day 20 years ago which helped me cherish the time I had with my family.,867,13,96.29,137.47
5995b7bef9db7d0001895985,"When working in a bookstore the writer heard a voice telling them to go to church and light a candle for his grandpa. They were staying in a quiet town with their sister and grandpa who was ill and had been bedridden for almost a year. When they were shelving books they heard the voice, they weren't sure what to do but heard the voice again so decided to walk down to the church. At the church they lit a candle for their grandpa. They weren't sure because they weren't particularly religious. After they had lit the candle they went back to work when they felt a pull to go home. Once they went home their grandpa was in the living room talking to their sister. The grandpa lived for a while after that and celebrated their 90th birthday with family and friends.",765,22,64.91,93.82
