,summary,total,len,rate,keypoints_id
81,"I heard a voice telling me to light a candle for my grandpa.|I lit a candle in the church and prayed for my grandpa's health.|I found my grandpa sitting up and talking, marking the start of his recovery.",45.51,203,0.22,3_1
84,"I started my first job at a local bookstore.|I heard a voice telling me to light a candle for my grandpa.|I went to the church, prayed, and returned to work.|I found my grandpa recovering when I got home.",56.23,204,0.28,4_1
83,I heard a voice in my head telling me to light a candle for my grandpa.|I prayed in the church for my grandpa's recovery despite my doubts.|I found my grandpa had miraculously regained his ability to walk.,34.47,205,0.17,3_3
82,I heard a voice telling me to light a candle for my grandpa's health at the church.|I prayed sincerely in the church for my grandpa to regain his strength.|I found my grandpa recovering surprisingly when I returned home.,39.84,220,0.18,3_2
86,I started my first job at a local bookstore.|I heard a voice suggesting to light a candle for my grandpa's recovery.|I went to the church and prayed for my grandpa.|My grandpa unexpectedly regained strength and began his recovery.,57.07,230,0.25,4_3
87,I started my first job at a local bookstore.|I heard a voice telling me to light a candle for my grandpa at the church.|I prayed at the church for my grandpa to get better.|My grandpa unexpectedly became able to walk and recover.|My experience changed my perspective on faith and prayer.,48.47,287,0.17,5_1
85,I heard a voice in my head telling me to light a candle for my grandpa's recovery.|I went to the church and prayed sincerely for my grandpa's healing.|I felt an urge to go home and found my grandpa miraculously recovering.|My grandpa's recovery changed my perspective on faith and prayer.,37.47,288,0.13,4_2
90,I started my first job at a local bookstore.|A voice in my head told me to light a candle for my grandpa.|I went to the church and prayed for my grandpa.|I felt a strong urge to go home after my prayer.|I found my grandpa up and talking unexpectedly.|I believe my prayer impacted my grandpa's recovery.,65.58,302,0.22,6_1
88,I started my first job at a local bookstore.|I heard a voice in my head prompting me to light a candle for my grandpa.|I hesitated but eventually went to the church and prayed for my grandpa.|I found my grandpa improving and sitting up when I returned home.|This experience changed my perspective on faith and prayer.,49.02,317,0.15,5_2
92,I started my first job at a local bookstore.|I heard a voice telling me to light a candle for my grandpa.|I went to the church and prayed for my grandpa's recovery.|I felt an urge to go home from the bookstore.|I found my grandpa surprisingly recovered at home.|The experience changed my perspective on faith and prayer.,61.48,320,0.19,6_3
91,I worked at a local bookstore after college.|I heard a voice urging me to light a candle for my grandpa.|I walked to the church and prayed for my grandpa's recovery.|I returned to work and felt an urge to go home.|I found my grandpa unexpectedly sitting and talking.|My grandpa's recovery began a powerful lesson in faith for me.,61.23,329,0.19,6_2
89,"I started my first job at a bookstore and heard a mysterious voice.|The voice urged me to light a candle for my bedridden grandpa at a church.|Despite my doubts, I prayed for my grandpa's recovery in the church.|I returned home to find my grandpa unexpectedly gaining strength.|My grandpa's recovery changed my perspective on faith and prayer.",51.05,343,0.15,5_3
95,I was working at a bookstore in a small town.|I heard a voice telling me to light a candle for my grandpa.|I walked to the church despite not being religious.|I prayed sincerely for my grandpa's recovery.|I felt an urge to go home and found my grandpa improved.|My grandpa began recovering and regained his strength.|This experience changed my perspective on faith and miracles.,57.76,378,0.15,7_3
98,I started my first job at a local bookstore.|I heard a voice telling me to light a candle for my grandpa.|I decided to visit the church and light a candle.|I prayed sincerely for my grandpa's recovery.|I returned to work feeling urged to go home.|I found my grandpa sitting and talking at home.|My grandpa began to recover and regain strength.|The experience changed my perspective on faith.,64.98,391,0.17,8_3
96,I worked at a local bookstore after college.|I heard a voice telling me to light a candle for my grandpa.|I walked to the church despite not being religious.|I prayed sincerely for my grandpa's recovery.|I felt an urge to go home after praying.|I found my grandpa miraculously active and recovering.|My grandpa's recovery changed our lives and my perspective on faith.|My grandpa lived many more happy years with us.,68.76,416,0.17,8_1
99,I started my first job at a local bookstore.|My bedridden grandpa was at home with my sister.|I heard a voice telling me to light a candle for my grandpa.|I went to the church despite not being religious.|I prayed sincerely for my grandpa's health.|I felt a strong urge to return home.|I found my grandpa sitting in the living room.|My grandpa gradually regained his strength.|I realized the impact of faith and prayer.,85.19,419,0.2,9_1
94,I started my first job at a local bookstore.|My bedridden grandpa was at home with my sister.|I heard a voice telling me to light a candle for grandpa at the church.|I decided to go to the church and pray for my grandpa's recovery.|I returned home to find my grandpa sitting in the living room.|His recovery began and he gradually regained his strength.|I was reminded of the power of faith and the miracles it can bring.,79.31,421,0.19,7_2
97,"I started my first job at a bookstore after college.|My bedridden grandpa was at home with my sister.|I heard a voice urging me to light a candle at the old church.|I felt conflicted but decided to go to the church.|I prayed sincerely for my grandpa's recovery.|Back at the bookstore, I felt a strong urge to go home.|I found my grandpa miraculously recovering at home.|My grandpa's recovery changed my view on faith and miracles.",83.58,430,0.19,8_2
93,I worked alone in a bookstore and heard a voice in my head.|The voice told me to light a candle for my bedridden grandpa.|I walked to a nearby church despite my hesitations about faith.|I prayed sincerely for my grandpa's recovery at the church.|I returned to work but felt an urge to go home suddenly.|I discovered my grandpa surprisingly sitting and talking at home.|My grandpa's recovery shifted my perspective on faith and prayer.,73.88,434,0.17,7_1
100,I started my first job at a local bookstore.|I heard a voice telling me to light a candle for my grandpa.|I walked to the church to light a candle.|I prayed for my grandpa's recovery at the church.|I returned to the bookstore and felt an urge to go home.|I rushed home to find my grandpa sitting and talking.|My grandpa began his recovery after that experience.|I often thought about the connection between my prayer and his recovery.|My perspective on faith changed after that incident.,69.28,487,0.14,9_2
0,I started my first job at a local bookstore.|I was alone in the store on a quiet afternoon.|My grandpa was bedridden at home with my sister.|I heard a voice telling me to light a candle for my grandpa.|I went to the old church and lit a candle.|I prayed for my grandpa's recovery.|I felt a strong urge to go home after returning to the store.|I found my grandpa sitting and talking when I got home.|My grandpa began to recover and regained his strength.|I learned about faith and miracles from this experience.,100.22,510,0.2,10_1
1,I started my first job at a local bookstore.|My grandpa was bedridden and cared for by my sister.|I heard a voice urging me to light a candle for my grandpa.|I decided to go to the old church and light a candle.|I prayed sincerely for my grandpa's recovery.|I felt an overwhelming urge to go home after my prayer.|I found my grandpa sitting and talking to my sister.|My grandpa's recovery began that day.|The experience changed my perspective on faith.|My grandpa lived many more years and passed away peacefully.,84.44,513,0.16,10_2
101,I started my first job at a bookstore in a small town.|My grandpa was bedridden at home with my sister caring for him.|I heard a voice urging me to light a candle for my grandpa's recovery.|I walked to the church and lit a candle despite my doubts.|I prayed sincerely for my grandpa's healing at the altar.|I returned to work but felt an urge to rush home.|I found my grandpa sitting up and talking to my sister.|My grandpa gradually regained his strength and independence.|This experience changed my perspective on faith and prayer.,84.55,533,0.16,9_3
14,I was twenty-two and fresh out of college.|I stayed in a small town five miles away.|I started my first job at a bookstore.|I was alone in the store on a quiet afternoon.|My bedridden grandpa was home with my sister.|I had a voice in my head about a church candle.|I ignored the voice but it repeated.|I walked to the church and hesitated.|I prayed sincerely for my grandpa's healing.|I went back to work at the bookstore.|I felt an urge to go home.|I found my grandpa sitting and talking.|My grandpa began his recovery that day.|I often remember the power of faith.,139.25,566,0.25,14_3
10,I was twenty-two and just out of college.|I started my first job at a local bookstore.|My grandpa was bedridden at home with my sister.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle for my grandpa.|I decided to go to the church and light a candle.|I knelt and prayed for my grandpa's recovery.|I returned to the bookstore and resumed work.|I felt a strong urge to go home.|I found my grandpa sitting and talking with my sister.|My grandpa's recovery began that day.|I often thought about the power of faith.|My grandpa lived many more happy years.,103.18,591,0.17,13_2
2,"I had just started my first job at a local bookstore.|My grandpa was bedridden at home with my sister caring for him.|I heard a voice urging me to light a candle for my grandpa's recovery.|I decided to walk to the local church despite my hesitations.|I prayed sincerely for my grandpa's healing at the church altar.|After returning to work, I felt an urge to go home.|I found my grandpa miraculously out of bed and talking.|My grandpa began his recovery and regained his strength.|This experience changed my perspective on faith and prayer.|Years later, my grandpa lived a full life before passing away.",90.59,603,0.15,10_3
35,I was twenty-two years old.|I lived in a small town.|I worked at a local bookstore.|My grandpa was bedridden.|My sister cared for grandpa.|Our parents were out of town.|I heard a voice in my head.|The voice told me to light a candle.|I was alone in the bookstore.|I walked to the old church.|I hesitated at the church.|I knelt before the altar.|I prayed for my grandpa's healing.|I returned to the bookstore.|I felt an urge to go home.|I found grandpa in the living room.|He had regained some strength.|His recovery began that day.|We became more grateful.|The experience changed my view of faith.|Grandpa lived many more years.,118.22,628,0.19,21_3
8,"I was twenty-two and had just started my first job.|I heard a voice suggesting to light a candle for my grandpa.|I hesitated but decided to visit the church nearby.|I prayed sincerely for my grandpa's recovery.|I felt a strong urge to return home after the prayer.|I found my grandpa up and talking, defying his condition.|This event marked the beginning of my grandpa's recovery.|I questioned if my prayer influenced his improvement.|The experience changed my perspective on faith.|My grandpa lived many more years happily with us.|I cherish the memory and its impact on our family.|The experience taught me about faith and miracles.",83.93,634,0.13,12_3
3,I was twenty-two and had just started my first job at a bookstore.|My bedridden grandpa was at home with my sister.|I heard a voice telling me to light a candle for my grandpa.|I walked to the old church to light a candle.|I was hesitant but remembered my grandma's words about sincere prayers.|I prayed sincerely for my grandpa's recovery.|I returned to the bookstore and felt an urge to go home.|I found my grandpa sitting and talking for the first time in months.|My grandpa began to recover and regained his strength.|The experience changed my perspective on faith and prayer.|My grandpa lived many more years and his spirit stays in our hearts.,114.29,649,0.18,11_1
15,I was twenty-two and fresh out of college.|I started my first job at a local bookstore.|My grandpa was bedridden at home with my sister.|I suddenly heard a voice inside my head.|The voice told me to light a candle for my grandpa.|I decided to walk to the church.|I hesitated because I was not religious.|I remembered my grandma's words about sincere prayers.|I prayed for my grandpa's recovery.|I returned to work at the bookstore.|I felt a strong urge to go home.|I found my grandpa sitting in the living room.|He started recovering and regained strength.|I wondered if my prayer helped his recovery.|My grandpa's recovery changed my perspective on faith.,108.9,656,0.17,15_1
38,I was twenty-two years old.|I had just finished college.|I lived in a small town.|I worked at a local bookstore.|My grandpa was bedridden.|My sister cared for him.|My parents were out of town.|I heard a voice in my head.|The voice mentioned lighting a candle.|I was alone in the store.|I decided to go to the church.|I walked to the church.|I hesitated at the church door.|I thought about my grandma's words.|I prayed for my grandpa's health.|I returned to work at the store.|I felt an urge to go home.|My grandpa was sitting in the living room.|He had regained some strength.|It was a turning point for us.|I reflected on faith and prayer.|My grandpa lived many more years.,130.37,674,0.19,22_3
41,I was twenty-two years old.|I was fresh out of college.|I lived in a small town.|I worked at a bookstore.|I was alone in the store.|My grandpa was bedridden.|My sister cared for him.|My parents were out of town.|I heard a voice in my head.|The voice mentioned the church.|I decided to visit the church.|I hesitated before entering.|Grandma said prayers bring miracles.|I felt guilty about my past.|I prayed for my grandpa.|I returned to the bookstore.|I felt an urge to go home.|I found my grandpa in the living room.|My grandpa started recovering.|The recovery was a turning point.|My grandpa lived many more years.|The experience changed my perspective.|I cherish the moments with grandpa.,128.29,691,0.19,23_3
9,"I was twenty-two and just started a job at a bookstore.|My grandpa was bedridden, and my sister took care of him.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle for grandpa.|I ignored the voice at first, but it spoke again.|I decided to walk to the old church nearby.|I doubted my faith but thought of my grandpa.|At the church, I prayed sincerely for grandpa's recovery.|I felt a strong urge to go home after returning to work.|I found grandpa surprisingly sitting in the living room.|He began to recover and regained his strength slowly.|This experience changed my perspective on faith.|Grandpa lived many more years and celebrated his ninetieth birthday.",106.24,700,0.15,13_1
11,"I was twenty-two years old and fresh out of college.|I was staying in a small town five miles from here.|I had started my first job at a local bookstore.|I was alone in the store on a quiet afternoon.|My bedridden grandpa was at home with my sister.|A voice in my head told me to light a candle for my grandpa.|I decided to walk to the nearby old church.|I hesitated at the church because I wasn't religious.|I prayed sincerely for my grandpa's healing at the altar.|I felt a strong urge to return home after the prayer.|My grandpa surprisingly had the energy to sit in the living room.|His recovery began that day, changing our family's life.|I pondered the power of faith and prayer after his recovery.",149.29,704,0.21,13_3
4,"I was twenty-two years old and started a job at a local bookstore.|My grandpa was bedridden at home with my sister caring for him.|I heard a voice suggesting to light a candle for my grandpa at the church.|I ignored the voice at first and continued shelving books.|The voice repeated the message, so I decided to visit the church.|I lit a candle and prayed sincerely for my grandpa's recovery.|After returning to work, I felt an urge to go home.|I rushed home and found my grandpa talking in the living room.|My grandpa began recovering after that day and regained independence.|That experience made me reconsider my views on faith and prayer.|My grandpa lived many more years, and we cherished our time with him.",104.62,713,0.15,11_2
6,"I was twenty-two and had just started my first job at a bookstore.|My grandpa was bedridden at home with my sister caring for him.|My parents were out of town for the weekend.|A voice in my head told me to light a candle for grandpa in the church.|I hesitated as I wasn't religious but decided to go to the church anyway.|I prayed for my grandpa's healing at the church altar.|After praying, I felt a strong urge to rush home.|I found grandpa in the living room, walking and talking to my sister.|Grandpa began his recovery and regained his strength.|That experience made us more grateful for time together.|I often reflect on the power of faith and prayer.|My grandpa passed away years later, but his spirit lives on.",104.42,718,0.15,12_1
5,"I was twenty-two and just started my first job at a local bookstore.|My grandpa was bedridden and my sister cared for him at home.|I heard a voice telling me to light a candle for grandpa's health.|I hesitated, but remembered my grandma's words on prayer and faith.|I went to the church and lit a candle, praying for grandpa's recovery.|After the prayer, I felt a strong urge to go back home.|I found my grandpa surprisingly sitting up and talking to my sister.|My sister said grandpa felt a surge of energy and could walk.|The day marked the start of grandpa's recovery and renewed strength.|I often think back to that day and its impact on my faith.|My grandpa lived many more years, and we cherished our time together.",105.8,721,0.15,11_3
40,I was twenty-two years old.|I lived in a small town.|I started my first job at a bookstore.|My grandpa was bedridden.|My sister took care of him.|My parents were out of town.|I heard a voice in my head.|The voice told me to light a candle.|I ignored the voice initially.|The voice spoke to me again.|I decided to visit the church.|I hesitated to enter the church.|I knelt down and prayed.|I asked God to heal my grandpa.|I returned to the bookstore.|I felt an urge to go home.|I found grandpa talking to my sister.|Grandpa felt a surge of energy.|His recovery began that day.|I wondered about the power of prayer.|My grandpa lived many more years.|The experience changed my view on faith.|I cherish the memory and feel inspired.,124.54,728,0.17,23_2
33,I was twenty-two years old.|I stayed in a small town.|I started my first job at a bookstore.|I was alone in the bookstore.|My grandpa was bedridden.|My sister was caring for my grandpa.|My parents were out of town.|I heard a voice in my head.|The voice suggested lighting a candle at the church.|I walked to the nearby church.|I hesitated at the church.|I thought about my grandma's advice on prayer.|I admitted to my own faults.|I prayed for my grandpa at the church.|I felt an urge to go home after praying.|I found my grandpa sitting and talking.|My grandpa felt a surge of energy.|My grandpa began his recovery.|The recovery changed my view on faith.|My grandpa lived many years after.|The experience remains a vivid memory.,145.35,728,0.2,21_1
45,I was twenty-two years old.|I had just finished college.|I lived in a small town.|I worked at a bookstore.|My grandpa was bedridden.|My sister cared for him.|Our parents were out of town.|I heard a voice in my head.|The voice told me to light a candle.|I ignored the voice initially.|The voice repeated the message.|I decided to go to the church.|I hesitated outside the church.|I thought of my grandma's words.|I prayed for my grandpa's health.|I returned to the bookstore.|I felt an urge to go home.|I found grandpa in the living room.|He felt a surge of energy.|He began his recovery.|It changed my view on faith.|Grandpa lived many more years.|He celebrated his ninetieth birthday.|The experience remains vivid.|I cherish the memory of grandpa.,133.9,748,0.18,25_1
7,"I was twenty-two years old and had just started my first job at a bookstore.|My grandpa was bedridden at home with my sister caring for him.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle at the church for my grandpa.|I hesitated before going to the church as I was not very religious.|I lit a candle and prayed for my grandpa's recovery.|Returning to the bookstore, I felt an urge to go home.|I found my grandpa sitting in the living room, which was unexpected.|My sister said he had a surge of energy and was able to walk.|That day marked the beginning of his remarkable recovery.|My grandpa lived happily for many more years after that incident.|I often reflect on the power of faith and prayer from that day.",111.43,755,0.15,12_2
12,I was twenty-two years old and just out of college.|I stayed in a small town about five miles from here.|I started my first job at a local bookstore.|My grandpa was bedridden at home with my sister caring for him.|My parents went out of town for the weekend.|I heard a voice in my head about lighting a candle for grandpa.|I was alone in the bookstore and tried to ignore the voice.|I walked to the old church and hesitated for a moment.|I knelt down and prayed for my grandpa's recovery.|I returned to the bookstore and felt urged to go home.|I found my grandpa sitting and talking in the living room.|My grandpa regained strength and started recovering.|I often thought back to the day in the church.|My grandpa lived for many more years after that incident.,140.81,760,0.19,14_1
18,"I was twenty-two and working at a bookstore.|My grandpa was bedridden at home with my sister.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle for grandpa.|I decided to walk to the church nearby.|I wasn't very religious and hesitated at first.|I prayed sincerely for my grandpa's recovery.|After the prayer, I resumed work at the bookstore.|I felt an urge to go home without hearing a voice.|I found grandpa unexpectedly sitting in the living room.|My sister said he suddenly felt a surge of energy.|Grandpa began to recover and gained independence.|This experience changed my perspective on prayer.|Grandpa lived several more years with us.|Our family cherished every moment with grandpa.|I often reflect on the power of faith and miracles.",123.64,782,0.16,16_1
19,I was twenty-two and just finished college.|I lived in a small town near my first job in a bookstore.|My grandpa was bedridden at home with my sister.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle at the church.|I tried to ignore the voice but it persisted.|I walked to the church to light a candle for my grandpa.|I was hesitant because I was not very religious.|I prayed sincerely for my grandpa's recovery.|I returned to the bookstore and resumed work.|I felt an overwhelming urge to go home.|I found my grandpa unexpectedly sitting up and talking.|My grandpa began to recover his strength.|His recovery changed our family’s perspective.|I often reflected on my prayer and its impact.|My grandpa lived many more cherished years with us.,132.28,783,0.17,16_2
25,I was twenty-two and just out of college.|I lived in a small town nearby.|I started my first job at a bookstore.|My grandpa was bedridden at home.|My sister cared for my grandpa daily.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle.|I was alone in the bookstore at the time.|I went to the old church to light a candle.|I hesitated because I was not religious.|I prayed sincerely for my grandpa's recovery.|I felt an urge to go home after praying.|I found my grandpa sitting with my sister.|He suddenly regained strength and could walk.|His recovery began and he became independent.|I wondered about the power of my prayer.|My grandpa lived many more years and celebrated his ninetieth birthday.|I remember that day when I feel lost or uncertain.,155.32,788,0.2,18_2
13,"I was twenty-two and had just finished college.|I was living in a small town and working at a bookstore.|My grandpa was bedridden, and my sister cared for him.|My parents were out of town for the weekend.|I heard a voice suggesting I light a candle for my grandpa.|I ignored the voice at first, but it persisted.|I walked to the nearby church to light a candle.|I was not very religious but remembered my grandma's words on prayer.|I prayed earnestly for my grandpa's recovery in the church.|I returned to work and suddenly felt urged to go home.|I found my grandpa sitting and talking with my sister.|My grandpa's health improved and he regained strength.|My perspective on faith and prayer changed after this event.|My grandpa lived many more years and celebrated his ninetieth birthday.",117.8,789,0.15,14_2
22,"I was twenty-two and fresh out of college.|I lived in a small town five miles from here.|I started my first job at a local bookstore.|My grandpa was bedridden at home with my sister.|My parents were out of town for the weekend.|I heard a voice in my head while at work.|The voice told me to light a candle for grandpa.|I was alone in the bookstore and ignored the voice.|The voice spoke again, repeating the message.|I went to the church to light a candle.|I prayed sincerely for my grandpa's recovery.|I felt an urge to go home after returning to work.|I found my grandpa sitting in the living room.|Grandpa had newfound strength and walked on his own.|The day marked the start of grandpa's recovery.|I reflected on the power of prayer and faith.|Grandpa lived many years and celebrated his ninetieth.",146.26,802,0.18,17_2
20,I was 22 years old and fresh out of college.|I lived in a small town and started my first job.|My grandpa was bedridden and at home with my sister.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle in a church.|I was alone in the bookstore when I heard the voice.|The voice repeated the message to light a candle.|I decided to walk to the church nearby.|I hesitated because I wasn't very religious.|I remembered my grandma's advice about sincere prayers.|I prayed for my grandpa's recovery in the church.|I returned to work but felt an urge to go home.|I found my grandpa up and talking when I got home.|My grandpa began to recover after that day.|I often reflected on the power of faith and prayer.|My grandpa lived many more years and celebrated his 90th birthday.,151.57,806,0.19,16_3
16,"I was twenty-two and fresh out of college.|I started my first job at a local bookstore.|My grandpa was bedridden at home with my sister.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle at the church.|I ignored the voice initially and continued working.|The voice repeated the message, prompting me to act.|I hesitated but remembered my grandma's belief in prayer.|I went to the church and prayed for my grandpa's recovery.|I felt an urge to go home after my prayer.|I found my grandpa sitting in the living room, unexpectedly.|My sister said he suddenly regained energy and walked.|My grandpa's recovery was a turning point for our family.|The experience changed my perspective on faith and prayer.|My grandpa lived many more years and celebrated his ninetieth birthday.",113.59,812,0.14,15_2
42,I was twenty-two years old.|I had just graduated college.|I lived in a small town nearby.|I started my first job at a bookstore.|I was alone in the store one afternoon.|My grandpa was bedridden at home.|My sister took care of my grandpa.|Our parents were out of town.|I heard a voice in my head.|The voice told me to light a candle.|I was skeptical of the voice.|I decided to go to the church.|I reached the church building.|I hesitated but went inside the church.|I knelt and prayed for my grandpa.|I returned to the bookstore.|I felt strongly compelled to go home.|I left the store and went home.|I saw my grandpa in the living room.|My grandpa felt a sudden energy boost.|My grandpa started recovering health.|The event shifted my views on faith.|My grandpa lived several more years.|The memory remains vivid for me.,130.05,819,0.16,24_1
44,I was twenty-two years old.|I had just finished college.|I lived in a small town.|I started my first job at a bookstore.|My grandpa was bedridden.|My sister took care of him.|Our parents were out of town.|I heard a voice in my head.|The voice told me to light a candle for grandpa.|I doubted the voice but considered it.|I walked to the church nearby.|I hesitated at the church door.|I recalled my grandma's words on prayer.|I prayed sincerely for my grandpa's health.|I went back to the bookstore after praying.|I felt a strong urge to go home.|I hurried home and saw grandpa up.|Grandpa was talking in the living room.|His unexpected recovery surprised us.|His recovery marked a life turning point.|I often think about that prayer day.|I gained a new perspective on faith.|Grandpa lived many more healthy years.|That event remains a vivid memory.,141.19,848,0.17,24_3
17,I was twenty-two and started working at a local bookstore.|My grandpa was bedridden and my sister cared for him.|Our parents were out of town for the weekend.|I heard a voice in my head telling me to light a candle in church.|I initially ignored the voice but it repeated the message.|I walked to the nearby church despite not being religious.|I prayed sincerely for my grandpa's healing at the church.|I returned to the bookstore and felt an urge to go home.|I found my grandpa surprisingly sitting and talking at home.|My sister said he felt a surge of energy and stood up.|That day marked the beginning of my grandpa's recovery.|We became more grateful for the time with our grandpa.|I wondered if my prayer helped grandpa's recovery.|My grandpa lived many more years and reached ninety.|The experience changed my perspective on faith and prayer.,136.01,849,0.16,15_3
23,"I was twenty-two years old and fresh out of college.|I stayed in a small town about five miles away.|I started my first job at a local bookstore.|My grandpa, bedridden for a year, stayed with my sister.|My parents were out of town for the weekend.|I heard a voice telling me to light a candle for my grandpa.|No one was in the bookstore except me.|I decided to go to the old church and light a candle.|I wasn't particularly religious.|I remembered my grandma's words about sincere prayers.|I prayed for my grandpa's health inside the church.|I resumed work at the bookstore but felt an urge to go home.|I found my grandpa walking and talking at home.|My grandpa felt a sudden surge of energy.|That day marked the start of my grandpa's recovery.|I questioned if my prayer affected my grandpa's recovery.|The memory changed my view on faith and prayer.",172.7,850,0.2,17_3
21,"I was twenty-two years old and fresh out of college.|I lived in a small town five miles from here.|I started my first job at a local bookstore.|My grandpa was bedridden and at home with my sister.|My parents were out of town for the weekend.|I heard a voice suggesting I light a candle for my grandpa.|I was alone in the store and felt confused by the voice.|I walked to the church and hesitated outside.|I remembered my grandma's words about sincere prayers.|I admitted my own flaws and shortcomings.|I prayed sincerely for my grandpa's recovery.|I returned to the bookstore and felt an urge to go home.|I was surprised to find my grandpa up and talking.|My grandpa began his recovery that day.|The experience taught me about faith and prayer's power.|My grandpa lived many more years, reaching ninety.|The memory remains vivid and reminds me of faith.",157.9,853,0.19,17_1
